station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
JUN,2025-01-01,-10.1,-8.0,-11.1,,,,31.0,0.9,659.6,,,3114.7,1025.2,5.9,18.2,21.2,65.5,17.9,64.4,,,,,90.0,147.0,,,,433.0,99.0,1.0,0.0,320.0,30.1,22.1,,,,
JUN,2025-01-02,-10.4,-7.2,-17.3,,,,59.3,1.6,651.1,,,3014.2,1013.1,9.1,27.0,32.8,97.2,25.9,93.2,,,,,45.0,236.0,,,,27.0,6.0,0.7,0.0,316.0,30.4,22.4,,,,
JUN,2025-01-03,-17.6,-13.8,-20.6,,,,40.6,0.6,647.8,,,2991.3,1008.4,8.4,18.4,30.2,66.2,18.2,65.5,,,,,92.0,157.0,,,,437.0,99.0,0.7,0.0,315.0,37.6,29.6,,,,
JUN,2025-01-04,-10.4,-5.4,-14.5,,,,49.9,1.6,650.2,,,3002.8,1011.7,8.6,29.2,31.0,105.1,28.4,102.2,,,,,70.0,199.0,,,,323.0,73.0,0.9,0.0,320.0,30.4,22.4,,,,
JUN,2025-01-05,-4.8,-2.1,-6.0,,,,93.1,4.0,650.2,,,2991.1,1011.8,9.4,37.7,33.8,135.7,35.9,129.2,,,,,26.0,279.0,,,,0.0,0.0,0.4,0.0,340.0,24.8,16.8,,,,
JUN,2025-01-06,-10.7,-4.8,-12.6,,,,97.7,2.7,643.6,,,2924.3,1002.4,13.0,33.2,46.8,119.5,31.9,114.8,,,,,47.0,258.0,,,,0.0,0.0,0.5,0.0,139.0,30.7,22.7,,,,
JUN,2025-01-07,-14.6,-9.4,-17.0,,,,78.0,1.6,643.6,,,2933.5,1002.3,6.4,27.0,23.0,97.2,26.3,94.7,,,,,86.0,203.0,,,,335.0,75.0,0.4,0.0,319.0,34.6,26.6,,,,
JUN,2025-01-08,-7.6,-2.2,-9.5,,,,92.5,3.2,647.5,,,2964.1,1007.9,10.5,33.4,37.8,120.2,30.5,109.8,,,,,29.0,264.0,,,,9.0,2.0,0.6,0.0,331.0,27.6,19.6,,,,
JUN,2025-01-09,-11.0,-8.7,-17.4,,,,97.6,2.6,645.7,,,2950.3,1005.4,7.6,35.7,27.4,128.5,34.7,124.9,,,,,33.0,261.0,,,,0.0,0.0,-0.1,0.0,340.0,31.0,23.0,,,,
JUN,2025-01-10,-14.1,-9.9,-19.7,,,,90.0,1.9,645.5,,,2954.9,1005.0,17.1,37.6,61.6,135.4,37.0,133.2,,,,,20.0,253.0,,,,0.0,0.0,0.2,0.0,324.0,34.1,26.1,,,,
JUN,2025-01-11,-16.0,-12.7,-20.7,,,,73.9,1.4,648.3,,,2992.9,1009.1,9.8,27.2,35.3,97.9,26.4,95.0,,,,,76.0,193.0,,,,92.0,20.0,0.3,0.0,322.0,36.0,28.0,,,,
JUN,2025-01-12,-13.9,-12.1,-16.9,,,,42.3,0.9,654.2,,,3058.1,1017.5,6.9,22.2,24.8,79.9,21.3,76.7,,,,,101.0,133.0,,,,448.0,99.0,0.7,0.0,336.0,33.9,25.9,,,,
JUN,2025-01-13,-13.0,-8.9,-16.4,,,,34.7,0.8,658.6,,,3107.9,1023.8,9.4,27.1,33.8,97.6,26.2,94.3,,,,,103.0,134.0,,,,450.0,99.0,1.0,0.0,167.0,33.0,25.0,,,,
JUN,2025-01-14,-5.6,-2.9,-10.0,,,,31.7,1.3,661.4,,,3128.6,1027.8,4.3,15.5,15.5,55.8,14.3,51.5,,,,,98.0,182.0,,,,448.0,98.0,1.0,0.0,144.0,25.6,17.6,,,,
JUN,2025-01-15,-10.5,-5.1,-13.7,,,,60.3,1.7,657.8,,,3094.8,1022.7,7.1,19.2,25.6,69.1,19.1,68.8,,,,,106.0,173.0,,,,314.0,68.0,0.8,0.0,281.0,30.5,22.5,,,,
