station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
LAG,2025-01-01,-1.6,3.3,-5.7,-3.8,0.2,-6.9,98.3,5.4,938.7,,1527.7,,1025.9,0.9,3.2,3.2,11.5,3.1,11.2,,0.0,0.0,,79.0,,,,18.0,418.0,96.0,0.0,0.0,120.0,21.6,13.6,-0.1,,,
LAG,2025-01-02,1.5,7.0,-3.4,-1.9,0.2,-5.9,87.5,5.8,930.2,,1464.6,,1016.8,1.2,11.1,4.3,40.0,10.8,38.9,,20.6,20.4,,41.0,,,,35.0,43.0,10.0,0.3,0.0,292.0,18.5,10.5,20.3,,,
LAG,2025-01-03,-2.5,0.0,-7.4,-1.0,0.2,-4.9,99.5,5.1,933.7,,1482.9,,1020.5,0.4,3.6,1.4,13.0,3.5,12.6,,0.0,0.2,,75.0,,,,37.0,289.0,66.0,0.0,0.0,225.0,22.5,14.5,0.2,,,
LAG,2025-01-04,-5.8,-0.5,-11.1,-3.8,-0.2,-8.0,99.4,4.1,930.9,,1450.4,,1017.5,0.6,3.2,2.2,11.5,3.1,11.2,,6.0,3.0,,66.0,,,,44.0,215.0,49.0,0.0,0.0,153.0,25.8,17.8,3.0,,,
LAG,2025-01-05,1.5,5.2,-0.4,-0.1,0.3,-0.2,99.5,6.8,921.1,,1386.8,,1007.0,0.8,3.0,2.9,10.8,3.0,10.8,,0.5,3.5,,35.0,,,,33.0,29.0,7.0,0.2,0.0,117.0,18.5,10.5,3.5,,,
LAG,2025-01-06,2.8,6.6,0.3,-0.2,0.3,-1.3,99.4,7.5,916.1,,1346.5,,1001.6,1.1,7.1,4.0,25.6,6.7,24.1,,13.7,13.7,,23.0,,,,23.0,6.0,1.0,0.3,0.0,127.0,17.2,9.2,13.7,,,
LAG,2025-01-07,2.4,6.0,-0.8,-0.5,4.0,-4.4,88.1,6.3,922.2,,1398.5,,1008.1,1.8,13.9,6.5,50.0,13.2,47.5,,2.0,0.0,,51.0,,,,36.0,157.0,36.0,0.3,0.0,264.0,17.6,9.6,-0.1,,,
LAG,2025-01-08,3.9,10.5,-0.4,1.6,5.2,-2.1,97.5,7.9,920.7,,1389.4,,1006.6,1.0,10.1,3.6,36.4,10.1,36.4,,2.9,4.8,,22.0,,,,23.0,0.0,0.0,0.4,0.0,135.0,16.1,8.1,4.8,,,
LAG,2025-01-09,5.3,10.4,-0.4,2.9,7.9,-1.4,85.4,7.6,921.6,,1400.6,,1007.6,2.5,25.1,9.0,90.4,24.4,87.8,,3.9,4.0,,26.0,,,,24.0,27.0,6.0,0.6,0.0,282.0,14.7,6.7,4.0,,,
LAG,2025-01-10,-0.4,1.0,-1.4,-1.0,1.9,-2.9,94.3,5.6,931.4,,1469.8,,1018.0,0.4,2.2,1.4,7.9,2.1,7.6,,2.9,2.3,,26.0,,,,28.0,0.0,0.0,0.3,0.0,180.0,20.4,12.4,2.3,,,
LAG,2025-01-11,-1.8,0.4,-5.6,-3.3,3.3,-10.8,92.8,5.0,934.8,,1494.8,,1021.7,1.0,6.5,3.6,23.4,6.1,22.0,,0.0,0.6,,73.0,,,,26.0,265.0,59.0,0.1,0.0,130.0,21.8,13.8,0.5,,,
LAG,2025-01-12,-3.5,-1.3,-7.3,-5.1,0.6,-12.5,82.9,3.9,944.2,,1566.9,,1031.8,1.9,10.2,6.8,36.7,9.3,33.5,,0.0,0.0,,85.0,,,,22.0,398.0,88.0,0.1,0.0,117.0,23.5,15.5,-0.2,,,
LAG,2025-01-13,-4.3,-2.5,-6.9,-5.4,-0.9,-10.7,84.8,3.8,945.4,,1574.8,,1033.1,2.8,9.7,10.1,34.9,9.4,33.8,,0.0,0.0,,79.0,,,,18.0,359.0,78.0,0.2,0.0,122.0,24.3,16.3,-0.2,,,
LAG,2025-01-14,-5.5,-1.3,-8.8,-7.4,1.1,-12.4,96.7,4.0,943.6,,1556.3,,1031.2,0.7,4.2,2.5,15.1,4.1,14.8,,0.0,0.0,,83.0,,,,19.0,417.0,89.0,0.1,0.0,225.0,25.5,17.5,-0.1,,,
LAG,2025-01-15,-1.2,5.5,-7.9,-2.4,7.8,-11.6,90.7,5.1,941.0,,1548.2,,1028.4,1.5,9.3,5.4,33.5,8.9,32.0,,0.0,0.0,,70.0,,,,25.0,304.0,65.0,0.3,0.0,132.0,21.2,13.2,-0.1,,,
LAG,2025-01-16,-0.1,1.7,-1.1,-0.3,6.3,-3.0,94.7,5.7,943.0,,1568.1,,1030.5,2.2,12.6,7.9,45.4,12.3,44.3,,0.0,0.0,,53.0,,,,40.0,96.0,20.0,0.3,0.0,120.0,20.1,12.1,0.0,,,
LAG,2025-01-17,-1.7,1.3,-3.4,-1.9,4.3,-7.0,96.5,5.2,944.2,,1573.2,,1031.8,0.7,2.6,2.5,9.4,2.5,9.0,,0.0,0.0,,78.0,,,,25.0,322.0,68.0,0.1,0.0,180.0,21.7,13.7,-0.1,,,
LAG,2025-01-18,-2.9,1.1,-5.1,-3.5,3.9,-8.1,95.6,4.7,939.4,,1529.2,,1026.6,0.8,4.0,2.9,14.4,3.8,13.7,,0.0,0.0,,83.0,,,,22.0,381.0,81.0,0.1,0.0,225.0,22.9,14.9,-0.1,,,
LAG,2025-01-19,-2.3,3.0,-6.6,-3.3,6.4,-8.8,96.4,5.0,933.1,,1479.2,,1019.9,0.6,3.3,2.2,11.9,3.2,11.5,,0.0,0.0,,88.0,,,,19.0,430.0,90.0,0.1,0.0,243.0,22.3,14.3,-0.1,,,
LAG,2025-01-20,0.4,7.1,-3.4,-1.4,10.1,-6.7,91.3,5.7,931.3,,1470.9,,1017.9,0.6,3.0,2.2,10.8,3.0,10.8,,0.0,0.0,,87.0,,,,22.0,408.0,85.0,0.2,0.0,153.0,19.6,11.6,-0.1,,,
LAG,2025-01-21,-0.1,6.3,-3.7,-2.0,9.3,-6.7,91.6,5.5,929.5,,1454.3,,1016.0,0.8,4.4,2.9,15.8,4.2,15.1,,0.0,0.0,,93.0,,,,15.0,487.0,100.0,0.2,0.0,153.0,20.1,12.1,-0.1,,,
LAG,2025-01-22,0.2,3.4,-3.8,-1.3,4.1,-6.8,96.6,6.0,923.5,,1404.8,,1009.6,0.6,2.9,2.2,10.4,2.8,10.1,,1.1,0.0,,28.0,,,,29.0,2.0,0.0,0.3,0.0,117.0,19.8,11.8,0.0,,,
LAG,2025-01-23,2.3,5.3,-1.2,1.0,6.2,-3.9,99.3,7.2,925.5,,1426.8,,1011.7,0.8,8.3,2.9,29.9,8.0,28.8,,3.4,4.5,,34.0,,,,37.0,0.0,0.0,0.3,0.0,180.0,17.7,9.7,4.5,,,
LAG,2025-01-24,2.1,8.2,-1.9,0.6,10.3,-4.4,97.1,7.0,928.0,,1448.1,,1014.5,0.7,2.9,2.5,10.4,2.8,10.1,,0.0,0.0,,70.0,,,,47.0,175.0,35.0,0.3,0.0,121.0,17.9,9.9,0.0,,,
LAG,2025-01-25,4.8,11.7,1.0,3.1,14.2,-2.3,85.0,7.2,924.9,,1427.9,,1011.0,1.0,9.0,3.6,32.4,8.4,30.2,,3.1,0.0,,73.0,,,,40.0,231.0,47.0,0.5,0.0,127.0,15.2,7.2,-0.1,,,
LAG,2025-01-26,4.4,7.9,0.1,3.4,11.4,-3.7,83.8,6.9,924.9,,1427.5,,1011.1,1.2,13.3,4.3,47.9,12.6,45.4,,1.5,3.1,,94.0,,,,24.0,374.0,75.0,0.4,0.0,243.0,15.6,7.6,2.9,,,
LAG,2025-01-27,3.8,7.1,1.6,3.3,8.3,0.4,99.4,8.0,918.1,,1366.6,,1003.8,1.3,13.7,4.7,49.3,13.2,47.5,,56.1,45.8,,21.0,,,,19.0,45.0,9.0,0.4,0.0,124.0,16.2,8.2,45.8,,,
LAG,2025-01-28,3.1,6.7,0.2,2.7,10.4,-0.2,97.1,7.4,916.8,,1353.3,,1002.3,0.7,3.8,2.5,13.7,3.8,13.7,,1.3,12.8,,59.0,,,,49.0,90.0,18.0,0.3,0.0,162.0,16.9,8.9,12.8,,,
LAG,2025-01-29,3.9,7.2,-1.4,2.4,9.8,-4.5,81.4,6.5,924.6,,1423.7,,1010.8,1.9,15.0,6.8,54.0,14.2,51.1,,0.0,0.3,,84.0,,,,38.0,332.0,66.0,0.5,0.0,270.0,16.1,8.1,0.1,,,
LAG,2025-01-30,2.9,7.1,-1.4,2.0,9.6,-3.0,93.0,7.0,930.0,,1467.0,,1016.5,0.8,4.7,2.9,16.9,4.6,16.6,,1.4,0.7,,54.0,,,,51.0,11.0,2.0,0.4,0.0,180.0,17.1,9.1,0.7,,,
LAG,2025-01-31,2.7,4.1,1.8,2.3,5.1,0.9,99.2,7.4,937.8,,1533.0,,1025.0,1.0,6.7,3.6,24.1,6.3,22.7,,1.8,2.5,,28.0,,,,30.0,0.0,0.0,0.4,0.0,126.0,17.3,9.3,2.5,,,
LAG,2025-02-01,0.7,1.7,-0.4,0.6,2.4,-0.6,99.0,6.4,937.1,,1521.5,,1024.2,1.1,4.2,4.0,15.1,3.9,14.0,,0.0,0.0,,23.0,,,,25.0,0.0,0.0,0.3,0.0,106.0,19.3,11.3,0.0,,,
LAG,2025-02-02,0.4,4.0,-1.0,1.0,7.5,-3.3,97.6,6.2,934.7,,1499.9,,1021.6,1.1,4.0,4.0,14.4,3.9,14.0,,0.0,0.0,,98.0,,,,30.0,331.0,64.0,0.4,0.0,180.0,19.6,11.6,-0.1,,,
