station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
LAT,2025-01-01,-0.5,3.4,-2.9,,,,44.4,2.6,,,,,,0.8,4.7,2.9,16.9,4.6,16.6,,0.0,0.0,,49.0,,,,11.0,174.0,100.0,,0.0,72.0,20.5,12.5,-0.4,,,
LAT,2025-01-02,-0.4,3.3,-3.7,,,,58.3,3.5,,,,,,0.9,5.1,3.2,18.4,4.9,17.6,,2.4,1.9,,29.0,,,,27.0,2.0,1.0,,0.0,45.0,20.4,12.4,1.8,,,
LAT,2025-01-03,-6.9,-1.8,-11.6,,,,86.6,3.3,,,,,,1.0,5.4,3.6,19.4,5.3,19.1,,0.0,0.5,,50.0,,,,11.0,176.0,100.0,,0.0,45.0,26.9,18.9,0.4,,,
LAT,2025-01-04,-7.3,-2.5,-12.3,,,,67.8,2.4,,,,,,0.6,2.5,2.2,9.0,2.4,8.6,,0.0,0.0,,55.0,,,,22.0,178.0,100.0,,0.0,90.0,27.3,19.3,-0.2,,,
LAT,2025-01-05,1.5,6.2,-3.5,,,,72.0,5.0,,,,,,1.3,9.6,4.7,34.6,9.0,32.4,,0.0,0.0,,21.0,,,,20.0,0.0,0.0,,0.0,63.0,18.5,10.5,-0.1,,,
LAT,2025-01-06,5.6,9.0,1.3,,,,52.2,4.7,,,,,,2.0,11.1,7.2,40.0,10.6,38.2,,6.8,0.0,,31.0,,,,29.0,1.0,1.0,,0.0,103.0,14.4,6.4,-0.1,,,
LAT,2025-01-07,-1.7,2.5,-5.7,,,,95.4,5.2,,,,,,0.9,3.9,3.2,14.0,3.9,14.0,,0.5,7.3,,44.0,,,,39.0,5.0,3.0,,0.0,90.0,21.7,13.7,7.3,,,
LAT,2025-01-08,0.0,3.1,-5.7,,,,91.6,5.7,,,,,,1.2,4.6,4.3,16.6,4.4,15.8,,0.0,0.0,,52.0,,,,39.0,45.0,25.0,,0.0,72.0,20.0,12.0,0.0,,,
LAT,2025-01-09,2.9,7.2,-2.1,,,,80.4,6.0,,,,,,1.4,7.2,5.0,25.9,6.4,23.0,,4.0,4.0,,53.0,,,,34.0,93.0,51.0,,0.0,37.0,17.1,9.1,3.9,,,
LAT,2025-01-10,-4.5,-2.1,-6.2,,,,86.7,3.8,,,,,,0.8,5.6,2.9,20.2,5.3,19.1,,2.0,1.7,,41.0,,,,37.0,10.0,5.0,,0.0,315.0,24.5,16.5,1.7,,,
