station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
LEI,2025-01-01,-0.3,5.1,-2.5,-1.2,8.6,-6.9,94.5,5.6,985.3,1028.2,,,1026.2,0.6,2.7,2.2,9.7,2.7,9.7,,0.0,0.0,,64.0,,,,33.0,249.0,62.0,0.0,0.0,135.0,20.3,12.3,-0.1,,,
LEI,2025-01-02,1.6,8.9,-3.0,0.2,7.3,-6.8,95.1,6.6,975.9,1018.0,,,1016.4,2.1,21.3,7.6,76.7,20.7,74.5,,20.2,20.2,,24.0,,,,19.0,46.0,11.0,0.5,0.0,251.0,18.4,10.4,20.2,,,
LEI,2025-01-03,-0.4,1.9,-4.2,-2.0,4.6,-9.2,90.8,5.4,981.8,1024.6,,,1022.6,2.0,7.4,7.2,26.6,7.3,26.3,,0.0,0.0,,42.0,,,,30.0,80.0,20.0,0.1,0.0,249.0,20.4,12.4,0.0,,,
LEI,2025-01-04,-3.3,-0.5,-6.3,-3.6,3.3,-10.2,92.3,4.5,979.3,1022.4,,,1020.0,1.3,3.9,4.7,14.0,3.8,13.7,,29.3,12.2,,65.0,,,,36.0,254.0,62.0,0.0,0.0,101.0,23.3,15.3,12.1,,,
LEI,2025-01-05,0.8,2.8,-0.5,0.3,3.1,-1.3,100.0,6.5,966.2,1008.0,,,1006.4,0.6,3.3,2.2,11.9,3.2,11.5,,4.9,22.0,,26.0,,,,25.0,0.0,0.0,0.2,0.0,117.0,19.2,11.2,22.0,,,
LEI,2025-01-06,3.4,11.0,-0.2,2.4,7.8,-2.0,94.9,7.5,960.8,1002.1,,,1000.9,2.3,17.6,8.3,63.4,16.9,60.8,,11.8,11.8,,9.0,,,,8.0,0.0,0.0,0.7,0.0,232.0,16.6,8.6,11.8,,,
LEI,2025-01-07,3.7,7.0,0.4,1.6,6.9,-3.5,83.1,6.6,967.6,1009.1,,,1007.9,2.2,16.7,7.9,60.1,16.5,59.4,,3.2,0.7,,39.0,,,,32.0,42.0,10.0,0.5,0.0,240.0,16.3,8.3,0.7,,,
LEI,2025-01-08,4.7,10.0,1.0,4.1,8.3,0.0,99.3,8.5,965.2,1006.4,,,1005.4,0.8,8.3,2.9,29.9,8.1,29.2,,16.1,18.3,,15.0,,,,14.0,0.0,0.0,0.4,0.0,225.0,15.3,7.3,18.3,,,
LEI,2025-01-09,7.4,12.8,1.8,5.5,11.5,0.0,79.3,8.1,966.2,1007.1,,,1006.5,5.5,19.5,19.8,70.2,18.3,65.9,,4.4,4.7,,18.0,,,,17.0,8.0,2.0,1.3,0.0,247.0,12.6,4.6,4.7,,,
LEI,2025-01-10,1.2,3.3,-2.5,0.0,7.6,-7.0,80.3,5.3,979.2,1021.6,,,1019.9,2.1,8.8,7.6,31.7,8.5,30.6,,0.0,0.0,,44.0,,,,33.0,54.0,13.0,0.3,0.0,238.0,18.8,10.8,-0.1,,,
LEI,2025-01-11,-1.5,2.8,-5.1,-3.5,6.2,-10.0,85.3,4.6,984.2,1027.3,,,1025.1,1.0,5.9,3.6,21.2,5.7,20.5,,0.0,0.0,,77.0,,,,21.0,335.0,79.0,0.1,0.0,143.0,21.5,13.5,-0.1,,,
