station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
MAG,2025-01-01,0.6,7.3,-5.4,-0.1,13.5,-8.4,79.8,5.0,1006.0,1031.9,,,1030.7,0.6,2.3,2.2,8.3,2.3,8.3,0.0,0.0,0.0,0.0,63.0,270.0,310.0,14.0,,281.0,100.0,0.2,0.0,108.0,19.4,11.4,-0.2,1.3,1.8,2.7
MAG,2025-01-02,2.7,6.1,-0.6,2.2,8.1,-2.1,82.1,6.1,996.3,1021.8,,,1020.8,0.7,3.1,2.5,11.2,3.0,10.8,0.0,0.0,0.0,0.0,22.0,306.0,323.0,1.0,,0.0,0.0,0.4,0.0,90.0,17.3,9.3,0.0,1.6,2.0,2.7
MAG,2025-01-03,5.7,11.6,-2.4,4.3,14.5,-6.8,42.6,3.5,991.3,1016.3,,,1015.7,3.8,13.0,13.7,46.8,12.5,45.0,850.0,0.0,0.0,0.0,69.0,244.0,325.0,17.0,,289.0,100.0,1.8,0.0,92.0,14.3,6.3,-0.4,2.2,2.4,3.0
MAG,2025-01-04,-1.4,4.3,-5.9,-3.4,8.8,-10.1,71.0,3.9,996.8,1022.7,,,1021.3,0.6,3.1,2.2,11.2,2.9,10.4,0.0,0.0,0.0,0.0,58.0,235.0,294.0,11.0,,286.0,99.0,0.2,0.0,117.0,21.4,13.4,-0.2,1.7,2.2,3.1
MAG,2025-01-05,1.9,4.7,-1.4,2.0,6.6,-2.5,73.3,5.1,993.2,1018.7,,,1017.6,0.5,2.1,1.8,7.6,2.0,7.2,0.0,1.5,0.0,0.0,29.0,312.0,323.0,3.0,,0.0,0.0,0.3,0.0,90.0,18.1,10.1,-0.1,1.7,2.1,2.8
MAG,2025-01-06,2.3,3.4,1.2,2.5,3.6,1.2,95.1,6.9,988.2,1013.4,,,1012.5,0.7,2.8,2.5,10.1,2.8,10.1,0.0,40.4,33.6,0.0,4.0,328.0,327.0,-4.0,,0.0,0.0,0.4,0.0,90.0,17.7,9.7,33.6,2.6,2.7,3.2
MAG,2025-01-07,1.8,7.0,-2.0,1.4,13.1,-5.1,93.2,6.5,985.5,1010.8,,,1009.8,1.0,4.5,3.6,16.2,4.4,15.8,0.0,0.0,8.3,0.0,68.0,270.0,317.0,15.0,,286.0,96.0,0.2,0.0,108.0,18.2,10.2,8.2,3.0,3.1,3.5
MAG,2025-01-08,2.0,5.2,-2.3,1.6,6.5,-5.4,92.3,6.6,989.9,1015.3,,,1014.3,0.8,3.1,2.9,11.2,3.0,10.8,0.0,4.9,2.1,0.0,23.0,306.0,322.0,1.0,,0.0,0.0,0.3,0.0,90.0,18.0,10.0,2.1,2.5,2.8,3.5
MAG,2025-01-09,5.1,6.9,2.8,5.1,8.6,0.4,94.1,8.3,986.3,1011.2,,,1010.6,0.9,4.2,3.2,15.1,4.0,14.4,0.0,0.0,2.8,0.0,29.0,325.0,338.0,3.0,,0.0,0.0,0.3,0.0,90.0,14.9,6.9,2.8,3.8,3.7,3.8
MAG,2025-01-10,6.7,9.7,1.9,5.5,11.1,0.2,52.6,4.9,990.3,1015.2,,,1014.7,4.1,19.0,14.8,68.4,17.7,63.7,740.0,0.0,0.0,0.0,35.0,286.0,333.0,5.0,,74.0,23.0,1.7,0.0,92.0,13.3,5.3,-0.1,3.9,4.0,4.3
MAG,2025-01-11,1.6,6.3,-2.6,0.0,12.4,-5.8,78.3,5.2,994.1,1019.6,,,1018.6,1.6,14.6,5.8,52.6,14.0,50.4,210.0,0.0,0.0,0.0,61.0,237.0,309.0,13.0,,229.0,72.0,0.5,0.0,84.0,18.4,10.4,-0.1,3.4,3.7,4.3
MAG,2025-01-12,2.8,7.2,-3.0,1.2,11.8,-6.9,49.6,3.6,1000.5,1026.0,,,1025.1,2.2,12.5,7.9,45.0,12.3,44.3,330.0,0.0,0.0,0.0,79.0,228.0,311.0,19.0,,338.0,100.0,0.9,0.0,90.0,17.2,9.2,-0.3,2.7,3.1,3.9
MAG,2025-01-13,0.0,6.6,-5.3,-1.7,12.5,-8.7,72.2,4.3,1007.0,1033.0,,,1031.7,1.2,8.9,4.3,32.0,8.8,31.7,0.0,0.0,0.0,0.0,81.0,226.0,300.0,19.0,,348.0,100.0,0.4,0.0,198.0,20.0,12.0,-0.2,2.1,2.6,3.5
MAG,2025-01-14,-1.5,4.1,-4.4,-2.8,10.1,-8.2,81.4,4.4,1008.7,1034.9,,,1033.4,0.7,2.0,2.5,7.2,1.9,6.8,0.0,0.0,0.0,0.0,77.0,231.0,296.0,18.0,,351.0,100.0,0.2,0.0,124.0,21.5,13.5,-0.1,1.7,2.2,3.1
MAG,2025-01-15,-1.1,6.4,-5.8,-2.4,12.8,-8.8,78.3,4.3,1001.3,1027.3,,,1025.9,0.9,5.1,3.2,18.4,4.9,17.6,0.0,0.0,0.0,0.0,82.0,235.0,298.0,19.0,,356.0,100.0,0.3,0.0,124.0,21.1,13.1,-0.1,1.4,1.9,2.8
