station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
MAH,2025-01-01,1.0,5.8,-1.8,,,,94.6,6.2,975.3,1029.4,,,1027.3,2.6,10.1,9.4,36.4,9.8,35.3,,0.0,0.0,,61.0,,,,22.0,245.0,54.0,0.3,0.0,221.0,19.0,11.0,-0.1,,,
MAH,2025-01-02,5.6,9.1,2.4,,,,79.1,7.1,966.7,1019.4,,,1018.3,6.6,19.7,23.8,70.9,18.2,65.5,,11.1,11.1,,26.0,,,,21.0,29.0,6.0,1.1,0.0,216.0,14.4,6.4,11.0,,,
MAH,2025-01-03,0.2,4.3,-4.5,,,,90.1,5.6,970.0,1024.0,,,1021.7,1.4,6.3,5.0,22.7,6.2,22.3,,0.0,0.0,,86.0,,,,15.0,446.0,97.0,0.0,0.0,41.0,19.8,11.8,-0.1,,,
MAH,2025-01-04,-1.6,0.9,-5.7,,,,91.6,5.0,967.4,1021.6,,,1019.0,0.8,3.4,2.9,12.2,3.2,11.5,,11.5,7.5,,38.0,,,,35.0,6.0,1.0,0.2,0.0,225.0,21.6,13.6,7.5,,,
MAH,2025-01-05,6.7,11.0,0.8,,,,91.7,9.0,956.1,1008.0,,,1007.2,3.9,9.5,14.0,34.2,9.2,33.1,,0.2,4.2,,68.0,,,,36.0,196.0,43.0,0.3,0.0,213.0,13.3,5.3,4.1,,,
MAH,2025-01-06,7.5,11.3,2.5,,,,82.8,8.6,950.6,1002.0,,,1001.5,4.5,13.1,16.2,47.2,12.8,46.1,,8.3,8.3,,14.0,,,,13.0,0.0,0.0,0.8,0.0,205.0,12.5,4.5,8.3,,,
MAH,2025-01-07,5.9,8.1,3.0,,,,76.8,7.1,958.1,1010.3,,,1009.3,5.4,16.3,19.4,58.7,15.6,56.2,,1.4,0.5,,59.0,,,,37.0,151.0,33.0,0.8,0.0,213.0,14.1,6.1,0.4,,,
MAH,2025-01-08,9.3,12.3,7.0,,,,83.0,9.7,956.1,1007.5,,,1007.2,7.8,20.5,28.1,73.8,19.2,69.1,,4.4,5.0,,19.0,,,,18.0,0.0,0.0,1.3,0.0,212.0,10.7,2.7,5.0,,,
MAH,2025-01-09,7.7,10.0,2.4,,,,81.9,8.8,957.6,1009.4,,,1008.8,6.8,20.6,24.5,74.2,19.6,70.6,,6.4,6.7,,34.0,,,,32.0,0.0,0.0,0.6,0.0,216.0,12.3,4.3,6.7,,,
MAH,2025-01-10,1.5,2.5,0.4,,,,88.3,6.0,967.7,1021.3,,,1019.3,1.4,4.7,5.0,16.9,4.6,16.6,,1.6,1.4,,22.0,,,,20.0,0.0,0.0,0.4,0.0,352.0,18.5,10.5,1.4,,,
MAH,2025-01-11,1.3,3.4,-0.3,,,,75.2,5.0,971.2,1025.0,,,1022.9,4.2,11.6,15.1,41.8,11.4,41.0,,0.0,0.2,,95.0,,,,18.0,439.0,94.0,0.6,0.0,32.0,18.7,10.7,0.0,,,
MAH,2025-01-12,0.1,2.0,-1.4,,,,66.9,4.1,980.5,1035.1,,,1032.7,7.9,16.5,28.4,59.4,16.0,57.6,,0.0,0.0,,95.0,,,,17.0,469.0,100.0,1.1,0.0,43.0,19.9,11.9,-0.3,,,
MAH,2025-01-13,-0.9,1.3,-2.4,,,,69.1,3.9,982.3,1037.2,,,1034.6,7.8,17.9,28.1,64.4,17.4,62.6,,0.0,0.0,,97.0,,,,19.0,476.0,100.0,1.0,0.0,44.0,20.9,12.9,-0.3,,,
MAH,2025-01-14,-2.9,-1.3,-6.5,,,,85.7,4.2,981.0,1036.2,,,1033.1,2.2,6.1,7.9,22.0,6.0,21.6,,0.0,0.0,,43.0,,,,36.0,84.0,18.0,0.2,0.0,36.0,22.9,14.9,-0.1,,,
MAH,2025-01-15,-0.4,4.6,-7.3,,,,89.5,5.4,977.4,1031.9,,,1029.4,4.6,17.2,16.6,61.9,15.4,55.4,,0.4,0.2,,87.0,,,,30.0,381.0,79.0,0.3,0.0,31.0,20.4,12.4,0.1,,,
MAH,2025-01-16,2.3,3.2,0.7,,,,81.9,5.9,979.7,1033.8,,,1031.9,4.7,17.4,16.9,62.6,17.1,61.6,,0.0,0.2,,25.0,,,,24.0,0.0,0.0,0.6,0.0,45.0,17.7,9.7,0.2,,,
