station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
MAR,2025-01-01,4.2,8.0,2.2,,,,52.9,4.3,,,,,,1.2,5.9,4.3,21.2,5.6,20.2,,0.0,0.0,,,,,,,,,,0.0,330.0,15.8,7.8,,,,
MAR,2025-01-02,4.7,9.0,0.2,,,,57.6,4.7,,,,,,2.1,13.3,7.6,47.9,12.8,46.1,,19.1,10.9,,,,,,,,,,0.0,210.0,15.3,7.3,,,,
MAR,2025-01-03,-1.6,1.1,-4.2,,,,92.6,5.1,,,,,,1.0,5.8,3.6,20.9,5.4,19.4,,0.0,8.2,,,,,,,,,,0.0,270.0,21.6,13.6,,,,
MAR,2025-01-04,-1.9,0.8,-5.0,,,,85.8,4.6,,,,,,1.2,10.1,4.3,36.4,9.6,34.6,,17.3,6.5,,,,,,,,,,0.0,344.0,21.9,13.9,,,,
MAR,2025-01-05,5.2,9.4,0.1,,,,86.5,7.6,,,,,,1.4,11.6,5.0,41.8,10.4,37.4,,1.6,12.4,,,,,,,,,,0.0,304.0,14.8,6.8,,,,
MAR,2025-01-06,6.5,9.8,1.8,,,,61.5,5.8,,,,,,1.9,13.7,6.8,49.3,12.5,45.0,,10.2,8.1,,,,,,,,,,0.0,253.0,13.5,5.5,,,,
MAR,2025-01-07,3.2,6.5,1.0,,,,68.8,5.2,,,,,,1.6,11.5,5.8,41.4,11.1,40.0,,9.2,2.1,,,,,,,,,,0.0,243.0,16.8,8.8,,,,
MAR,2025-01-08,4.1,7.5,0.8,,,,88.3,7.3,,,,,,1.5,10.0,5.4,36.0,9.5,34.2,,18.9,26.6,,,,,,,,,,0.0,354.0,15.9,7.9,,,,
MAR,2025-01-09,4.5,7.0,-0.8,,,,88.8,7.5,,,,,,1.9,10.9,6.8,39.2,10.0,36.0,,15.4,16.9,,,,,,,,,,0.0,261.0,15.5,7.5,,,,
MAR,2025-01-10,-1.3,-0.7,-1.9,,,,94.9,5.3,,,,,,0.7,4.0,2.5,14.4,3.9,14.0,,11.0,10.6,,,,,,,,,,0.0,166.0,21.3,13.3,,,,
MAR,2025-01-11,-1.6,-0.3,-4.0,,,,97.4,5.3,,,,,,0.8,4.1,2.9,14.8,3.8,13.7,,1.7,2.1,,,,,,,,,,0.0,189.0,21.6,13.6,,,,
MAR,2025-01-12,-4.2,-2.5,-5.1,,,,91.3,4.1,,,,,,0.9,4.4,3.2,15.8,4.3,15.5,,0.0,0.0,,,,,,,,,,0.0,323.0,24.2,16.2,,,,
MAR,2025-01-13,-4.3,-2.0,-6.6,,,,83.6,3.7,,,,,,1.0,5.7,3.6,20.5,5.1,18.4,,0.0,0.0,,,,,,,,,,0.0,346.0,24.3,16.3,,,,
MAR,2025-01-14,-2.6,0.9,-5.1,,,,80.9,4.0,,,,,,0.7,3.6,2.5,13.0,3.3,11.9,,0.0,0.0,,,,,,,,,,0.0,315.0,22.6,14.6,,,,
MAR,2025-01-15,-0.8,1.9,-2.7,,,,72.2,4.2,,,,,,0.7,3.2,2.5,11.5,3.1,11.2,,0.0,0.0,,,,,,,,,,0.0,315.0,20.8,12.8,,,,
MAR,2025-01-16,-1.3,0.4,-2.8,,,,77.6,4.3,,,,,,0.8,3.5,2.9,12.6,3.2,11.5,,0.0,0.0,,,,,,,,,,0.0,315.0,21.3,13.3,,,,
MAR,2025-01-17,-0.1,3.0,-2.5,,,,67.7,4.1,,,,,,0.7,2.9,2.5,10.4,2.7,9.7,,0.0,0.0,,,,,,,,,,0.0,315.0,20.1,12.1,,,,
MAR,2025-01-18,4.4,9.6,0.4,,,,46.5,3.8,,,,,,1.3,6.9,4.7,24.8,6.1,22.0,,0.0,0.0,,,,,,,,,,0.0,326.0,15.6,7.6,,,,
MAR,2025-01-19,5.9,9.6,3.0,,,,54.2,5.0,,,,,,1.3,6.7,4.7,24.1,6.4,23.0,,0.0,0.0,,,,,,,,,,0.0,320.0,14.1,6.1,,,,
MAR,2025-01-20,5.4,8.5,3.0,,,,54.4,4.8,,,,,,1.4,8.0,5.0,28.8,7.2,25.9,,0.0,0.0,,,,,,,,,,0.0,320.0,14.6,6.6,,,,
MAR,2025-01-21,3.9,8.0,2.3,,,,60.4,4.8,,,,,,1.0,5.4,3.6,19.4,5.2,18.7,,0.0,0.0,,,,,,,,,,0.0,333.0,16.1,8.1,,,,
MAR,2025-01-22,5.2,6.6,3.1,,,,56.7,5.0,,,,,,1.7,10.4,6.1,37.4,9.5,34.2,,5.6,0.9,,,,,,,,,,0.0,246.0,14.8,6.8,,,,
