station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
MAS,2025-01-01,-0.9,6.3,-6.2,,,,76.2,4.3,,,,,,1.5,4.7,5.4,16.9,4.5,16.2,,0.0,0.0,6.0,,,,,,,,,0.0,184.0,20.9,12.9,,,,
MAS,2025-01-02,4.0,7.7,-1.0,,,,69.3,5.5,,,,,,4.7,17.1,16.9,61.6,16.2,58.3,,17.3,16.8,6.0,,,,,,,,,0.0,234.0,16.0,8.0,,,,
MAS,2025-01-03,-2.6,0.4,-8.6,,,,99.3,5.1,,,,,,0.9,3.4,3.2,12.2,3.2,11.5,,0.0,0.5,3.0,,,,,,,,,0.0,180.0,22.6,14.6,,,,
MAS,2025-01-04,-5.4,0.9,-11.1,,,,96.1,4.1,,,,,,1.3,8.8,4.7,31.7,8.1,29.2,,9.5,4.7,3.0,,,,,,,,,0.0,180.0,25.4,17.4,,,,
MAS,2025-01-05,5.6,10.1,0.4,,,,92.7,8.4,,,,,,2.6,9.9,9.4,35.6,9.8,35.3,,0.3,5.1,0.0,,,,,,,,,0.0,183.0,14.4,6.4,,,,
MAS,2025-01-06,5.4,9.8,1.3,,,,84.7,7.5,,,,,,3.3,15.7,11.9,56.5,14.9,53.6,,27.1,27.1,0.0,,,,,,,,,0.0,204.0,14.6,6.6,,,,
MAS,2025-01-07,4.2,5.9,1.6,,,,70.3,5.8,,,,,,3.8,14.4,13.7,51.8,13.4,48.2,,0.9,0.2,0.0,,,,,,,,,0.0,221.0,15.8,7.8,,,,
MAS,2025-01-08,7.9,11.0,4.6,,,,78.5,8.4,,,,,,4.6,15.3,16.6,55.1,14.6,52.6,,5.8,6.1,0.0,,,,,,,,,0.0,236.0,12.1,4.1,,,,
MAS,2025-01-09,6.4,10.3,0.1,,,,80.7,7.9,,,,,,3.9,16.5,14.0,59.4,15.2,54.7,,5.8,6.2,0.0,,,,,,,,,0.0,219.0,13.6,5.6,,,,
MAS,2025-01-10,-0.2,1.0,-1.0,,,,89.2,5.4,,,,,,1.4,5.4,5.0,19.4,5.3,19.1,,3.5,2.4,0.0,,,,,,,,,0.0,31.0,20.2,12.2,,,,
MAS,2025-01-11,-1.4,-0.3,-4.0,,,,90.0,5.0,,,,,,3.7,11.2,13.3,40.3,11.1,40.0,,0.1,1.2,1.0,,,,,,,,,0.0,5.0,21.4,13.4,,,,
MAS,2025-01-12,-3.3,-1.4,-5.5,,,,76.2,3.6,,,,,,5.7,15.2,20.5,54.7,14.6,52.6,,0.0,0.0,1.0,,,,,,,,,0.0,14.0,23.3,15.3,,,,
MAS,2025-01-13,-4.9,-1.6,-8.6,,,,83.4,3.5,,,,,,2.6,9.6,9.4,34.6,9.0,32.4,,0.0,0.0,1.0,,,,,,,,,0.0,24.0,24.9,16.9,,,,
MAS,2025-01-14,-6.8,-5.0,-9.0,,,,98.4,3.6,,,,,,1.1,4.3,4.0,15.5,4.2,15.1,,0.0,0.0,1.0,,,,,,,,,0.0,153.0,26.8,18.8,,,,
MAS,2025-01-15,-2.9,4.3,-9.3,,,,92.4,4.6,,,,,,2.5,9.7,9.0,34.9,9.6,34.6,,0.0,0.0,1.0,,,,,,,,,0.0,22.0,22.9,14.9,,,,
MAS,2025-01-16,-0.2,2.2,-2.5,,,,84.8,5.1,,,,,,2.4,8.3,8.6,29.9,8.1,29.2,,0.0,0.0,1.0,,,,,,,,,0.0,23.0,20.2,12.2,,,,
MAS,2025-01-17,-1.9,1.0,-4.7,,,,88.8,4.7,,,,,,1.7,4.9,6.1,17.6,4.8,17.3,,0.0,0.0,1.0,,,,,,,,,0.0,68.0,21.9,13.9,,,,
MAS,2025-01-18,-3.2,-0.7,-5.8,,,,95.6,4.6,,,,,,1.2,3.9,4.3,14.0,3.8,13.7,,0.0,0.0,1.0,,,,,,,,,0.0,56.0,23.2,15.2,,,,
MAS,2025-01-19,-3.0,3.9,-5.9,,,,98.8,4.9,,,,,,1.1,4.6,4.0,16.6,4.2,15.1,,0.0,0.0,1.0,,,,,,,,,0.0,45.0,23.0,15.0,,,,
MAS,2025-01-20,-0.5,6.9,-4.7,,,,87.7,5.1,,,,,,0.8,2.9,2.9,10.4,2.8,10.1,,0.0,0.0,1.0,,,,,,,,,0.0,207.0,20.5,12.5,,,,
MAS,2025-01-21,-0.8,6.8,-4.6,,,,89.1,5.1,,,,,,1.1,4.0,4.0,14.4,3.9,14.0,,0.1,0.0,1.0,,,,,,,,,0.0,63.0,20.8,12.8,,,,
MAS,2025-01-22,0.0,2.9,-4.2,,,,96.9,5.9,,,,,,1.0,3.3,3.6,11.9,3.2,11.5,,3.5,0.1,1.0,,,,,,,,,0.0,135.0,20.0,12.0,,,,
MAS,2025-01-23,4.2,6.7,0.4,,,,89.4,7.4,,,,,,2.5,10.8,9.0,38.9,10.7,38.5,,8.6,12.1,0.0,,,,,,,,,0.0,219.0,15.8,7.8,,,,
MAS,2025-01-24,5.3,14.2,-1.0,,,,64.5,5.4,,,,,,2.2,12.7,7.9,45.7,11.9,42.8,,0.0,0.0,0.0,,,,,,,,,0.0,229.0,14.7,6.7,,,,
MAS,2025-01-25,7.3,13.9,2.3,,,,61.0,6.1,,,,,,2.2,12.5,7.9,45.0,11.5,41.4,,11.1,8.1,0.0,,,,,,,,,0.0,212.0,12.7,4.7,,,,
MAS,2025-01-26,5.4,8.1,2.6,,,,73.5,6.5,,,,,,4.2,14.1,15.1,50.8,13.6,49.0,,1.2,3.0,0.0,,,,,,,,,0.0,221.0,14.6,6.6,,,,
MAS,2025-01-27,5.8,9.7,3.5,,,,91.0,8.4,,,,,,2.7,13.0,9.7,46.8,12.1,43.6,,58.1,46.3,0.0,,,,,,,,,0.0,232.0,14.2,6.2,,,,
MAS,2025-01-28,4.3,6.4,2.8,,,,84.2,6.9,,,,,,3.5,11.8,12.6,42.5,11.5,41.4,,3.4,14.6,0.0,,,,,,,,,0.0,215.0,15.7,7.7,,,,
MAS,2025-01-29,3.9,7.4,-0.1,,,,79.2,6.4,,,,,,2.9,12.6,10.4,45.4,12.2,43.9,,0.0,1.8,0.0,,,,,,,,,0.0,220.0,16.1,8.1,,,,
