station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
MER,2025-01-01,-7.9,-3.6,-12.7,-11.8,-4.3,-15.6,93.4,3.2,957.3,1032.1,,,1026.9,1.2,,4.3,,,,,0.0,0.0,,31.0,,,,10.0,107.0,93.0,0.2,0.0,,27.9,19.9,-0.1,,,
MER,2025-01-02,-1.2,4.4,-7.8,-2.6,2.2,-10.7,90.7,5.2,947.8,1020.0,,,1016.8,2.3,,8.3,,,,,24.1,18.4,,44.0,,,,34.0,50.0,43.0,0.3,0.0,,21.2,13.2,18.4,,,
MER,2025-01-03,-0.2,1.9,-5.1,-1.0,2.9,-8.7,89.1,5.4,951.7,1023.8,,,1020.9,1.4,,5.0,,,,,0.0,5.7,,44.0,,,,38.0,9.0,7.0,0.1,0.0,,20.2,12.2,5.7,,,
MER,2025-01-04,-4.4,-0.6,-10.0,-6.6,-0.5,-14.4,85.9,3.8,949.3,1022.4,,,1018.4,1.1,,4.0,,,,,4.7,0.7,,48.0,,,,27.0,125.0,95.0,0.2,0.0,,24.4,16.4,0.6,,,
MER,2025-01-05,1.4,12.2,-1.1,0.8,9.1,-0.9,94.6,6.3,938.9,1009.7,,,1007.4,0.9,,3.2,,,,,0.0,4.0,,34.0,,,,26.0,32.0,22.0,0.5,0.0,,18.6,10.6,4.0,,,
MER,2025-01-06,10.1,13.3,3.8,8.5,12.8,3.1,48.4,5.5,932.3,1000.2,,,1000.4,1.8,,6.5,,,,,6.5,3.9,,42.0,,,,33.0,36.0,24.0,1.1,0.0,,9.9,1.9,3.7,,,
MER,2025-01-07,2.3,4.5,0.5,1.1,6.4,-1.5,84.7,6.1,940.0,1010.6,,,1008.6,2.1,,7.6,,,,,1.3,2.6,,43.0,,,,14.0,166.0,95.0,0.4,0.0,,17.7,9.7,2.5,,,
MER,2025-01-08,2.8,5.8,0.2,2.0,5.1,-0.6,93.7,7.1,938.7,1009.1,,,1007.3,1.2,9.6,4.3,34.6,9.4,33.8,0.0,4.9,6.0,,19.0,,,,16.0,0.0,0.0,0.4,0.0,315.0,17.2,9.2,6.0,,,
MER,2025-01-09,4.7,8.9,0.6,3.5,8.3,-1.6,85.2,7.3,938.9,1008.7,,,1007.4,2.4,13.8,8.6,49.7,13.2,47.5,0.0,3.5,3.3,,41.0,,,,29.0,62.0,29.0,0.5,0.0,306.0,15.3,7.3,3.2,,,
MER,2025-01-10,0.6,1.9,-0.6,0.3,1.2,-0.6,85.6,5.4,949.4,1021.1,,,1018.5,1.9,11.9,6.8,42.8,11.7,42.1,0.0,10.0,4.9,,20.0,,,,17.0,0.0,0.0,0.4,0.0,293.0,19.4,11.4,4.9,,,
MER,2025-01-11,0.0,1.4,-2.5,-1.2,0.4,-6.3,82.1,5.0,952.8,1025.0,,,1022.1,1.5,11.5,5.4,41.4,11.2,40.3,0.0,0.9,6.4,,29.0,,,,24.0,0.0,0.0,0.4,0.0,344.0,20.0,12.0,6.4,,,
MER,2025-01-12,-3.3,-1.3,-7.9,-6.4,-0.3,-15.4,71.0,3.4,962.9,1036.8,,,1032.8,1.8,6.5,6.5,23.4,6.4,23.0,0.0,0.0,0.0,,53.0,,,,29.0,109.0,45.0,0.3,0.0,120.0,23.3,15.3,-0.1,,,
MER,2025-01-13,-4.9,-2.6,-10.0,-8.5,-1.5,-15.8,71.8,3.0,964.4,1038.8,,,1034.4,1.6,5.1,5.8,18.4,4.9,17.6,0.0,0.0,0.0,,60.0,,,,12.0,240.0,98.0,0.3,0.0,115.0,24.9,16.9,-0.2,,,
MER,2025-01-14,-7.1,-3.4,-10.5,-11.3,-0.2,-14.8,87.9,3.2,962.3,1037.3,,,1032.2,0.7,4.2,2.5,15.1,4.1,14.8,0.0,0.0,0.0,,59.0,,,,11.0,241.0,98.0,0.1,0.0,135.0,27.1,19.1,-0.1,,,
MER,2025-01-15,-4.1,0.3,-10.5,-7.6,0.8,-15.3,86.9,4.0,959.6,1033.4,,,1029.3,0.9,3.2,3.2,11.5,3.1,11.2,0.0,0.0,0.0,,30.0,,,,22.0,7.0,3.0,0.2,0.0,121.0,24.1,16.1,0.0,,,
MER,2025-01-16,-2.1,1.4,-7.6,-5.7,1.8,-12.3,82.6,4.3,961.5,1034.9,,,1031.3,1.0,3.3,3.6,11.9,3.2,11.5,0.0,0.0,0.0,,55.0,,,,18.0,219.0,88.0,0.2,0.0,126.0,22.1,14.1,-0.1,,,
MER,2025-01-17,-4.0,-0.2,-8.1,-8.1,2.0,-13.6,86.8,3.9,962.8,1036.8,,,1032.7,0.9,4.0,3.2,14.4,3.9,14.0,0.0,0.0,0.0,,61.0,,,,13.0,245.0,98.0,0.2,0.0,120.0,24.0,16.0,-0.1,,,
MER,2025-01-18,-3.5,-0.2,-8.5,-6.4,0.7,-13.9,89.7,4.2,957.7,1031.3,,,1027.3,0.7,3.7,2.5,13.3,3.5,12.6,0.0,0.0,0.0,,43.0,,,,36.0,12.0,5.0,0.2,0.0,0.0,23.5,15.5,0.0,,,
MER,2025-01-19,-2.0,0.0,-7.0,-2.4,0.7,-10.5,95.2,5.0,951.6,1024.2,,,1020.8,0.7,3.8,2.5,13.7,3.7,13.3,0.0,0.0,0.0,,34.0,,,,28.0,0.0,0.0,0.2,0.0,270.0,22.0,14.0,0.0,,,
MER,2025-01-20,-1.5,0.3,-3.3,-1.7,0.9,-7.2,98.6,5.4,949.5,1021.8,,,1018.6,0.7,4.3,2.5,15.5,4.2,15.1,0.0,0.0,0.0,,50.0,,,,42.0,15.0,6.0,0.2,0.0,225.0,21.5,13.5,0.0,,,
MER,2025-01-21,-3.3,-0.5,-6.2,-5.3,1.8,-11.0,95.5,4.6,947.8,1020.5,,,1016.8,0.7,2.5,2.5,9.0,2.5,9.0,0.0,0.0,0.0,,62.0,,,,16.0,215.0,84.0,0.2,0.0,135.0,23.3,15.3,0.0,,,
MER,2025-01-22,-0.5,3.1,-5.6,-2.4,3.4,-9.7,87.1,5.2,941.4,1012.8,,,1010.0,1.3,7.7,4.7,27.7,7.5,27.0,0.0,0.0,0.0,,43.0,,,,34.0,13.0,5.0,0.3,0.0,315.0,20.5,12.5,0.0,,,
MER,2025-01-23,1.5,3.1,-1.1,0.0,1.9,-4.2,94.5,6.5,943.3,1014.3,,,1012.0,1.0,7.0,3.6,25.2,6.8,24.5,0.0,6.4,6.4,,23.0,,,,20.0,0.0,0.0,0.3,0.0,90.0,18.5,10.5,6.4,,,
MER,2025-01-24,1.6,4.7,-2.0,-0.1,4.9,-4.5,89.0,6.1,946.0,1017.2,,,1014.9,0.9,4.2,3.2,15.1,4.1,14.8,0.0,0.0,0.0,,74.0,,,,46.0,142.0,54.0,0.3,0.0,135.0,18.4,10.4,-0.1,,,
MER,2025-01-25,6.8,13.9,-0.3,4.7,11.5,-2.2,62.3,5.8,942.0,1011.5,,,1010.7,4.5,22.9,16.2,82.4,22.3,80.3,450.0,2.1,0.0,,77.0,,,,28.0,245.0,92.0,1.8,0.0,108.0,13.2,5.2,-0.2,,,
MER,2025-01-26,4.1,9.2,1.8,3.0,9.6,-0.5,76.6,6.2,942.7,1013.0,,,1011.5,1.8,12.6,6.5,45.4,12.1,43.6,0.0,0.0,2.1,,79.0,,,,20.0,265.0,99.0,0.7,0.0,315.0,15.9,7.9,2.0,,,
MER,2025-01-27,8.7,13.9,3.0,7.7,13.3,2.5,62.2,6.6,935.1,1003.6,,,1003.4,6.8,25.8,24.5,92.9,24.5,88.2,690.0,29.2,13.4,,37.0,,,,27.0,75.0,28.0,2.3,0.0,120.0,11.3,3.3,13.3,,,
MER,2025-01-28,2.2,4.6,-0.1,1.3,3.3,-0.5,93.7,6.7,934.8,1005.0,,,1003.1,1.0,7.2,3.6,25.9,6.9,24.8,0.0,5.3,19.6,,51.0,,,,47.0,0.0,0.0,0.3,0.0,90.0,17.8,9.8,19.6,,,
MER,2025-01-29,3.3,9.4,-0.1,1.9,9.3,-2.8,84.0,6.4,942.6,1013.1,,,1011.3,1.7,21.0,6.1,75.6,20.1,72.4,50.0,0.1,1.6,,77.0,,,,26.0,232.0,84.0,0.7,0.0,117.0,16.7,8.7,1.5,,,
MER,2025-01-30,3.8,9.1,1.1,2.6,8.9,-2.0,74.8,6.0,947.6,1018.3,,,1016.6,2.0,17.0,7.2,61.2,15.6,56.2,10.0,0.2,0.0,,58.0,,,,49.0,22.0,8.0,0.9,0.0,328.0,16.2,8.2,-0.1,,,
MER,2025-01-31,3.2,5.5,0.7,2.7,6.1,-1.1,85.8,6.6,955.8,1027.3,,,1025.3,1.1,7.7,4.0,27.7,7.3,26.3,0.0,1.1,1.3,,36.0,,,,32.0,0.0,0.0,0.5,0.0,262.0,16.8,8.8,1.3,,,
MER,2025-02-01,2.8,5.0,1.1,2.6,9.6,-1.3,81.8,6.1,955.0,1026.6,,,1024.5,1.1,7.0,4.0,25.2,6.8,24.5,0.0,0.0,0.0,,83.0,,,,36.0,235.0,82.0,0.5,0.0,256.0,17.2,9.2,-0.1,,,
MER,2025-02-02,0.8,4.2,-3.6,-0.6,8.1,-7.0,83.3,5.4,952.8,1024.7,,,1022.1,0.6,3.0,2.2,10.8,2.9,10.4,0.0,0.0,0.0,,75.0,,,,19.0,198.0,68.0,0.4,0.0,225.0,19.2,11.2,-0.1,,,
MER,2025-02-03,-1.4,3.2,-5.3,-3.8,6.5,-8.7,84.7,4.7,956.0,1028.8,,,1025.5,0.7,3.6,2.5,13.0,3.5,12.6,0.0,0.0,0.0,,88.0,,,,15.0,299.0,100.0,0.4,0.0,180.0,21.4,13.4,-0.1,,,
MER,2025-02-04,-1.3,4.6,-5.3,-3.8,7.9,-8.7,79.6,4.4,958.9,1031.9,,,1028.6,0.6,2.5,2.2,9.0,2.4,8.6,0.0,0.0,0.0,,91.0,,,,14.0,302.0,100.0,0.4,0.0,146.0,21.3,13.3,-0.2,,,
MER,2025-02-05,-0.9,5.3,-5.6,-3.6,8.4,-9.1,72.5,4.1,964.4,1037.7,,,1034.4,0.7,5.9,2.5,21.2,5.6,20.2,0.0,0.0,0.0,,93.0,,,,14.0,307.0,100.0,0.5,0.0,135.0,20.9,12.9,-0.2,,,
MER,2025-02-06,-2.0,1.5,-5.4,-3.8,5.0,-8.9,80.3,4.2,961.8,1035.2,,,1031.6,1.1,8.2,4.0,29.5,8.0,28.8,0.0,0.0,0.0,,78.0,,,,30.0,198.0,65.0,0.4,0.0,214.0,22.0,14.0,-0.1,,,
MER,2025-02-07,0.4,5.9,-3.9,-0.7,6.0,-7.0,78.4,4.9,952.3,1024.3,,,1021.5,2.5,17.0,9.0,61.2,15.7,56.5,20.0,0.0,0.0,,82.0,,,,41.0,270.0,87.0,0.8,0.0,327.0,19.6,11.6,-0.2,,,
MER,2025-02-08,6.0,13.4,-1.0,4.9,14.3,-2.9,57.7,4.9,950.4,1020.8,,,1019.6,6.7,23.0,24.1,82.8,22.0,79.2,600.0,0.0,0.0,,112.0,,,,58.0,234.0,75.0,2.6,0.0,111.0,14.0,6.0,-0.3,,,
MER,2025-02-09,2.6,7.9,-1.3,0.8,11.1,-4.7,78.0,5.7,955.6,1027.2,,,1025.1,1.1,8.4,4.0,30.2,8.2,29.5,0.0,0.0,0.0,,88.0,,,,37.0,234.0,74.0,0.7,0.0,288.0,17.4,9.4,-0.2,,,
MER,2025-02-10,3.0,7.4,-1.5,2.1,9.8,-3.3,77.8,5.9,952.8,1024.2,,,1022.2,1.0,4.4,3.6,15.8,4.3,15.5,0.0,0.0,0.0,,68.0,,,,56.0,39.0,12.0,0.6,0.0,315.0,17.0,9.0,-0.1,,,
MER,2025-02-11,4.9,9.8,-0.3,4.0,13.1,-2.8,78.7,6.8,950.8,1021.4,,,1020.0,1.2,8.1,4.3,29.2,7.7,27.7,0.0,0.0,0.0,,76.0,,,,64.0,22.0,7.0,0.7,0.0,307.0,15.1,7.1,-0.1,,,
