station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
MLS,2025-01-01,1.8,2.9,0.9,,,,35.2,2.4,807.2,,1556.6,,1025.2,8.2,23.2,29.5,83.5,20.6,74.2,,0.0,0.0,58.0,83.0,,,,,504.0,100.0,2.2,0.0,253.0,18.2,10.2,-1.0,,,
MLS,2025-01-02,-1.9,1.2,-6.1,,,,65.5,3.3,798.6,,1476.0,,1014.8,9.7,26.4,34.9,95.0,24.3,87.5,,13.6,11.2,55.0,51.0,,,,,162.0,32.0,1.2,0.0,245.0,21.9,13.9,11.0,,,
MLS,2025-01-03,-7.5,-3.6,-10.3,,,,63.9,2.1,798.6,,1487.0,,1014.8,3.1,8.6,11.2,31.0,8.0,28.8,,0.0,2.4,53.0,90.0,,,,,229.0,46.0,0.5,0.0,260.0,27.5,19.5,2.1,,,
MLS,2025-01-04,-1.6,1.4,-4.3,,,,43.3,2.6,797.0,,1459.1,,1012.8,6.8,28.5,24.5,102.6,26.0,93.6,,0.0,0.0,72.0,61.0,,,,,260.0,52.0,1.4,0.0,248.0,21.6,13.6,-0.5,,,
MLS,2025-01-05,4.9,8.7,1.5,,,,69.0,5.7,792.5,,1399.8,,1007.4,11.6,29.4,41.8,105.8,27.0,97.2,,0.0,0.0,41.0,62.0,,,,,194.0,38.0,1.8,0.0,230.0,15.1,7.1,-0.2,,,
MLS,2025-01-06,1.1,7.2,-5.2,,,,68.9,4.3,786.9,,1350.1,,1000.6,9.9,29.7,35.6,106.9,25.8,92.9,,7.4,7.4,32.0,25.0,,,,,2.0,0.0,1.7,0.0,227.0,18.9,10.9,7.3,,,
MLS,2025-01-07,-5.4,-3.9,-6.1,,,,93.7,3.8,790.7,,1403.4,,1005.2,10.1,25.9,36.4,93.2,22.7,81.7,,0.0,0.0,32.0,44.0,,,,,20.0,4.0,0.3,0.0,242.0,25.4,17.4,0.0,,,
MLS,2025-01-08,1.1,4.1,-3.7,,,,90.9,6.0,791.3,,1395.7,,1005.9,13.1,31.7,47.2,114.1,31.0,111.6,,0.1,0.0,32.0,24.0,,,,,0.0,0.0,0.4,0.0,243.0,18.9,10.9,0.0,,,
MLS,2025-01-09,-1.4,1.0,-8.8,,,,97.2,5.4,791.5,,1402.3,,1006.1,10.1,34.3,36.4,123.5,31.7,114.1,,4.9,4.3,26.0,23.0,,,,,5.0,1.0,-0.2,0.0,245.0,21.4,13.4,4.3,,,
MLS,2025-01-10,-5.2,-1.1,-9.5,,,,94.1,4.0,796.7,,1463.4,,1012.5,7.1,22.4,25.6,80.6,21.0,75.6,,0.4,0.9,,28.0,,,,,0.0,0.0,0.3,0.0,251.0,25.2,17.2,0.9,,,
