station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
MOB,2025-01-01,-4.1,1.9,-7.2,,,,90.5,4.1,930.1,,1543.9,,1028.2,1.1,4.0,4.0,14.4,3.9,14.0,,0.0,0.0,,,,,,,,,,0.0,139.0,24.1,16.1,,,,
MOB,2025-01-02,-0.3,4.3,-5.7,,,,87.3,5.3,920.8,,1475.3,,1018.1,1.1,4.8,4.0,17.3,4.5,16.2,,17.9,8.2,,,,,,,,,,0.0,149.0,20.3,12.3,,,,
MOB,2025-01-03,-2.7,0.6,-9.2,,,,95.3,4.9,922.2,,1481.3,,1019.6,0.9,4.8,3.2,17.3,4.5,16.2,,0.0,9.7,,,,,,,,,,0.0,141.0,22.7,14.7,,,,
MOB,2025-01-04,-4.9,0.2,-10.9,,,,92.9,4.1,920.9,,1464.5,,1018.2,1.0,4.0,3.6,14.4,3.9,14.0,,1.8,0.3,,,,,,,,,,0.0,135.0,24.9,16.9,,,,
MOB,2025-01-05,2.1,4.6,0.1,,,,99.1,7.1,912.9,,1412.1,,1009.5,1.3,5.1,4.7,18.4,4.9,17.6,,0.1,1.6,,,,,,,,,,0.0,153.0,17.9,9.9,,,,
MOB,2025-01-06,2.8,6.0,0.8,,,,90.4,6.7,907.6,,1367.3,,1003.7,1.1,5.7,4.0,20.5,5.5,19.8,,4.8,2.7,,,,,,,,,,0.0,141.0,17.2,9.2,,,,
MOB,2025-01-07,1.1,3.7,-1.0,,,,87.5,5.8,913.0,,1411.2,,1009.6,1.5,6.3,5.4,22.7,5.9,21.2,,1.2,2.1,,,,,,,,,,0.0,148.0,18.9,10.9,,,,
MOB,2025-01-08,2.3,4.1,0.7,,,,95.9,6.9,913.2,,1415.7,,1009.9,1.5,5.8,5.4,20.9,5.7,20.5,,5.5,5.8,,,,,,,,,,0.0,135.0,17.7,9.7,,,,
MOB,2025-01-09,3.4,5.3,1.0,,,,96.5,7.6,912.7,,1413.5,,1009.3,1.6,7.1,5.8,25.6,6.7,24.1,,1.6,2.5,,,,,,,,,,0.0,360.0,16.6,8.6,,,,
MOB,2025-01-10,0.1,0.9,-0.4,,,,92.7,5.7,919.6,,1466.1,,1016.8,1.0,5.6,3.6,20.2,5.5,19.8,,1.7,1.7,,,,,,,,,,0.0,333.0,19.9,11.9,,,,
MOB,2025-01-11,0.1,1.4,-1.4,,,,93.8,5.8,921.9,,1485.4,,1019.2,1.2,5.1,4.3,18.4,4.9,17.6,,0.0,0.0,,,,,,,,,,0.0,315.0,19.9,11.9,,,,
MOB,2025-01-12,-4.0,-1.4,-7.8,,,,82.5,3.7,930.8,,1549.9,,1028.9,1.1,4.8,4.0,17.3,4.5,16.2,,0.0,0.0,,,,,,,,,,0.0,146.0,24.0,16.0,,,,
MOB,2025-01-13,-6.8,-1.6,-9.7,,,,88.5,3.2,933.1,,1561.6,,1031.4,0.9,3.7,3.2,13.3,3.5,12.6,,0.0,0.0,,,,,,,,,,0.0,141.0,26.8,18.8,,,,
MOB,2025-01-14,-5.8,0.7,-8.9,,,,88.0,3.5,931.9,,1554.6,,1030.1,0.9,4.7,3.2,16.9,4.3,15.5,,0.0,0.0,,,,,,,,,,0.0,141.0,25.8,17.8,,,,
MOB,2025-01-15,-4.6,1.9,-7.9,,,,87.2,3.7,928.7,,1531.0,,1026.7,1.0,5.2,3.6,18.7,5.0,18.0,,0.0,0.0,,,,,,,,,,0.0,135.0,24.6,16.6,,,,
MOB,2025-01-16,-4.7,1.1,-7.5,,,,86.8,3.7,931.2,,1552.1,,1029.4,0.9,3.2,3.2,11.5,3.1,11.2,,0.0,0.0,,,,,,,,,,0.0,141.0,24.7,16.7,,,,
MOB,2025-01-17,-4.4,2.9,-7.5,,,,84.5,3.7,932.9,,1566.2,,1031.2,0.9,3.5,3.2,12.6,3.3,11.9,,0.0,0.0,,,,,,,,,,0.0,141.0,24.4,16.4,,,,
MOB,2025-01-18,-2.0,5.7,-6.9,,,,79.4,4.2,928.1,,1532.6,,1026.0,1.0,4.3,3.6,15.5,4.2,15.1,,0.0,0.0,,,,,,,,,,0.0,149.0,22.0,14.0,,,,
MOB,2025-01-19,-0.1,5.2,-4.2,,,,87.5,5.3,922.6,,1491.2,,1020.0,0.9,3.2,3.2,11.5,3.1,11.2,,0.0,0.0,,,,,,,,,,0.0,141.0,20.1,12.1,,,,
MOB,2025-01-20,0.3,6.1,-3.1,,,,84.2,5.2,920.9,,1477.4,,1018.2,1.0,3.6,3.6,13.0,3.4,12.2,,0.0,0.0,,,,,,,,,,0.0,140.0,19.7,11.7,,,,
MOB,2025-01-21,-0.6,5.7,-3.2,,,,81.7,4.7,918.9,,1458.3,,1016.0,1.1,3.7,4.0,13.3,3.5,12.6,,0.0,0.0,,,,,,,,,,0.0,140.0,20.6,12.6,,,,
MOB,2025-01-22,0.6,4.0,-2.7,,,,86.8,5.6,915.3,,1430.1,,1012.1,0.9,3.7,3.2,13.3,3.4,12.2,,1.1,0.6,,,,,,,,,,0.0,143.0,19.4,11.4,,,,
MOB,2025-01-23,1.3,4.2,-2.0,,,,96.2,6.5,916.1,,1438.8,,1013.0,1.1,4.2,4.0,15.1,4.2,15.1,,7.3,7.8,,,,,,,,,,0.0,143.0,18.7,10.7,,,,
MOB,2025-01-24,1.3,5.5,-2.2,,,,87.1,5.8,919.7,,1469.3,,1016.9,1.3,5.1,4.7,18.4,5.0,18.0,,0.0,0.0,,,,,,,,,,0.0,141.0,18.7,10.7,,,,
MOB,2025-01-25,3.4,9.2,0.7,,,,73.3,5.6,916.4,,1446.0,,1013.3,1.3,5.7,4.7,20.5,5.5,19.8,,1.7,0.0,,,,,,,,,,0.0,148.0,16.6,8.6,,,,
MOB,2025-01-26,3.0,6.2,-0.7,,,,79.3,5.9,916.1,,1442.7,,1013.0,1.3,9.5,4.7,34.2,9.4,33.8,,2.5,1.7,,,,,,,,,,0.0,141.0,17.0,9.0,,,,
MOB,2025-01-27,2.7,4.7,0.3,,,,95.2,7.1,910.4,,1391.9,,1006.8,1.4,6.4,5.0,23.0,6.0,21.6,,32.2,24.7,,,,,,,,,,0.0,124.0,17.3,9.3,,,,
MOB,2025-01-28,1.5,4.3,0.2,,,,96.1,6.5,907.1,,1361.0,,1003.3,1.2,4.4,4.3,15.8,4.4,15.8,,0.8,10.2,,,,,,,,,,0.0,143.0,18.5,10.5,,,,
MOB,2025-01-29,1.1,5.1,-1.9,,,,89.2,5.9,915.7,,1435.1,,1012.6,1.4,5.5,5.0,19.8,5.4,19.4,,0.0,0.6,,,,,,,,,,0.0,144.0,18.9,10.9,,,,
MOB,2025-01-30,2.0,7.8,-1.1,,,,85.7,6.0,919.8,,1472.1,,1017.0,1.1,4.3,4.0,15.5,4.2,15.1,,0.0,0.0,,,,,,,,,,0.0,144.0,18.0,10.0,,,,
MOB,2025-01-31,2.0,4.8,-0.8,,,,87.9,6.2,926.3,,1528.5,,1024.1,1.1,6.5,4.0,23.4,6.4,23.0,,0.0,0.0,,,,,,,,,,0.0,0.0,18.0,10.0,,,,
MOB,2025-02-01,0.8,6.7,-2.5,,,,87.8,5.6,925.5,,1518.5,,1023.2,1.0,4.5,3.6,16.2,4.4,15.8,,0.0,0.0,,,,,,,,,,0.0,153.0,19.2,11.2,,,,
MOB,2025-02-02,-0.7,6.5,-4.0,,,,83.5,4.7,923.5,,1497.3,,1021.0,0.9,2.9,3.2,10.4,2.7,9.7,,0.0,0.0,,,,,,,,,,0.0,146.0,20.7,12.7,,,,
MOB,2025-02-03,-1.4,5.9,-5.2,,,,76.6,4.0,926.7,,1522.3,,1024.4,0.9,3.5,3.2,12.6,3.4,12.2,,0.0,0.0,,,,,,,,,,0.0,149.0,21.4,13.4,,,,
MOB,2025-02-04,-1.0,7.3,-5.4,,,,78.8,4.3,929.6,,1548.1,,1027.6,1.0,2.8,3.6,10.1,2.7,9.7,,0.0,0.0,,,,,,,,,,0.0,140.0,21.0,13.0,,,,
MOB,2025-02-05,-0.9,7.6,-4.9,,,,77.5,4.3,934.6,,1590.5,,1033.0,0.9,5.3,3.2,19.1,3.2,11.5,,0.0,0.0,,,,,,,,,,0.0,143.0,20.9,12.9,,,,
MOB,2025-02-06,-2.1,2.8,-5.4,,,,83.7,4.3,931.6,,1561.8,,1029.8,1.1,4.7,4.0,16.9,4.6,16.6,,0.0,0.0,,,,,,,,,,0.0,315.0,22.1,14.1,,,,
MOB,2025-02-07,-0.1,7.7,-4.6,,,,74.7,4.3,924.8,,1509.8,,1022.4,1.0,3.5,3.6,12.6,3.3,11.9,,0.0,0.0,,,,,,,,,,0.0,146.0,20.1,12.1,,,,
MOB,2025-02-08,1.9,9.6,-2.8,,,,67.4,4.6,923.6,,1504.8,,1021.1,1.2,6.2,4.3,22.3,5.8,20.9,,0.0,0.0,,,,,,,,,,0.0,153.0,18.1,10.1,,,,
MOB,2025-02-09,0.6,8.1,-2.7,,,,78.5,4.9,926.5,,1526.3,,1024.3,1.1,5.0,4.0,18.0,4.9,17.6,,0.0,0.0,,,,,,,,,,0.0,143.0,19.4,11.4,,,,
MOB,2025-02-10,3.6,10.0,-1.3,,,,73.7,5.7,924.5,,1516.8,,1022.1,1.0,4.1,3.6,14.8,3.9,14.0,,0.2,0.1,,,,,,,,,,0.0,146.0,16.4,8.4,,,,
MOB,2025-02-11,3.9,7.8,1.3,,,,91.6,7.3,923.2,,1505.9,,1020.6,0.9,4.1,3.2,14.8,4.0,14.4,,1.9,1.8,,,,,,,,,,0.0,143.0,16.1,8.1,,,,
MOB,2025-02-12,4.3,9.2,1.2,,,,87.6,7.2,920.8,,1486.0,,1018.1,0.9,3.3,3.2,11.9,3.2,11.5,,0.0,0.2,,,,,,,,,,0.0,146.0,15.7,7.7,,,,
MOB,2025-02-13,3.9,7.6,1.8,,,,91.4,7.4,919.2,,1471.4,,1016.3,1.2,7.8,4.3,28.1,7.4,26.6,,7.6,7.6,,,,,,,,,,0.0,315.0,16.1,8.1,,,,
MOB,2025-02-14,-0.2,2.8,-4.7,,,,74.6,4.5,919.8,,1467.3,,1017.0,2.2,9.3,7.9,33.5,8.9,32.0,,0.0,0.0,,,,,,,,,,0.0,346.0,20.2,12.2,,,,
MOB,2025-02-15,-1.8,5.5,-6.3,,,,76.4,4.0,920.1,,1465.8,,1017.3,0.9,3.5,3.2,12.6,3.2,11.5,,0.0,0.0,,,,,,,,,,0.0,149.0,21.8,13.8,,,,
MOB,2025-02-16,0.5,8.7,-4.0,,,,71.1,4.3,916.5,,1440.2,,1013.4,1.1,4.3,4.0,15.5,3.7,13.3,,0.0,0.0,,,,,,,,,,0.0,162.0,19.5,11.5,,,,
MOB,2025-02-17,-0.5,6.6,-4.6,,,,75.0,4.3,919.3,,1462.2,,1016.5,1.1,4.0,4.0,14.4,3.8,13.7,,0.0,0.0,,,,,,,,,,0.0,0.0,20.5,12.5,,,,
MOB,2025-02-18,-0.3,6.9,-4.8,,,,74.5,4.3,921.1,,1478.3,,1018.5,1.0,4.4,3.6,15.8,4.3,15.5,,0.0,0.0,,,,,,,,,,0.0,135.0,20.3,12.3,,,,
MOB,2025-02-19,1.3,8.1,-3.1,,,,75.4,4.9,924.2,,1508.2,,1021.7,1.0,4.6,3.6,16.6,4.4,15.8,,0.0,0.0,,,,,,,,,,0.0,153.0,18.7,10.7,,,,
