station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
MOE,2025-01-01,-0.2,4.1,-2.7,,,,94.2,5.7,984.6,1027.6,,,1025.6,4.7,9.8,16.9,35.3,9.7,34.9,,0.0,0.0,,71.0,,,,,341.0,77.0,0.3,0.0,109.0,20.2,12.2,-0.1,,,
MOE,2025-01-02,2.3,9.1,-2.2,,,,90.1,6.4,975.9,1018.1,,,1016.6,2.7,16.7,9.7,60.1,16.2,58.3,,16.8,16.7,,20.0,,,,,45.0,10.0,0.7,0.0,275.0,17.7,9.7,16.7,,,
MOE,2025-01-03,-0.6,1.6,-5.0,,,,93.3,5.5,981.8,1024.8,,,1022.8,1.5,7.8,5.4,28.1,7.5,27.0,,0.0,0.1,,52.0,,,,,119.0,27.0,0.0,0.0,294.0,20.6,12.6,0.1,,,
MOE,2025-01-04,-2.7,0.2,-5.8,,,,91.1,4.6,978.3,1021.4,,,1019.1,4.7,11.2,16.9,40.3,11.0,39.6,,26.1,9.7,,65.0,,,,,296.0,67.0,0.2,0.0,105.0,22.7,14.7,9.6,,,
MOE,2025-01-05,2.0,4.3,0.1,,,,98.5,7.0,965.3,1007.2,,,1005.7,4.0,7.4,14.4,26.6,7.3,26.3,,3.9,20.3,,25.0,,,,,0.0,0.0,0.2,0.0,100.0,18.0,10.0,20.3,,,
MOE,2025-01-06,5.7,13.9,0.3,,,,87.2,7.9,960.2,1001.2,,,1000.4,4.1,17.9,14.8,64.4,17.0,61.2,,6.8,6.8,,11.0,,,,,2.0,0.0,1.3,0.0,169.0,14.3,6.3,6.8,,,
MOE,2025-01-07,3.8,7.3,1.1,,,,84.9,6.8,967.6,1009.2,,,1008.0,2.4,20.8,8.6,74.9,20.1,72.4,,2.6,0.3,,66.0,,,,,71.0,16.0,0.3,0.0,270.0,16.2,8.2,0.3,,,
MOE,2025-01-08,6.0,12.3,2.1,,,,94.8,9.0,965.0,1006.2,,,1005.4,1.4,14.2,5.0,51.1,13.8,49.7,,14.9,17.2,,9.0,,,,,0.0,0.0,0.6,0.0,304.0,14.0,6.0,17.2,,,
MOE,2025-01-09,7.6,13.1,1.9,,,,79.0,8.2,966.4,1007.4,,,1006.8,5.2,19.3,18.7,69.5,18.0,64.8,,4.8,4.8,,21.0,,,,,27.0,6.0,1.2,0.0,250.0,12.4,4.4,4.8,,,
MOE,2025-01-10,1.0,3.1,-2.3,,,,86.0,5.6,979.1,1021.7,,,1020.0,1.0,6.4,3.6,23.0,6.3,22.7,,0.0,0.0,,32.0,,,,,0.0,0.0,0.3,0.0,342.0,19.0,11.0,0.0,,,
MOE,2025-01-11,-1.7,1.6,-4.6,,,,90.5,4.9,984.1,1027.3,,,1025.1,0.9,4.1,3.2,14.8,4.0,14.4,,0.0,0.0,,69.0,,,,,267.0,58.0,0.1,0.0,297.0,21.7,13.7,-0.1,,,
MOE,2025-01-12,-1.7,1.8,-4.3,,,,82.6,4.4,994.1,1037.8,,,1035.5,0.8,5.2,2.9,18.7,5.0,18.0,,0.0,0.0,,51.0,,,,,55.0,12.0,0.2,0.0,72.0,21.7,13.7,0.0,,,
MOE,2025-01-13,-2.2,1.2,-5.3,,,,76.0,3.9,995.7,1039.5,,,1037.1,4.6,12.2,16.6,43.9,11.9,42.8,,0.0,0.0,,86.0,,,,,469.0,100.0,0.6,0.0,109.0,22.2,14.2,-0.2,,,
MOE,2025-01-14,-2.3,1.4,-5.2,,,,81.0,4.1,992.7,1036.5,,,1034.0,2.5,8.8,9.0,31.7,8.6,31.0,,0.0,0.0,,83.0,,,,,460.0,100.0,0.3,0.0,115.0,22.3,14.3,-0.2,,,
MOE,2025-01-15,-1.3,2.2,-5.0,,,,90.6,5.1,990.4,1033.8,,,1031.6,2.2,7.1,7.9,25.6,7.1,25.6,,0.0,0.0,,48.0,,,,,115.0,25.0,0.2,0.0,108.0,21.3,13.3,0.0,,,
MOE,2025-01-16,2.2,4.1,-0.9,,,,80.1,5.7,991.9,1034.9,,,1033.2,4.1,10.8,14.8,38.9,10.5,37.8,,0.0,0.0,,42.0,,,,,125.0,27.0,0.6,0.0,103.0,17.8,9.8,-0.1,,,
MOE,2025-01-17,1.2,2.2,0.4,,,,81.7,5.4,992.9,1036.1,,,1034.3,3.7,8.7,13.3,31.3,8.5,30.6,,0.0,0.0,,21.0,,,,,0.0,0.0,0.6,0.0,95.0,18.8,10.8,0.0,,,
MOE,2025-01-18,0.0,1.3,-1.0,,,,85.6,5.2,987.6,1030.7,,,1028.8,6.7,11.8,24.1,42.5,11.7,42.1,,0.0,0.0,,42.0,,,,,88.0,19.0,0.6,0.0,105.0,20.0,12.0,0.0,,,
MOE,2025-01-19,-0.5,1.1,-1.6,,,,89.1,5.2,980.5,1023.3,,,1021.4,6.4,12.6,23.0,45.4,12.4,44.6,,0.0,0.0,,47.0,,,,,67.0,14.0,0.5,0.0,105.0,20.5,12.5,0.0,,,
MOE,2025-01-20,-1.0,1.2,-2.7,,,,94.7,5.4,978.4,1021.3,,,1019.3,5.4,12.9,19.4,46.4,12.6,45.4,,0.0,0.0,,80.0,,,,,330.0,70.0,0.2,0.0,110.0,21.0,13.0,0.0,,,
MOE,2025-01-21,-1.6,0.0,-3.0,,,,99.1,5.4,976.6,1019.4,,,1017.3,6.4,13.7,23.0,49.3,13.4,48.2,,0.0,0.0,,55.0,,,,,111.0,23.0,0.1,0.0,111.0,21.6,13.6,0.0,,,
MOE,2025-01-22,-0.2,2.3,-2.5,,,,95.4,5.8,969.4,1011.7,,,1009.9,8.4,14.1,30.2,50.8,13.7,49.3,,6.2,2.4,,13.0,,,,,0.0,0.0,0.3,0.0,123.0,20.2,12.2,2.4,,,
MOE,2025-01-23,3.3,6.9,-0.6,,,,90.7,7.0,971.3,1013.1,,,1011.8,3.7,14.6,13.3,52.6,14.5,52.2,,0.3,4.1,,20.0,,,,,1.0,0.0,0.5,0.0,164.0,16.7,8.7,4.1,,,
MOE,2025-01-24,4.1,8.3,-1.1,,,,83.6,6.8,973.0,1014.9,,,1013.7,4.7,12.2,16.9,43.9,11.6,41.8,,0.0,0.0,,72.0,,,,,222.0,46.0,0.7,0.0,115.0,15.9,7.9,-0.1,,,
MOE,2025-01-25,7.7,12.9,3.4,,,,73.6,7.7,969.4,1010.5,,,1010.0,4.9,14.4,17.6,51.8,13.3,47.9,,1.0,0.0,,69.0,,,,,169.0,35.0,1.4,0.0,112.0,12.3,4.3,-0.1,,,
MOE,2025-01-26,7.1,10.1,5.0,,,,72.7,7.3,970.2,1011.4,,,1010.8,2.7,9.9,9.7,35.6,9.6,34.6,,3.1,2.1,,90.0,,,,,372.0,77.0,0.8,0.0,117.0,12.9,4.9,1.9,,,
MOE,2025-01-27,7.4,9.4,6.0,,,,91.2,9.4,962.6,1003.4,,,1002.9,4.6,11.2,16.6,40.3,10.9,39.2,,20.2,18.3,,8.0,,,,,0.0,0.0,0.7,0.0,121.0,12.6,4.6,18.3,,,
MOE,2025-01-28,7.1,10.2,4.6,,,,79.3,7.9,961.6,1002.4,,,1001.8,2.8,10.8,10.1,38.9,10.5,37.8,,1.0,4.4,,55.0,,,,,75.0,15.0,0.8,0.0,212.0,12.9,4.9,4.4,,,
MOE,2025-01-29,6.9,10.4,1.5,,,,69.7,6.8,970.0,1011.3,,,1010.6,3.8,12.5,13.7,45.0,12.0,43.2,,0.0,0.5,,86.0,,,,,350.0,71.0,1.0,0.0,248.0,13.1,5.1,0.3,,,
MOE,2025-01-30,4.1,6.8,1.1,,,,91.7,7.6,976.5,1018.5,,,1017.3,2.3,7.7,8.3,27.7,7.5,27.0,,1.7,1.6,,32.0,,,,,0.0,0.0,0.4,0.0,101.0,15.9,7.9,1.6,,,
MOE,2025-01-31,4.1,5.8,2.9,,,,93.4,7.6,986.0,1028.3,,,1027.0,1.7,7.6,6.1,27.4,7.5,27.0,,0.2,0.3,,17.0,,,,,0.0,0.0,0.5,0.0,256.0,15.9,7.9,0.3,,,
