station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
MTE,2025-01-01,-1.3,4.0,-5.1,,,,49.1,2.7,849.4,,1574.9,,1027.4,3.3,7.0,11.9,25.2,6.4,23.0,,0.0,0.0,,50.0,,,,9.0,181.0,100.0,1.1,0.0,175.0,21.3,13.3,-0.4,,,
MTE,2025-01-02,-0.3,4.5,-3.6,,,,59.3,3.5,840.6,,1492.0,,1017.2,2.2,6.4,7.9,23.0,6.0,21.6,,12.7,5.0,,50.0,,,,40.0,64.0,35.0,0.8,0.0,173.0,20.3,12.3,4.8,,,
MTE,2025-01-03,-7.1,-1.0,-13.5,,,,82.9,3.2,839.9,,1487.4,,1016.4,2.4,7.0,8.6,25.2,6.8,24.5,,0.0,7.7,,53.0,,,,10.0,182.0,100.0,0.3,0.0,169.0,27.1,19.1,7.6,,,
MTE,2025-01-04,-5.3,1.1,-13.1,,,,79.9,3.5,839.0,,1478.3,,1015.4,2.0,7.1,7.2,25.6,6.7,24.1,,4.5,2.2,,53.0,,,,32.0,182.0,99.0,0.3,0.0,169.0,25.3,17.3,2.1,,,
MTE,2025-01-05,2.5,4.8,0.3,,,,94.7,6.9,834.2,,1429.1,,1009.8,1.8,5.9,6.5,21.2,5.7,20.5,,0.0,2.3,,35.0,,,,33.0,0.0,0.0,0.3,0.0,168.0,17.5,9.5,2.3,,,
MTE,2025-01-06,1.1,3.7,-0.5,,,,81.6,5.4,828.8,,1377.0,,1003.4,1.3,6.5,4.7,23.4,6.0,21.6,,4.7,1.2,,37.0,,,,34.0,0.0,0.0,0.4,0.0,146.0,18.9,10.9,1.2,,,
MTE,2025-01-07,-2.7,-0.2,-5.9,,,,83.4,4.2,832.8,,1418.3,,1008.1,1.6,5.9,5.8,21.2,5.6,20.2,,1.3,3.5,,58.0,,,,15.0,185.0,100.0,0.2,0.0,162.0,22.7,14.7,3.4,,,
MTE,2025-01-08,0.7,3.2,-2.9,,,,91.8,6.0,834.0,,1427.6,,1009.5,1.7,6.2,6.1,22.3,5.7,20.5,,4.8,4.8,,23.0,,,,22.0,0.0,0.0,0.3,0.0,163.0,19.3,11.3,4.8,,,
MTE,2025-01-09,0.9,2.7,-1.2,,,,94.3,6.2,832.9,,1417.2,,1008.2,1.9,16.9,6.8,60.8,16.1,58.0,,4.4,5.7,,35.0,,,,32.0,3.0,2.0,0.3,0.0,63.0,19.1,11.1,5.7,,,
MTE,2025-01-10,-2.2,0.2,-3.5,,,,91.6,4.8,837.6,,1463.4,,1013.7,1.3,6.5,4.7,23.4,6.2,22.3,,4.6,4.6,,14.0,,,,12.0,0.0,0.0,0.4,0.0,18.0,22.2,14.2,4.6,,,
MTE,2025-01-11,-3.6,-0.5,-9.0,,,,97.1,4.6,839.6,,1483.2,,1016.0,1.6,6.4,5.8,23.0,6.0,21.6,,0.0,0.0,,27.0,,,,25.0,0.0,0.0,0.2,0.0,90.0,23.6,15.6,0.0,,,
MTE,2025-01-12,-10.5,-7.0,-12.9,,,,81.5,2.2,847.2,,1555.3,,1024.9,2.2,5.9,7.9,21.2,5.6,20.2,,0.0,0.0,,57.0,,,,10.0,191.0,99.0,0.3,0.0,173.0,30.5,22.5,-0.1,,,
MTE,2025-01-13,-8.7,-2.1,-13.2,,,,74.1,2.4,849.5,,1576.1,,1027.6,2.0,6.8,7.2,24.5,6.4,23.0,,0.0,0.0,,60.0,,,,10.0,195.0,100.0,0.4,0.0,168.0,28.7,20.7,-0.2,,,
MTE,2025-01-14,-3.8,1.7,-8.2,,,,55.5,2.6,849.5,,1576.1,,1027.6,2.5,6.7,9.0,24.1,6.6,23.8,,0.0,0.0,,58.0,,,,10.0,196.0,100.0,0.8,0.0,173.0,23.8,15.8,-0.3,,,
MTE,2025-01-15,-3.1,3.4,-6.7,,,,56.8,2.7,846.8,,1550.6,,1024.4,2.4,6.3,8.6,22.7,6.0,21.6,,0.0,0.0,,58.0,,,,10.0,197.0,100.0,0.9,0.0,172.0,23.1,15.1,-0.3,,,
MTE,2025-01-16,-4.0,2.3,-7.4,,,,53.9,2.4,849.1,,1572.2,,1027.1,2.5,6.8,9.0,24.5,6.4,23.0,,0.0,0.0,,59.0,,,,10.0,199.0,100.0,0.9,0.0,173.0,24.0,16.0,-0.3,,,
MTE,2025-01-17,-3.2,3.0,-6.7,,,,54.9,2.6,850.9,,1589.0,,1029.2,2.7,6.8,9.7,24.5,6.5,23.4,,0.0,0.0,,61.0,,,,10.0,200.0,100.0,1.0,0.0,173.0,23.2,15.2,-0.3,,,
MTE,2025-01-18,-1.2,5.0,-5.7,,,,47.7,2.7,847.9,,1561.5,,1025.8,3.2,6.7,11.5,24.1,6.6,23.8,,0.0,0.0,,62.0,,,,11.0,201.0,100.0,1.2,0.0,174.0,21.2,13.2,-0.3,,,
MTE,2025-01-19,0.1,5.0,-2.6,,,,63.0,3.8,842.7,,1511.2,,1019.6,2.1,5.5,7.6,19.8,5.2,18.7,,0.0,0.0,,62.0,,,,34.0,126.0,63.0,0.8,0.0,172.0,19.9,11.9,-0.2,,,
MTE,2025-01-20,-1.4,3.4,-4.3,,,,63.8,3.5,840.9,,1495.3,,1017.6,2.3,5.8,8.3,20.9,5.6,20.2,,0.0,0.0,,43.0,,,,31.0,63.0,31.0,0.8,0.0,175.0,21.4,13.4,-0.1,,,
MTE,2025-01-21,-2.2,3.2,-5.3,,,,56.2,2.9,838.8,,1475.3,,1015.1,2.8,6.5,10.1,23.4,6.1,22.0,,0.0,0.0,,64.0,,,,10.0,205.0,100.0,1.0,0.0,173.0,22.2,14.2,-0.2,,,
MTE,2025-01-22,-1.6,1.8,-5.0,,,,61.5,3.3,835.5,,1443.4,,1011.2,2.0,6.0,7.2,21.6,5.7,20.5,,0.0,0.0,,37.0,,,,36.0,0.0,0.0,0.7,0.0,169.0,21.6,13.6,-0.1,,,
MTE,2025-01-23,-1.8,1.5,-7.0,,,,86.9,4.7,835.8,,1446.7,,1011.6,1.7,6.8,6.1,24.5,6.5,23.4,,2.6,2.6,,33.0,,,,31.0,0.0,0.0,0.3,0.0,169.0,21.8,13.8,2.6,,,
MTE,2025-01-24,1.4,7.8,-5.8,,,,53.5,3.5,840.2,,1487.6,,1016.8,2.3,7.0,8.3,25.2,6.8,24.5,,0.0,0.0,,51.0,,,,30.0,91.0,44.0,1.1,0.0,169.0,18.6,10.6,-0.2,,,
MTE,2025-01-25,1.7,7.2,-1.9,,,,58.0,3.9,837.3,,1459.4,,1013.4,2.0,6.4,7.2,23.0,6.3,22.7,,5.9,0.0,,63.0,,,,25.0,195.0,93.0,1.0,0.0,168.0,18.3,10.3,-0.2,,,
MTE,2025-01-26,-1.7,0.8,-4.6,,,,80.0,4.3,836.3,,1451.2,,1012.2,1.9,7.6,6.8,27.4,7.0,25.2,,0.1,5.9,,77.0,,,,20.0,210.0,100.0,0.4,0.0,168.0,21.7,13.7,5.8,,,
MTE,2025-01-27,-0.6,0.9,-2.8,,,,90.6,5.3,830.9,,1398.6,,1005.9,1.9,11.2,6.8,40.3,10.4,37.4,,24.0,9.3,,25.0,,,,24.0,0.0,0.0,0.4,0.0,90.0,20.6,12.6,9.3,,,
MTE,2025-01-28,-1.7,0.1,-3.8,,,,93.7,5.1,827.3,,1364.2,,1001.6,1.5,9.6,5.4,34.6,8.8,31.7,,4.8,19.1,,51.0,,,,44.0,11.0,5.0,0.3,0.0,90.0,21.7,13.7,19.1,,,
MTE,2025-01-29,-3.8,0.6,-7.8,,,,83.2,3.9,835.5,,1444.3,,1011.2,2.4,6.5,8.6,23.4,6.0,21.6,,0.0,0.5,,75.0,,,,24.0,218.0,100.0,0.5,0.0,172.0,23.8,15.8,0.4,,,
MTE,2025-01-30,-2.4,1.7,-5.9,,,,79.1,4.1,839.6,,1482.9,,1016.0,2.0,5.9,7.2,21.2,5.2,18.7,,0.0,0.0,,55.0,,,,51.0,11.0,5.0,0.5,0.0,173.0,22.4,14.4,-0.1,,,
MTE,2025-01-31,-2.4,2.0,-6.5,,,,87.5,4.5,844.9,,1532.8,,1022.2,1.6,6.4,5.8,23.0,6.2,22.3,,0.1,0.1,,66.0,,,,47.0,60.0,26.0,0.4,0.0,169.0,22.4,14.4,0.1,,,
MTE,2025-02-01,-3.5,2.6,-7.4,,,,72.8,3.4,844.6,,1530.6,,1021.9,2.6,6.5,9.4,23.4,6.0,21.6,,0.0,0.0,,87.0,,,,23.0,226.0,95.0,0.8,0.0,175.0,23.5,15.5,-0.2,,,
