station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
MTR,2025-01-01,-2.0,0.2,-5.9,,,,60.4,3.1,786.7,,1570.1,,1026.1,1.4,8.0,5.0,28.8,7.6,27.4,,,,,86.0,,,,13.0,469.0,100.0,0.2,0.0,159.0,22.0,14.0,,,,
MTR,2025-01-02,-5.7,-4.5,-6.4,,,,94.7,3.8,778.3,,1492.2,,1015.6,5.4,12.2,19.4,43.9,12.1,43.6,,,,,23.0,,,,22.0,0.0,0.0,0.3,0.0,146.0,25.7,17.7,,,,
MTR,2025-01-03,-7.0,-5.2,-8.6,,,,40.5,1.5,774.9,,1461.4,,1011.5,8.4,18.4,30.2,66.2,17.2,61.9,,,,,89.0,,,,13.0,472.0,100.0,1.2,0.0,324.0,27.0,19.0,,,,
MTR,2025-01-04,-6.1,-4.1,-8.2,,,,38.7,1.5,776.7,,1477.1,,1013.7,3.7,7.2,13.3,25.9,7.1,25.6,,,,,85.0,,,,26.0,454.0,97.0,0.8,0.0,159.0,26.1,18.1,,,,
MTR,2025-01-05,-4.9,-2.6,-8.0,,,,88.6,3.8,774.7,,1453.6,,1011.2,6.6,15.7,23.8,56.5,15.5,55.8,,,,,31.0,,,,28.0,4.0,1.0,0.3,0.0,141.0,24.9,16.9,,,,
MTR,2025-01-06,-2.8,-2.0,-3.5,,,,98.7,4.9,770.5,,1404.1,,1006.1,13.5,21.3,48.6,76.7,19.9,71.6,,,,,17.0,,,,16.0,0.0,0.0,0.2,0.0,151.0,22.8,14.8,,,,
MTR,2025-01-07,-4.7,-3.3,-6.1,,,,79.3,3.5,769.6,,1400.3,,1004.9,4.3,14.2,15.5,51.1,14.0,50.4,,,,,100.0,,,,26.0,436.0,92.0,0.3,0.0,191.0,24.7,16.7,,,,
MTR,2025-01-08,-4.1,-1.9,-6.1,,,,87.7,4.0,773.3,,1436.2,,1009.4,7.3,16.7,26.3,60.1,16.4,59.0,,,,,50.0,,,,45.0,23.0,5.0,0.4,0.0,147.0,24.1,16.1,,,,
MTR,2025-01-09,-2.6,-1.8,-5.3,,,,95.3,4.8,771.0,,1408.0,,1006.6,7.2,13.9,25.9,50.0,13.7,49.3,,,,,49.0,,,,45.0,15.0,3.0,0.1,0.0,143.0,22.6,14.6,,,,
MTR,2025-01-10,-7.9,-4.7,-9.3,,,,88.8,3.0,773.4,,1448.9,,1009.6,7.6,26.6,27.4,95.8,25.5,91.8,,,,,46.0,,,,36.0,98.0,20.0,0.4,0.0,327.0,27.9,19.9,,,,
MTR,2025-01-11,-7.0,-4.2,-11.5,,,,53.9,2.0,775.2,,1464.5,,1011.9,8.9,22.4,32.0,80.6,21.4,77.0,,,,,93.0,,,,21.0,467.0,97.0,0.9,0.0,324.0,27.0,19.0,,,,
MTR,2025-01-12,-8.1,-6.2,-11.6,,,,39.8,1.4,781.3,,1529.9,,1019.4,12.0,23.9,43.2,86.0,22.4,80.6,,,,,97.0,,,,16.0,483.0,100.0,1.2,0.0,329.0,28.1,20.1,,,,
MTR,2025-01-13,-3.1,-0.1,-7.2,,,,12.5,0.6,786.2,,1567.8,,1025.5,7.1,20.3,25.6,73.1,19.9,71.6,,,,,103.0,,,,16.0,487.0,100.0,2.1,0.0,324.0,23.1,15.1,,,,
MTR,2025-01-14,-0.1,1.2,-1.8,,,,15.1,0.9,786.9,,1567.4,,1026.3,4.5,16.8,16.2,60.5,16.4,59.0,,,,,96.0,,,,14.0,476.0,98.0,1.8,0.0,327.0,20.1,12.1,,,,
MTR,2025-01-15,-1.5,1.1,-4.5,,,,45.8,2.4,783.7,,1537.4,,1022.4,11.0,21.9,39.6,78.8,21.3,76.7,,,,,96.0,,,,14.0,468.0,96.0,1.8,0.0,328.0,21.5,13.5,,,,
MTR,2025-01-16,-4.7,-2.8,-6.2,,,,59.9,2.6,787.4,,1582.9,,1026.9,2.1,11.3,7.6,40.7,10.9,39.2,,,,,97.0,,,,14.0,492.0,100.0,0.4,0.0,324.0,24.7,16.7,,,,
MTR,2025-01-17,-2.7,0.2,-5.8,,,,47.4,2.3,789.1,,1596.2,,1029.1,2.5,12.0,9.0,43.2,11.7,42.1,,,,,100.0,,,,14.0,494.0,100.0,0.7,0.0,146.0,22.7,14.7,,,,
MTR,2025-01-18,0.0,2.7,-2.9,,,,33.7,2.1,787.4,,1571.8,,1026.9,3.6,7.4,13.0,26.6,7.3,26.3,,,,,82.0,,,,31.0,291.0,59.0,1.3,0.0,174.0,20.0,12.0,,,,
MTR,2025-01-19,-2.9,0.3,-4.7,,,,74.6,3.6,782.2,,1526.0,,1020.6,4.9,11.9,17.6,42.8,11.8,42.5,,,,,26.0,,,,24.0,3.0,1.0,0.9,0.0,160.0,22.9,14.9,,,,
MTR,2025-01-20,-4.4,-3.4,-5.3,,,,93.0,4.1,780.0,,1506.7,,1017.8,3.9,8.1,14.0,29.2,8.0,28.8,,,,,30.0,,,,28.0,0.0,0.0,0.3,0.0,175.0,24.4,16.4,,,,
MTR,2025-01-21,-3.9,-3.1,-4.6,,,,89.0,4.1,777.4,,1479.0,,1014.6,2.1,8.6,7.6,31.0,8.5,30.6,,,,,51.0,,,,35.0,115.0,23.0,0.3,0.0,149.0,23.9,15.9,,,,
MTR,2025-01-22,-4.3,-3.3,-5.2,,,,90.6,4.0,775.3,,1458.1,,1012.0,5.2,10.4,18.7,37.4,10.0,36.0,,,,,34.0,,,,31.0,0.0,0.0,0.4,0.0,142.0,24.3,16.3,,,,
MTR,2025-01-23,-2.8,-1.2,-4.0,,,,77.7,3.8,773.6,,1436.1,,1009.9,5.6,11.0,20.2,39.6,10.7,38.5,,,,,69.0,,,,44.0,135.0,27.0,0.7,0.0,153.0,22.8,14.8,,,,
MTR,2025-01-24,0.4,2.6,-2.0,,,,34.5,2.1,779.1,,1484.7,,1016.6,5.0,10.4,18.0,37.4,10.0,36.0,,,,,84.0,,,,33.0,298.0,58.0,1.7,0.0,145.0,19.6,11.6,,,,
MTR,2025-01-25,-2.6,-1.3,-4.7,,,,91.3,4.6,778.7,,1488.5,,1016.2,8.4,20.9,30.2,75.2,20.0,72.0,,,,,36.0,,,,34.0,1.0,0.0,0.3,0.0,142.0,22.6,14.6,,,,
MTR,2025-01-26,-3.6,-1.5,-5.0,,,,89.1,4.2,774.2,,1444.5,,1010.6,8.3,22.4,29.9,80.6,21.3,76.7,,,,,97.0,,,,35.0,259.0,50.0,0.5,0.0,152.0,23.6,15.6,,,,
MTR,2025-01-27,-2.7,0.2,-4.6,,,,99.1,5.0,771.4,,1412.8,,1007.1,11.2,17.7,40.3,63.7,17.6,63.4,,,,,20.0,,,,19.0,0.0,0.0,0.3,0.0,150.0,22.7,14.7,,,,
MTR,2025-01-28,-3.8,-0.5,-5.9,,,,82.1,3.9,764.5,,1343.8,,998.6,7.4,29.9,26.6,107.6,29.1,104.8,,,,,16.0,,,,15.0,0.0,0.0,0.7,0.0,193.0,23.8,15.8,,,,
MTR,2025-01-29,-4.6,-3.0,-5.8,,,,73.7,3.2,773.6,,1441.6,,1009.9,4.6,12.2,16.6,43.9,12.1,43.6,,,,,119.0,,,,37.0,467.0,90.0,0.6,0.0,149.0,24.6,16.6,,,,
