station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
MVE,2025-01-01,1.0,7.2,-3.7,-1.2,0.0,-2.4,44.7,2.9,865.4,,1568.4,,1027.0,1.3,3.3,4.7,11.9,3.3,11.9,0.0,0.0,0.0,,88.0,,,,16.0,438.0,97.0,0.4,0.0,27.0,19.0,11.0,-0.7,,,
MVE,2025-01-02,1.4,5.1,-3.3,-1.2,-0.2,-2.5,56.3,3.7,856.7,,1487.0,,1016.9,1.4,11.0,5.0,39.6,10.4,37.4,0.0,13.1,10.2,,55.0,,,,44.0,44.0,10.0,0.5,0.0,292.0,18.6,10.6,10.0,,,
MVE,2025-01-03,-4.7,-0.9,-9.3,-0.3,-0.1,-1.3,91.2,4.0,856.4,,1482.9,,1016.6,0.8,4.4,2.9,15.8,4.3,15.5,0.0,0.0,2.9,,69.0,,,,35.0,195.0,43.0,0.1,0.0,304.0,24.7,16.7,2.8,,,
MVE,2025-01-04,-4.0,1.5,-12.9,-1.9,-0.8,-2.9,74.8,3.5,855.3,,1473.5,,1015.4,0.9,2.5,3.2,9.0,2.5,9.0,0.0,9.4,4.3,,74.0,,,,41.0,299.0,65.0,0.1,0.0,40.0,24.0,16.0,4.1,,,
MVE,2025-01-05,4.4,8.4,1.0,-0.1,0.0,-0.8,83.5,6.9,849.8,,1422.6,,1009.1,2.6,18.7,9.4,67.3,17.2,61.9,110.0,0.1,5.2,,36.0,,,,31.0,15.0,3.0,0.6,0.0,53.0,15.6,7.6,5.2,,,
MVE,2025-01-06,3.5,5.0,-0.4,0.0,0.1,0.0,59.9,4.6,844.6,,1372.8,,1003.1,6.0,21.3,21.6,76.7,20.2,72.7,0.0,2.4,1.9,,48.0,,,,34.0,90.0,19.0,1.2,0.0,60.0,16.5,8.5,1.7,,,
MVE,2025-01-07,-0.1,3.0,-3.7,-0.2,0.2,-0.6,68.5,4.1,848.8,,1413.2,,1007.9,2.0,12.5,7.2,45.0,11.8,42.5,0.0,3.5,0.6,,97.0,,,,32.0,344.0,74.0,0.4,0.0,262.0,20.1,12.1,0.3,,,
MVE,2025-01-08,2.4,7.3,-1.0,-0.1,0.2,-0.5,82.5,6.0,849.8,,1422.3,,1009.1,1.7,10.6,6.1,38.2,10.5,37.8,0.0,12.9,13.1,,33.0,,,,21.0,97.0,21.0,0.6,0.0,53.0,17.6,9.6,13.0,,,
MVE,2025-01-09,2.0,3.8,-0.6,0.0,0.2,-0.2,86.1,6.1,849.0,,1414.3,,1008.1,2.1,14.5,7.6,52.2,13.8,49.7,0.0,3.3,6.5,,32.0,,,,27.0,20.0,4.0,0.4,0.0,315.0,18.0,10.0,6.5,,,
MVE,2025-01-10,-2.8,-0.4,-3.9,-1.3,-0.2,-2.3,87.7,4.4,853.9,,1461.1,,1013.8,1.2,5.8,4.3,20.9,5.6,20.2,0.0,5.7,5.3,,19.0,,,,19.0,0.0,0.0,0.4,0.0,270.0,22.8,14.8,5.3,,,
MVE,2025-01-11,-3.9,0.1,-6.0,-1.0,-0.1,-1.8,95.9,4.4,856.1,,1480.5,,1016.3,0.9,6.3,3.2,22.7,6.3,22.7,0.0,0.5,0.9,,35.0,,,,35.0,0.0,0.0,0.3,0.0,270.0,23.9,15.9,0.9,,,
MVE,2025-01-12,-6.7,-4.5,-10.2,-2.1,-1.5,-3.0,89.9,3.3,864.0,,1552.0,,1025.4,0.7,2.8,2.5,10.1,2.7,9.7,0.0,0.0,0.0,,49.0,,,,43.0,22.0,5.0,0.2,0.0,90.0,26.7,18.7,0.0,,,
MVE,2025-01-13,-6.4,-1.6,-12.2,-3.5,-2.1,-4.8,79.3,3.0,866.2,,1571.8,,1027.9,0.8,3.0,2.9,10.8,2.9,10.4,0.0,0.0,0.0,,102.0,,,,18.0,465.0,97.0,0.1,0.0,37.0,26.4,18.4,-0.3,,,
MVE,2025-01-14,-2.4,3.5,-7.7,-3.7,-1.1,-5.3,50.2,2.6,865.9,,1570.8,,1027.5,0.9,3.3,3.2,11.9,3.2,11.5,0.0,0.0,0.0,,100.0,,,,17.0,467.0,97.0,0.3,0.0,27.0,22.4,14.4,-0.5,,,
MVE,2025-01-15,-1.9,4.2,-6.0,-3.6,-0.5,-5.0,53.0,2.8,863.1,,1545.7,,1024.3,1.1,6.6,4.0,23.8,6.5,23.4,0.0,0.0,0.0,,99.0,,,,17.0,466.0,96.0,0.4,0.0,360.0,21.9,13.9,-0.5,,,
MVE,2025-01-16,-0.7,3.7,-6.7,-3.5,-0.4,-5.3,47.5,2.7,865.5,,1568.2,,1027.1,1.6,8.1,5.8,29.2,7.8,28.1,0.0,0.0,0.0,,100.0,,,,17.0,469.0,97.0,0.5,0.0,56.0,20.7,12.7,-0.6,,,
MVE,2025-01-17,-1.1,3.9,-6.0,-3.6,-0.4,-5.4,50.9,2.8,867.2,,1584.2,,1029.1,1.1,5.6,4.0,20.2,5.4,19.4,0.0,0.0,0.0,,103.0,,,,17.0,474.0,98.0,0.4,0.0,27.0,21.1,13.1,-0.5,,,
MVE,2025-01-18,3.9,8.3,-0.3,-2.0,0.2,-4.8,33.3,2.7,863.9,,1556.2,,1025.3,3.0,10.6,10.8,38.2,10.4,37.4,10.0,0.0,0.0,,103.0,,,,17.0,478.0,98.0,1.4,0.0,54.0,16.1,8.1,-0.7,,,
