station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
NAP,2025-01-01,4.0,6.4,2.3,-0.8,-0.2,-1.3,36.4,3.0,865.3,,1550.1,,1024.6,8.7,19.2,31.3,69.1,18.1,65.2,,0.0,0.0,46.0,84.0,227.0,,56.0,,492.0,100.0,2.5,0.0,227.0,16.0,8.0,-0.9,,,
NAP,2025-01-02,1.1,3.7,-3.7,-0.8,-0.4,-1.3,63.6,4.0,856.4,,1465.8,,1014.4,9.4,27.7,33.8,99.7,25.6,92.2,,28.8,25.7,44.0,38.0,282.0,,25.0,,70.0,14.0,1.3,0.0,235.0,18.9,10.9,25.6,,,
NAP,2025-01-03,-5.3,-3.4,-7.6,-0.5,-0.4,-0.7,87.7,3.6,858.7,,1485.3,,1017.0,2.5,7.9,9.0,28.4,7.6,27.4,,0.0,3.1,47.0,69.0,224.0,,57.0,,161.0,33.0,0.1,0.0,235.0,25.3,17.3,3.0,,,
NAP,2025-01-04,-2.4,1.3,-6.8,-1.3,-0.7,-1.5,44.3,2.4,855.9,,1459.7,,1013.7,4.8,18.6,17.3,67.0,17.6,63.4,,10.7,5.1,68.0,76.0,241.0,,55.0,,352.0,71.0,1.1,0.0,225.0,22.4,14.4,4.5,,,
NAP,2025-01-05,5.5,10.3,1.1,-0.3,0.0,-1.2,79.3,7.0,849.2,,1397.3,,1006.1,8.7,20.3,31.3,73.1,19.1,68.8,,0.7,6.3,61.0,53.0,298.0,,33.0,,157.0,32.0,1.3,0.0,225.0,14.5,6.5,6.2,,,
NAP,2025-01-06,3.3,7.3,-1.4,0.0,0.0,0.0,73.8,5.6,844.4,,1352.0,,1000.7,6.3,21.5,22.7,77.4,20.5,73.8,,15.4,15.4,49.0,23.0,305.0,,13.0,,12.0,2.0,1.1,0.0,231.0,16.7,8.7,15.3,,,
NAP,2025-01-07,-1.0,0.8,-2.4,0.0,0.0,0.0,79.4,4.5,848.8,,1394.5,,1005.7,9.7,25.6,34.9,92.2,24.8,89.3,,2.3,0.5,60.0,51.0,255.0,,36.0,,167.0,34.0,0.8,0.0,233.0,21.0,13.0,0.4,,,
NAP,2025-01-08,3.5,7.4,-1.3,0.0,0.1,-0.1,83.1,6.5,848.6,,1391.7,,1005.4,9.9,26.5,35.6,95.4,25.2,90.7,,4.5,5.8,56.0,19.0,313.0,,10.0,,5.0,1.0,0.9,0.0,229.0,16.5,8.5,5.8,,,
NAP,2025-01-09,1.7,5.5,-5.9,-0.3,0.5,-3.5,84.5,5.9,849.0,,1395.1,,1005.9,8.9,28.4,32.0,102.2,26.5,95.4,,6.1,6.6,42.0,30.0,294.0,,18.0,,61.0,12.0,0.4,0.0,236.0,18.3,10.3,6.5,,,
NAP,2025-01-10,-5.2,-4.3,-6.1,-4.0,-2.7,-5.2,92.7,3.8,856.8,,1467.6,,1014.8,2.8,9.5,10.1,34.2,8.8,31.7,,2.4,2.3,38.0,22.0,283.0,,13.0,,0.0,0.0,0.3,0.0,186.0,25.2,17.2,2.3,,,
NAP,2025-01-11,-6.2,-3.4,-8.3,-3.0,-1.3,-4.8,96.6,3.7,859.9,,1495.4,,1018.3,2.4,9.1,8.6,32.8,8.6,31.0,,0.0,0.1,41.0,64.0,272.0,,47.0,,70.0,14.0,0.1,0.0,31.0,26.2,18.2,0.1,,,
NAP,2025-01-12,-8.4,-7.6,-9.3,-4.0,-2.6,-5.0,95.4,3.1,867.8,,1565.9,,1027.4,3.8,14.8,13.7,53.3,14.0,50.4,,0.0,0.0,40.0,41.0,267.0,,29.0,,2.0,0.0,0.1,0.0,26.0,28.4,20.4,0.0,,,
NAP,2025-01-13,-7.7,2.4,-10.3,-4.8,-3.1,-6.4,82.7,2.7,868.7,,1574.5,,1028.5,6.4,16.2,23.0,58.3,15.7,56.5,,0.0,0.0,39.0,60.0,244.0,,39.0,,65.0,13.0,1.2,0.0,55.0,27.7,19.7,-0.1,,,
NAP,2025-01-14,0.6,3.1,-4.8,-5.7,-2.5,-8.4,26.9,1.7,867.8,,1571.7,,1027.5,7.9,17.2,28.4,61.9,16.0,57.6,,0.0,0.0,36.0,93.0,216.0,,58.0,,511.0,100.0,2.1,0.0,77.0,19.4,11.4,-0.8,,,
NAP,2025-01-15,-1.3,3.0,-5.2,-3.8,0.0,-7.0,61.8,3.1,866.6,,1559.9,,1026.1,5.1,15.3,18.4,55.1,14.4,51.8,,0.0,0.0,35.0,76.0,270.0,,46.0,,258.0,51.0,1.2,0.0,57.0,21.3,13.3,-0.3,,,
NAP,2025-01-16,-4.4,-0.2,-5.6,-4.3,-0.9,-8.2,92.8,4.1,867.6,,1566.8,,1027.2,3.8,16.5,13.7,59.4,13.6,49.0,,0.0,0.0,35.0,74.0,262.0,,48.0,,224.0,44.0,0.4,0.0,45.0,24.4,16.4,-0.1,,,
NAP,2025-01-17,0.0,2.4,-5.1,-6.4,-0.4,-11.0,49.7,3.0,868.8,,1580.3,,1028.6,3.1,9.6,11.2,34.6,9.3,33.5,,0.0,0.0,35.0,97.0,216.0,,61.0,,518.0,100.0,0.8,0.0,241.0,20.0,12.0,-0.6,,,
NAP,2025-01-18,4.2,7.4,-0.8,-5.6,0.2,-11.6,29.6,2.4,864.8,,1545.6,,1024.0,2.2,7.3,7.9,26.3,7.0,25.2,,0.0,0.0,35.0,97.0,227.0,,61.0,,519.0,100.0,1.0,0.0,63.0,15.8,7.8,-0.8,,,
NAP,2025-01-19,4.5,6.8,1.6,-2.2,1.9,-6.1,37.9,3.1,860.0,,1500.2,,1018.4,3.1,11.0,11.2,39.6,10.5,37.8,,0.0,0.0,35.0,95.0,250.0,,60.0,,464.0,89.0,1.3,0.0,239.0,15.5,7.5,-0.6,,,
NAP,2025-01-20,2.8,4.6,1.3,-2.0,2.9,-7.8,50.4,3.8,858.4,,1485.2,,1016.7,2.4,8.1,8.6,29.2,7.7,27.7,,0.0,0.0,35.0,90.0,243.0,,56.0,,418.0,80.0,0.9,0.0,34.0,17.2,9.2,-0.4,,,
NAP,2025-01-21,1.8,4.1,-1.6,-3.3,3.0,-8.0,57.4,4.0,856.3,,1465.3,,1014.3,2.4,7.4,8.6,26.6,7.3,26.3,,0.0,0.0,35.0,98.0,230.0,,60.0,,522.0,99.0,0.7,0.0,225.0,18.2,10.2,-0.4,,,
NAP,2025-01-22,4.2,5.8,0.7,-0.3,2.1,-6.0,48.5,4.0,851.2,,1416.9,,1008.4,2.8,7.3,10.1,26.3,7.2,25.9,,1.4,0.0,35.0,32.0,291.0,,19.0,,0.0,0.0,1.2,0.0,213.0,15.8,7.8,-0.1,,,
NAP,2025-01-23,0.7,5.3,-1.4,0.2,2.0,-2.0,89.1,5.6,852.4,,1427.9,,1009.8,6.6,23.3,23.8,83.9,22.2,79.9,,8.4,9.8,34.0,26.0,303.0,,18.0,,0.0,0.0,0.9,0.0,230.0,19.3,11.3,9.8,,,
NAP,2025-01-24,5.5,9.4,-1.2,-0.6,0.7,-3.0,35.3,3.1,855.7,,1460.0,,1013.6,8.4,18.3,30.2,65.9,17.2,61.9,,0.0,0.0,41.0,76.0,274.0,,52.0,,219.0,41.0,2.8,0.0,224.0,14.5,6.5,-0.3,,,
NAP,2025-01-25,6.8,9.9,1.8,1.5,4.9,-0.3,43.9,4.3,853.6,,1439.8,,1011.1,4.8,19.7,17.3,70.9,17.9,64.4,,4.0,0.0,39.0,80.0,282.0,,51.0,,294.0,55.0,1.9,0.0,222.0,13.2,5.2,-0.4,,,
NAP,2025-01-26,0.9,5.0,-1.5,-1.1,0.4,-4.1,73.0,4.7,852.0,,1424.2,,1009.3,7.2,22.2,25.9,79.9,21.7,78.1,,2.1,4.0,43.0,101.0,266.0,,73.0,,408.0,76.0,1.2,0.0,220.0,19.1,11.1,3.8,,,
NAP,2025-01-27,2.7,6.6,-0.7,0.9,3.8,0.0,85.8,6.3,846.2,,1369.4,,1002.7,6.3,15.7,22.7,56.5,15.0,54.0,,47.5,41.2,40.0,20.0,322.0,,10.0,,40.0,7.0,0.9,0.0,216.0,17.3,9.3,41.2,,,
NAP,2025-01-28,-0.8,0.4,-1.6,0.0,0.0,0.0,95.0,5.5,844.2,,1350.1,,1000.3,7.3,19.7,26.3,70.9,18.4,66.2,,3.2,10.2,59.0,46.0,297.0,,34.0,,9.0,2.0,0.3,0.0,225.0,20.8,12.8,10.2,,,
NAP,2025-01-29,0.4,3.5,-1.3,0.0,0.0,0.0,78.2,4.8,851.6,,1420.4,,1008.8,6.4,23.4,23.0,84.2,22.0,79.2,,0.1,1.5,66.0,100.0,255.0,,73.0,,386.0,71.0,1.0,0.0,221.0,19.6,11.6,1.3,,,
NAP,2025-01-30,0.8,2.6,-1.1,0.0,0.0,-0.2,73.3,4.7,857.0,,1470.9,,1015.0,3.2,8.0,11.5,28.8,7.9,28.4,,1.5,0.8,63.0,55.0,292.0,,40.0,,18.0,3.0,0.8,0.0,264.0,19.2,11.2,0.7,,,
NAP,2025-01-31,-1.8,-0.5,-3.1,0.0,0.0,-0.1,99.5,5.3,863.6,,1532.0,,1022.7,2.9,9.1,10.4,32.8,8.9,32.0,,5.3,5.7,62.0,40.0,307.0,,30.0,,0.0,0.0,0.3,0.0,333.0,21.8,13.8,5.7,,,
NAP,2025-02-01,-2.7,3.0,-5.7,-0.4,0.0,-1.5,88.9,4.3,862.4,,1519.8,,1021.2,1.8,6.8,6.5,24.5,6.4,23.0,,0.0,0.3,64.0,81.0,275.0,,60.0,,23.0,4.0,0.5,0.0,360.0,22.7,14.7,0.3,,,
NAP,2025-02-02,2.7,3.9,0.8,-1.6,-0.8,-2.4,44.0,3.3,860.6,,1505.3,,1019.1,2.0,5.6,7.2,20.2,5.5,19.8,,0.0,0.0,62.0,124.0,224.0,,87.0,,558.0,100.0,0.9,0.0,60.0,17.3,9.3,-0.6,,,
NAP,2025-02-03,2.2,4.9,-1.1,-1.6,-0.6,-2.7,42.7,3.0,863.5,,1532.3,,1022.5,3.7,9.7,13.3,34.9,9.1,32.8,,0.0,0.0,62.0,125.0,213.0,,87.0,,564.0,100.0,1.4,0.0,78.0,17.8,9.8,-0.6,,,
