station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
NAS,2025-01-01,-1.7,0.2,-4.8,,,,34.3,1.9,767.5,,,3108.5,1025.2,3.8,9.9,13.7,35.6,9.7,34.9,,,,,89.0,,,,,460.0,100.0,1.0,0.0,254.0,21.7,13.7,,,,
NAS,2025-01-02,-5.1,-4.0,-7.9,,,,58.9,2.4,758.2,,,3004.5,1013.5,6.5,14.1,23.4,50.8,13.6,49.0,,,,,43.0,,,,,0.0,0.0,0.8,0.0,249.0,25.1,17.1,,,,
NAS,2025-01-03,-10.4,-7.9,-12.0,,,,48.3,1.4,756.4,,,2973.4,1011.1,4.4,11.7,15.8,42.1,11.3,40.7,,,,,91.0,,,,,462.0,100.0,0.6,0.0,250.0,30.4,22.4,,,,
NAS,2025-01-04,-7.5,-5.3,-10.6,,,,27.8,1.0,757.3,,,2989.7,1012.3,4.4,11.3,15.8,40.7,11.0,39.6,,,,,86.0,,,,,423.0,93.0,0.9,0.0,248.0,27.5,19.5,,,,
NAS,2025-01-05,-0.8,2.4,-7.8,,,,76.0,4.4,755.1,,,2982.1,1009.5,7.6,12.5,27.4,45.0,12.4,44.6,,,,,27.0,,,,,0.0,0.0,0.6,0.0,247.0,20.8,12.8,,,,
NAS,2025-01-06,-2.1,-0.6,-3.8,,,,73.8,3.9,751.5,,,2942.0,1005.0,8.6,19.0,31.0,68.4,18.0,64.8,,,,,43.0,,,,,16.0,3.0,0.8,0.0,234.0,22.1,14.1,,,,
NAS,2025-01-07,-4.9,-3.4,-6.6,,,,68.8,3.0,750.4,,,2924.8,1003.6,5.2,15.1,18.7,54.4,14.7,52.9,,,,,78.0,,,,,307.0,67.0,0.5,0.0,249.0,24.9,16.9,,,,
NAS,2025-01-08,-2.5,-0.2,-5.8,,,,66.5,3.5,753.7,,,2963.6,1007.7,7.1,13.9,25.6,50.0,13.7,49.3,,,,,54.0,,,,,34.0,7.0,0.8,0.0,247.0,22.5,14.5,,,,
NAS,2025-01-09,-1.9,0.1,-7.7,,,,72.8,3.9,751.8,,,2945.0,1005.3,6.4,18.7,23.0,67.3,18.2,65.5,,,,,85.0,,,,,149.0,32.0,0.4,0.0,250.0,21.9,13.9,,,,
NAS,2025-01-10,-11.0,-8.6,-12.6,,,,63.1,1.7,754.9,,,2956.9,1009.2,3.2,19.8,11.5,71.3,19.4,69.8,,,,,51.0,,,,,89.0,19.0,0.5,0.0,279.0,31.0,23.0,,,,
NAS,2025-01-11,-11.0,-7.4,-16.3,,,,54.8,1.5,757.2,,,2979.9,1012.1,3.5,13.2,12.6,47.5,12.8,46.1,,,,,100.0,,,,,481.0,100.0,0.4,0.0,265.0,31.0,23.0,,,,
NAS,2025-01-12,-13.9,-10.5,-16.7,,,,70.5,1.5,764.2,,,3041.9,1021.0,2.7,7.5,9.7,27.0,7.2,25.9,,,,,91.0,,,,,251.0,53.0,0.3,0.0,53.0,33.9,25.9,,,,
NAS,2025-01-13,-8.9,-4.0,-14.6,,,,24.9,0.7,768.4,,,3097.4,1026.4,2.6,8.4,9.4,30.2,8.2,29.5,,,,,102.0,,,,,480.0,100.0,0.8,0.0,52.0,28.9,20.9,,,,
NAS,2025-01-14,-4.0,-1.2,-5.9,,,,17.0,0.8,768.9,,,3115.1,1026.9,2.0,5.4,7.2,19.4,5.3,19.1,,,,,95.0,,,,,373.0,78.0,0.8,0.0,45.0,24.0,16.0,,,,
NAS,2025-01-15,-5.7,-2.0,-9.8,,,,66.0,2.6,765.8,,,3079.4,1023.0,4.2,14.0,15.1,50.4,13.1,47.2,,,,,86.0,,,,,232.0,49.0,0.6,0.0,33.0,25.7,17.7,,,,
NAS,2025-01-16,-5.8,-2.3,-11.4,,,,62.5,2.4,768.9,,,3110.3,1026.9,1.8,6.4,6.5,23.0,6.3,22.7,,,,,100.0,,,,,493.0,100.0,0.3,0.0,14.0,25.8,17.8,,,,
NAS,2025-01-17,-2.0,0.9,-4.2,,,,36.0,1.9,770.6,,,3138.2,1029.1,1.6,6.3,5.8,22.7,6.1,22.0,,,,,104.0,,,,,495.0,100.0,0.6,0.0,16.0,22.0,14.0,,,,
NAS,2025-01-18,-1.9,0.7,-4.9,,,,35.7,1.9,769.0,,,3122.0,1027.0,1.7,9.2,6.1,33.1,9.0,32.4,,,,,104.0,,,,,496.0,100.0,0.6,0.0,219.0,21.9,13.9,,,,
NAS,2025-01-19,-2.3,-0.7,-5.3,,,,64.5,3.3,764.0,,,3070.5,1020.8,2.3,9.5,8.3,34.2,9.1,32.8,,,,,75.0,,,,,82.0,17.0,0.5,0.0,96.0,22.3,14.3,,,,
NAS,2025-01-20,-5.1,-3.6,-6.5,,,,77.4,3.2,761.5,,,3037.3,1017.5,1.8,10.2,6.5,36.7,10.0,36.0,,,,,94.0,,,,,277.0,57.0,0.3,0.0,198.0,25.1,17.1,,,,
NAS,2025-01-21,-5.0,-2.5,-7.0,,,,71.6,3.0,758.7,,,3009.7,1014.1,1.1,6.0,4.0,21.6,5.8,20.9,,,,,108.0,,,,,512.0,100.0,0.3,0.0,262.0,25.0,17.0,,,,
NAS,2025-01-22,-4.4,-2.0,-6.0,,,,64.5,2.9,756.2,,,2985.1,1010.9,5.2,9.5,18.7,34.2,9.2,33.1,,,,,59.0,,,,,62.0,12.0,0.8,0.0,249.0,24.4,16.4,,,,
NAS,2025-01-23,-3.0,-1.3,-5.8,,,,72.5,3.6,754.8,,,2974.0,1009.1,4.3,11.5,15.5,41.4,11.3,40.7,,,,,66.0,,,,,150.0,30.0,0.6,0.0,252.0,23.0,15.0,,,,
NAS,2025-01-24,-0.5,1.9,-5.1,,,,34.7,2.0,760.2,,,3036.0,1015.9,4.9,13.4,17.6,48.2,12.8,46.1,,,,,105.0,,,,,373.0,74.0,1.4,0.0,250.0,20.5,12.5,,,,
NAS,2025-01-25,-0.6,0.8,-2.3,,,,53.2,3.0,759.7,,,3030.1,1015.3,6.5,13.1,23.4,47.2,12.8,46.1,,,,,100.0,,,,,317.0,63.0,1.3,0.0,242.0,20.6,12.6,,,,
NAS,2025-01-26,-4.1,-2.0,-6.5,,,,77.8,3.5,755.6,,,2980.3,1010.2,3.8,12.1,13.7,43.6,12.0,43.2,,,,,68.0,,,,,90.0,18.0,0.5,0.0,248.0,24.1,16.1,,,,
