station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
NEU,2025-01-01,2.6,6.3,-1.5,1.2,7.5,-2.5,79.4,5.8,969.0,1028.6,,,1026.6,2.3,8.3,8.3,29.9,7.9,28.4,,0.0,0.0,,70.0,267.0,,,,372.0,78.0,0.3,0.0,252.0,17.4,9.4,-0.2,,,
NEU,2025-01-02,5.6,8.7,2.0,4.1,9.0,0.6,73.0,6.6,960.3,1018.7,,,1017.5,6.4,22.1,23.0,79.6,20.9,75.2,,12.4,12.4,,20.0,302.0,,,,31.0,6.0,1.3,0.0,251.0,14.4,6.4,12.3,,,
NEU,2025-01-03,0.0,3.0,-3.0,-1.7,4.3,-5.8,79.7,4.9,964.2,1024.0,,,1021.5,1.6,9.0,5.8,32.4,8.7,31.3,,0.0,0.0,,68.0,237.0,,,,320.0,67.0,0.2,0.0,360.0,20.0,12.0,-0.2,,,
NEU,2025-01-04,-1.6,0.1,-3.8,-1.8,1.0,-6.9,87.0,4.8,961.5,1021.5,,,1018.7,0.8,3.3,2.9,11.9,3.2,11.5,,19.9,13.0,,29.0,288.0,,,,0.0,0.0,0.2,0.0,56.0,21.6,13.6,13.0,,,
NEU,2025-01-05,7.7,10.5,0.1,6.1,12.8,-0.1,83.8,8.8,950.0,1007.3,,,1006.7,3.6,11.9,13.0,42.8,11.7,42.1,,0.1,7.0,,41.0,314.0,,,,80.0,17.0,0.3,0.0,249.0,12.3,4.3,6.9,,,
NEU,2025-01-06,7.3,11.2,4.0,5.8,10.7,2.0,81.6,8.3,944.7,1001.7,,,1001.1,3.9,17.7,14.0,63.7,17.1,61.6,,8.4,8.4,,19.0,325.0,,,,7.0,1.0,1.0,0.0,254.0,12.7,4.7,8.3,,,
NEU,2025-01-07,5.6,8.1,3.8,3.9,7.2,1.5,72.2,6.5,951.8,1009.7,,,1008.6,5.2,17.9,18.7,64.4,16.9,60.8,,3.8,2.0,,30.0,295.0,,,,60.0,12.0,1.2,0.0,255.0,14.4,6.4,1.9,,,
NEU,2025-01-08,9.0,11.2,7.0,7.8,9.9,5.6,81.8,9.4,949.9,1006.8,,,1006.6,7.4,21.2,26.6,76.3,20.3,73.1,,6.6,8.2,,9.0,340.0,,,,0.0,0.0,1.2,0.0,244.0,11.0,3.0,8.2,,,
NEU,2025-01-09,6.9,9.2,1.9,5.7,8.5,0.4,81.8,8.4,951.4,1008.9,,,1008.1,6.5,21.1,23.4,76.0,20.3,73.1,,9.3,9.5,,11.0,324.0,,,,1.0,0.0,0.6,0.0,244.0,13.1,5.1,9.5,,,
NEU,2025-01-10,1.7,3.0,0.1,1.2,4.8,-0.6,74.5,5.1,961.8,1021.1,,,1019.1,1.8,8.1,6.5,29.2,7.9,28.4,,0.2,0.2,,25.0,300.0,,,,0.0,0.0,0.6,0.0,45.0,18.3,10.3,0.1,,,
