station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
OBR,2025-01-01,-2.6,5.1,-6.9,,,,97.5,4.9,977.4,1028.9,,,1026.2,1.5,9.1,5.4,32.8,8.5,30.6,0.0,0.0,0.0,,,267.0,,,,,,,0.0,248.0,22.6,14.6,,,,
OBR,2025-01-02,5.7,11.4,0.0,,,,64.0,5.6,967.5,1017.0,,,1015.9,4.5,15.7,16.2,56.5,15.2,54.7,180.0,15.5,15.4,,,318.0,,,,,,,0.0,214.0,14.3,6.3,,,,
OBR,2025-01-03,0.1,2.3,-2.2,,,,96.7,5.9,973.4,1024.2,,,1022.0,1.1,3.7,4.0,13.3,3.4,12.2,0.0,0.0,0.1,,,288.0,,,,,,,0.0,18.0,19.9,11.9,,,,
OBR,2025-01-04,-2.4,0.1,-6.1,,,,92.6,4.7,971.2,1022.4,,,1019.7,1.3,5.0,4.7,18.0,4.9,17.6,0.0,4.1,0.9,,,260.0,,,,,,,0.0,270.0,22.4,14.4,,,,
OBR,2025-01-05,5.5,13.8,-0.4,,,,83.9,7.4,958.5,1007.5,,,1006.5,5.5,24.3,19.8,87.5,23.6,85.0,130.0,0.9,4.1,,,329.0,,,,,,,0.0,196.0,14.5,6.5,,,,
OBR,2025-01-06,13.0,16.5,6.6,,,,45.4,6.6,952.3,999.6,,,1000.1,8.7,23.7,31.3,85.3,23.1,83.2,680.0,0.0,0.0,,,328.0,,,,,,,0.0,211.0,0.0,0.0,,,,
OBR,2025-01-07,5.1,8.9,1.1,,,,79.5,6.9,960.3,1009.5,,,1008.4,3.0,14.5,10.8,52.2,13.1,47.2,0.0,0.6,0.2,,,298.0,,,,,,,0.0,233.0,14.9,6.9,,,,
OBR,2025-01-08,7.1,13.4,2.8,,,,74.2,7.5,958.2,1006.9,,,1006.2,4.3,14.5,15.5,52.2,13.6,49.0,60.0,0.5,0.9,,,333.0,,,,,,,0.0,209.0,12.9,4.9,,,,
OBR,2025-01-09,7.5,12.9,2.2,,,,75.3,7.8,958.4,1007.1,,,1006.5,2.9,21.9,10.4,78.8,21.4,77.0,30.0,4.5,4.5,,,321.0,,,,,,,0.0,265.0,12.5,4.5,,,,
OBR,2025-01-10,1.9,4.4,-0.3,,,,73.7,5.1,971.1,1021.5,,,1019.7,1.4,6.6,5.0,23.8,5.7,20.5,0.0,0.0,0.0,,,276.0,,,,,,,0.0,225.0,18.1,10.1,,,,
