station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
ORO,2025-01-01,3.9,7.5,0.6,,,,51.5,4.1,929.5,,1550.0,,1026.2,4.0,8.9,14.4,32.0,8.6,31.0,,0.0,0.0,0.0,81.0,,,,16.0,462.0,100.0,1.2,0.0,187.0,16.1,8.1,-0.7,,,
ORO,2025-01-02,3.2,7.0,0.0,,,,80.4,6.1,921.8,,1481.8,,1017.9,6.1,22.0,22.0,79.2,21.8,78.5,,11.9,11.5,0.0,46.0,,,,35.0,71.0,16.0,0.9,0.0,227.0,16.8,8.8,11.4,,,
ORO,2025-01-03,-1.5,0.8,-5.6,,,,89.9,4.9,923.5,,1485.0,,1019.8,2.7,6.9,9.7,24.8,6.8,24.5,,0.0,0.4,2.0,79.0,,,,14.0,435.0,95.0,0.1,0.0,51.0,21.5,13.5,0.3,,,
ORO,2025-01-04,-3.7,1.1,-8.2,,,,90.9,4.3,920.9,,1456.9,,1016.9,2.9,12.9,10.4,46.4,12.7,45.7,,11.3,5.3,1.0,55.0,,,,41.0,118.0,26.0,0.3,0.0,183.0,23.7,15.7,5.2,,,
ORO,2025-01-05,5.7,7.8,0.8,,,,93.3,8.5,912.1,,1402.6,,1007.4,4.1,10.7,14.8,38.5,10.4,37.4,,0.2,6.2,0.0,42.0,,,,37.0,13.0,3.0,0.1,0.0,198.0,14.3,6.3,6.2,,,
ORO,2025-01-06,6.4,8.6,2.9,,,,76.8,7.3,906.9,,1358.1,,1001.8,5.4,18.9,19.4,68.0,18.1,65.2,,25.2,25.2,0.0,14.0,,,,12.0,0.0,0.0,1.0,0.0,218.0,13.6,5.6,25.1,,,
ORO,2025-01-07,3.5,5.1,2.2,,,,78.6,6.1,913.5,,1410.2,,1008.9,5.2,16.2,18.7,58.3,15.7,56.5,,2.8,0.0,0.0,37.0,,,,31.0,20.0,4.0,0.9,0.0,221.0,16.5,8.5,-0.1,,,
ORO,2025-01-08,5.7,7.9,2.8,,,,94.4,8.7,912.4,,1405.6,,1007.7,5.2,15.4,18.7,55.4,14.8,53.3,,10.3,11.3,0.0,18.0,,,,16.0,0.0,0.0,0.4,0.0,210.0,14.3,6.3,11.3,,,
ORO,2025-01-09,5.0,8.2,-0.9,,,,89.4,8.0,913.3,,1411.0,,1008.6,6.2,19.6,22.3,70.6,18.9,68.0,,11.3,13.1,0.0,19.0,,,,17.0,0.0,0.0,0.3,0.0,223.0,15.0,7.0,13.1,,,
ORO,2025-01-10,-0.9,0.2,-1.6,,,,91.2,5.2,921.4,,1468.5,,1017.4,1.3,5.5,4.7,19.8,5.4,19.4,,1.8,1.7,0.0,23.0,,,,22.0,0.0,0.0,0.3,0.0,14.0,20.9,12.9,1.7,,,
ORO,2025-01-11,-2.1,-0.9,-4.5,,,,93.0,4.9,924.1,,1488.1,,1020.4,3.8,10.0,13.7,36.0,9.8,35.3,,0.0,0.1,0.0,40.0,,,,34.0,30.0,6.0,0.2,0.0,27.0,22.1,14.1,0.1,,,
ORO,2025-01-12,-4.1,-2.3,-6.0,,,,80.6,3.6,932.3,,1552.0,,1029.3,7.5,15.4,27.0,55.4,15.3,55.1,,0.0,0.0,0.0,88.0,,,,15.0,477.0,100.0,0.5,0.0,33.0,24.1,16.1,-0.2,,,
ORO,2025-01-13,-5.3,-2.2,-7.5,,,,87.3,3.6,934.1,,1563.1,,1031.2,5.1,13.5,18.4,48.6,12.9,46.4,,0.0,0.0,0.0,91.0,,,,18.0,479.0,100.0,0.3,0.0,33.0,25.3,17.3,-0.2,,,
ORO,2025-01-14,-6.8,-5.1,-9.0,,,,98.3,3.6,933.1,,1551.2,,1030.2,1.6,5.1,5.8,18.4,5.0,18.0,,0.0,0.0,0.0,81.0,,,,45.0,271.0,57.0,0.1,0.0,17.0,26.8,18.8,0.0,,,
ORO,2025-01-15,-1.9,5.0,-6.8,,,,88.9,4.7,929.9,,1537.8,,1026.7,3.6,13.4,13.0,48.2,13.2,47.5,,0.0,0.0,0.0,85.0,,,,16.0,420.0,88.0,0.5,0.0,21.0,21.9,13.9,-0.1,,,
ORO,2025-01-16,-0.9,1.3,-2.2,,,,89.9,5.1,932.5,,1562.5,,1029.5,3.4,10.8,12.2,38.9,10.7,38.5,,0.0,0.0,0.0,78.0,,,,33.0,292.0,61.0,0.3,0.0,36.0,20.9,12.9,-0.1,,,
ORO,2025-01-17,-1.9,0.8,-3.6,,,,92.9,4.9,934.0,,1572.1,,1031.1,1.7,4.3,6.1,15.5,4.2,15.1,,0.0,0.0,0.0,85.0,,,,27.0,350.0,73.0,0.2,0.0,34.0,21.9,13.9,-0.1,,,
ORO,2025-01-18,-3.8,-1.0,-6.2,,,,98.2,4.5,929.2,,1526.6,,1025.9,1.6,4.7,5.8,16.9,4.6,16.6,,0.0,0.0,0.0,73.0,,,,36.0,257.0,53.0,0.2,0.0,18.0,23.8,15.8,0.0,,,
ORO,2025-01-19,-2.5,1.5,-6.6,,,,97.7,5.0,923.3,,1480.9,,1019.6,1.1,3.8,4.0,13.7,3.7,13.3,,0.0,0.0,0.0,64.0,,,,55.0,69.0,14.0,0.2,0.0,124.0,22.5,14.5,0.0,,,
ORO,2025-01-20,1.0,5.6,-2.4,,,,88.5,5.8,921.5,,1473.4,,1017.5,1.3,4.5,4.7,16.2,4.5,16.2,,0.0,0.0,0.0,86.0,,,,27.0,379.0,78.0,0.3,0.0,112.0,19.0,11.0,-0.1,,,
ORO,2025-01-21,-0.2,3.5,-3.8,,,,90.2,5.4,919.6,,1455.1,,1015.5,1.2,3.4,4.3,12.2,3.3,11.9,,0.0,0.0,0.0,91.0,,,,21.0,395.0,81.0,0.2,0.0,104.0,20.2,12.2,-0.1,,,
ORO,2025-01-22,2.0,6.8,-2.6,,,,86.4,6.0,913.8,,1409.0,,1009.2,3.6,16.0,13.0,57.6,15.7,56.5,,7.6,0.6,0.0,27.0,,,,25.0,0.0,0.0,0.7,0.0,182.0,18.0,10.0,0.6,,,
ORO,2025-01-23,4.2,5.9,1.6,,,,88.5,7.3,916.3,,1436.1,,1011.9,3.5,10.3,12.6,37.1,9.8,35.3,,4.1,11.1,0.0,61.0,,,,44.0,65.0,13.0,0.4,0.0,207.0,15.8,7.8,11.1,,,
ORO,2025-01-24,6.2,9.6,1.5,,,,58.0,5.2,918.6,,1460.9,,1014.4,4.6,13.9,16.6,50.0,13.2,47.5,,0.0,0.0,0.0,97.0,,,,38.0,327.0,66.0,1.5,0.0,201.0,13.8,5.8,-0.3,,,
ORO,2025-01-25,9.5,13.0,3.0,,,,47.7,5.5,915.6,,1441.7,,1011.1,5.0,16.7,18.0,60.1,16.4,59.0,,5.7,4.0,0.0,100.0,,,,42.0,369.0,74.0,2.0,0.0,192.0,10.5,2.5,3.5,,,
ORO,2025-01-26,4.1,6.3,1.8,,,,85.3,6.9,916.0,,1432.7,,1011.5,5.1,16.7,18.4,60.1,16.4,59.0,,4.4,2.0,0.0,93.0,,,,27.0,337.0,67.0,0.6,0.0,205.0,15.9,7.9,1.9,,,
ORO,2025-01-27,5.1,7.0,3.5,,,,91.8,8.1,908.2,,1366.6,,1003.1,5.8,26.7,20.9,96.1,26.2,94.3,,65.9,53.5,0.0,17.0,,,,15.0,2.0,0.0,0.6,0.0,179.0,14.9,6.9,53.5,,,
ORO,2025-01-28,3.1,5.2,1.5,,,,92.7,7.0,907.9,,1360.4,,1002.9,4.7,16.2,16.9,58.3,15.7,56.5,,3.5,18.9,0.0,61.0,,,,40.0,77.0,15.0,0.5,0.0,205.0,16.9,8.9,18.9,,,
ORO,2025-01-29,3.6,5.6,1.4,,,,80.7,6.4,915.6,,1428.5,,1011.1,4.1,15.6,14.8,56.2,15.5,55.8,,0.0,1.1,0.0,85.0,,,,32.0,338.0,67.0,0.7,0.0,212.0,16.4,8.4,0.9,,,
ORO,2025-01-30,3.8,5.7,1.6,,,,79.4,6.4,920.2,,1469.6,,1016.2,1.8,6.6,6.5,23.8,6.5,23.4,,1.5,1.5,0.0,53.0,,,,44.0,37.0,7.0,0.6,0.0,37.0,16.2,8.2,1.4,,,
ORO,2025-01-31,2.4,4.5,0.7,,,,97.5,7.1,927.7,,1530.8,,1024.3,3.2,7.9,11.5,28.4,7.8,28.1,,0.8,0.8,0.0,36.0,,,,34.0,0.0,0.0,0.4,0.0,26.0,17.6,9.6,0.8,,,
ORO,2025-02-01,0.5,1.8,-0.5,,,,97.2,6.1,926.8,,1517.9,,1023.3,3.4,8.7,12.2,31.3,8.6,31.0,,0.0,0.0,0.0,43.0,,,,42.0,0.0,0.0,0.3,0.0,20.0,19.5,11.5,0.0,,,
ORO,2025-02-02,0.1,3.1,-1.3,,,,96.9,6.0,924.5,,1497.7,,1020.9,1.9,5.2,6.8,18.7,5.2,18.7,,0.0,0.0,0.0,107.0,,,,33.0,393.0,76.0,0.4,0.0,12.0,19.9,11.9,-0.1,,,
ORO,2025-02-03,-1.1,1.1,-2.7,,,,99.3,5.6,927.8,,1522.0,,1024.4,1.6,4.2,5.8,15.1,4.1,14.8,,0.0,0.0,0.0,83.0,,,,57.0,145.0,28.0,0.3,0.0,10.0,21.1,13.1,0.0,,,
