station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
OTL,2025-01-01,5.6,9.1,2.7,4.5,12.4,-1.2,54.2,4.9,985.4,1031.3,,,1030.1,0.7,3.5,2.5,12.6,3.4,12.2,0.0,0.0,0.0,0.0,77.0,275.0,,,,412.0,100.0,0.2,0.0,90.0,14.4,6.4,-0.5,5.1,5.1,6.2
OTL,2025-01-02,5.7,6.6,4.3,4.8,8.1,2.4,65.8,6.0,976.0,1021.4,,,1020.4,0.6,2.5,2.2,9.0,2.4,8.6,0.0,0.0,0.0,0.0,23.0,313.0,,,,0.0,0.0,0.5,0.0,45.0,14.3,6.3,-0.1,5.8,5.6,6.5
OTL,2025-01-03,7.0,11.8,2.1,5.7,13.8,-2.7,33.5,3.3,971.3,1016.3,,,1015.5,2.3,8.9,8.3,32.0,8.6,31.0,190.0,0.0,0.0,0.0,83.0,246.0,,,,412.0,100.0,1.2,0.0,55.0,13.0,5.0,-0.7,5.7,5.7,6.7
OTL,2025-01-04,2.2,5.1,-0.7,0.5,7.6,-4.5,51.2,3.7,976.2,1022.3,,,1020.6,0.9,5.5,3.2,19.8,5.3,19.1,0.0,0.0,0.0,0.0,70.0,240.0,,,,396.0,96.0,0.3,0.0,270.0,17.8,9.8,-0.4,4.5,4.8,6.2
OTL,2025-01-05,2.8,4.1,0.9,2.5,5.8,-1.8,66.2,4.9,972.7,1018.5,,,1017.0,0.4,2.0,1.4,7.2,1.9,6.8,0.0,1.3,0.0,0.0,29.0,311.0,,,,3.0,1.0,0.4,0.0,135.0,17.2,9.2,-0.1,4.7,4.8,5.9
OTL,2025-01-06,2.8,3.5,1.9,2.7,3.6,1.8,94.8,7.1,967.8,1013.3,,,1011.9,0.6,3.2,2.2,11.5,3.1,11.2,0.0,39.1,32.7,0.0,4.0,326.0,,,,0.0,0.0,0.4,0.0,270.0,17.2,9.2,32.7,5.2,5.2,6.2
OTL,2025-01-07,3.5,7.6,0.8,3.3,11.0,-1.1,88.4,6.9,965.2,1010.5,,,1009.2,0.9,3.4,3.2,12.2,3.2,11.5,0.0,0.0,7.7,0.0,86.0,274.0,,,,406.0,97.0,0.1,0.0,79.0,16.5,8.5,7.6,5.1,5.0,6.0
OTL,2025-01-08,4.4,6.9,1.9,3.8,7.8,-0.9,77.8,6.5,969.6,1015.0,,,1013.8,0.8,3.1,2.9,11.2,3.1,11.2,0.0,5.2,1.8,0.0,26.0,309.0,,,,0.0,0.0,0.4,0.0,45.0,15.6,7.6,1.8,5.1,5.0,6.1
OTL,2025-01-09,5.1,6.9,3.9,5.0,6.8,3.8,95.0,8.3,966.1,1011.2,,,1010.1,0.9,4.7,3.2,16.9,4.7,16.9,0.0,0.1,3.5,0.0,24.0,328.0,,,,0.0,0.0,0.4,0.0,53.0,14.9,6.9,3.5,6.0,5.7,6.4
OTL,2025-01-10,6.8,10.4,2.5,5.8,10.5,0.7,47.9,4.5,970.2,1015.2,,,1014.4,2.3,14.6,8.3,52.6,13.8,49.7,80.0,0.0,0.0,0.0,39.0,286.0,,,,122.0,29.0,1.3,0.0,52.0,13.2,5.2,-0.2,5.9,5.8,6.7
OTL,2025-01-11,3.1,6.5,0.6,1.9,9.5,-1.8,70.8,5.3,973.7,1019.5,,,1018.0,1.2,6.8,4.3,24.5,6.6,23.8,10.0,0.0,0.0,0.0,72.0,244.0,,,,291.0,69.0,0.4,0.0,51.0,16.9,8.9,-0.2,5.3,5.4,6.5
OTL,2025-01-12,4.1,7.8,1.2,3.1,10.2,-1.6,37.6,3.1,980.0,1025.9,,,1024.6,2.0,7.8,7.2,28.1,7.3,26.3,0.0,0.0,0.0,0.0,89.0,228.0,,,,425.0,100.0,0.9,0.0,22.0,15.9,7.9,-0.5,4.6,4.8,6.0
OTL,2025-01-13,3.0,7.4,0.1,1.8,10.1,-3.6,51.5,3.9,986.3,1032.6,,,1031.0,2.0,11.1,7.2,40.0,10.6,38.2,0.0,0.0,0.0,0.0,92.0,226.0,,,,427.0,100.0,0.8,0.0,266.0,17.0,9.0,-0.4,4.1,4.3,5.6
OTL,2025-01-14,1.0,4.9,-1.6,-0.4,8.3,-5.1,66.1,4.3,987.7,1034.5,,,1032.5,0.9,3.9,3.2,14.0,3.7,13.3,0.0,0.0,0.0,0.0,86.0,232.0,,,,429.0,100.0,0.3,0.0,135.0,19.0,11.0,-0.3,3.7,3.9,5.2
OTL,2025-01-15,2.8,7.4,-1.3,1.7,10.7,-5.3,55.8,4.1,980.6,1026.8,,,1025.2,1.3,11.2,4.7,40.3,10.3,37.1,0.0,0.0,0.0,0.0,90.0,240.0,,,,432.0,100.0,0.5,0.0,270.0,17.2,9.2,-0.3,3.5,3.7,4.9
OTL,2025-01-16,3.6,8.1,0.8,2.1,11.4,-2.4,56.7,4.5,988.3,1034.7,,,1033.2,1.0,5.6,3.6,20.2,5.6,20.2,0.0,0.0,0.0,0.0,89.0,243.0,,,,435.0,100.0,0.4,0.0,315.0,16.4,8.4,-0.3,3.7,3.7,4.9
OTL,2025-01-17,2.5,6.9,-0.5,1.0,10.3,-4.4,65.5,4.8,990.7,1037.4,,,1035.6,0.9,6.3,3.2,22.7,6.1,22.0,0.0,0.0,0.0,0.0,89.0,240.0,,,,437.0,100.0,0.3,0.0,90.0,17.5,9.5,-0.2,3.6,3.6,4.8
OTL,2025-01-18,4.8,11.5,0.2,3.6,14.8,-3.8,53.6,4.5,984.7,1030.7,,,1029.4,0.9,4.1,3.2,14.8,4.0,14.4,0.0,0.0,0.0,0.0,76.0,270.0,,,,211.0,48.0,0.6,0.0,27.0,15.2,7.2,-0.2,3.8,3.7,4.8
OTL,2025-01-19,4.5,6.3,3.1,4.1,7.6,2.5,71.5,6.0,980.8,1026.6,,,1025.3,0.8,3.9,2.9,14.0,3.8,13.7,0.0,4.0,3.9,0.0,23.0,320.0,,,,0.0,0.0,0.6,0.0,45.0,15.5,7.5,3.9,4.4,4.2,5.1
OTL,2025-01-20,4.7,6.3,2.9,4.4,7.2,2.0,92.7,7.9,978.3,1024.0,,,1022.7,0.7,2.8,2.5,10.1,2.7,9.7,0.0,6.4,6.5,0.0,25.0,325.0,,,,0.0,0.0,0.4,0.0,53.0,15.3,7.3,6.5,5.1,4.8,5.5
OTL,2025-01-21,6.0,10.5,3.9,5.7,13.8,1.5,85.4,7.9,974.1,1019.4,,,1018.5,0.8,3.4,2.9,12.2,3.2,11.5,0.0,0.0,0.0,0.0,93.0,284.0,,,,370.0,83.0,0.3,0.0,90.0,14.0,6.0,-0.1,5.9,5.5,6.0
OTL,2025-01-22,4.1,5.5,3.0,3.6,7.1,0.4,89.9,7.4,972.5,1018.0,,,1016.7,0.5,2.2,1.8,7.9,2.2,7.9,0.0,1.4,0.6,0.0,31.0,310.0,,,,0.0,0.0,0.4,0.0,90.0,15.9,7.9,0.6,5.4,5.3,6.1
