station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
PAY,2025-01-01,-0.8,4.2,-5.0,-1.4,6.4,-5.6,90.4,5.2,968.5,1029.5,,,1026.7,1.0,6.7,3.6,24.1,6.6,23.8,,0.0,0.0,0.0,73.0,247.0,310.0,18.0,,403,90.0,0.1,0.0,90.0,20.8,12.8,-0.1,2.2,2.5,2.7
PAY,2025-01-02,5.6,9.3,0.6,4.3,9.3,-1.8,69.9,6.3,959.9,1018.8,,,1017.6,5.7,18.8,20.5,67.7,18.4,66.2,,11.0,11.0,0.0,33.0,302.0,330.0,7.0,,62,14.0,1.2,0.0,223.0,14.4,6.4,10.9,2.8,2.8,2.8
PAY,2025-01-03,-0.5,2.5,-4.7,-1.6,5.3,-7.2,86.5,5.1,963.6,1024.2,,,1021.5,1.0,5.1,3.6,18.4,5.0,18.0,,0.0,0.0,0.0,79.0,227.0,309.0,20.0,,428,95.0,0.0,0.0,90.0,20.5,12.5,-0.2,2.8,3.0,3.1
PAY,2025-01-04,-1.9,0.0,-5.2,-2.1,1.4,-8.4,87.2,4.6,960.9,1021.6,,,1018.7,0.6,3.1,2.2,11.2,3.0,10.8,,13.8,9.3,0.0,44.0,281.0,309.0,10.0,,37,8.0,0.1,0.0,117.0,21.9,13.9,9.3,1.4,1.9,2.3
PAY,2025-01-05,8.2,11.4,0.0,7.2,12.8,-0.1,78.7,8.5,949.3,1007.0,,,1006.6,4.2,12.9,15.1,46.4,12.4,44.6,,0.8,5.3,0.0,54.0,309.0,342.0,12.0,,141,31.0,0.5,0.0,215.0,11.8,3.8,5.2,3.6,3.2,2.7
PAY,2025-01-06,8.7,11.3,5.3,7.4,11.5,3.8,69.0,7.7,944.2,1001.5,,,1001.2,4.4,22.6,15.8,81.4,22.1,79.6,,14.5,14.5,0.0,25.0,324.0,344.0,5.0,,29,6.0,1.3,0.0,221.0,11.3,3.3,14.4,5.0,4.7,4.1
PAY,2025-01-07,5.5,7.9,3.7,4.5,8.9,1.9,72.4,6.5,951.5,1009.9,,,1008.8,4.4,17.5,15.8,63.0,16.7,60.1,,1.9,0.2,0.0,54.0,284.0,331.0,13.0,,172,38.0,1.0,0.0,223.0,14.5,6.5,0.0,4.7,4.7,4.4
PAY,2025-01-08,8.7,10.9,6.0,7.7,10.8,4.9,80.3,9.1,949.5,1007.2,,,1006.8,5.2,15.0,18.7,54.0,14.4,51.8,,3.8,5.4,0.0,24.0,333.0,348.0,5.0,,0,0.0,0.9,0.0,218.0,11.3,3.3,5.4,5.3,5.1,4.6
PAY,2025-01-09,7.5,10.3,1.7,6.5,10.9,0.9,77.3,8.2,951.0,1008.9,,,1008.3,5.1,20.1,18.4,72.4,18.7,67.3,,4.4,4.5,0.0,40.0,318.0,344.0,9.0,,33,7.0,0.7,0.0,224.0,12.5,4.5,4.4,6.3,6.1,5.4
PAY,2025-01-10,1.1,2.6,-0.1,0.8,3.7,-0.6,82.4,5.4,961.2,1021.3,,,1019.1,1.1,4.0,4.0,14.4,3.9,14.0,,1.9,0.9,0.0,23.0,299.0,322.0,5.0,,0,0.0,0.4,0.0,56.0,18.9,10.9,0.9,4.6,4.9,5.0
PAY,2025-01-11,0.1,2.7,-2.0,-0.1,4.6,-3.5,79.0,4.8,964.8,1025.3,,,1022.7,2.5,9.2,9.0,33.1,8.8,31.7,,0.0,1.0,0.0,83.0,243.0,312.0,25.0,,418,90.0,0.4,0.0,43.0,19.9,11.9,0.8,3.5,3.8,4.1
PAY,2025-01-12,-1.4,1.4,-3.6,-1.8,2.8,-4.8,68.7,3.8,974.2,1035.6,,,1032.6,4.3,12.8,15.5,46.1,12.4,44.6,,0.0,0.0,0.0,88.0,215.0,304.0,21.0,,441,95.0,0.7,0.0,43.0,21.4,13.4,-0.3,1.8,2.4,3.0
PAY,2025-01-13,-2.7,0.3,-6.0,-3.1,2.1,-8.8,71.7,3.6,975.8,1037.6,,,1034.3,4.1,12.1,14.8,43.6,11.8,42.5,,0.0,0.0,0.0,88.0,207.0,300.0,22.0,,459,98.0,0.5,0.0,41.0,22.7,14.7,-0.3,1.1,1.6,2.2
PAY,2025-01-14,-5.0,-1.7,-7.3,-5.8,0.3,-9.2,85.6,3.6,974.4,1036.7,,,1032.9,0.8,4.0,2.9,14.4,3.9,14.0,,0.0,0.0,0.0,58.0,227.0,296.0,14.0,,187,40.0,0.2,0.0,124.0,25.0,17.0,-0.1,0.7,1.2,1.7
PAY,2025-01-15,-1.4,5.0,-7.9,-1.4,5.9,-9.6,82.6,4.7,971.0,1032.3,,,1029.3,2.4,10.8,8.6,38.9,10.2,36.7,,0.0,0.0,0.0,85.0,260.0,310.0,20.0,,374,79.0,0.4,0.0,41.0,21.4,13.4,-0.2,0.6,1.0,1.4
PAY,2025-01-16,1.4,2.3,0.1,1.1,3.5,-0.4,81.0,5.5,973.2,1033.9,,,1031.6,2.6,10.1,9.4,36.4,9.8,35.3,,0.0,0.0,0.0,27.0,306.0,317.0,5.0,,18,4.0,0.5,0.0,34.0,18.6,10.6,0.0,0.6,0.9,1.3
PAY,2025-01-17,0.4,2.7,-1.6,0.1,6.3,-3.6,79.7,5.0,974.6,1035.6,,,1033.0,1.2,4.1,4.3,14.8,4.0,14.4,,0.0,0.0,0.0,57.0,282.0,314.0,13.0,,121,25.0,0.3,0.0,79.0,19.6,11.6,-0.1,0.8,1.0,1.3
PAY,2025-01-18,-1.5,-0.4,-3.9,-1.8,0.8,-6.2,85.5,4.7,969.8,1031.0,,,1028.1,1.1,3.6,4.0,13.0,3.5,12.6,,0.0,0.0,0.0,27.0,280.0,309.0,5.0,,0,0.0,0.3,0.0,51.0,21.5,13.5,0.0,1.0,1.3,1.5
PAY,2025-01-19,-1.6,0.2,-3.2,-1.4,1.7,-4.3,92.2,5.0,963.6,1024.4,,,1021.5,0.9,3.3,3.2,11.9,3.3,11.9,,0.0,0.0,0.0,33.0,297.0,312.0,7.0,,1,0.0,0.3,0.0,135.0,21.6,13.6,0.0,1.0,1.3,1.5
PAY,2025-01-20,-1.3,-0.1,-2.5,-0.9,1.5,-2.2,97.3,5.4,961.4,1022.0,,,1019.2,0.9,3.4,3.2,12.2,3.3,11.9,,0.0,0.0,0.0,33.0,304.0,314.0,7.0,,0,0.0,0.2,0.0,171.0,21.3,13.3,0.0,1.4,1.6,1.6
