station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
PIL,2025-01-01,1.0,2.8,-0.2,,,,32.5,2.1,794.2,,1554.0,,1024.9,11.1,25.7,40.0,92.5,23.5,84.6,,0.0,0.0,,84,,,,,449.0,100.0,2.5,0.0,245.0,19.0,11.0,,,,
PIL,2025-01-02,-2.3,-0.1,-8.3,,,,62.7,3.1,785.1,,1467.5,,1013.7,10.2,29.5,36.7,106.2,28.1,101.2,,32.4,30.5,,35,,,,,9.0,2.0,1.0,0.0,242.0,22.3,14.3,,,,
PIL,2025-01-03,-9.0,-6.6,-10.7,,,,67.2,2.1,785.0,,1482.6,,1013.6,6.4,19.2,23.0,69.1,18.1,65.2,,0.0,1.9,,86,,,,,213.0,47.0,0.5,0.0,249.0,29.0,21.0,,,,
PIL,2025-01-04,-3.8,0.2,-7.8,,,,40.1,2.2,784.0,,1459.3,,1012.3,7.2,27.2,25.9,97.9,26.6,95.8,,6.9,5.8,,72,,,,,334.0,73.0,1.3,0.0,250.0,23.8,15.8,,,,
PIL,2025-01-05,3.9,7.1,0.0,,,,72.6,5.6,780.1,,1399.5,,1007.5,10.6,26.9,38.2,96.8,25.9,93.2,,0.0,1.1,,37,,,,,12.0,3.0,1.4,0.0,238.0,16.1,8.1,,,,
PIL,2025-01-06,0.8,5.9,-4.9,,,,63.5,3.9,774.7,,1351.1,,1000.9,9.6,21.5,34.6,77.4,20.7,74.5,,10.4,8.1,,42,,,,,47.0,10.0,1.6,0.0,219.0,19.2,11.2,,,,
PIL,2025-01-07,-5.4,-2.1,-6.6,,,,78.8,3.2,777.5,,1397.3,,1004.3,10.8,27.8,38.9,100.1,27.0,97.2,,4.2,2.6,,55,,,,,183.0,39.0,0.8,0.0,242.0,25.4,17.4,,,,
PIL,2025-01-08,0.7,2.9,-2.4,,,,83.7,5.4,778.8,,1394.6,,1005.9,11.8,34.1,42.5,122.8,34.1,122.8,,6.5,7.4,,23,,,,,20.0,4.0,0.7,0.0,242.0,19.3,11.3,,,,
PIL,2025-01-09,-1.9,2.0,-10.0,,,,88.3,4.7,778.3,,1395.5,,1005.3,9.4,27.6,33.8,99.4,26.1,94.0,,11.8,14.8,,39,,,,,99.0,21.0,0.2,0.0,240.0,21.9,13.9,,,,
PIL,2025-01-10,-9.4,-7.2,-10.9,,,,94.4,2.8,783.3,,1465.9,,1011.4,6.5,,23.4,,,,,2.4,2.3,,22,,,,,0.0,0.0,0.3,0.0,,29.4,21.4,,,,
