station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
PIO,2025-01-01,-4.8,-0.3,-8.5,-9.4,-2.6,-12.5,83.5,3.6,913.9,,1557.7,,1028.9,0.3,2.6,1.1,9.4,2.6,9.4,0.0,0.0,0.0,24.0,7.0,244.0,,,7.0,0,,0.3,0.0,315.0,24.8,16.8,-0.1,,,
PIO,2025-01-02,0.5,2.3,-1.8,-0.9,1.2,-2.6,80.8,5.1,905.0,,1491.5,,1019.1,0.7,10.1,2.5,36.4,9.8,35.3,0.0,2.9,2.9,25.0,23.0,303.0,,,22.0,0,,0.3,0.0,297.0,19.5,11.5,2.8,,,
PIO,2025-01-03,-1.3,1.9,-5.7,-3.4,0.1,-8.9,62.1,3.5,902.1,,1463.0,,1015.9,5.2,12.1,18.7,43.6,12.1,43.6,280.0,0.0,0.0,26.0,8.0,228.0,,,8.0,0,,1.1,0.0,283.0,21.3,13.3,-0.1,,,
PIO,2025-01-04,-6.5,-0.8,-10.5,-10.2,-2.1,-15.1,71.2,2.7,904.3,,1472.1,,1018.2,0.5,5.3,1.8,19.1,5.1,18.4,0.0,0.0,0.0,26.0,19.0,232.0,,,18.0,0,,0.3,0.0,270.0,26.5,18.5,-0.1,,,
PIO,2025-01-05,0.3,2.7,-2.2,-0.3,5.5,-3.4,78.1,4.9,901.2,,1457.2,,1014.8,1.3,7.4,4.7,26.6,7.4,26.6,0.0,0.8,0.0,26.0,35.0,296.0,,,34.0,0,,0.4,0.0,279.0,19.7,11.7,-0.1,,,
PIO,2025-01-06,0.8,3.3,-0.2,0.0,1.8,-0.8,91.9,6.0,895.9,,1411.7,,1009.0,1.6,10.2,5.8,36.7,9.9,35.6,0.0,12.6,11.8,26.0,11.0,312.0,,,12.0,0,,0.4,0.0,85.0,19.2,11.2,11.8,,,
PIO,2025-01-07,-2.6,0.5,-7.0,-5.4,-0.5,-10.0,93.4,4.8,894.7,,1395.9,,1007.7,0.4,2.9,1.4,10.4,2.9,10.4,0.0,0.0,1.6,35.0,8.0,251.0,,,8.0,0,,0.3,0.0,288.0,22.6,14.6,1.6,,,
PIO,2025-01-08,0.7,3.8,-4.7,0.0,4.6,-7.5,87.7,5.7,898.9,,1438.3,,1012.4,1.6,8.0,5.8,28.8,7.9,28.4,0.0,1.8,0.3,33.0,45.0,304.0,,,44.0,0,,0.2,0.0,287.0,19.3,11.3,0.3,,,
PIO,2025-01-09,1.7,3.6,0.5,1.2,3.7,0.1,90.6,6.2,895.8,,1412.3,,1008.9,1.4,14.3,5.0,51.5,13.8,49.7,0.0,3.3,4.8,29.0,26.0,314.0,,,26.0,0,,0.4,0.0,291.0,18.3,10.3,4.8,,,
PIO,2025-01-10,-0.4,2.4,-1.9,-1.0,1.6,-3.4,72.6,4.2,901.2,,1456.5,,1014.9,3.8,13.3,13.7,47.9,12.9,46.4,130.0,2.4,2.4,27.0,29.0,286.0,,,28.0,0,,0.9,0.0,283.0,20.4,12.4,2.3,,,
PIO,2025-01-11,-1.1,2.4,-4.0,-2.7,0.6,-6.2,69.0,3.9,902.9,,1470.2,,1016.8,5.8,14.2,20.9,51.1,13.8,49.7,170.0,0.0,0.0,33.0,10.0,237.0,,,10.0,0,,1.1,0.0,280.0,21.1,13.1,-0.1,,,
PIO,2025-01-12,-2.2,1.0,-6.3,-3.8,-0.8,-7.6,42.9,2.2,911.9,,1545.8,,1026.6,7.4,15.0,26.6,54.0,14.6,52.6,1160.0,0.0,0.0,31.0,9.0,214.0,,,9.0,0,,1.7,0.0,280.0,22.2,14.2,-0.1,,,
PIO,2025-01-13,-4.6,0.3,-10.2,-7.6,-3.0,-14.5,58.7,2.4,914.4,,1562.1,,1029.4,3.9,13.4,14.0,48.2,13.2,47.5,70.0,0.0,0.0,30.0,10.0,208.0,,,10.0,0,,1.0,0.0,273.0,24.6,16.6,-0.1,,,
PIO,2025-01-14,-7.9,-4.1,-11.3,-11.6,-9.0,-14.7,85.5,2.9,914.6,,1556.5,,1029.6,0.5,2.6,1.8,9.4,2.6,9.4,0.0,0.0,0.0,30.0,8.0,218.0,,,8.0,0,,0.3,0.0,270.0,27.9,19.9,0.0,,,
PIO,2025-01-15,1.0,8.0,-10.4,-1.3,6.0,-12.6,61.3,3.9,909.9,,1535.4,,1024.5,5.1,15.6,18.4,56.2,14.7,52.9,460.0,0.0,0.0,30.0,22.0,250.0,,,21.0,0,,1.4,0.0,277.0,19.0,11.0,-0.1,,,
PIO,2025-01-16,-4.6,-1.2,-9.3,-8.7,-4.2,-12.1,79.1,3.4,915.8,,1573.9,,1031.0,0.7,5.7,2.5,20.5,5.7,20.5,0.0,0.0,0.0,30.0,9.0,227.0,,,9.0,0,0.0,0.4,0.0,288.0,24.6,16.6,-0.1,,,
PIO,2025-01-17,-6.3,-2.2,-9.9,-10.6,-7.5,-13.2,83.5,3.2,917.9,,1587.8,,1033.2,0.6,3.4,2.2,12.2,3.3,11.9,0.0,0.0,0.0,30.0,10.0,222.0,,,9.0,30,79.0,0.3,0.0,270.0,26.3,18.3,-0.1,,,
PIO,2025-01-18,-3.7,1.5,-9.4,-7.5,1.1,-12.2,77.9,3.6,913.5,,1556.4,,1028.4,0.5,2.8,1.8,10.1,2.7,9.7,0.0,0.0,0.0,30.0,20.0,241.0,,,18.0,11,20.0,0.4,0.0,270.0,23.7,15.7,-0.1,,,
PIO,2025-01-19,-0.8,3.5,-7.1,-1.8,3.5,-9.1,82.9,4.8,909.1,,1524.2,,1023.5,0.7,4.5,2.5,16.2,4.4,15.8,0.0,2.5,1.8,30.0,29.0,295.0,,,29.0,0,0.0,0.3,0.0,90.0,20.8,12.8,1.8,,,
PIO,2025-01-20,1.2,3.1,-0.1,0.5,2.9,-0.7,93.1,6.2,906.8,,1508.3,,1021.0,0.4,2.2,1.4,7.9,2.2,7.9,0.0,2.6,2.9,34.0,31.0,309.0,,,31.0,0,0.0,0.3,0.0,0.0,18.8,10.8,2.9,,,
PIO,2025-01-21,-0.2,2.4,-3.9,-2.1,3.9,-6.5,90.9,5.5,903.4,,1476.0,,1017.3,1.0,5.9,3.6,21.2,5.8,20.9,0.0,0.0,0.4,31.0,37.0,260.0,,,24.0,106,75.0,0.3,0.0,277.0,20.2,12.2,0.4,,,
PIO,2025-01-22,-0.2,1.9,-3.9,-1.1,2.5,-5.3,92.0,5.6,901.3,,1457.8,,1015.0,0.3,2.1,1.1,7.6,2.1,7.6,0.0,3.8,2.8,31.0,28.0,301.0,,,27.0,0,0.0,0.3,0.0,0.0,20.2,12.2,2.8,,,
PIO,2025-01-23,1.1,3.3,-1.2,-0.1,5.0,-4.1,89.4,5.9,898.8,,1437.5,,1012.2,1.2,7.9,4.3,28.4,7.8,28.1,0.0,0.8,1.8,33.0,40.0,277.0,,,29.0,57,34.0,0.4,0.0,284.0,18.9,10.9,1.8,,,
PIO,2025-01-24,-1.2,1.9,-3.9,-4.0,6.2,-7.3,83.9,4.7,903.9,,1478.7,,1017.9,0.6,3.8,2.2,13.7,3.7,13.3,0.0,0.0,0.0,33.0,39.0,256.0,,,22.0,98,56.0,0.4,0.0,270.0,21.2,13.2,-0.1,,,
