station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
PLF,2025-01-01,7.3,10.3,2.6,-1.1,0.6,-3.6,30.1,3.1,904.8,,1555.1,,1025.2,4.3,14.9,15.5,53.6,14.4,51.8,,0.0,0.0,31.0,84.0,,,,20.0,440.0,97.0,1.9,0.0,230.0,12.7,4.7,-1.0,,,
PLF,2025-01-02,4.4,8.4,-1.5,0.1,1.0,-0.7,57.7,4.4,896.4,,1475.0,,1016.0,9.3,27.0,33.5,97.2,25.7,92.5,,18.1,17.8,29.0,48.0,,,,35.0,92.0,20.0,2.1,0.0,235.0,15.6,7.6,17.6,,,
PLF,2025-01-03,-3.6,-0.5,-7.6,-1.2,-0.1,-4.9,88.9,4.2,899.1,,1485.3,,1018.9,1.6,7.0,5.8,25.2,6.9,24.8,,0.0,0.3,38.0,77.0,,,,22.0,325.0,71.0,0.1,0.0,153.0,23.6,15.6,0.2,,,
PLF,2025-01-04,-5.1,4.4,-8.8,-2.6,-0.1,-5.8,89.4,3.9,896.0,,1455.5,,1015.4,1.9,10.7,6.8,38.5,9.8,35.3,,9.8,6.2,36.0,63.0,,,,39.0,247.0,54.0,0.4,0.0,210.0,25.1,17.1,6.1,,,
PLF,2025-01-05,6.9,12.7,4.0,3.7,11.9,-0.1,82.8,8.2,887.7,,1398.9,,1006.3,2.7,18.2,9.7,65.5,17.3,62.3,,0.7,4.3,27.0,79.0,,,,36.0,300.0,65.0,0.6,0.0,256.0,13.1,5.1,4.1,,,
PLF,2025-01-06,5.1,9.4,1.6,3.7,8.4,0.8,73.6,6.3,882.9,,1352.7,,1001.0,5.1,23.4,18.4,84.2,21.9,78.8,,16.7,16.7,21.0,39.0,,,,33.0,16.0,3.0,1.2,0.0,228.0,14.9,6.9,16.6,,,
PLF,2025-01-07,2.7,5.3,1.4,1.8,5.8,0.2,65.1,4.8,888.7,,1402.6,,1007.4,8.7,20.4,31.3,73.4,19.9,71.6,,1.0,0.0,17.0,57.0,,,,29.0,167.0,36.0,1.6,0.0,229.0,17.3,9.3,-0.2,,,
PLF,2025-01-08,8.3,11.9,2.6,6.9,10.5,1.5,66.5,7.2,887.4,,1398.0,,1005.9,12.1,29.6,43.6,106.6,28.8,103.7,,5.5,6.3,16.0,29.0,,,,27.0,6.0,1.0,2.0,0.0,228.0,11.7,3.7,6.2,,,
PLF,2025-01-09,4.9,8.8,-2.5,4.0,9.5,-2.5,76.4,6.6,888.5,,1403.0,,1007.2,9.2,26.6,33.1,95.8,25.7,92.5,,4.7,4.9,17.0,53.0,,,,31.0,127.0,27.0,0.9,0.0,229.0,15.1,7.1,4.8,,,
PLF,2025-01-10,-2.5,-0.9,-3.2,-2.2,-0.5,-3.3,90.3,4.6,896.9,,1467.9,,1016.5,1.2,5.3,4.3,19.1,5.1,18.4,,5.6,3.4,17.0,23.0,,,,21.0,0.0,0.0,0.3,0.0,315.0,22.5,14.5,3.4,,,
PLF,2025-01-11,-3.6,-2.0,-6.3,-3.4,-0.3,-7.8,92.3,4.4,899.8,,1491.4,,1019.7,1.6,6.3,5.8,22.7,6.1,22.0,,0.0,2.2,21.0,38.0,,,,37.0,0.0,0.0,0.2,0.0,51.0,23.6,15.6,2.2,,,
PLF,2025-01-12,-5.7,-4.1,-7.9,-5.9,-2.0,-9.3,80.5,3.2,908.1,,1559.2,,1028.9,4.0,11.2,14.4,40.3,10.8,38.9,,0.0,0.0,20.0,94.0,,,,21.0,444.0,93.0,0.3,0.0,70.0,25.7,17.7,-0.2,,,
PLF,2025-01-13,-6.8,-4.4,-9.0,-7.4,-0.3,-12.2,83.8,3.1,909.3,,1566.7,,1030.2,2.6,11.3,9.4,40.7,10.9,39.2,,0.0,0.0,20.0,94.0,,,,18.0,481.0,100.0,0.2,0.0,57.0,26.8,18.8,-0.2,,,
PLF,2025-01-14,-5.3,1.9,-8.6,-6.9,-0.3,-12.1,82.0,3.3,908.1,,1559.3,,1028.8,1.3,6.6,4.7,23.8,6.3,22.7,,0.0,0.0,20.0,94.0,,,,18.0,483.0,100.0,0.3,0.0,97.0,25.3,17.3,-0.2,,,
PLF,2025-01-15,0.7,5.0,-3.4,-0.6,7.1,-6.3,56.8,3.4,905.9,,1552.4,,1026.4,2.9,11.5,10.4,41.4,10.8,38.9,,0.0,0.0,21.0,83.0,,,,30.0,333.0,69.0,0.9,0.0,57.0,19.3,11.3,-0.4,,,
PLF,2025-01-16,-2.9,-0.4,-4.9,-2.5,3.9,-7.3,90.9,4.5,907.9,,1562.7,,1028.6,2.0,13.0,7.2,46.8,12.4,44.6,,0.0,0.0,20.0,77.0,,,,34.0,257.0,53.0,0.2,0.0,81.0,22.9,14.9,-0.1,,,
PLF,2025-01-17,-4.6,-1.2,-6.8,-3.7,3.0,-8.4,96.8,4.2,909.1,,1569.8,,1030.0,0.7,2.8,2.5,10.1,2.8,10.1,,0.0,0.0,20.0,90.0,,,,31.0,339.0,69.0,0.1,0.0,90.0,24.6,16.6,-0.1,,,
PLF,2025-01-18,-3.1,2.2,-7.8,-3.5,2.5,-10.1,83.2,3.9,904.4,,1531.7,,1024.7,1.2,5.3,4.3,19.1,5.3,19.1,,0.0,0.0,20.0,92.0,,,,29.0,365.0,75.0,0.2,0.0,144.0,23.1,15.1,-0.2,,,
PLF,2025-01-19,3.2,7.3,-1.8,1.4,10.1,-4.5,53.2,4.1,898.9,,1495.1,,1018.7,2.0,7.8,7.2,28.1,7.6,27.4,,0.0,0.0,20.0,93.0,,,,31.0,436.0,89.0,0.7,0.0,166.0,16.8,8.8,-0.5,,,
PLF,2025-01-20,2.9,5.7,0.3,1.8,9.7,-3.0,58.0,4.4,897.4,,1481.0,,1017.0,1.7,5.9,6.1,21.2,5.7,20.5,,0.0,0.0,19.0,93.0,,,,25.0,423.0,86.0,0.6,0.0,138.0,17.1,9.1,-0.4,,,
PLF,2025-01-21,1.9,5.1,-0.7,1.0,9.4,-3.0,63.1,4.4,895.5,,1462.5,,1014.9,1.6,5.2,5.8,18.7,5.2,18.7,,0.0,0.0,18.0,99.0,,,,17.0,496.0,100.0,0.5,0.0,142.0,18.1,10.1,-0.4,,,
PLF,2025-01-22,2.0,4.8,-0.1,0.9,3.7,-2.9,71.7,5.1,889.8,,1411.8,,1008.6,1.3,7.8,4.7,28.1,7.6,27.4,,4.1,0.3,18.0,27.0,,,,25.0,7.0,1.0,0.6,0.0,124.0,18.0,10.0,0.2,,,
PLF,2025-01-23,3.0,7.3,-0.6,2.0,6.8,-2.9,84.3,6.4,891.9,,1431.7,,1010.9,4.4,17.6,15.8,63.4,17.5,63.0,,9.2,13.0,,46.0,,,,32.0,64.0,13.0,0.8,0.0,241.0,17.0,9.0,12.9,,,
PLF,2025-01-24,6.8,13.0,-0.6,5.2,13.9,-2.1,42.4,3.8,894.4,,1460.4,,1013.7,3.1,15.6,11.2,56.2,14.7,52.9,,0.0,0.0,,99.0,,,,40.0,334.0,66.0,1.7,0.0,236.0,13.2,5.2,-0.5,,,
PLF,2025-01-25,8.2,10.9,1.3,7.0,14.3,0.4,46.1,4.9,891.8,,1438.2,,1010.8,2.6,19.2,9.4,69.1,17.9,64.4,,5.5,3.6,,75.0,,,,46.0,167.0,33.0,1.3,0.0,235.0,11.8,3.8,3.3,,,
PLF,2025-01-26,3.4,5.6,0.6,3.4,10.7,0.0,69.6,5.4,891.4,,1427.8,,1010.4,4.2,17.2,15.1,61.9,16.7,60.1,,1.0,1.9,,98.0,,,,27.0,363.0,71.0,0.9,0.0,229.0,16.6,8.6,1.6,,,
PLF,2025-01-27,3.8,7.2,0.7,3.3,8.8,0.2,91.6,7.4,884.6,,1366.7,,1002.8,3.0,17.8,10.8,64.1,16.9,60.8,,54.5,44.3,,24.0,,,,19.0,21.0,4.0,0.5,0.0,230.0,16.2,8.2,44.3,,,
PLF,2025-01-28,2.6,4.6,0.5,2.3,7.2,0.0,79.3,5.8,883.4,,1354.9,,1001.6,6.2,18.2,22.3,65.5,18.0,64.8,,0.6,11.4,,78.0,,,,40.0,184.0,36.0,0.8,0.0,226.0,17.4,9.4,11.3,,,
PLF,2025-01-29,2.3,4.7,-0.3,2.2,8.9,-1.6,77.9,5.6,891.2,,1424.3,,1010.1,5.5,23.6,19.8,85.0,23.1,83.2,,0.0,0.4,,109.0,,,,35.0,485.0,94.0,0.8,0.0,226.0,17.7,9.7,0.1,,,
PLF,2025-01-30,2.3,4.5,0.5,1.9,7.4,-0.4,76.4,5.5,896.2,,1469.7,,1015.7,1.8,8.4,6.5,30.2,8.3,29.9,,1.0,0.8,,50.0,,,,46.0,5.0,1.0,0.6,0.0,173.0,17.7,9.7,0.7,,,
PLF,2025-01-31,0.5,2.0,-0.9,0.7,2.9,-0.6,97.4,6.2,903.4,,1530.6,,1023.7,1.6,5.7,5.8,20.5,5.6,20.2,,2.2,2.4,,18.0,,,,17.0,0.0,0.0,0.3,0.0,54.0,19.5,11.5,2.4,,,
PLF,2025-02-01,-1.5,-0.4,-2.4,-0.7,2.4,-1.9,98.2,5.4,902.4,,1518.0,,1022.6,1.1,4.8,4.0,17.3,4.7,16.9,,0.0,0.0,,38.0,,,,37.0,0.0,0.0,0.3,0.0,39.0,21.5,13.5,0.0,,,
PLF,2025-02-02,-2.2,1.3,-4.1,-1.1,4.7,-5.3,99.4,5.2,900.1,,1496.7,,1020.1,0.9,6.2,3.2,22.3,6.0,21.6,,0.0,0.0,,77.0,,,,63.0,96.0,18.0,0.3,0.0,153.0,22.2,14.2,0.0,,,
PLF,2025-02-03,-2.9,0.3,-5.3,-2.4,3.5,-6.7,98.3,4.9,903.1,,1521.4,,1023.3,1.1,8.0,4.0,28.8,7.8,28.1,,0.0,0.0,,70.0,,,,66.0,4.0,1.0,0.3,0.0,127.0,22.9,14.9,0.0,,,
PLF,2025-02-04,0.4,4.9,-5.8,-0.1,9.5,-7.8,65.0,4.1,906.0,,1552.4,,1026.5,1.7,5.7,6.1,20.5,5.6,20.2,,0.0,0.0,,130.0,,,,20.0,534.0,100.0,0.7,0.0,153.0,19.6,11.6,-0.4,,,
PLF,2025-02-05,2.1,5.4,-2.1,1.2,11.4,-4.6,46.0,3.3,911.3,,1602.2,,1032.4,2.1,6.2,7.6,22.3,6.0,21.6,,0.0,0.0,,132.0,,,,20.0,537.0,100.0,1.0,0.0,101.0,17.9,9.9,-0.7,,,
PLF,2025-02-06,-4.3,-1.1,-7.3,-4.2,-1.7,-7.9,92.1,4.1,908.2,,1562.6,,1029.0,1.0,4.5,3.6,16.2,4.4,15.8,,0.0,0.0,,42.0,,,,41.0,0.0,0.0,0.3,0.0,90.0,24.3,16.3,0.0,,,
PLF,2025-02-07,-2.1,1.2,-5.3,-2.1,5.6,-5.6,84.1,4.4,899.8,,1494.3,,1019.7,1.1,5.1,4.0,18.4,5.0,18.0,,0.0,0.0,,95.0,,,,61.0,157.0,29.0,0.4,0.0,130.0,22.1,14.1,-0.1,,,
PLF,2025-02-08,2.3,6.0,-2.0,0.8,7.7,-4.1,54.9,3.9,899.2,,1496.0,,1019.0,1.4,7.6,5.0,27.4,7.5,27.0,,0.0,0.0,,74.0,,,,58.0,103.0,19.0,0.8,0.0,207.0,17.7,9.7,-0.2,,,
PLF,2025-02-09,1.2,4.3,-1.3,1.3,9.5,-3.3,79.8,5.4,903.4,,1531.3,,1023.6,1.5,5.4,5.4,19.4,5.3,19.1,,0.0,0.0,,116.0,,,,41.0,399.0,73.0,0.6,0.0,135.0,18.8,10.8,-0.2,,,
PLF,2025-02-10,2.6,4.5,0.8,2.6,8.3,-1.9,84.9,6.3,900.9,,1511.5,,1020.9,1.2,5.9,4.3,21.2,5.9,21.2,,2.0,1.6,,63.0,,,,58.0,19.0,3.0,0.5,0.0,180.0,17.4,9.4,1.6,,,
PLF,2025-02-11,4.1,5.3,2.6,4.0,6.8,1.7,95.6,7.8,899.2,,1499.3,,1019.0,1.0,5.2,3.6,18.7,5.1,18.4,,2.9,3.3,,41.0,,,,39.0,0.0,0.0,0.5,0.0,225.0,15.9,7.9,3.3,,,
PLF,2025-02-12,4.6,6.8,1.6,4.2,9.2,0.3,85.6,7.3,897.5,,1484.8,,1017.1,2.0,10.3,7.2,37.1,10.0,36.0,,0.6,0.6,,68.0,,,,53.0,98.0,18.0,0.6,0.0,216.0,15.4,7.4,0.5,,,
PLF,2025-02-13,3.1,5.6,-2.0,2.6,4.8,-2.0,88.3,6.7,896.1,,1470.2,,1015.6,4.3,14.2,15.5,51.1,13.8,49.7,,14.4,14.4,,16.0,,,,15.0,0.0,0.0,0.4,0.0,242.0,16.9,8.9,14.4,,,
PLF,2025-02-14,-3.8,-2.0,-5.7,-3.4,0.4,-6.3,88.2,4.1,897.9,,1474.5,,1017.6,2.6,8.9,9.4,32.0,8.6,31.0,,0.0,0.0,,69.0,,,,58.0,44.0,8.0,0.4,0.0,52.0,23.8,15.8,0.0,,,
PLF,2025-02-15,-4.1,-0.1,-7.9,-2.9,6.0,-7.7,85.4,3.9,896.4,,1460.5,,1015.9,1.4,8.2,5.0,29.5,8.0,28.8,,0.0,0.0,,151.0,,,,31.0,502.0,89.0,0.6,0.0,121.0,24.1,16.1,-0.2,,,
