station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
PMA,2025-01-01,-2.5,-0.5,-4.9,,,,27.3,1.4,740.3,,,3112.0,1025.3,2.8,14.5,10.1,52.2,13.8,49.7,,0.0,0.0,,89.0,,,,,478.0,100.0,0.9,0.0,211.0,22.5,14.5,,,,
PMA,2025-01-02,-6.4,-4.7,-9.7,,,,60.1,2.2,730.9,,,3006.4,1013.1,9.7,25.7,34.9,92.5,24.2,87.1,,0.6,0.5,,32.0,,,,,7.0,2.0,0.9,0.0,213.0,26.4,18.4,,,,
PMA,2025-01-03,-13.0,-10.1,-14.8,,,,67.8,1.5,728.9,,,2977.3,1010.5,4.5,11.3,16.2,40.7,11.0,39.6,,0.0,0.1,,92.0,,,,,426.0,91.0,0.4,0.0,332.0,33.0,25.0,,,,
PMA,2025-01-04,-7.2,-4.1,-11.4,,,,28.9,1.1,730.0,,,2995.8,1011.9,3.8,12.8,13.7,46.1,12.6,45.4,,0.0,0.0,,84.0,,,,,435.0,93.0,0.9,0.0,204.0,27.2,19.2,,,,
PMA,2025-01-05,-0.7,2.0,-4.9,,,,75.0,4.3,728.2,,,2983.7,1009.5,11.5,32.0,41.4,115.2,29.9,107.6,,0.8,0.0,,29.0,,,,,0.0,0.0,0.9,0.0,208.0,20.7,12.7,,,,
PMA,2025-01-06,-4.3,-3.3,-5.3,,,,94.5,4.2,721.9,,,2912.1,1001.4,23.2,41.8,83.5,150.5,39.7,142.9,,8.8,6.8,,54.0,,,,,48.0,10.0,0.2,0.0,194.0,24.3,16.3,,,,
PMA,2025-01-07,-6.5,-3.8,-8.8,,,,69.6,2.7,723.5,,,2927.2,1003.4,6.4,18.5,23.0,66.6,18.0,64.8,,0.2,3.0,,85.0,,,,,369.0,79.0,0.6,0.0,200.0,26.5,18.5,,,,
PMA,2025-01-08,-3.7,-0.9,-7.0,,,,76.7,3.6,726.1,,,2958.1,1006.8,14.4,29.8,51.8,107.3,27.9,100.4,,1.9,0.8,,74.0,,,,,269.0,57.0,0.7,0.0,199.0,23.7,15.7,,,,
PMA,2025-01-09,-4.2,-2.5,-10.9,,,,86.2,3.9,724.6,,,2941.5,1004.9,11.7,27.0,42.1,97.2,26.2,94.3,,2.3,3.4,,68.0,,,,,248.0,52.0,0.0,0.0,202.0,24.2,16.2,,,,
PMA,2025-01-10,-11.6,-7.2,-15.5,,,,89.8,2.3,727.3,,,2962.1,1008.4,5.0,17.9,18.0,64.4,17.6,63.4,,0.7,0.7,,50.0,,,,,8.0,2.0,0.3,0.0,315.0,31.6,23.6,,,,
