station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
PRE,2025-01-01,,,,,,,,,,,,,,1.3,6.6,4.7,23.8,6.3,22.7,,,,,,,,,,,,,,263.0,,,,,,
PRE,2025-01-02,,,,,,,,,,,,,,7.7,22.0,27.7,79.2,20.8,74.9,,,,,,,,,,,,,,242.0,,,,,,
PRE,2025-01-03,,,,,,,,,,,,,,3.0,8.2,10.8,29.5,7.8,28.1,,,,,,,,,,,,,,19.0,,,,,,
PRE,2025-01-04,,,,,,,,,,,,,,2.6,8.2,9.4,29.5,8.1,29.2,,,,,,,,,,,,,,360.0,,,,,,
PRE,2025-01-05,,,,,,,,,,,,,,3.8,14.7,13.7,52.9,13.7,49.3,,,,,,,,,,,,,,213.0,,,,,,
PRE,2025-01-06,,,,,,,,,,,,,,6.1,17.3,22.0,62.3,17.0,61.2,,,,,,,,,,,,,,233.0,,,,,,
PRE,2025-01-07,,,,,,,,,,,,,,5.7,18.0,20.5,64.8,17.2,61.9,,,,,,,,,,,,,,242.0,,,,,,
PRE,2025-01-08,,,,,,,,,,,,,,7.1,17.3,25.6,62.3,16.7,60.1,,,,,,,,,,,,,,243.0,,,,,,
PRE,2025-01-09,,,,,,,,,,,,,,5.9,21.5,21.2,77.4,20.8,74.9,,,,,,,,,,,,,,252.0,,,,,,
PRE,2025-01-10,,,,,,,,,,,,,,1.6,6.6,5.8,23.8,6.4,23.0,,,,,,,,,,,,,,4.0,,,,,,
PRE,2025-01-11,,,,,,,,,,,,,,5.7,13.8,20.5,49.7,13.5,48.6,,,,,,,,,,,,,,22.0,,,,,,
PRE,2025-01-12,,,,,,,,,,,,,,8.8,20.5,31.7,73.8,19.8,71.3,,,,,,,,,,,,,,30.0,,,,,,
PRE,2025-01-13,,,,,,,,,,,,,,7.3,16.7,26.3,60.1,16.3,58.7,,,,,,,,,,,,,,30.0,,,,,,
PRE,2025-01-14,,,,,,,,,,,,,,4.9,10.0,17.6,36.0,9.6,34.6,,,,,,,,,,,,,,29.0,,,,,,
PRE,2025-01-15,,,,,,,,,,,,,,5.7,20.1,20.5,72.4,18.9,68.0,,,,,,,,,,,,,,28.0,,,,,,
PRE,2025-01-16,,,,,,,,,,,,,,4.9,14.8,17.6,53.3,14.7,52.9,,,,,,,,,,,,,,28.0,,,,,,
PRE,2025-01-17,,,,,,,,,,,,,,2.7,7.4,9.7,26.6,7.3,26.3,,,,,,,,,,,,,,360.0,,,,,,
PRE,2025-01-18,,,,,,,,,,,,,,4.1,8.8,14.8,31.7,8.6,31.0,,,,,,,,,,,,,,7.0,,,,,,
PRE,2025-01-19,,,,,,,,,,,,,,1.9,5.9,6.8,21.2,5.8,20.9,,,,,,,,,,,,,,340.0,,,,,,
PRE,2025-01-20,,,,,,,,,,,,,,1.3,4.1,4.7,14.8,4.0,14.4,,,,,,,,,,,,,,17.0,,,,,,
PRE,2025-01-21,,,,,,,,,,,,,,1.6,4.3,5.8,15.5,4.3,15.5,,,,,,,,,,,,,,346.0,,,,,,
PRE,2025-01-22,,,,,,,,,,,,,,1.0,4.2,3.6,15.1,4.2,15.1,,,,,,,,,,,,,,321.0,,,,,,
PRE,2025-01-23,,,,,,,,,,,,,,2.7,10.4,9.7,37.4,10.0,36.0,,,,,,,,,,,,,,240.0,,,,,,
PRE,2025-01-24,,,,,,,,,,,,,,1.7,8.1,6.1,29.2,7.9,28.4,,,,,,,,,,,,,,210.0,,,,,,
PRE,2025-01-25,,,,,,,,,,,,,,3.5,15.8,12.6,56.9,15.5,55.8,,,,,,,,,,,,,,218.0,,,,,,
PRE,2025-01-26,,,,,,,,,,,,,,6.4,15.7,23.0,56.5,15.4,55.4,,,,,,,,,,,,,,243.0,,,,,,
PRE,2025-01-27,,,,,,,,,,,,,,3.3,12.5,11.9,45.0,12.0,43.2,,,,,,,,,,,,,,124.0,,,,,,
PRE,2025-01-28,,,,,,,,,,,,,,6.4,18.8,23.0,67.7,17.7,63.7,,,,,,,,,,,,,,238.0,,,,,,
PRE,2025-01-29,,,,,,,,,,,,,,4.1,14.3,14.8,51.5,13.8,49.7,,,,,,,,,,,,,,237.0,,,,,,
PRE,2025-01-30,,,,,,,,,,,,,,1.6,5.7,5.8,20.5,5.6,20.2,,,,,,,,,,,,,,342.0,,,,,,
PRE,2025-01-31,,,,,,,,,,,,,,2.7,9.5,9.7,34.2,9.2,33.1,,,,,,,,,,,,,,19.0,,,,,,
PRE,2025-02-01,,,,,,,,,,,,,,4.9,10.1,17.6,36.4,9.7,34.9,,,,,,,,,,,,,,14.0,,,,,,
PRE,2025-02-02,,,,,,,,,,,,,,4.0,10.6,14.4,38.2,10.3,37.1,,,,,,,,,,,,,,9.0,,,,,,
PRE,2025-02-03,,,,,,,,,,,,,,4.1,8.7,14.8,31.3,8.3,29.9,,,,,,,,,,,,,,6.0,,,,,,
PRE,2025-02-04,,,,,,,,,,,,,,2.4,7.2,8.6,25.9,6.9,24.8,,,,,,,,,,,,,,347.0,,,,,,
PRE,2025-02-05,,,,,,,,,,,,,,4.2,9.7,15.1,34.9,9.5,34.2,,,,,,,,,,,,,,22.0,,,,,,
PRE,2025-02-06,,,,,,,,,,,,,,4.2,13.2,15.1,47.5,12.9,46.4,,,,,,,,,,,,,,34.0,,,,,,
PRE,2025-02-07,,,,,,,,,,,,,,3.3,9.0,11.9,32.4,8.9,32.0,,,,,,,,,,,,,,13.0,,,,,,
PRE,2025-02-08,,,,,,,,,,,,,,1.4,5.7,5.0,20.5,5.6,20.2,,,,,,,,,,,,,,265.0,,,,,,
PRE,2025-02-09,,,,,,,,,,,,,,1.3,3.8,4.7,13.7,3.8,13.7,,,,,,,,,,,,,,259.0,,,,,,
PRE,2025-02-10,,,,,,,,,,,,,,0.7,2.0,2.5,7.2,1.9,6.8,,,,,,,,,,,,,,315.0,,,,,,
PRE,2025-02-11,,,,,,,,,,,,,,0.9,4.9,3.2,17.6,4.7,16.9,,,,,,,,,,,,,,180.0,,,,,,
PRE,2025-02-12,,,,,,,,,,,,,,0.6,2.5,2.2,9.0,2.5,9.0,,,,,,,,,,,,,,225.0,,,,,,
PRE,2025-02-13,,,,,,,,,,,,,,2.6,7.0,9.4,25.2,6.8,24.5,,,,,,,,,,,,,,249.0,,,,,,
PRE,2025-02-14,,,,,,,,,,,,,,6.3,17.4,22.7,62.6,16.4,59.0,,,,,,,,,,,,,,24.0,,,,,,
PRE,2025-02-15,,,,,,,,,,,,,,4.3,11.3,15.5,40.7,10.8,38.9,,,,,,,,,,,,,,14.0,,,,,,
PRE,2025-02-16,,,,,,,,,,,,,,2.8,10.6,10.1,38.2,10.3,37.1,,,,,,,,,,,,,,5.0,,,,,,
PRE,2025-02-17,,,,,,,,,,,,,,3.8,9.1,13.7,32.8,9.0,32.4,,,,,,,,,,,,,,9.0,,,,,,
PRE,2025-02-18,,,,,,,,,,,,,,4.2,10.1,15.1,36.4,10.0,36.0,,,,,,,,,,,,,,7.0,,,,,,
PRE,2025-02-19,,,,,,,,,,,,,,1.7,7.1,6.1,25.6,6.9,24.8,,,,,,,,,,,,,,350.0,,,,,,
PRE,2025-02-20,,,,,,,,,,,,,,0.9,3.4,3.2,12.2,3.3,11.9,,,,,,,,,,,,,,360.0,,,,,,
PRE,2025-02-21,,,,,,,,,,,,,,1.0,3.2,3.6,11.5,3.2,11.5,,,,,,,,,,,,,,18.0,,,,,,
PRE,2025-02-22,,,,,,,,,,,,,,0.9,3.3,3.2,11.9,3.3,11.9,,,,,,,,,,,,,,360.0,,,,,,
PRE,2025-02-23,,,,,,,,,,,,,,1.5,4.7,5.4,16.9,4.6,16.6,,,,,,,,,,,,,,360.0,,,,,,
PRE,2025-02-24,,,,,,,,,,,,,,1.1,3.6,4.0,13.0,3.6,13.0,,,,,,,,,,,,,,198.0,,,,,,
PRE,2025-02-25,,,,,,,,,,,,,,5.4,19.7,19.4,70.9,19.0,68.4,,,,,,,,,,,,,,230.0,,,,,,
PRE,2025-02-26,,,,,,,,,,,,,,3.4,12.0,12.2,43.2,11.8,42.5,,,,,,,,,,,,,,228.0,,,,,,
PRE,2025-02-27,,,,,,,,,,,,,,3.0,9.2,10.8,33.1,9.1,32.8,,,,,,,,,,,,,,231.0,,,,,,
PRE,2025-02-28,,,,,,,,,,,,,,4.3,11.1,15.5,40.0,10.7,38.5,,,,,,,,,,,,,,15.0,,,,,,
PRE,2025-03-01,,,,,,,,,,,,,,6.8,14.8,24.5,53.3,14.4,51.8,,,,,,,,,,,,,,24.0,,,,,,
PRE,2025-03-02,,,,,,,,,,,,,,4.9,12.1,17.6,43.6,11.7,42.1,,,,,,,,,,,,,,16.0,,,,,,
PRE,2025-03-03,,,,,,,,,,,,,,1.2,3.9,4.3,14.0,3.8,13.7,,,,,,,,,,,,,,326.0,,,,,,
PRE,2025-03-04,,,,,,,,,,,,,,1.3,3.9,4.7,14.0,3.9,14.0,,,,,,,,,,,,,,360.0,,,,,,
PRE,2025-03-05,,,,,,,,,,,,,,1.3,4.2,4.7,15.1,4.1,14.8,,,,,,,,,,,,,,315.0,,,,,,
PRE,2025-03-06,,,,,,,,,,,,,,1.1,2.8,4.0,10.1,2.8,10.1,,,,,,,,,,,,,,307.0,,,,,,
PRE,2025-03-07,,,,,,,,,,,,,,1.2,3.3,4.3,11.9,3.2,11.5,,,,,,,,,,,,,,326.0,,,,,,
PRE,2025-03-08,,,,,,,,,,,,,,1.4,3.7,5.0,13.3,3.7,13.3,,,,,,,,,,,,,,270.0,,,,,,
PRE,2025-03-09,,,,,,,,,,,,,,2.2,8.8,7.9,31.7,8.7,31.3,,,,,,,,,,,,,,347.0,,,,,,
PRE,2025-03-10,,,,,,,,,,,,,,2.9,15.3,10.4,55.1,15.1,54.4,,,,,,,,,,,,,,228.0,,,,,,
PRE,2025-03-11,,,,,,,,,,,,,,1.2,4.2,4.3,15.1,4.1,14.8,,,,,,,,,,,,,,270.0,,,,,,
PRE,2025-03-12,,,,,,,,,,,,,,2.6,10.2,9.4,36.7,10.0,36.0,,,,,,,,,,,,,,253.0,,,,,,
PRE,2025-03-13,,,,,,,,,,,,,,4.8,15.0,17.3,54.0,14.8,53.3,,,,,,,,,,,,,,233.0,,,,,,
PRE,2025-03-14,,,,,,,,,,,,,,5.6,12.2,20.2,43.9,12.0,43.2,,,,,,,,,,,,,,24.0,,,,,,
PRE,2025-03-15,,,,,,,,,,,,,,5.2,11.4,18.7,41.0,11.2,40.3,,,,,,,,,,,,,,5.0,,,,,,
PRE,2025-03-16,,,,,,,,,,,,,,2.6,9.7,9.4,34.9,9.4,33.8,,,,,,,,,,,,,,250.0,,,,,,
PRE,2025-03-17,,,,,,,,,,,,,,6.3,13.4,22.7,48.2,13.0,46.8,,,,,,,,,,,,,,22.0,,,,,,
PRE,2025-03-18,,,,,,,,,,,,,,3.4,11.2,12.2,40.3,10.9,39.2,,,,,,,,,,,,,,12.0,,,,,,
PRE,2025-03-19,,,,,,,,,,,,,,1.2,3.4,4.3,12.2,3.2,11.5,,,,,,,,,,,,,,27.0,,,,,,
PRE,2025-03-20,,,,,,,,,,,,,,1.3,3.6,4.7,13.0,3.5,12.6,,,,,,,,,,,,,,315.0,,,,,,
PRE,2025-03-21,,,,,,,,,,,,,,3.4,11.6,12.2,41.8,11.1,40.0,,,,,,,,,,,,,,358.0,,,,,,
PRE,2025-03-22,,,,,,,,,,,,,,2.2,10.1,7.9,36.4,9.8,35.3,,,,,,,,,,,,,,252.0,,,,,,
PRE,2025-03-23,,,,,,,,,,,,,,3.5,12.7,12.6,45.7,12.5,45.0,,,,,,,,,,,,,,233.0,,,,,,
PRE,2025-03-24,,,,,,,,,,,,,,4.6,10.7,16.6,38.5,10.4,37.4,,,,,,,,,,,,,,8.0,,,,,,
PRE,2025-03-25,,,,,,,,,,,,,,3.4,12.3,12.2,44.3,12.1,43.6,,,,,,,,,,,,,,23.0,,,,,,
PRE,2025-03-26,,,,,,,,,,,,,,4.3,12.6,15.5,45.4,12.3,44.3,,,,,,,,,,,,,,26.0,,,,,,
PRE,2025-03-27,,,,,,,,,,,,,,7.2,16.3,25.9,58.7,15.4,55.4,,,,,,,,,,,,,,19.0,,,,,,
