station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
PSI,2025-01-01,0.4,4.9,-2.4,,,,88.1,5.5,986.2,1028.1,,,1026.2,,,,,,,,0.0,0.0,,73.0,,,,32.0,316.0,73.0,,0.0,,19.6,11.6,-0.1,,,
PSI,2025-01-02,3.2,10.9,-2.4,,,,84.3,6.4,976.7,1017.8,,,1016.5,,,,,,,,22.4,22.4,,24.0,,,,19.0,41.0,9.0,,0.0,,16.8,8.8,22.4,,,
PSI,2025-01-03,-0.6,1.7,-5.3,,,,89.4,5.2,982.7,1024.7,,,1022.7,,,,,,,,0.0,0.0,,29.0,,,,24.0,44.0,10.0,,0.0,,20.6,12.6,0.0,,,
PSI,2025-01-04,-3.4,-0.5,-6.4,,,,93.1,4.4,980.1,1022.4,,,1020.0,,,,,,,,23.4,12.1,,29.0,,,,28.0,0.0,0.0,,0.0,,23.4,15.4,12.1,,,
PSI,2025-01-05,0.7,3.5,-0.4,,,,97.6,6.3,966.9,1008.0,,,1006.4,,,,,,,,4.0,15.3,,29.0,,,,27.0,18.0,4.0,,0.0,,19.3,11.3,15.3,,,
PSI,2025-01-06,3.7,11.2,-0.1,,,,94.6,7.6,961.7,1002.1,,,1001.0,,,,,,,,8.5,8.4,,12.0,,,,10.0,15.0,3.0,,0.0,,16.3,8.3,8.4,,,
PSI,2025-01-07,3.6,8.4,-0.8,,,,86.7,6.8,968.5,1009.2,,,1008.0,,,,,,,,3.1,0.9,,41.0,,,,31.0,102.0,23.0,,0.0,,16.4,8.4,0.9,,,
PSI,2025-01-08,7.6,13.7,2.1,,,,85.9,9.0,965.9,1005.9,,,1005.3,,,,,,,,8.5,10.6,,16.0,,,,16.0,1.0,0.0,,0.0,,12.4,4.4,10.6,,,
PSI,2025-01-09,8.1,13.1,1.9,,,,78.1,8.5,967.3,1007.3,,,1006.8,,,,,,,,6.7,6.9,,31.0,,,,25.0,53.0,12.0,,0.0,,11.9,3.9,6.8,,,
PSI,2025-01-10,1.1,3.6,-2.0,,,,83.7,5.5,980.1,1021.7,,,1020.0,,,,,,,,0.0,0.0,,38.0,,,,32.0,31.0,7.0,,0.0,,18.9,10.9,0.0,,,
PSI,2025-01-11,-2.0,3.0,-5.4,,,,85.4,4.5,985.0,1027.3,,,1025.1,,,,,,,,0.0,0.0,,77.0,,,,18.0,384.0,86.0,,0.0,,22.0,14.0,-0.1,,,
PSI,2025-01-12,-1.8,2.6,-6.2,,,,78.0,4.1,995.2,1037.9,,,1035.6,,,,,,,,0.0,0.0,,49.0,,,,28.0,94.0,21.0,,0.0,,21.8,13.8,-0.1,,,
PSI,2025-01-13,-3.1,0.6,-6.4,,,,76.8,3.7,997.3,1040.2,,,1037.7,,,,,,,,0.0,0.0,,82.0,,,,,434.0,97.0,,0.0,,23.1,15.1,-0.2,,,
PSI,2025-01-14,-3.6,1.6,-7.5,,,,84.0,3.9,994.1,1037.1,,,1034.5,,,,,,,,0.0,0.0,,81.0,,,,15.0,460.0,100.0,,0.0,,23.6,15.6,-0.1,,,
PSI,2025-01-15,-0.7,2.9,-7.7,,,,90.5,5.3,991.6,1033.9,,,1031.9,,,,,,,,0.3,0.3,,42.0,,,,34.0,90.0,20.0,,0.0,,20.7,12.7,0.3,,,
PSI,2025-01-16,3.0,4.1,1.9,,,,75.1,5.7,993.3,1035.1,,,1033.6,,,,,,,,0.0,0.0,,21.0,,,,20.0,0.0,0.0,,0.0,,17.0,9.0,0.0,,,
PSI,2025-01-17,1.3,2.3,0.5,,,,79.8,5.4,994.3,1036.4,,,1034.6,,,,,,,,0.0,0.0,,16.0,,,,15.0,0.0,0.0,,0.0,,18.7,10.7,0.0,,,
PSI,2025-01-18,0.3,1.1,-0.6,,,,81.2,5.1,989.3,1031.3,,,1029.4,,,,,,,,0.0,0.0,,26.0,,,,26.0,0.0,0.0,,0.0,,19.7,11.7,0.0,,,
PSI,2025-01-19,-0.5,1.0,-1.5,,,,87.9,5.2,982.3,1024.2,,,1022.2,,,,,,,,0.0,0.0,,25.0,,,,23.0,0.0,0.0,,0.0,,20.5,12.5,0.0,,,
PSI,2025-01-20,-1.2,0.9,-3.2,,,,93.0,5.2,980.2,1022.1,,,1020.0,,,,,,,,0.0,0.0,,34.0,,,,32.0,0.0,0.0,,0.0,,21.2,13.2,0.0,,,
PSI,2025-01-21,-1.0,0.5,-2.2,,,,94.5,5.4,978.4,1020.2,,,1018.2,,,,,,,,0.0,0.0,,24.0,,,,23.0,0.0,0.0,,0.0,,21.0,13.0,0.0,,,
PSI,2025-01-22,-0.6,0.8,-2.1,,,,95.8,5.6,971.8,1013.3,,,1011.4,,,,,,,,3.7,2.4,,14.0,,,,13.0,0.0,0.0,,0.0,,20.6,12.6,2.4,,,
PSI,2025-01-23,3.5,7.3,-0.3,,,,88.6,6.9,972.4,1013.2,,,1012.0,,,,,,,,1.8,3.1,,60.0,,,,35.0,118.0,25.0,,0.0,,16.5,8.5,3.1,,,
