station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
PUY,2025-01-01,3.4,7.4,-0.4,,,,77.9,6.0,973.2,1029.3,,,1027.5,1.3,4.1,4.7,14.8,4.0,14.4,,0.0,0.0,,77.0,,,,17.0,448.0,95.0,0.2,0.0,27.0,16.6,8.6,-0.3,,,
PUY,2025-01-02,6.4,9.9,3.1,,,,74.9,7.1,965.2,1020.1,,,1019.1,3.6,20.4,13.0,73.4,18.6,67.0,,17.1,17.1,,35.0,,,,27.0,68.0,14.0,1.0,0.0,276.0,13.6,5.6,17.0,,,
PUY,2025-01-03,2.8,6.0,-0.4,,,,73.5,5.5,967.1,1022.9,,,1021.1,1.7,7.7,6.1,27.7,7.2,25.9,,0.0,0.0,,84.0,,,,22.0,392.0,83.0,0.3,0.0,22.0,17.2,9.2,-0.3,,,
PUY,2025-01-04,0.2,2.7,-2.0,,,,79.5,5.0,964.9,1021.1,,,1018.8,1.5,6.2,5.4,22.3,5.8,20.9,,17.4,9.0,,36.0,,,,34.0,0.0,0.0,0.4,0.0,29.0,19.8,11.8,9.0,,,
PUY,2025-01-05,7.1,10.2,2.7,,,,88.4,8.9,954.5,1008.7,,,1008.0,1.1,4.1,4.0,14.8,3.9,14.0,,0.1,8.5,,45.0,,,,34.0,54.0,11.0,0.3,0.0,31.0,12.9,4.9,8.5,,,
PUY,2025-01-06,9.3,11.6,5.9,,,,71.4,8.2,949.0,1002.4,,,1002.2,1.9,14.0,6.8,50.4,13.6,49.0,,16.4,16.4,,9.0,,,,8.0,0.0,0.0,0.9,0.0,276.0,10.7,2.7,16.3,,,
PUY,2025-01-07,6.8,8.8,5.0,,,,73.6,7.2,956.4,1010.7,,,1009.9,2.9,14.6,10.4,52.6,12.6,45.4,,3.2,0.1,,55.0,,,,35.0,134.0,28.0,0.8,0.0,274.0,13.2,5.2,0.0,,,
PUY,2025-01-08,8.5,11.1,6.2,,,,87.2,9.6,954.9,1008.9,,,1008.4,2.4,12.5,8.6,45.0,11.7,42.1,,8.4,9.7,,19.0,,,,18.0,2.0,0.0,0.6,0.0,286.0,11.5,3.5,9.7,,,
PUY,2025-01-09,8.1,11.3,2.6,,,,80.4,8.9,955.9,1010.0,,,1009.4,3.0,12.9,10.8,46.4,11.7,42.1,,7.3,9.1,,13.0,,,,12.0,1.0,0.0,0.7,0.0,298.0,11.9,3.9,9.1,,,
PUY,2025-01-10,2.2,3.8,1.2,,,,85.1,6.0,965.1,1020.9,,,1019.0,0.9,4.8,3.2,17.3,4.8,17.3,,4.0,4.0,,16.0,,,,16.0,0.0,0.0,0.4,0.0,360.0,17.8,9.8,4.0,,,
PUY,2025-01-11,1.5,3.5,-0.8,,,,76.2,5.2,967.9,1024.0,,,1021.9,1.9,12.7,6.8,45.7,12.1,43.6,,0.0,0.0,,69.0,,,,35.0,222.0,46.0,0.4,0.0,15.0,18.5,10.5,-0.1,,,
PUY,2025-01-12,-0.3,2.3,-2.1,,,,62.9,3.7,976.7,1033.8,,,1031.2,3.1,12.2,11.2,43.9,11.7,42.1,,0.0,0.0,,87.0,,,,15.0,482.0,99.0,0.7,0.0,37.0,20.3,12.3,-0.4,,,
PUY,2025-01-13,-1.5,1.8,-3.0,,,,66.6,3.6,978.9,1036.3,,,1033.4,3.1,12.2,11.2,43.9,11.4,41.0,,0.0,0.0,,87.0,,,,18.0,478.0,97.0,0.7,0.0,36.0,21.5,13.5,-0.3,,,
PUY,2025-01-14,-2.1,0.8,-3.9,,,,73.8,3.9,977.9,1035.4,,,1032.4,2.3,7.7,8.3,27.7,7.4,26.6,,0.0,0.0,,78.0,,,,22.0,374.0,76.0,0.4,0.0,35.0,22.1,14.1,-0.2,,,
PUY,2025-01-15,1.1,5.5,-2.8,,,,74.8,5.0,974.0,1030.6,,,1028.3,1.7,11.1,6.1,40.0,10.3,37.1,,0.0,0.0,,84.0,,,,18.0,431.0,87.0,0.4,0.0,27.0,18.9,10.9,-0.2,,,
PUY,2025-01-16,2.5,4.6,1.4,,,,73.1,5.3,976.7,1033.1,,,1031.2,1.9,12.9,6.8,46.4,11.3,40.7,,0.0,0.0,,53.0,,,,38.0,137.0,27.0,0.6,0.0,37.0,17.5,9.5,-0.1,,,
PUY,2025-01-17,2.0,3.8,0.2,,,,75.9,5.4,978.3,1034.9,,,1032.8,1.4,6.4,5.0,23.0,6.0,21.6,,0.0,0.0,,85.0,,,,39.0,315.0,63.0,0.3,0.0,22.0,18.0,10.0,-0.2,,,
