station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
QUI,2025-01-01,,,,,,,,,976.3,,,,1026.3,1.1,5.7,4.0,20.5,5.6,20.2,,,,,,,,,,,,,,45.0,,,,,,
QUI,2025-01-02,,,,,,,,,966.7,,,,1016.3,2.2,13.3,7.9,47.9,12.7,45.7,,,,,,,,,,,,,,310.0,,,,,,
QUI,2025-01-03,,,,,,,,,971.3,,,,1021.2,2.3,10.7,8.3,38.5,10.3,37.1,,,,,,,,,,,,,,287.0,,,,,,
QUI,2025-01-04,,,,,,,,,969.4,,,,1019.1,1.8,7.3,6.5,26.3,7.3,26.3,,,,,,,,,,,,,,45.0,,,,,,
QUI,2025-01-05,,,,,,,,,958.3,,,,1007.6,2.7,20.3,9.7,73.1,19.8,71.3,,,,,,,,,,,,,,88.0,,,,,,
QUI,2025-01-06,,,,,,,,,951.6,,,,1000.6,5.2,20.3,18.7,73.1,19.0,68.4,,,,,,,,,,,,,,84.0,,,,,,
QUI,2025-01-07,,,,,,,,,958.8,,,,1008.1,1.8,12.8,6.5,46.1,12.6,45.4,,,,,,,,,,,,,,315.0,,,,,,
QUI,2025-01-08,,,,,,,,,957.8,,,,1007.0,1.7,12.9,6.1,46.4,12.0,43.2,,,,,,,,,,,,,,72.0,,,,,,
QUI,2025-01-09,,,,,,,,,957.2,,,,1006.5,3.2,20.0,11.5,72.0,19.6,70.6,,,,,,,,,,,,,,277.0,,,,,,
QUI,2025-01-10,,,,,,,,,969.3,,,,1019.0,2.3,13.8,8.3,49.7,13.2,47.5,,,,,,,,,,,,,,283.0,,,,,,
QUI,2025-01-11,,,,,,,,,973.4,,,,1023.4,1.6,6.5,5.8,23.4,6.4,23.0,,,,,,,,,,,,,,90.0,,,,,,
QUI,2025-01-12,,,,,,,,,983.9,,,,1034.2,1.5,7.5,5.4,27.0,7.2,25.9,,,,,,,,,,,,,,103.0,,,,,,
QUI,2025-01-13,,,,,,,,,985.6,,,,1036.0,4.3,11.4,15.5,41.0,10.9,39.2,,,,,,,,,,,,,,99.0,,,,,,
QUI,2025-01-14,,,,,,,,,982.9,,,,1033.2,1.2,8.1,4.3,29.2,7.9,28.4,,,,,,,,,,,,,,45.0,,,,,,
QUI,2025-01-15,,,,,,,,,980.5,,,,1030.7,1.7,8.9,6.1,32.0,8.7,31.3,,,,,,,,,,,,,,80.0,,,,,,
QUI,2025-01-16,,,,,,,,,982.2,,,,1032.4,2.0,9.5,7.2,34.2,9.2,33.1,,,,,,,,,,,,,,99.0,,,,,,
QUI,2025-01-17,,,,,,,,,983.3,,,,1033.6,2.0,7.0,7.2,25.2,6.7,24.1,,,,,,,,,,,,,,86.0,,,,,,
QUI,2025-01-18,,,,,,,,,978.1,,,,1028.2,1.4,6.3,5.0,22.7,6.2,22.3,,,,,,,,,,,,,,342.0,,,,,,
QUI,2025-01-19,,,,,,,,,971.2,,,,1021.1,1.9,6.8,6.8,24.5,6.6,23.8,,,,,,,,,,,,,,279.0,,,,,,
QUI,2025-01-20,,,,,,,,,969.0,,,,1018.7,1.6,8.5,5.8,30.6,8.3,29.9,,,,,,,,,,,,,,275.0,,,,,,
QUI,2025-01-21,,,,,,,,,967.4,,,,1017.1,1.3,4.8,4.7,17.3,4.7,16.9,,,,,,,,,,,,,,270.0,,,,,,
QUI,2025-01-22,,,,,,,,,960.8,,,,1010.2,2.1,13.9,7.6,50.0,13.6,49.0,,,,,,,,,,,,,,297.0,,,,,,
QUI,2025-01-23,,,,,,,,,961.6,,,,1011.0,2.8,13.9,10.1,50.0,13.7,49.3,,,,,,,,,,,,,,285.0,,,,,,
