station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
REH,2025-01-01,0.6,7.3,-4.1,-0.7,11.5,-7.4,82.2,5.1,973.1,1028.2,,,1026.0,1.5,6.6,5.4,23.8,6.5,23.4,,0.0,0.0,0.0,83.0,,,,27.0,418.0,94.0,0.2,0.0,207.0,19.4,11.4,-0.2,0.9,1.7,2.1
REH,2025-01-02,5.5,9.8,0.1,4.0,9.3,0.0,66.8,5.9,963.9,1017.4,,,1016.3,4.3,20.8,15.5,74.9,20.3,73.1,,14.9,14.9,0.0,29.0,,,,22.0,56.0,13.0,1.2,0.0,252.0,14.5,6.5,14.8,1.8,2.1,2.2
REH,2025-01-03,-0.3,1.2,-3.5,-1.4,3.2,-6.9,84.9,5.1,969.3,1024.4,,,1022.0,1.5,7.0,5.4,25.2,6.8,24.5,,0.0,0.0,0.0,46.0,,,,26.0,164.0,37.0,0.2,0.0,270.0,20.3,12.3,-0.1,1.5,2.3,2.5
REH,2025-01-04,-3.5,0.1,-5.9,-3.3,0.0,-10.1,94.4,4.5,966.7,1022.3,,,1019.2,0.6,2.8,2.2,10.1,2.8,10.1,,27.0,16.0,0.0,34.0,,,,33.0,0.0,0.0,0.2,0.0,63.0,23.5,15.5,16.0,0.7,1.6,2.1
REH,2025-01-05,4.0,7.4,-0.1,1.8,5.7,-1.6,93.5,7.6,954.3,1007.7,,,1006.3,1.7,6.3,6.1,22.7,6.2,22.3,,2.8,13.8,2.0,27.0,,,,25.0,2.0,0.0,0.3,0.0,165.0,16.0,8.0,13.8,0.7,1.4,1.7
REH,2025-01-06,6.1,11.8,-1.3,4.5,12.5,-2.5,79.8,7.3,949.1,1001.7,,,1000.9,2.4,13.7,8.6,49.3,13.5,48.6,,13.9,13.9,0.0,33.0,,,,27.0,42.0,9.0,0.7,0.0,246.0,13.9,5.9,13.8,1.7,2.0,1.9
REH,2025-01-07,5.1,7.3,3.1,3.5,10.4,0.1,75.9,6.6,955.8,1009.0,,,1007.9,3.7,17.7,13.3,63.7,17.0,61.2,,2.6,1.3,0.0,52.0,,,,29.0,182.0,40.0,0.8,0.0,243.0,14.9,6.9,1.2,2.6,3.1,3.0
REH,2025-01-08,7.2,11.4,3.7,5.9,9.9,1.9,82.7,8.5,953.9,1006.6,,,1005.9,3.1,18.0,11.2,64.8,17.3,62.3,,8.1,8.8,0.0,18.0,,,,17.0,7.0,2.0,0.8,0.0,199.0,12.8,4.8,8.8,3.1,3.4,3.2
REH,2025-01-09,6.9,11.4,1.1,5.4,13.2,-0.3,80.2,8.0,954.8,1007.6,,,1006.8,4.2,21.4,15.1,77.0,19.6,70.6,,5.6,6.2,0.0,44.0,,,,34.0,94.0,21.0,0.8,0.0,250.0,13.1,5.1,6.1,4.2,4.4,4.1
REH,2025-01-10,1.2,2.9,-0.9,0.2,6.3,-3.0,75.5,5.0,966.9,1021.6,,,1019.5,1.0,6.9,3.6,24.8,6.9,24.8,,0.0,0.0,0.0,33.0,,,,29.0,13.0,3.0,0.4,0.0,270.0,18.8,10.8,-0.1,2.9,3.6,3.9
REH,2025-01-11,-1.5,2.1,-4.4,-3.2,6.9,-8.9,81.1,4.4,971.5,1027.0,,,1024.3,1.1,6.0,4.0,21.6,5.9,21.2,,0.0,0.0,0.0,77.0,,,,19.0,441.0,96.0,0.1,0.0,23.0,21.5,13.5,-0.2,1.7,2.6,3.1
REH,2025-01-12,-2.3,1.9,-6.6,-3.5,7.4,-10.2,75.9,3.9,981.5,1037.7,,,1034.8,1.4,7.1,5.0,25.6,6.8,24.5,,0.0,0.0,0.0,66.0,,,,30.0,242.0,52.0,0.3,0.0,42.0,22.3,14.3,-0.1,0.6,1.5,2.2
REH,2025-01-13,-3.5,-0.8,-7.2,-4.8,4.3,-11.0,76.9,3.6,983.4,1040.0,,,1036.7,2.4,11.8,8.6,42.5,11.3,40.7,,0.0,0.0,0.0,58.0,,,,36.0,185.0,40.0,0.3,0.0,45.0,23.5,15.5,-0.1,-0.1,0.9,1.6
REH,2025-01-14,-3.6,0.3,-7.4,-4.6,6.2,-10.8,80.7,3.7,980.5,1037.0,,,1033.7,0.7,4.2,2.5,15.1,4.1,14.8,,0.0,0.0,0.0,68.0,,,,24.0,325.0,70.0,0.1,0.0,18.0,23.6,15.6,-0.1,-0.4,0.6,1.2
REH,2025-01-15,-1.1,1.8,-7.5,-0.9,4.9,-10.6,89.0,5.1,978.1,1033.9,,,1031.2,1.5,9.2,5.4,33.1,8.6,31.0,,0.0,0.0,0.0,39.0,,,,37.0,2.0,0.0,0.2,0.0,56.0,21.1,13.1,0.0,-0.5,0.4,1.0
REH,2025-01-16,2.1,3.8,0.9,2.0,10.1,-0.2,77.6,5.5,979.7,1034.9,,,1032.9,2.8,11.0,10.1,39.6,10.8,38.9,,0.0,0.0,0.0,38.0,,,,33.0,19.0,4.0,0.6,0.0,53.0,17.9,9.9,0.0,-0.1,0.6,1.0
REH,2025-01-17,0.6,1.7,-0.5,0.4,3.1,-0.7,80.9,5.1,980.7,1036.3,,,1033.9,1.6,6.0,5.8,21.6,5.9,21.2,,0.0,0.0,0.0,21.0,,,,20.0,0.0,0.0,0.5,0.0,42.0,19.4,11.4,0.0,0.3,0.9,1.2
REH,2025-01-18,-0.6,1.4,-1.8,0.0,6.8,-2.1,82.1,4.8,975.7,1031.3,,,1028.7,1.6,5.8,5.8,20.9,5.6,20.2,,0.0,0.0,0.0,46.0,,,,34.0,116.0,25.0,0.4,0.0,51.0,20.6,12.6,-0.1,0.3,1.0,1.3
REH,2025-01-19,-1.3,0.1,-3.5,-1.5,3.4,-7.0,89.1,4.9,968.9,1024.1,,,1021.5,0.7,3.3,2.5,11.9,3.2,11.5,,0.0,0.0,0.0,29.0,,,,27.0,8.0,2.0,0.3,0.0,45.0,21.3,13.3,0.0,0.4,1.1,1.3
REH,2025-01-20,-2.2,0.6,-3.5,-1.3,8.1,-6.7,97.1,5.1,966.8,1022.2,,,1019.4,0.5,2.4,1.8,8.6,2.3,8.3,,0.0,0.0,0.0,48.0,,,,43.0,9.0,2.0,0.2,0.0,27.0,22.2,14.2,0.0,0.3,1.0,1.4
REH,2025-01-21,-1.8,-0.5,-3.1,-1.0,1.8,-2.9,98.5,5.3,965.0,1020.2,,,1017.5,0.8,3.3,2.9,11.9,3.2,11.5,,0.0,0.0,0.0,29.0,,,,28.0,0.0,0.0,0.2,0.0,333.0,21.8,13.8,0.0,0.5,1.1,1.4
REH,2025-01-22,-0.7,1.5,-2.1,-0.6,2.8,-3.6,96.0,5.6,958.6,1013.1,,,1010.8,0.7,3.3,2.5,11.9,3.2,11.5,,0.6,0.4,0.0,19.0,,,,18.0,0.0,0.0,0.3,0.0,333.0,20.7,12.7,0.4,0.7,1.3,1.5
REH,2025-01-23,3.1,6.8,-1.4,2.2,11.7,-4.2,88.0,6.7,959.5,1013.3,,,1011.8,1.5,9.2,5.4,33.1,8.9,32.0,,2.6,2.8,0.0,36.0,,,,27.0,39.0,8.0,0.4,0.0,270.0,16.9,8.9,2.8,1.4,1.8,1.8
REH,2025-01-24,5.6,11.0,-0.4,4.3,15.0,-2.2,71.8,6.3,961.9,1015.4,,,1014.3,1.3,6.1,4.7,22.0,6.0,21.6,,0.0,0.0,0.0,69.0,,,,42.0,169.0,35.0,0.6,0.0,171.0,14.4,6.4,-0.1,1.8,2.2,2.2
REH,2025-01-25,8.0,15.3,1.3,6.1,21.0,-0.4,67.7,7.0,958.2,1011.0,,,1010.4,1.5,11.2,5.4,40.3,11.0,39.6,,1.2,0.0,0.0,68.0,,,,35.0,218.0,45.0,0.9,0.0,236.0,12.0,4.0,-0.2,2.8,3.1,2.8
REH,2025-01-26,7.1,9.9,4.8,6.4,15.6,2.1,65.5,6.5,958.8,1011.8,,,1011.1,2.8,13.9,10.1,50.0,13.7,49.3,,2.4,1.2,0.0,94.0,,,,20.0,377.0,78.0,1.0,0.0,241.0,12.9,4.9,1.0,3.4,3.7,3.5
