station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
ROB,2025-01-01,-1.8,5.5,-6.2,-4.0,8.6,-8.1,66.7,3.5,904.1,,1567.5,,1028.7,1.1,3.0,4.0,10.8,2.9,10.4,0.0,0.0,0.0,0.0,68.0,227.0,,,14.0,273.0,100.0,0.4,0.0,51.0,21.8,13.8,-0.3,-0.3,0.1,0.4
ROB,2025-01-02,0.7,4.0,-4.4,-0.5,5.1,-7.2,69.9,4.4,895.5,,1496.7,,1019.3,0.7,5.2,2.5,18.7,5.1,18.4,0.0,0.4,0.3,0.0,31.0,291.0,,,29.0,0.0,0.0,0.4,0.0,45.0,19.3,11.3,0.2,-0.3,0.0,0.3
ROB,2025-01-03,0.7,5.8,-8.7,-1.4,7.7,-11.6,36.4,2.2,891.5,,1460.3,,1014.8,4.6,15.9,16.6,57.2,15.6,56.2,780.0,0.0,0.1,1.0,73.0,222.0,,,15.0,275.0,100.0,1.5,0.0,35.0,19.3,11.3,-0.5,-0.3,0.0,0.3
ROB,2025-01-04,-4.6,2.1,-9.4,-7.2,5.3,-12.8,50.2,2.1,894.5,,1479.7,,1018.2,0.9,5.2,3.2,18.7,5.1,18.4,0.0,0.0,0.0,0.0,69.0,213.0,,,22.0,275.0,99.0,0.3,0.0,72.0,24.6,16.6,-0.5,-0.6,0.0,0.3
ROB,2025-01-05,-0.6,3.5,-6.2,-1.9,5.5,-8.6,54.3,3.2,891.8,,1461.1,,1015.1,0.7,3.0,2.5,10.8,3.0,10.8,0.0,0.0,0.0,0.0,42.0,278.0,,,38.0,0.0,0.0,0.4,0.0,45.0,20.6,12.6,-0.1,-0.6,-0.1,0.2
ROB,2025-01-06,0.9,2.0,0.1,0.3,1.7,-0.8,82.2,5.3,887.1,,1421.7,,1009.9,0.9,3.2,3.2,11.5,3.2,11.5,0.0,22.1,12.4,0.0,12.0,314.0,,,11.0,0.0,0.0,0.5,0.0,34.0,19.1,11.1,12.3,-0.3,-0.1,0.2
ROB,2025-01-07,0.1,1.3,-3.1,-0.5,2.1,-5.7,95.4,5.9,885.1,,1402.3,,1007.6,0.5,3.6,1.8,13.0,3.5,12.6,0.0,1.4,11.1,5.0,22.0,296.0,,,20.0,0.0,0.0,0.3,0.0,18.0,19.9,11.9,11.1,-0.2,-0.1,0.2
ROB,2025-01-08,-0.1,3.6,-3.8,-1.2,5.3,-6.2,89.9,5.5,889.7,,1443.2,,1012.7,0.8,3.5,2.9,12.6,3.4,12.2,0.0,11.9,0.6,4.0,55.0,277.0,,,37.0,86.0,31.0,0.2,0.0,37.0,20.1,12.1,0.6,-0.2,0.0,0.2
ROB,2025-01-09,1.3,4.4,0.0,0.6,2.0,-0.1,96.9,6.5,886.1,,1412.7,,1008.7,0.6,12.2,2.2,43.9,12.0,43.2,0.0,1.7,12.9,6.0,22.0,319.0,,,21.0,0.0,0.0,0.3,0.0,34.0,18.7,10.7,12.9,-0.2,0.0,0.2
ROB,2025-01-10,0.9,4.1,-1.8,-0.6,2.3,-3.0,51.8,3.3,890.4,,1450.7,,1013.5,4.9,20.5,17.6,73.8,20.2,72.7,670.0,0.0,0.1,4.0,46.0,262.0,,,34.0,56.0,20.0,1.5,0.0,42.0,19.1,11.1,-0.1,-0.2,0.0,0.2
ROB,2025-01-11,-1.4,3.0,-6.7,-3.3,3.0,-7.9,53.5,2.8,892.4,,1466.2,,1015.8,2.9,16.2,10.4,58.3,15.6,56.2,540.0,0.0,0.0,4.0,68.0,216.0,,,19.0,267.0,94.0,0.9,0.0,16.0,21.4,13.4,-0.3,-0.2,0.0,0.2
ROB,2025-01-12,1.4,5.1,-5.0,-0.9,4.7,-7.8,30.2,2.0,898.9,,1527.3,,1023.0,5.7,19.3,20.5,69.5,18.4,66.2,1140.0,0.0,0.0,4.0,77.0,217.0,,,15.0,287.0,100.0,1.9,0.0,42.0,18.6,10.6,-0.5,-0.4,0.0,0.2
