station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
ROE,2025-01-01,-2.4,0.6,-6.4,,,,55.1,2.8,816.4,,1574.4,,1026.7,1.1,6.1,4.0,22.0,5.7,20.5,,0.0,0.0,,83.0,219.0,,,19.0,297.0,100.0,0.2,0.0,301.0,22.4,14.4,-0.5,,,
ROE,2025-01-02,-3.9,-2.0,-4.6,,,,86.4,3.9,808.0,,1493.7,,1016.6,0.7,11.0,2.5,39.6,10.5,37.8,,4.1,3.8,,19.0,291.0,,,17.0,0.0,0.0,0.3,0.0,326.0,23.9,15.9,3.8,,,
ROE,2025-01-03,-4.5,-2.5,-6.4,,,,41.7,1.8,805.0,,1465.3,,1013.0,4.3,13.9,15.5,50.0,13.7,49.3,,0.0,0.3,,90.0,202.0,,,24.0,301.0,100.0,0.9,0.0,360.0,24.5,16.5,-0.2,,,
ROE,2025-01-04,-5.9,-3.8,-7.3,,,,42.7,1.7,806.4,,1481.6,,1014.7,1.2,7.7,4.3,27.7,7.4,26.6,,1.9,1.8,,79.0,214.0,,,31.0,302.0,100.0,0.3,0.0,279.0,25.9,17.9,1.3,,,
ROE,2025-01-05,-4.3,-1.8,-7.2,,,,79.0,3.5,804.3,,1458.3,,1012.2,0.5,2.6,1.8,9.4,2.6,9.4,,3.8,1.0,,49.0,282.0,,,43.0,8.0,3.0,0.2,0.0,360.0,24.3,16.3,0.9,,,
ROE,2025-01-06,-2.3,-1.6,-3.3,,,,96.8,5.0,800.3,,1414.4,,1007.3,1.6,9.6,5.8,34.6,9.3,33.5,,24.0,25.5,,19.0,308.0,,,17.0,0.0,0.0,0.3,0.0,180.0,22.3,14.3,25.5,,,
ROE,2025-01-07,-3.2,-0.7,-5.4,,,,57.3,2.8,798.9,,1402.2,,1005.6,1.4,8.4,5.0,30.2,8.0,28.8,,0.6,1.4,,91.0,229.0,,,24.0,304.0,99.0,0.3,0.0,270.0,23.2,15.2,1.0,,,
ROE,2025-01-08,-3.4,-1.2,-5.1,,,,80.0,3.8,802.8,,1441.5,,1010.3,0.7,5.1,2.5,18.4,4.9,17.6,,7.5,4.5,,54.0,285.0,,,51.0,0.0,0.0,0.2,0.0,333.0,23.4,15.4,4.5,,,
ROE,2025-01-09,-1.5,0.2,-3.4,,,,89.6,4.9,800.3,,1413.2,,1007.3,1.2,10.1,4.3,36.4,9.8,35.3,,3.5,7.0,,45.0,301.0,,,43.0,0.0,0.0,0.3,0.0,337.0,21.5,13.5,7.0,,,
ROE,2025-01-10,-5.6,-3.6,-6.7,,,,70.8,2.9,803.5,,1452.4,,1011.2,2.3,16.3,8.3,58.7,15.9,57.2,,8.8,8.8,,48.0,275.0,,,46.0,0.0,0.0,0.5,0.0,346.0,25.6,17.6,8.7,,,
ROE,2025-01-11,-4.0,-1.0,-7.7,,,,45.1,2.1,805.2,,1466.3,,1013.2,4.8,19.8,17.3,71.3,19.0,68.4,,0.0,0.1,,81.0,205.0,,,28.0,267.0,85.0,1.0,0.0,343.0,24.0,16.0,-0.3,,,
ROE,2025-01-12,-3.6,-0.6,-7.0,,,,26.7,1.3,812.3,,1536.1,,1021.8,8.7,24.1,31.3,86.8,22.4,80.6,,0.0,0.0,,97.0,184.0,,,24.0,321.0,100.0,1.9,0.0,325.0,23.6,15.6,-0.6,,,
ROE,2025-01-13,-0.6,3.0,-2.8,,,,16.0,0.9,816.3,,1571.5,,1026.6,4.5,18.6,16.2,67.0,18.4,66.2,,0.0,0.0,,103.0,180.0,,,24.0,323.0,100.0,1.8,0.0,318.0,20.6,12.6,-0.7,,,
ROE,2025-01-14,0.6,6.1,-4.7,,,,25.0,1.5,816.4,,1570.7,,1026.7,2.7,17.7,9.7,63.7,17.2,61.9,,0.0,0.0,,97.0,211.0,,,22.0,327.0,100.0,1.2,0.0,329.0,19.4,11.4,-0.6,,,
ROE,2025-01-15,2.3,6.9,-1.1,,,,31.9,2.2,813.7,,1541.7,,1023.4,6.4,17.5,23.0,63.0,17.1,61.6,,0.0,0.0,,100.0,224.0,,,27.0,325.0,99.0,2.3,0.0,331.0,17.7,9.7,-0.5,,,
ROE,2025-01-16,-4.1,-0.3,-6.7,,,,50.9,2.3,817.3,,1585.6,,1027.8,1.7,15.3,6.1,55.1,15.1,54.4,,0.0,0.0,,98.0,205.0,,,22.0,335.0,100.0,0.5,0.0,297.0,24.1,16.1,-0.4,,,
ROE,2025-01-17,-3.4,-0.8,-5.6,,,,51.4,2.4,819.0,,1601.3,,1029.8,1.2,7.7,4.3,27.7,7.6,27.4,,0.0,0.0,,100.0,204.0,,,21.0,338.0,100.0,0.4,0.0,288.0,23.4,15.4,-0.4,,,
ROE,2025-01-18,-0.3,2.8,-4.4,,,,40.6,2.4,816.9,,1577.2,,1027.3,1.8,8.4,6.5,30.2,8.2,29.5,,0.0,0.0,,87.0,227.0,,,33.0,240.0,71.0,0.7,0.0,284.0,20.3,12.3,-0.4,,,
ROE,2025-01-19,-2.0,-0.5,-3.6,,,,75.7,4.0,811.9,,1530.1,,1021.3,0.6,6.7,2.2,24.1,6.5,23.4,,13.9,11.7,,26.0,288.0,,,25.0,0.0,0.0,0.4,0.0,315.0,22.0,14.0,11.7,,,
ROE,2025-01-20,-2.8,-1.4,-3.8,,,,93.0,4.6,809.7,,1509.5,,1018.7,0.3,2.6,1.1,9.4,2.5,9.0,,9.4,10.8,,32.0,297.0,,,31.0,0.0,0.0,0.3,0.0,0.0,22.8,14.8,10.8,,,
ROE,2025-01-21,-3.3,-1.0,-5.3,,,,64.6,3.1,806.9,,1482.1,,1015.3,1.6,7.1,5.8,25.6,7.0,25.2,,0.0,0.8,,92.0,235.0,,,26.0,312.0,90.0,0.4,0.0,265.0,23.3,15.3,0.6,,,
ROE,2025-01-22,-3.0,-2.2,-4.2,,,,87.1,4.3,804.8,,1460.7,,1012.7,0.4,2.4,1.4,8.6,2.3,8.3,,7.1,5.2,,40.0,291.0,,,37.0,0.0,0.0,0.3,0.0,0.0,23.0,15.0,5.2,,,
ROE,2025-01-23,-1.5,1.6,-3.0,,,,71.9,3.9,803.0,,1439.8,,1010.5,2.2,10.9,7.9,39.2,10.5,37.8,,2.0,3.9,,76.0,255.0,,,49.0,141.0,40.0,0.6,0.0,312.0,21.5,13.5,3.8,,,
ROE,2025-01-24,0.2,3.3,-2.6,,,,41.3,2.5,808.3,,1490.5,,1016.9,2.0,9.0,7.2,32.4,8.9,32.0,,0.0,0.0,,106.0,241.0,,,36.0,337.0,95.0,0.8,0.0,279.0,19.8,11.8,-0.4,,,
ROE,2025-01-25,-2.1,-0.5,-4.3,,,,80.4,4.2,808.3,,1494.5,,1017.0,0.8,5.9,2.9,21.2,5.8,20.9,,27.2,12.1,,45.0,287.0,,,43.0,0.0,0.0,0.4,0.0,270.0,22.1,14.1,12.1,,,
ROE,2025-01-26,-2.1,-0.5,-4.3,,,,75.4,3.9,803.8,,1449.0,,1011.5,1.6,8.8,5.8,31.7,8.6,31.0,,5.5,15.6,,119.0,269.0,,,33.0,340.0,94.0,0.4,0.0,329.0,22.1,14.1,15.4,,,
ROE,2025-01-27,-2.1,-0.3,-3.5,,,,96.2,5.0,801.0,,1421.7,,1008.2,0.5,4.9,1.8,17.6,4.9,17.6,,50.2,38.7,,37.0,308.0,,,36.0,0.0,0.0,0.3,0.0,180.0,22.1,14.1,38.7,,,
ROE,2025-01-28,-2.5,0.6,-5.8,,,,72.1,3.7,793.8,,1349.0,,999.5,2.0,12.1,7.2,43.6,11.7,42.1,,0.8,17.3,,49.0,272.0,,,47.0,0.0,0.0,0.6,0.0,345.0,22.5,14.5,17.2,,,
ROE,2025-01-29,-2.8,-0.6,-5.0,,,,69.8,3.4,803.0,,1442.7,,1010.6,1.4,6.7,5.0,24.1,6.6,23.8,,3.3,0.0,,127.0,259.0,,,52.0,345.0,94.0,0.5,0.0,263.0,22.8,14.8,-0.2,,,
ROE,2025-01-30,-3.4,-2.1,-6.0,,,,89.1,4.2,808.2,,1494.7,,1016.8,1.0,5.6,3.6,20.2,5.4,19.4,,7.5,10.8,,46.0,282.0,,,44.0,0.0,0.0,0.3,0.0,166.0,23.4,15.4,10.8,,,
ROE,2025-01-31,-3.4,-0.4,-6.2,,,,69.3,3.3,811.6,,1528.7,,1020.9,1.0,6.8,3.6,24.5,6.6,23.8,,5.6,3.9,,74.0,255.0,,,66.0,25.0,7.0,0.5,0.0,284.0,23.4,15.4,3.8,,,
ROE,2025-02-01,-2.5,-1.3,-3.6,,,,94.5,4.8,813.0,,1541.1,,1022.6,0.3,2.3,1.1,8.3,2.2,7.9,,3.6,5.3,,58.0,297.0,,,57.0,0.0,0.0,0.3,0.0,360.0,22.5,14.5,5.3,,,
ROE,2025-02-02,-1.9,2.1,-6.1,,,,51.6,2.7,809.9,,1509.5,,1018.8,1.6,8.0,5.8,28.8,7.7,27.7,,0.0,0.0,,129.0,216.0,,,29.0,369.0,100.0,0.7,0.0,292.0,21.9,13.9,-0.4,,,
ROE,2025-02-03,1.6,5.2,-3.7,,,,29.1,2.0,811.9,,1524.5,,1021.2,1.5,8.6,5.4,31.0,8.3,29.9,,0.0,0.0,,129.0,211.0,,,28.0,372.0,100.0,0.9,0.0,278.0,18.4,10.4,-0.6,,,
ROE,2025-02-04,4.5,8.2,-0.2,,,,18.8,1.5,815.0,,1552.4,,1025.1,2.1,12.0,7.6,43.2,11.9,42.8,,0.0,0.0,,134.0,214.0,,,26.0,381.0,100.0,1.5,0.0,330.0,15.5,7.5,-0.6,,,
ROE,2025-02-05,5.3,8.9,-1.0,,,,16.5,1.4,819.9,,1600.2,,1030.9,4.4,14.6,15.8,52.6,14.1,50.8,,0.0,0.0,,135.0,216.0,,,29.0,386.0,100.0,2.5,0.0,321.0,14.7,6.7,-0.7,,,
ROE,2025-02-06,-2.1,1.5,-6.3,,,,47.9,2.4,817.7,,1587.2,,1028.3,1.8,7.4,6.5,26.6,7.3,26.3,,0.0,0.0,,135.0,214.0,,,28.0,386.0,100.0,0.8,0.0,265.0,22.1,14.1,-0.4,,,
ROE,2025-02-07,-6.6,-5.4,-7.9,,,,77.2,2.9,814.0,,1556.8,,1023.8,0.8,4.6,2.9,16.6,4.4,15.8,,0.2,0.1,,54.0,266.0,,,51.0,0.0,0.0,0.4,0.0,233.0,26.6,18.6,0.1,,,
ROE,2025-02-08,-5.1,-3.3,-7.0,,,,85.4,3.6,813.5,,1549.9,,1023.2,0.5,3.2,1.8,11.5,3.1,11.2,,10.0,7.0,,38.0,285.0,,,37.0,0.0,0.0,0.4,0.0,360.0,25.1,17.1,7.0,,,
ROE,2025-02-09,-2.1,-0.8,-3.3,,,,94.9,5.0,813.9,,1549.8,,1023.7,0.4,2.6,1.4,9.4,2.5,9.0,,7.2,9.4,,51.0,301.0,,,50.0,0.0,0.0,0.4,0.0,180.0,22.1,14.1,9.4,,,
ROE,2025-02-10,-1.7,-0.5,-2.4,,,,95.8,5.2,812.7,,1536.8,,1022.2,0.3,3.3,1.1,11.9,3.2,11.5,,0.6,1.3,,83.0,301.0,,,82.0,0.0,0.0,0.5,0.0,135.0,21.7,13.7,1.3,,,
ROE,2025-02-11,-1.9,-0.8,-2.6,,,,98.0,5.2,811.3,,1523.9,,1020.6,0.5,3.1,1.8,11.2,3.0,10.8,,1.8,1.5,,59.0,303.0,,,57.0,0.0,0.0,0.4,0.0,166.0,21.9,13.9,1.5,,,
ROE,2025-02-12,-2.1,-1.0,-2.8,,,,96.9,5.1,809.1,,1501.9,,1017.9,0.3,2.9,1.1,10.4,2.8,10.1,,0.6,1.1,,58.0,302.0,,,57.0,0.0,0.0,0.4,0.0,162.0,22.1,14.1,1.1,,,
ROE,2025-02-13,-2.3,-1.0,-3.4,,,,87.5,4.5,805.6,,1467.6,,1013.7,0.6,5.2,2.2,18.7,4.9,17.6,,7.2,7.1,,83.0,291.0,,,80.0,2.0,1.0,0.5,0.0,297.0,22.3,14.3,7.1,,,
ROE,2025-02-14,-5.9,0.2,-8.6,,,,50.8,2.0,803.1,,1448.9,,1010.7,6.2,25.0,22.3,90.0,23.1,83.2,,0.0,0.1,,144.0,228.0,,,88.0,188.0,48.0,1.5,0.0,331.0,25.9,17.9,-0.1,,,
ROE,2025-02-15,-1.6,3.3,-6.5,,,,34.9,1.9,804.9,,1459.7,,1012.9,1.5,11.4,5.4,41.0,11.2,40.3,,0.0,0.0,,160.0,198.0,,,31.0,391.0,100.0,1.1,0.0,331.0,21.6,13.6,-0.5,,,
ROE,2025-02-16,1.6,4.7,-2.7,,,,23.0,1.6,802.7,,1432.1,,1010.2,3.2,11.7,11.5,42.1,11.5,41.4,,0.0,0.0,,161.0,218.0,,,38.0,392.0,100.0,1.9,0.0,335.0,18.4,10.4,-0.6,,,
ROE,2025-02-17,-1.1,2.3,-3.8,,,,34.6,1.9,804.7,,1457.0,,1012.7,1.7,9.7,6.1,34.9,9.6,34.6,,0.0,0.0,,157.0,201.0,,,32.0,394.0,100.0,1.2,0.0,333.0,21.1,13.1,-0.5,,,
ROE,2025-02-18,-0.9,5.6,-8.3,,,,46.9,2.4,807.3,,1482.3,,1015.7,1.4,8.9,5.0,32.0,8.6,31.0,,0.0,0.0,,158.0,222.0,,,31.0,394.0,100.0,1.1,0.0,347.0,20.9,12.9,-0.4,,,
ROE,2025-02-19,-4.7,3.8,-8.6,,,,79.3,3.2,811.3,,1527.2,,1020.5,1.0,9.3,3.6,33.5,9.0,32.4,,0.0,0.0,,109.0,267.0,,,107.0,0.0,0.0,0.8,0.0,315.0,24.7,16.7,0.0,,,
ROE,2025-02-20,2.7,5.3,0.1,,,,52.8,3.9,815.3,,1557.8,,1025.4,1.9,13.6,6.8,49.0,13.4,48.2,,0.0,0.0,,156.0,246.0,,,56.0,328.0,83.0,1.3,0.0,323.0,17.3,9.3,-0.3,,,
ROE,2025-02-21,0.8,4.4,-2.7,,,,65.4,4.2,816.5,,1572.2,,1026.9,0.9,6.6,3.2,23.8,6.5,23.4,,0.0,0.0,,154.0,243.0,,,47.0,391.0,99.0,0.9,0.0,281.0,19.2,11.2,-0.3,,,
ROE,2025-02-22,-1.2,0.0,-3.4,,,,84.0,4.7,814.7,,1556.8,,1024.7,0.6,5.9,2.2,21.2,5.5,19.8,,0.0,0.0,,58.0,290.0,,,56.0,0.0,0.0,0.5,0.0,270.0,21.2,13.2,0.0,,,
ROE,2025-02-23,0.5,4.2,-2.1,,,,63.8,4.0,817.3,,1580.3,,1027.8,1.2,7.0,4.3,25.2,6.9,24.8,,0.0,0.0,,151.0,250.0,,,71.0,289.0,72.0,1.0,0.0,270.0,19.5,11.5,-0.2,,,
ROE,2025-02-24,0.4,3.3,-2.1,,,,57.6,3.6,815.2,,1558.9,,1025.2,1.0,7.2,3.6,25.9,6.7,24.1,,0.0,0.0,,119.0,266.0,,,101.0,78.0,19.0,1.0,0.0,270.0,19.6,11.6,-0.1,,,
ROE,2025-02-25,-1.2,0.1,-2.5,,,,93.2,5.2,807.8,,1487.6,,1016.3,0.6,5.7,2.2,20.5,5.6,20.2,,21.5,21.5,,42.0,302.0,,,41.0,0.0,0.0,0.5,0.0,180.0,21.2,13.2,21.5,,,
ROE,2025-02-26,-2.1,-0.5,-4.7,,,,52.3,2.7,805.9,,1470.5,,1014.1,6.1,21.5,22.0,77.4,21.1,76.0,,0.0,0.0,,172.0,233.0,,,75.0,345.0,85.0,1.5,0.0,337.0,22.1,14.1,-0.4,,,
ROE,2025-02-27,-1.8,1.7,-4.5,,,,43.5,2.3,806.7,,1477.8,,1015.0,2.6,12.8,9.4,46.1,12.2,43.9,,0.0,0.0,,133.0,221.0,,,61.0,213.0,52.0,1.4,0.0,322.0,21.8,13.8,-0.3,,,
ROE,2025-02-28,-3.8,-0.2,-6.4,,,,44.6,2.0,807.8,,1491.7,,1016.3,2.7,9.0,9.7,32.4,8.8,31.7,,0.1,0.0,,183.0,203.0,,,33.0,418.0,100.0,1.4,0.0,270.0,23.8,15.8,-0.5,,,
ROE,2025-03-01,-5.1,-2.1,-7.6,,,,75.2,3.2,810.6,,1521.4,,1019.7,1.2,7.0,4.3,25.2,6.7,24.1,,1.4,1.5,,102.0,251.0,,,96.0,12.0,3.0,0.7,0.0,270.0,25.1,17.1,1.4,,,
ROE,2025-03-02,-3.7,0.0,-7.6,,,,56.5,2.6,815.2,,1564.0,,1025.2,2.2,7.5,7.9,27.0,7.1,25.6,,0.0,0.0,,188.0,213.0,,,34.0,427.0,98.0,1.2,0.0,260.0,23.7,15.7,-0.4,,,
ROE,2025-03-03,-1.4,3.0,-5.2,,,,37.1,2.1,815.4,,1563.2,,1025.5,2.2,8.2,7.9,29.5,7.8,28.1,,0.0,0.0,,194.0,203.0,,,32.0,433.0,98.0,1.6,0.0,266.0,21.4,13.4,-0.6,,,
ROE,2025-03-04,-0.7,3.3,-3.7,,,,42.9,2.5,814.8,,1556.5,,1024.7,2.4,7.9,8.6,28.4,7.6,27.4,,0.0,0.0,,194.0,211.0,,,32.0,444.0,99.0,1.7,0.0,264.0,20.7,12.7,-0.5,,,
ROE,2025-03-05,-0.3,4.4,-3.3,,,,46.6,2.8,816.4,,1571.9,,1026.7,2.2,7.7,7.9,27.7,7.5,27.0,,0.0,0.0,,193.0,219.0,,,33.0,448.0,100.0,1.6,0.0,263.0,20.3,12.3,-0.5,,,
