station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
RUE,2025-01-01,5.4,11.6,-1.7,-0.2,5.7,-7.2,44.9,3.8,952.4,,1532.2,,1024.5,3.1,16.1,11.2,58.0,15.6,56.2,,0.0,0.0,9.0,69.0,247.0,,,27.0,383.0,84.0,1.4,0.0,218.0,14.6,6.6,-0.7,,,
RUE,2025-01-02,5.7,9.9,-0.4,3.2,6.9,-0.2,63.1,5.4,944.2,,1464.5,,1015.8,7.3,27.5,26.3,99.0,27.0,97.2,,15.8,15.5,2.0,24.0,306.0,,,18.0,48.0,10.0,1.8,0.0,237.0,14.3,6.3,15.4,,,
RUE,2025-01-03,-1.9,0.1,-4.7,-3.8,4.5,-12.6,86.9,4.6,949.3,,1482.1,,1021.2,1.5,6.4,5.4,23.0,6.3,22.7,,0.0,0.3,7.0,65.0,253.0,,,30.0,193.0,42.0,0.1,0.0,275.0,21.9,13.9,0.2,,,
RUE,2025-01-04,-3.3,1.7,-6.2,-4.7,0.0,-12.8,86.3,4.2,945.5,,1446.5,,1017.2,3.2,11.3,11.5,40.7,11.0,39.6,,20.2,9.5,5.0,66.0,247.0,,,32.0,251.0,55.0,0.3,0.0,135.0,23.3,15.3,9.4,,,
RUE,2025-01-05,8.2,13.9,0.4,5.8,13.9,0.0,79.8,8.7,934.0,,1384.4,,1005.0,2.5,13.8,9.0,49.7,13.6,49.0,,1.0,11.7,1.0,27.0,326.0,,,25.0,6.0,1.0,0.7,0.0,218.0,11.8,3.8,11.6,,,
RUE,2025-01-06,8.4,12.1,4.1,6.6,11.4,1.6,65.6,7.1,929.4,,1344.6,,1000.1,6.2,24.7,22.3,88.9,23.9,86.0,,8.9,8.9,0.0,31.0,321.0,,,27.0,14.0,3.0,1.7,0.0,218.0,11.6,3.6,8.8,,,
RUE,2025-01-07,5.1,7.9,3.6,3.8,9.3,0.6,61.1,5.3,936.1,,1393.8,,1007.3,5.7,20.0,20.5,72.0,19.1,68.8,,0.8,0.1,0.0,44.0,283.0,,,34.0,64.0,14.0,1.6,0.0,240.0,14.9,6.9,-0.1,,,
RUE,2025-01-08,9.7,14.2,5.9,8.1,12.0,4.9,71.5,8.5,934.0,,1388.7,,1005.0,8.1,26.4,29.2,95.0,25.2,90.7,,9.4,10.0,0.0,16.0,339.0,,,15.0,2.0,0.0,2.1,0.0,231.0,10.3,2.3,9.9,,,
RUE,2025-01-09,6.9,11.1,-0.3,6.0,12.4,-1.1,74.6,7.5,935.3,,1391.2,,1006.4,9.6,31.3,34.6,112.7,30.0,108.0,,6.1,6.2,0.0,54.0,310.0,,,40.0,83.0,18.0,1.1,0.0,226.0,13.1,5.1,6.1,,,
RUE,2025-01-10,-0.1,1.2,-1.3,-0.5,3.3,-3.5,79.8,4.8,946.8,,1467.8,,1018.6,1.3,6.7,4.7,24.1,6.6,23.8,,0.0,0.0,0.0,30.0,284.0,,,28.0,0.0,0.0,0.4,0.0,45.0,20.1,12.1,-0.1,,,
RUE,2025-01-11,-2.6,0.4,-4.9,-3.5,4.9,-7.9,87.3,4.4,951.3,,1495.9,,1023.3,1.0,5.8,3.6,20.9,5.7,20.5,,0.0,0.0,0.0,73.0,221.0,,,19.0,291.0,62.0,0.1,0.0,18.0,22.6,14.6,-0.1,,,
RUE,2025-01-12,-3.2,0.0,-5.4,-3.9,4.7,-8.7,80.1,3.8,960.9,,1572.4,,1033.6,1.6,8.0,5.8,28.8,7.7,27.7,,0.0,0.0,0.0,63.0,237.0,,,32.0,157.0,33.0,0.3,0.0,48.0,23.2,15.2,-0.1,,,
RUE,2025-01-13,-4.2,-1.8,-5.9,-4.2,2.3,-8.0,76.2,3.4,962.5,,1580.7,,1035.2,4.2,11.4,15.1,41.0,10.9,39.2,,0.0,0.0,0.0,84.0,208.0,,,15.0,477.0,100.0,0.5,0.0,68.0,24.2,16.2,-0.3,,,
RUE,2025-01-14,-3.2,-0.1,-5.4,-3.6,5.8,-8.4,74.3,3.6,959.6,,1561.6,,1032.2,1.7,7.2,6.1,25.9,7.0,25.2,,0.0,0.0,0.0,83.0,218.0,,,14.0,478.0,99.0,0.3,0.0,98.0,23.2,15.2,-0.3,,,
RUE,2025-01-15,-0.8,1.6,-5.3,-0.7,4.9,-8.3,85.7,5.0,957.4,,1552.4,,1029.9,1.3,5.4,4.7,19.4,5.3,19.1,,0.0,0.0,0.0,40.0,299.0,,,37.0,10.0,2.0,0.2,0.0,49.0,20.8,12.8,0.0,,,
RUE,2025-01-16,0.4,1.2,-0.1,0.4,2.4,-0.3,83.8,5.3,959.3,,1571.9,,1031.8,4.0,13.0,14.4,46.8,12.5,45.0,,0.0,0.0,0.0,23.0,305.0,,,22.0,0.0,0.0,0.6,0.0,72.0,19.6,11.6,0.0,,,
RUE,2025-01-17,-0.8,0.2,-2.1,-0.5,3.6,-2.0,84.4,4.9,960.0,,1573.9,,1032.6,2.8,6.8,10.1,24.5,6.7,24.1,,0.0,0.0,0.0,36.0,294.0,,,30.0,45.0,9.0,0.4,0.0,95.0,20.8,12.8,-0.1,,,
RUE,2025-01-18,-2.0,-0.2,-3.5,-1.5,4.2,-4.7,87.7,4.6,954.8,,1527.2,,1027.1,3.5,9.4,12.6,33.8,8.9,32.0,,0.0,0.0,0.0,72.0,261.0,,,30.0,288.0,59.0,0.3,0.0,106.0,22.0,14.0,-0.1,,,
RUE,2025-01-19,-1.6,1.2,-3.7,-1.1,7.9,-4.5,87.2,4.7,947.9,,1472.1,,1019.8,3.0,10.2,10.8,36.7,10.0,36.0,,0.0,0.0,1.0,80.0,257.0,,,35.0,347.0,71.0,0.3,0.0,103.0,21.6,13.6,-0.1,,,
RUE,2025-01-20,0.1,8.3,-4.2,-0.1,13.7,-5.2,82.3,5.0,946.1,,1462.5,,1017.8,1.6,5.1,5.8,18.4,5.0,18.0,,0.0,0.0,0.0,83.0,244.0,,,20.0,466.0,95.0,0.5,0.0,70.0,19.9,11.9,-0.2,,,
RUE,2025-01-21,-0.5,4.5,-3.3,-0.3,9.8,-4.9,85.1,5.0,944.2,,1444.8,,1015.8,1.8,5.5,6.5,19.8,5.4,19.4,,0.0,0.0,0.0,88.0,242.0,,,14.0,500.0,100.0,0.3,0.0,73.0,20.5,12.5,-0.2,,,
RUE,2025-01-22,1.5,6.9,-3.2,0.7,4.5,-3.9,82.9,5.6,937.6,,1395.3,,1008.8,3.1,9.7,11.2,34.9,9.6,34.6,,4.0,1.7,0.0,15.0,306.0,,,14.0,4.0,1.0,0.8,0.0,102.0,18.5,10.5,1.7,,,
RUE,2025-01-23,4.3,9.8,1.6,2.8,8.1,-2.8,82.7,6.9,939.8,,1422.1,,1011.1,3.3,19.3,11.9,69.5,18.3,65.9,,0.8,3.1,0.0,32.0,298.0,,,25.0,28.0,6.0,1.0,0.0,240.0,15.7,7.7,3.1,,,
RUE,2025-01-24,7.0,15.1,0.8,5.6,15.3,-3.0,53.4,5.1,941.6,,1446.4,,1013.1,3.0,18.1,10.8,65.2,17.4,62.6,,0.0,0.0,0.0,77.0,287.0,,,45.0,210.0,42.0,1.7,0.0,155.0,13.0,5.0,-0.3,,,
RUE,2025-01-25,10.9,14.9,6.0,9.6,19.8,3.6,48.6,6.3,938.5,,1431.8,,1009.8,2.7,11.7,9.7,42.1,11.2,40.3,,1.2,0.0,0.0,70.0,316.0,,,38.0,186.0,37.0,1.5,0.0,172.0,9.1,1.1,-0.3,,,
RUE,2025-01-26,6.4,9.0,4.2,6.7,13.7,2.8,63.9,6.1,939.0,,1421.9,,1010.3,4.8,15.9,17.3,57.2,15.4,55.4,,2.1,1.2,0.0,93.0,293.0,,,19.0,389.0,77.0,1.4,0.0,213.0,13.6,5.6,0.9,,,
RUE,2025-01-27,7.0,10.2,4.9,6.0,9.9,3.9,84.0,8.4,931.7,,1361.2,,1002.6,4.5,21.0,16.2,75.6,20.0,72.0,,19.1,16.9,0.0,17.0,334.0,,,14.0,10.0,2.0,1.0,0.0,193.0,13.0,5.0,16.9,,,
RUE,2025-01-28,5.4,7.4,3.9,5.0,10.1,2.8,75.2,6.7,930.6,,1346.9,,1001.4,5.8,20.0,20.9,72.0,19.7,70.9,,0.4,4.4,0.0,54.0,309.0,,,43.0,76.0,15.0,1.2,0.0,217.0,14.6,6.6,4.3,,,
RUE,2025-01-29,5.7,8.8,2.8,5.0,14.4,-0.6,65.6,6.0,938.8,,1418.6,,1010.1,4.6,19.3,16.6,69.5,18.5,66.6,,0.0,0.3,0.0,92.0,276.0,,,31.0,360.0,71.0,1.3,0.0,221.0,14.3,6.3,0.0,,,
RUE,2025-01-30,4.3,6.8,2.3,3.9,10.1,0.3,83.9,7.0,944.8,,1464.9,,1016.5,1.2,5.2,4.3,18.7,5.2,18.7,,2.1,1.4,0.0,34.0,312.0,,,32.0,0.0,0.0,0.5,0.0,90.0,15.7,7.7,1.4,,,
RUE,2025-01-31,2.4,4.7,1.2,2.3,4.0,0.3,91.5,6.6,953.7,,1533.3,,1026.0,1.9,6.9,6.8,24.8,6.7,24.1,,0.3,1.0,0.0,22.0,318.0,,,21.0,0.0,0.0,0.5,0.0,326.0,17.6,9.6,1.0,,,
RUE,2025-02-01,0.0,1.2,-0.8,0.1,1.6,-0.6,87.3,5.3,953.2,,1520.8,,1025.4,3.1,8.6,11.2,31.0,8.1,29.2,,0.0,0.0,0.0,17.0,307.0,,,16.0,0.0,0.0,0.5,0.0,53.0,20.0,12.0,0.0,,,
RUE,2025-02-02,-0.1,0.9,-0.7,0.5,3.3,-0.5,91.2,5.5,950.3,,1496.3,,1022.3,2.4,7.5,8.6,27.0,7.3,26.3,,0.0,0.0,0.0,34.0,308.0,,,33.0,0.0,0.0,0.4,0.0,113.0,20.1,12.1,0.0,,,
RUE,2025-02-03,-0.4,1.0,-1.1,0.4,3.5,-0.9,92.9,5.5,953.4,,1521.4,,1025.6,1.8,5.5,6.5,19.8,5.4,19.4,,0.0,0.0,0.0,35.0,308.0,,,33.0,0.0,0.0,0.4,0.0,113.0,20.4,12.4,0.0,,,
RUE,2025-02-04,-0.5,2.4,-2.7,-0.5,8.5,-5.5,87.3,5.1,956.0,,1541.7,,1028.3,1.8,6.6,6.5,23.8,6.5,23.4,,0.0,0.0,0.0,115.0,230.0,,,22.0,490.0,94.0,0.4,0.0,122.0,20.5,12.5,-0.2,,,
RUE,2025-02-05,-0.3,4.5,-3.7,-0.1,11.8,-6.8,85.9,5.1,962.3,,1594.3,,1035.1,1.1,4.4,4.0,15.8,4.3,15.5,,0.0,0.0,0.0,116.0,236.0,,,20.0,532.0,100.0,0.4,0.0,51.0,20.3,12.3,-0.2,,,
RUE,2025-02-06,-0.6,0.6,-2.0,-0.4,0.7,-1.5,95.4,5.6,959.5,,1570.1,,1032.0,2.4,10.9,8.6,39.2,10.3,37.1,,0.0,0.0,0.0,13.0,308.0,,,12.0,0.0,0.0,0.3,0.0,63.0,20.6,12.6,0.0,,,
RUE,2025-02-07,0.8,3.9,-0.9,0.8,9.7,-2.8,79.7,5.1,949.8,,1495.6,,1021.8,2.9,8.4,10.4,30.2,8.0,28.8,,0.0,0.0,0.0,96.0,264.0,,,56.0,204.0,38.0,0.7,0.0,84.0,19.2,11.2,-0.2,,,
RUE,2025-02-08,2.2,7.7,-1.5,1.9,14.3,-3.0,76.5,5.4,948.4,,1488.5,,1020.3,2.2,7.8,7.9,28.1,7.3,26.3,,0.0,0.0,0.0,110.0,252.0,,,29.0,379.0,70.0,0.8,0.0,67.0,17.8,9.8,-0.3,,,
RUE,2025-02-09,4.0,7.5,1.7,4.5,15.6,-1.4,80.1,6.4,952.9,,1532.1,,1025.1,1.1,3.7,4.0,13.3,3.6,13.0,,0.0,0.0,0.0,117.0,282.0,,,42.0,383.0,70.0,0.6,0.0,63.0,16.0,8.0,-0.3,,,
