station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SAE,2025-01-01,-2.5,-1.5,-3.5,,,,35.4,1.8,755.6,,,3097.5,1023.8,13.8,27.8,49.7,100.1,27.7,99.7,,0.0,0.0,,74.0,,,,,506.0,100.0,2.1,0.0,249.0,22.5,14.5,,,,
SAE,2025-01-02,-5.7,-3.4,-11.1,,,,65.9,2.5,746.2,,,2993.0,1011.8,12.0,35.2,43.2,126.7,34.7,124.9,,25.9,23.8,,41.0,,,,,61.0,12.0,0.8,0.0,249.0,25.7,17.7,,,,
SAE,2025-01-03,-12.5,-10.0,-14.1,,,,74.0,1.8,745.5,,,2972.3,1010.8,9.1,23.3,32.8,83.9,22.8,82.1,,1.6,3.7,,37.0,,,,,65.0,13.0,0.5,0.0,265.0,32.5,24.5,,,,
SAE,2025-01-04,-7.3,-1.1,-11.6,,,,39.5,1.6,745.5,,,2982.0,1010.8,12.4,35.9,44.6,129.2,35.6,128.2,,40.2,10.9,,72.0,,,,,440.0,87.0,1.6,0.0,260.0,27.3,19.3,,,,
SAE,2025-01-05,1.2,3.6,-1.3,,,,81.0,5.3,742.5,,,2967.0,1007.1,14.7,36.2,52.9,130.3,35.9,129.2,,4.3,33.6,,27.0,,,,,1.0,0.0,1.0,0.0,255.0,18.8,10.8,,,,
SAE,2025-01-06,-2.6,0.0,-6.3,,,,70.8,3.5,738.1,,,2912.8,1001.4,9.9,27.9,35.6,100.4,26.6,95.8,,12.7,7.2,,58.0,,,,,197.0,39.0,0.9,0.0,221.0,22.6,14.6,,,,
SAE,2025-01-07,-8.3,-5.7,-9.9,,,,88.5,2.9,738.7,,,2910.0,1002.2,12.6,31.3,45.4,112.7,30.6,110.2,,10.3,10.9,,74.0,,,,,229.0,45.0,0.4,0.0,252.0,28.3,20.3,,,,
SAE,2025-01-08,-1.8,2.4,-6.0,,,,85.0,4.6,741.0,,,2944.9,1005.1,14.0,37.5,50.4,135.0,37.3,134.3,,15.6,20.4,,18.0,,,,,0.0,0.0,0.7,0.0,252.0,21.8,13.8,,,,
SAE,2025-01-09,-4.7,-1.3,-12.5,,,,87.2,3.8,740.4,,,2934.1,1004.4,6.8,34.8,24.5,125.3,34.6,124.6,,21.5,21.4,,37.0,,,,,98.0,19.0,0.2,0.0,257.0,24.7,16.7,,,,
SAE,2025-01-10,-12.8,-9.9,-14.8,,,,87.2,2.0,744.2,,,2959.5,1009.3,5.4,15.4,19.4,55.4,15.0,54.0,,0.0,0.2,,50.0,,,,,129.0,25.0,0.3,0.0,298.0,32.8,24.8,,,,
