station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SAG,2025-01-01,0.0,3.4,-2.2,,,,78.8,4.8,932.9,,1530.1,,1025.3,3.2,6.0,11.5,21.6,5.9,21.2,,0.0,0.0,,,,,,,,,,0.0,53.0,20.0,12.0,,,,
SAG,2025-01-02,2.0,6.1,-0.5,,,,79.1,5.5,924.3,,1462.4,,1016.0,1.8,8.0,6.5,28.8,7.4,26.6,,26.7,24.4,,,,,,,,,,0.0,60.0,18.0,10.0,,,,
SAG,2025-01-03,-2.2,-0.2,-6.1,,,,98.4,5.1,928.2,,1484.6,,1020.2,1.4,6.2,5.0,22.3,6.0,21.6,,0.0,2.3,,,,,,,,,,0.0,45.0,22.2,14.2,,,,
SAG,2025-01-04,-4.7,1.3,-9.3,,,,95.0,4.2,925.3,,1453.2,,1017.0,2.3,7.1,8.3,25.6,6.8,24.5,,11.5,3.7,,,,,,,,,,0.0,57.0,24.7,16.7,,,,
SAG,2025-01-05,3.8,11.0,0.0,,,,90.5,7.1,915.5,,1389.8,,1006.5,2.9,14.8,10.4,53.3,14.1,50.8,,1.2,9.0,,,,,,,,,,0.0,84.0,16.2,8.2,,,,
SAG,2025-01-06,8.3,12.4,3.1,,,,54.4,5.6,910.3,,1353.4,,1000.8,3.6,16.3,13.0,58.7,15.2,54.7,,8.6,8.4,,,,,,,,,,0.0,180.0,11.7,3.7,,,,
SAG,2025-01-07,2.0,5.5,-0.4,,,,85.9,6.0,916.6,,1395.5,,1007.7,1.8,9.0,6.5,32.4,8.6,31.0,,0.7,0.2,,,,,,,,,,0.0,58.0,18.0,10.0,,,,
SAG,2025-01-08,4.3,9.4,1.0,,,,85.0,7.0,915.4,,1389.9,,1006.3,2.1,8.7,7.6,31.3,8.3,29.9,,6.4,5.8,,,,,,,,,,0.0,68.0,15.7,7.7,,,,
SAG,2025-01-09,4.2,9.9,-0.3,,,,87.2,7.2,915.9,,1394.1,,1006.9,2.0,12.8,7.2,46.1,12.5,45.0,,12.8,14.1,,,,,,,,,,0.0,50.0,15.8,7.8,,,,
SAG,2025-01-10,-0.6,0.4,-1.3,,,,83.8,4.9,926.1,,1471.0,,1017.9,1.1,7.2,4.0,25.9,7.1,25.6,,3.2,2.9,,,,,,,,,,0.0,153.0,20.6,12.6,,,,
