station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SAM,2025-01-01,-10.1,0.1,-16.8,-11.4,3.5,-18.9,71.9,2.0,835.8,,1579.7,,1027.2,1.1,4.6,4.0,16.6,4.5,16.2,,0.0,0.0,15.0,79.0,196.0,,,,390.0,100.0,0.3,0.0,204.0,30.1,22.1,-0.4,-2.0,-1.5,-1.5
SAM,2025-01-02,-3.6,-0.1,-13.4,-4.1,0.3,-14.7,72.2,3.4,826.6,,1487.7,,1016.3,4.4,15.8,15.8,56.9,15.6,56.2,,0.3,0.0,15.0,32.0,270.0,,,,0.0,0.0,0.4,0.0,216.0,23.6,15.6,-0.1,-1.8,-1.4,-1.5
SAM,2025-01-03,-9.7,-1.9,-19.1,-10.6,-0.7,-22.1,69.6,2.1,825.0,,1478.2,,1014.4,2.7,12.4,9.7,44.6,11.9,42.8,,0.0,0.3,15.0,81.0,190.0,,,,392.0,100.0,0.4,0.0,30.0,29.7,21.7,-0.1,-1.5,-1.1,-1.4
SAM,2025-01-04,-12.9,-1.5,-22.9,-14.0,-0.8,-25.1,61.8,1.3,826.1,,1491.7,,1015.8,1.6,9.4,5.8,33.8,9.2,33.1,,0.0,0.0,15.0,78.0,193.0,,,,349.0,89.0,0.4,0.0,198.0,32.9,24.9,-0.4,-2.1,-1.5,-1.5
SAM,2025-01-05,-2.0,1.1,-8.0,-2.4,1.1,-8.2,69.0,3.7,822.9,,1451.0,,1011.9,4.3,19.9,15.5,71.6,19.1,68.8,,0.0,0.0,15.0,27.0,285.0,,,,0.0,0.0,0.6,0.0,196.0,22.0,14.0,-0.1,-1.8,-1.5,-1.6
SAM,2025-01-06,0.7,2.1,-3.0,0.1,2.9,-3.3,79.8,5.1,818.4,,1404.3,,1006.6,4.6,15.7,16.6,56.5,15.2,54.7,,5.5,0.9,15.0,31.0,288.0,,,,0.0,0.0,0.5,0.0,204.0,19.3,11.3,0.8,-1.2,-1.1,-1.5
SAM,2025-01-07,-3.3,1.8,-13.9,-4.3,4.7,-16.8,83.7,4.1,817.4,,1398.8,,1005.5,1.8,7.8,6.5,28.1,7.7,27.7,,0.2,4.8,27.0,78.0,244.0,,,,348.0,89.0,0.1,0.0,200.0,23.3,15.3,4.6,-0.8,-0.7,-1.3
SAM,2025-01-08,-2.7,2.7,-14.8,-3.7,4.5,-17.8,77.0,4.0,821.0,,1433.8,,1009.7,3.3,12.5,11.9,45.0,12.2,43.9,,0.9,0.0,24.0,55.0,266.0,,,,47.0,12.0,0.3,0.0,198.0,22.7,14.7,-0.1,-0.9,-0.7,-1.2
SAM,2025-01-09,1.4,3.2,-1.4,1.0,5.6,-2.6,81.8,5.5,818.3,,1402.9,,1006.6,4.3,13.1,15.5,47.2,13.0,46.8,,0.4,1.3,21.0,64.0,287.0,,,,112.0,28.0,0.5,0.0,206.0,18.6,10.6,1.2,-0.4,-0.5,-1.2
SAM,2025-01-10,-5.9,-2.1,-9.3,-6.1,-1.8,-10.2,65.6,2.6,823.2,,1458.3,,1012.3,2.9,16.0,10.4,57.6,15.4,55.4,,0.2,0.2,19.0,44.0,255.0,,,,48.0,12.0,0.6,0.0,16.0,25.9,17.9,0.1,-0.4,-0.4,-1.1
SAM,2025-01-11,-9.1,-1.7,-16.8,-9.6,1.4,-19.9,64.6,2.0,825.6,,1483.5,,1015.2,2.4,9.7,8.6,34.9,9.5,34.2,,0.0,0.0,21.0,83.0,202.0,,,,338.0,85.0,0.5,0.0,45.0,29.1,21.1,-0.3,-0.9,-0.6,-1.1
SAM,2025-01-12,-13.3,-5.0,-21.6,-15.0,-3.7,-22.4,65.0,1.4,833.7,,1562.2,,1024.7,3.6,12.0,13.0,43.2,11.6,41.8,,0.0,0.0,21.0,72.0,175.0,,,,279.0,70.0,0.6,0.0,34.0,33.3,25.3,-0.3,-1.4,-0.9,-1.2
SAM,2025-01-13,-17.2,-6.3,-25.9,-18.0,-2.8,-25.1,76.4,1.2,838.1,,1603.8,,1029.9,0.8,4.1,2.9,14.8,4.1,14.8,,0.0,0.0,19.0,92.0,165.0,,,,399.0,100.0,0.2,0.0,202.0,37.2,29.2,-0.3,-1.9,-1.3,-1.4
SAM,2025-01-14,-12.7,-1.8,-21.6,-13.6,2.6,-23.5,69.2,1.6,837.2,,1593.4,,1028.8,0.7,3.2,2.5,11.5,3.2,11.5,,0.0,0.0,19.0,92.0,194.0,,,,395.0,99.0,0.2,0.0,207.0,32.7,24.7,-0.3,-2.3,-1.7,-1.6
SAM,2025-01-15,-7.4,2.7,-17.6,-8.0,8.5,-19.2,67.5,2.4,833.6,,1557.5,,1024.6,2.5,14.0,9.0,50.4,13.7,49.3,,0.0,0.0,19.0,84.0,222.0,,,,287.0,72.0,0.6,0.0,9.0,27.4,19.4,-0.2,-2.2,-1.7,-1.7
SAM,2025-01-16,-12.1,-2.8,-20.9,-12.5,2.0,-19.7,80.2,2.0,837.6,,1597.5,,1029.3,0.8,3.1,2.9,11.2,3.1,11.2,,0.0,0.0,19.0,91.0,194.0,,,,401.0,100.0,0.2,0.0,207.0,32.1,24.1,-0.2,-2.1,-1.6,-1.8
SAM,2025-01-17,-11.2,-0.6,-19.5,-12.4,2.0,-19.6,76.6,2.0,838.8,,1608.2,,1030.8,1.5,11.9,5.4,42.8,11.5,41.4,,0.0,0.0,19.0,93.0,192.0,,,,402.0,100.0,0.4,0.0,193.0,31.2,23.2,-0.2,-2.4,-1.8,-1.9
SAM,2025-01-18,-10.7,0.6,-19.6,-11.6,5.4,-20.9,73.5,2.0,836.7,,1588.3,,1028.3,0.6,3.1,2.2,11.2,3.0,10.8,,0.0,0.0,19.0,94.0,199.0,,,,402.0,100.0,0.2,0.0,207.0,30.7,22.7,-0.3,-2.5,-1.9,-1.9
SAM,2025-01-19,-5.1,-0.2,-14.8,-6.2,1.1,-15.9,82.2,3.6,831.0,,1531.4,,1021.5,1.3,6.7,4.7,24.1,6.6,23.8,,0.1,0.1,19.0,43.0,258.0,,,,8.0,2.0,0.2,0.0,210.0,25.1,17.1,0.1,-2.3,-1.9,-2.0
SAM,2025-01-20,-4.4,-0.1,-8.3,-5.0,1.9,-10.4,88.6,3.9,828.9,,1511.3,,1019.1,0.6,2.4,2.2,8.6,2.3,8.3,,0.0,0.0,20.0,61.0,262.0,,,,150.0,37.0,0.2,0.0,198.0,24.4,16.4,-0.1,-1.8,-1.5,-1.9
SAM,2025-01-21,-8.0,-0.1,-14.9,-8.8,5.1,-16.8,80.6,2.7,826.3,,1489.8,,1016.0,0.8,4.1,2.9,14.8,4.0,14.4,,0.0,0.0,20.0,97.0,209.0,,,,406.0,100.0,0.2,0.0,198.0,28.0,20.0,-0.2,-1.7,-1.4,-1.7
SAM,2025-01-22,-6.0,0.2,-14.7,-6.9,0.8,-17.0,82.2,3.4,823.9,,1464.8,,1013.2,1.5,6.8,5.4,24.5,6.7,24.1,,0.1,0.0,20.0,53.0,259.0,,,,55.0,14.0,0.3,0.0,189.0,26.0,18.0,-0.1,-1.9,-1.5,-1.8
SAM,2025-01-23,-1.1,3.7,-9.8,-1.7,8.9,-12.5,81.9,4.7,821.6,,1437.6,,1010.4,1.8,6.9,6.5,24.8,6.8,24.5,,0.2,0.3,20.0,59.0,265.0,,,,107.0,26.0,0.3,0.0,174.0,21.1,13.1,0.2,-1.4,-1.3,-1.7
SAM,2025-01-24,-3.9,7.2,-14.9,-5.1,9.9,-15.0,61.7,2.6,827.2,,1494.7,,1017.0,1.8,10.2,6.5,36.7,9.8,35.3,,0.0,0.0,20.0,98.0,231.0,,,,278.0,68.0,0.8,0.0,208.0,23.9,15.9,-0.3,-1.6,-1.3,-1.6
SAM,2025-01-25,-0.5,5.1,-10.0,-0.7,10.0,-11.6,74.4,4.5,827.0,,1489.9,,1016.8,2.8,11.0,10.1,39.6,10.9,39.2,,10.3,1.7,20.0,101.0,277.0,,,,247.0,60.0,0.5,0.0,192.0,20.5,12.5,1.5,-1.2,-1.1,-1.6
SAM,2025-01-26,-1.2,1.9,-5.9,-1.5,8.2,-9.3,87.7,5.0,822.6,,1447.9,,1011.6,1.4,7.1,5.0,25.6,6.9,24.8,,5.4,13.8,27.0,65.0,283.0,,,,120.0,29.0,0.3,0.0,153.0,21.2,13.2,13.7,-0.3,-0.5,-1.4
