station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SBE,2025-01-01,-3.0,2.8,-6.3,-5.5,4.0,-10.3,67.0,3.2,843.0,,1574.0,,1027.1,0.5,3.2,1.8,11.5,3.1,11.2,0.0,0.0,0.0,10.0,74.0,,,,13.0,327.0,100.0,0.1,0.0,270.0,23.0,15.0,-0.4,,,
SBE,2025-01-02,-2.1,-1.1,-2.8,-2.4,-1.1,-3.4,85.6,4.5,834.5,,1493.3,,1017.2,0.8,7.2,2.9,25.9,7.0,25.2,0.0,0.4,0.1,11.0,12.0,,,,13.0,0.0,0.0,0.4,0.0,135.0,22.1,14.1,0.1,,,
SBE,2025-01-03,-4.9,-1.4,-7.3,-5.9,-1.9,-9.0,59.6,2.6,831.6,,1467.1,,1013.8,5.3,13.6,19.1,49.0,12.8,46.1,80.0,0.0,0.3,11.0,76.0,,,,15.0,327.0,100.0,0.8,0.0,310.0,24.9,16.9,-0.1,,,
SBE,2025-01-04,-5.5,-0.8,-9.1,-8.0,0.1,-11.9,39.1,1.5,833.1,,1481.7,,1015.5,1.6,9.9,5.8,35.6,9.5,34.2,20.0,0.0,0.0,11.0,73.0,,,,25.0,328.0,100.0,0.5,0.0,346.0,25.5,17.5,-0.6,,,
SBE,2025-01-05,-3.4,0.0,-7.1,-4.0,0.9,-8.9,70.0,3.4,830.8,,1458.4,,1012.8,0.5,5.7,1.8,20.5,5.3,19.1,0.0,2.7,0.7,10.0,31.0,,,,31.0,0.0,0.0,0.3,0.0,153.0,23.4,15.4,0.6,,,
SBE,2025-01-06,-1.1,0.3,-2.3,-0.9,0.0,-1.6,95.8,5.4,826.5,,1415.2,,1007.8,1.5,8.6,5.4,31.0,8.3,29.9,0.0,45.3,40.0,13.0,8.0,,,,8.0,0.0,0.0,0.3,0.0,126.0,21.1,13.1,40.0,,,
SBE,2025-01-07,-3.5,0.3,-9.5,-4.2,3.7,-11.7,90.6,4.4,824.9,,1401.8,,1005.9,0.7,6.0,2.5,21.6,5.8,20.9,0.0,1.0,8.3,53.0,59.0,,,,35.0,118.0,36.0,0.1,0.0,304.0,23.5,15.5,8.2,,,
SBE,2025-01-08,-3.2,0.7,-9.6,-3.7,1.1,-12.1,90.4,4.5,829.0,,1441.6,,1010.8,0.6,4.5,2.2,16.2,4.3,15.5,0.0,9.0,3.8,49.0,42.0,,,,38.0,0.0,0.0,0.2,0.0,153.0,23.2,15.2,3.8,,,
SBE,2025-01-09,-0.5,0.9,-2.5,-0.4,0.6,-3.1,96.6,5.7,826.1,,1411.5,,1007.4,1.0,15.7,3.6,56.5,14.0,50.4,0.0,1.9,7.1,53.0,34.0,,,,31.0,8.0,2.0,0.2,0.0,270.0,20.5,12.5,7.1,,,
SBE,2025-01-10,-5.3,-2.7,-6.5,-5.9,-2.9,-8.3,75.6,3.1,830.2,,1454.0,,1012.1,3.5,14.4,12.6,51.8,13.6,49.0,0.0,0.8,0.8,49.0,58.0,,,,41.0,122.0,37.0,0.5,0.0,308.0,25.3,17.3,0.7,,,
SBE,2025-01-11,-6.3,-3.0,-9.8,-7.1,-1.7,-11.0,70.9,2.7,832.3,,1474.5,,1014.6,5.7,16.5,20.5,59.4,15.4,55.4,0.0,0.0,0.0,50.0,78.0,,,,20.0,314.0,94.0,0.6,0.0,302.0,26.3,18.3,-0.3,,,
SBE,2025-01-12,-8.3,-4.7,-10.5,-8.9,-4.0,-11.3,61.5,2.0,840.0,,1547.7,,1023.6,7.2,19.0,25.9,68.4,18.4,66.2,80.0,0.0,0.0,46.0,81.0,,,,18.0,331.0,99.0,0.8,0.0,308.0,28.3,20.3,-0.4,,,
SBE,2025-01-13,-6.0,-0.8,-11.3,-7.2,-0.4,-13.9,41.3,1.5,843.3,,1578.2,,1027.6,6.0,16.5,21.6,59.4,15.0,54.0,320.0,0.0,0.0,45.0,87.0,,,,16.0,339.0,100.0,1.3,0.0,309.0,26.0,18.0,-0.5,,,
SBE,2025-01-14,-3.3,4.1,-12.9,-5.2,4.9,-15.2,47.9,2.0,843.0,,1574.7,,1027.2,2.2,14.0,7.9,50.4,13.5,48.6,50.0,0.0,0.0,44.0,85.0,,,,15.0,340.0,100.0,0.8,0.0,313.0,23.3,15.3,-0.4,,,
SBE,2025-01-15,0.0,2.8,-3.9,-0.7,4.3,-4.8,49.2,2.9,840.3,,1547.5,,1024.0,5.4,16.5,19.4,59.4,14.9,53.6,240.0,0.0,0.0,43.0,90.0,,,,43.0,258.0,76.0,1.3,0.0,315.0,20.0,12.0,-0.3,,,
SBE,2025-01-16,-5.1,0.3,-11.0,-6.3,2.6,-12.7,65.9,2.7,844.2,,1586.0,,1028.6,1.5,11.0,5.4,39.6,10.6,38.2,0.0,0.0,0.0,41.0,85.0,,,,15.0,342.0,100.0,0.4,0.0,302.0,25.1,17.1,-0.3,,,
SBE,2025-01-17,-7.2,0.0,-11.8,-8.9,1.3,-13.4,72.6,2.6,845.9,,1601.9,,1030.5,0.6,5.3,2.2,19.1,5.2,18.7,0.0,0.0,0.0,40.0,87.0,,,,15.0,344.0,100.0,0.2,0.0,243.0,27.2,19.2,-0.2,,,
SBE,2025-01-18,-3.1,6.5,-9.5,-4.8,7.8,-12.0,61.4,2.9,843.0,,1574.8,,1027.2,0.7,4.9,2.5,17.6,4.8,17.3,0.0,0.0,0.0,40.0,92.0,,,,20.0,337.0,98.0,0.3,0.0,252.0,23.1,15.1,-0.3,,,
SBE,2025-01-19,-3.0,0.3,-5.7,-3.7,0.4,-8.1,80.4,4.0,838.4,,1530.5,,1021.7,0.5,3.3,1.8,11.9,3.2,11.5,0.0,3.3,2.5,40.0,31.0,,,,28.0,6.0,2.0,0.3,0.0,135.0,23.0,15.0,2.5,,,
SBE,2025-01-20,-1.9,-0.9,-3.3,-1.8,-0.1,-4.2,96.7,5.1,836.1,,1508.5,,1019.1,0.2,2.8,0.7,10.1,2.6,9.4,0.0,5.6,6.4,44.0,28.0,,,,25.0,0.0,0.0,0.3,0.0,135.0,21.9,13.9,6.4,,,
SBE,2025-01-21,-3.7,1.6,-7.7,-4.9,6.6,-9.8,91.7,4.3,833.2,,1481.8,,1015.7,0.4,2.6,1.4,9.4,2.5,9.0,0.0,0.0,0.0,53.0,95.0,,,,25.0,335.0,96.0,0.2,0.0,270.0,23.7,15.7,-0.1,,,
SBE,2025-01-22,-3.3,-0.6,-7.6,-3.7,-0.3,-9.7,93.7,4.6,831.1,,1461.6,,1013.2,0.8,4.3,2.9,15.5,4.2,15.1,0.0,3.7,2.3,49.0,46.0,,,,39.0,0.0,0.0,0.2,0.0,121.0,23.3,15.3,2.3,,,
SBE,2025-01-23,-0.8,3.5,-4.8,-2.0,2.2,-9.6,88.8,5.1,828.9,,1439.1,,1010.7,1.9,11.2,6.8,40.3,10.8,38.9,0.0,1.1,2.5,50.0,62.0,,,,43.0,70.0,20.0,0.4,0.0,299.0,20.8,12.8,2.5,,,
SBE,2025-01-24,-2.4,7.2,-7.3,-4.9,8.6,-13.3,74.1,3.7,834.3,,1492.1,,1017.0,0.5,3.4,1.8,12.2,3.3,11.9,0.0,0.0,0.0,48.0,88.0,,,,32.0,271.0,76.0,0.3,0.0,270.0,22.4,14.4,-0.2,,,
SBE,2025-01-25,-1.2,1.8,-4.8,-1.6,1.9,-6.4,91.1,5.2,834.6,,1493.8,,1017.3,1.0,7.0,3.6,25.2,6.9,24.8,0.0,30.9,10.1,47.0,37.0,,,,35.0,0.0,0.0,0.3,0.0,130.0,21.2,13.2,10.1,,,
SBE,2025-01-26,-1.1,0.9,-4.2,-0.8,4.4,-6.0,93.1,5.3,829.9,,1448.5,,1011.8,1.3,,4.7,,,,,10.2,28.7,68.0,79.0,,,,34.0,176.0,49.0,0.3,0.0,,21.1,13.1,28.7,,,
SBE,2025-01-27,-0.9,0.3,-2.1,-0.6,0.3,-1.7,95.7,5.5,827.0,,1420.2,,1008.4,0.8,,2.9,,,,,48.4,37.8,73.0,18.0,,,,16.0,0.0,0.0,0.4,0.0,,20.9,12.9,37.8,,,
SBE,2025-01-28,-2.4,1.4,-7.5,-3.2,0.1,-10.4,92.1,4.8,819.5,,1348.2,,999.6,1.0,,3.6,,,,,20.6,33.5,92.0,17.0,,,,13.0,0.0,0.0,0.3,0.0,,22.4,14.4,33.5,,,
SBE,2025-01-29,-4.5,1.1,-8.1,-6.2,3.2,-11.4,91.0,4.0,829.3,,1445.4,,1011.1,0.4,,1.4,,,,,0.6,0.6,97.0,102.0,,,,34.0,322.0,88.0,0.3,0.0,,24.5,16.5,0.5,,,
SBE,2025-01-30,-3.1,-0.5,-7.0,-3.9,0.5,-10.1,92.8,4.5,834.7,,1495.4,,1017.4,0.6,4.2,2.2,15.1,4.1,14.8,0.0,0.1,0.1,90.0,51.0,,,,46.0,0.0,0.0,0.3,0.0,117.0,23.1,15.1,0.1,,,
SBE,2025-01-31,-2.8,0.2,-7.5,-4.0,1.4,-10.5,82.4,4.1,838.2,,1529.0,,1021.5,2.0,11.4,7.2,41.0,10.6,38.2,0.0,3.0,0.5,88.0,68.0,,,,64.0,0.0,0.0,0.4,0.0,308.0,22.8,14.8,0.5,,,
SBE,2025-02-01,-1.5,-0.1,-3.0,-1.2,1.3,-3.5,96.0,5.3,839.5,,1540.4,,1023.0,0.5,4.9,1.8,17.6,4.6,16.6,0.0,1.5,4.0,93.0,40.0,,,,36.0,0.0,0.0,0.3,0.0,117.0,21.5,13.5,4.0,,,
SBE,2025-02-02,-1.9,3.0,-6.6,-3.2,5.0,-10.3,78.9,4.1,836.2,,1509.7,,1019.2,2.1,10.1,7.6,36.4,9.4,33.8,0.0,0.0,0.0,92.0,114.0,,,,19.0,373.0,100.0,0.6,0.0,313.0,21.9,13.9,-0.2,,,
SBE,2025-02-03,0.5,5.5,-4.4,-1.0,6.8,-7.3,43.1,2.6,838.0,,1525.9,,1021.3,4.0,13.4,14.4,48.2,12.3,44.3,10.0,0.0,0.0,88.0,116.0,,,,19.0,375.0,100.0,1.6,0.0,310.0,19.5,11.5,-0.4,,,
SBE,2025-02-04,0.5,6.8,-4.4,-1.3,8.7,-7.2,45.3,2.7,841.2,,1556.2,,1025.1,3.0,12.3,10.8,44.3,11.3,40.7,120.0,0.0,0.0,86.0,119.0,,,,19.0,382.0,100.0,1.4,0.0,321.0,19.5,11.5,-0.4,,,
