station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SBO,2025-01-01,1.9,7.6,-4.7,0.6,8.2,-8.0,87.4,6.2,987.6,1031.6,,,1029.9,0.3,1.5,1.1,5.4,1.5,5.4,0.0,0.0,0.0,0.0,26.0,299.0,,,21.0,30.0,7.0,0.3,0.0,225.0,18.1,10.1,0.0,,,
SBO,2025-01-02,3.0,6.4,-1.2,1.5,6.0,-4.2,92.3,7.0,978.3,1021.7,,,1020.2,0.4,2.2,1.4,7.9,2.1,7.6,0.0,0.2,0.2,0.0,9.0,305.0,,,8.0,0.0,0.0,0.4,0.0,225.0,17.0,9.0,0.2,,,
SBO,2025-01-03,4.2,12.3,-3.4,2.2,16.0,-7.2,54.0,3.7,973.1,1016.0,,,1014.8,1.5,11.1,5.4,40.0,10.9,39.2,570.0,0.0,0.0,0.0,83.0,261.0,,,10.0,409.0,100.0,0.7,0.0,14.0,15.8,7.8,-0.5,,,
SBO,2025-01-04,-0.7,5.3,-5.7,-2.5,7.6,-9.7,84.9,5.0,978.7,1022.7,,,1020.6,0.6,3.4,2.2,12.2,3.3,11.9,0.0,0.0,0.0,0.0,31.0,273.0,,,24.0,43.0,10.0,0.3,0.0,233.0,20.7,12.7,-0.1,,,
SBO,2025-01-05,2.3,4.6,-0.4,1.9,5.5,-1.1,79.2,5.6,975.1,1018.4,,,1016.9,0.6,4.7,2.2,16.9,4.6,16.6,0.0,3.7,0.0,0.0,12.0,317.0,,,11.0,0.0,0.0,0.4,0.0,225.0,17.7,9.7,-0.1,,,
SBO,2025-01-06,2.6,3.1,2.0,2.4,3.1,1.8,97.9,7.2,970.2,1013.3,,,1011.9,0.4,2.9,1.4,10.4,2.8,10.1,0.0,34.4,31.1,0.0,0.0,326.0,,,0.0,0.0,0.0,0.4,0.0,225.0,17.4,9.4,31.1,,,
SBO,2025-01-07,3.1,6.2,0.1,2.6,9.5,-3.0,96.1,7.3,967.3,1010.1,,,1008.8,0.6,2.5,2.2,9.0,2.4,8.6,0.0,0.0,7.0,0.0,26.0,310.0,,,22.0,50.0,12.0,0.3,0.0,236.0,16.9,8.9,7.0,,,
SBO,2025-01-08,3.6,6.1,-0.5,3.2,6.3,-1.0,92.4,7.3,971.7,1014.7,,,1013.4,0.7,3.3,2.5,11.9,3.3,11.9,0.0,4.8,2.4,0.0,7.0,322.0,,,7.0,0.0,0.0,0.4,0.0,236.0,16.4,8.4,2.4,,,
SBO,2025-01-09,5.1,6.8,1.9,4.6,8.0,-0.2,96.9,8.5,968.3,1010.9,,,1009.9,0.4,3.5,1.4,12.6,3.4,12.2,0.0,0.2,2.6,0.0,11.0,327.0,,,10.0,0.0,0.0,0.4,0.0,225.0,14.9,6.9,2.6,,,
SBO,2025-01-10,6.1,11.1,0.9,4.6,14.1,-2.3,60.5,5.2,971.9,1014.5,,,1013.6,1.3,10.5,4.7,37.8,10.2,36.7,520.0,0.0,0.0,0.0,52.0,295.0,,,29.0,147.0,35.0,0.7,0.0,45.0,13.9,5.9,-0.2,,,
