station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SCM,2025-01-01,,,,,,,,,977.8,,,,1026.4,1.5,4.9,5.4,17.6,4.7,16.9,,,,,,,,,,,,,,77.0,,,,,,
SCM,2025-01-02,,,,,,,,,968.6,,,,1016.9,2.0,9.2,7.2,33.1,8.8,31.7,,,,,,,,,,,,,,11.0,,,,,,
SCM,2025-01-03,,,,,,,,,973.7,,,,1022.1,1.2,5.8,4.3,20.9,5.7,20.5,,,,,,,,,,,,,,346.0,,,,,,
SCM,2025-01-04,,,,,,,,,971.0,,,,1019.4,1.7,11.5,6.1,41.4,10.6,38.2,,,,,,,,,,,,,,90.0,,,,,,
SCM,2025-01-05,,,,,,,,,959.1,,,,1007.0,2.0,10.6,7.2,38.2,10.4,37.4,,,,,,,,,,,,,,76.0,,,,,,
SCM,2025-01-06,,,,,,,,,953.3,,,,1001.0,2.4,10.1,8.6,36.4,9.9,35.6,,,,,,,,,,,,,,274.0,,,,,,
SCM,2025-01-07,,,,,,,,,960.5,,,,1008.4,2.1,13.8,7.6,49.7,13.3,47.9,,,,,,,,,,,,,,72.0,,,,,,
SCM,2025-01-08,,,,,,,,,958.7,,,,1006.6,2.9,13.4,10.4,48.2,12.5,45.0,,,,,,,,,,,,,,81.0,,,,,,
SCM,2025-01-09,,,,,,,,,959.2,,,,1007.1,2.4,17.7,8.6,63.7,17.2,61.9,,,,,,,,,,,,,,291.0,,,,,,
SCM,2025-01-10,,,,,,,,,971.2,,,,1019.6,1.4,5.3,5.0,19.1,5.2,18.7,,,,,,,,,,,,,,90.0,,,,,,
SCM,2025-01-11,,,,,,,,,975.4,,,,1024.0,1.6,8.2,5.8,29.5,7.6,27.4,,,,,,,,,,,,,,53.0,,,,,,
SCM,2025-01-12,,,,,,,,,985.7,,,,1034.6,1.5,7.9,5.4,28.4,7.3,26.3,,,,,,,,,,,,,,85.0,,,,,,
SCM,2025-01-13,,,,,,,,,987.3,,,,1036.3,2.7,10.9,9.7,39.2,10.5,37.8,,,,,,,,,,,,,,75.0,,,,,,
SCM,2025-01-14,,,,,,,,,984.8,,,,1033.7,1.3,6.7,4.7,24.1,6.5,23.4,,,,,,,,,,,,,,117.0,,,,,,
SCM,2025-01-15,,,,,,,,,982.3,,,,1031.1,1.4,8.3,5.0,29.9,7.9,28.4,,,,,,,,,,,,,,90.0,,,,,,
SCM,2025-01-16,,,,,,,,,983.8,,,,1032.7,1.6,5.6,5.8,20.2,5.4,19.4,,,,,,,,,,,,,,90.0,,,,,,
SCM,2025-01-17,,,,,,,,,985.0,,,,1033.9,1.6,5.8,5.8,20.9,5.7,20.5,,,,,,,,,,,,,,100.0,,,,,,
SCM,2025-01-18,,,,,,,,,980.0,,,,1028.7,1.2,3.8,4.3,13.7,3.5,12.6,,,,,,,,,,,,,,124.0,,,,,,
SCM,2025-01-19,,,,,,,,,973.2,,,,1021.6,1.2,4.6,4.3,16.6,4.5,16.2,,,,,,,,,,,,,,90.0,,,,,,
SCM,2025-01-20,,,,,,,,,971.1,,,,1019.4,1.2,3.9,4.3,14.0,3.6,13.0,,,,,,,,,,,,,,56.0,,,,,,
SCM,2025-01-21,,,,,,,,,969.3,,,,1017.6,1.2,4.9,4.3,17.6,4.6,16.6,,,,,,,,,,,,,,90.0,,,,,,
SCM,2025-01-22,,,,,,,,,962.7,,,,1010.8,1.7,7.7,6.1,27.7,7.3,26.3,,,,,,,,,,,,,,270.0,,,,,,
SCM,2025-01-23,,,,,,,,,963.9,,,,1012.0,1.4,6.7,5.0,24.1,6.5,23.4,,,,,,,,,,,,,,45.0,,,,,,
SCM,2025-01-24,,,,,,,,,966.5,,,,1014.7,2.1,14.1,7.6,50.8,13.1,47.2,,,,,,,,,,,,,,81.0,,,,,,
SCM,2025-01-25,,,,,,,,,962.4,,,,1010.4,2.6,13.1,9.4,47.2,12.8,46.1,,,,,,,,,,,,,,63.0,,,,,,
SCM,2025-01-26,,,,,,,,,963.3,,,,1011.3,3.3,16.7,11.9,60.1,16.3,58.7,,,,,,,,,,,,,,107.0,,,,,,
SCM,2025-01-27,,,,,,,,,956.2,,,,1003.9,3.3,14.7,11.9,52.9,14.2,51.1,,,,,,,,,,,,,,249.0,,,,,,
SCM,2025-01-28,,,,,,,,,955.0,,,,1002.7,2.4,8.8,8.6,31.7,8.5,30.6,,,,,,,,,,,,,,83.0,,,,,,
SCM,2025-01-29,,,,,,,,,963.0,,,,1011.1,2.0,13.1,7.2,47.2,12.6,45.4,,,,,,,,,,,,,,94.0,,,,,,
SCM,2025-01-30,,,,,,,,,968.8,,,,1017.0,1.7,13.3,6.1,47.9,13.0,46.8,,,,,,,,,,,,,,254.0,,,,,,
SCM,2025-01-31,,,,,,,,,977.7,,,,1026.4,1.7,5.7,6.1,20.5,5.6,20.2,,,,,,,,,,,,,,270.0,,,,,,
SCM,2025-02-01,,,,,,,,,977.2,,,,1025.8,2.1,5.6,7.6,20.2,5.4,19.4,,,,,,,,,,,,,,257.0,,,,,,
SCM,2025-02-02,,,,,,,,,974.7,,,,1023.2,1.6,4.0,5.8,14.4,3.8,13.7,,,,,,,,,,,,,,270.0,,,,,,
SCM,2025-02-03,,,,,,,,,977.8,,,,1026.4,1.9,5.5,6.8,19.8,5.4,19.4,,,,,,,,,,,,,,252.0,,,,,,
SCM,2025-02-04,,,,,,,,,980.7,,,,1029.5,1.3,4.0,4.7,14.4,3.9,14.0,,,,,,,,,,,,,,153.0,,,,,,
SCM,2025-02-05,,,,,,,,,987.4,,,,1036.4,1.2,4.1,4.3,14.8,3.9,14.0,,,,,,,,,,,,,,117.0,,,,,,
SCM,2025-02-06,,,,,,,,,984.3,,,,1033.2,1.6,7.4,5.8,26.6,7.1,25.6,,,,,,,,,,,,,,96.0,,,,,,
SCM,2025-02-07,,,,,,,,,974.4,,,,1022.9,1.5,4.2,5.4,15.1,4.1,14.8,,,,,,,,,,,,,,236.0,,,,,,
SCM,2025-02-08,,,,,,,,,972.7,,,,1021.1,1.4,5.4,5.0,19.4,5.3,19.1,,,,,,,,,,,,,,262.0,,,,,,
SCM,2025-02-09,,,,,,,,,977.3,,,,1025.9,1.0,4.3,3.6,15.5,4.3,15.5,,,,,,,,,,,,,,252.0,,,,,,
SCM,2025-02-10,,,,,,,,,974.3,,,,1022.8,1.7,6.8,6.1,24.5,6.6,23.8,,,,,,,,,,,,,,225.0,,,,,,
SCM,2025-02-11,,,,,,,,,972.1,,,,1020.5,1.4,8.8,5.0,31.7,8.2,29.5,,,,,,,,,,,,,,90.0,,,,,,
SCM,2025-02-12,,,,,,,,,969.4,,,,1017.7,1.4,4.6,5.0,16.6,4.3,15.5,,,,,,,,,,,,,,270.0,,,,,,
SCM,2025-02-13,,,,,,,,,968.5,,,,1016.8,1.6,7.3,5.8,26.3,7.1,25.6,,,,,,,,,,,,,,315.0,,,,,,
SCM,2025-02-14,,,,,,,,,973.4,,,,1021.9,2.1,9.7,7.6,34.9,9.2,33.1,,,,,,,,,,,,,,18.0,,,,,,
SCM,2025-02-15,,,,,,,,,971.8,,,,1020.2,1.6,6.3,5.8,22.7,6.2,22.3,,,,,,,,,,,,,,112.0,,,,,,
SCM,2025-02-16,,,,,,,,,968.1,,,,1016.3,1.6,5.3,5.8,19.1,4.8,17.3,,,,,,,,,,,,,,90.0,,,,,,
SCM,2025-02-17,,,,,,,,,971.0,,,,1019.3,1.6,5.4,5.8,19.4,5.2,18.7,,,,,,,,,,,,,,279.0,,,,,,
SCM,2025-02-18,,,,,,,,,973.0,,,,1021.4,1.9,7.2,6.8,25.9,6.6,23.8,,,,,,,,,,,,,,360.0,,,,,,
SCM,2025-02-19,,,,,,,,,975.1,,,,1023.6,1.3,4.2,4.7,15.1,4.0,14.4,,,,,,,,,,,,,,259.0,,,,,,
SCM,2025-02-20,,,,,,,,,978.3,,,,1026.9,1.0,4.2,3.6,15.1,3.9,14.0,,,,,,,,,,,,,,360.0,,,,,,
SCM,2025-02-21,,,,,,,,,975.4,,,,1023.9,1.2,4.8,4.3,17.3,4.5,16.2,,,,,,,,,,,,,,262.0,,,,,,
SCM,2025-02-22,,,,,,,,,973.5,,,,1022.0,1.2,4.8,4.3,17.3,4.6,16.6,,,,,,,,,,,,,,333.0,,,,,,
SCM,2025-02-23,,,,,,,,,981.1,,,,1029.9,1.1,3.7,4.0,13.3,3.6,13.0,,,,,,,,,,,,,,288.0,,,,,,
SCM,2025-02-24,,,,,,,,,976.7,,,,1025.3,1.2,5.6,4.3,20.2,5.1,18.4,,,,,,,,,,,,,,90.0,,,,,,
SCM,2025-02-25,,,,,,,,,967.4,,,,1015.7,1.7,7.9,6.1,28.4,7.8,28.1,,,,,,,,,,,,,,180.0,,,,,,
SCM,2025-02-26,,,,,,,,,971.8,,,,1020.2,2.7,15.3,9.7,55.1,14.5,52.2,,,,,,,,,,,,,,279.0,,,,,,
SCM,2025-02-27,,,,,,,,,972.2,,,,1020.6,1.3,4.9,4.7,17.6,4.8,17.3,,,,,,,,,,,,,,83.0,,,,,,
SCM,2025-02-28,,,,,,,,,974.3,,,,1022.8,1.6,6.5,5.8,23.4,6.1,22.0,,,,,,,,,,,,,,252.0,,,,,,
SCM,2025-03-01,,,,,,,,,976.6,,,,1025.2,2.5,11.0,9.0,39.6,10.5,37.8,,,,,,,,,,,,,,59.0,,,,,,
SCM,2025-03-02,,,,,,,,,979.9,,,,1028.7,1.8,8.0,6.5,28.8,7.0,25.2,,,,,,,,,,,,,,243.0,,,,,,
SCM,2025-03-03,,,,,,,,,978.8,,,,1027.4,1.0,3.6,3.6,13.0,3.4,12.2,,,,,,,,,,,,,,0.0,,,,,,
SCM,2025-03-04,,,,,,,,,977.0,,,,1025.6,1.1,4.6,4.0,16.6,4.3,15.5,,,,,,,,,,,,,,0.0,,,,,,
SCM,2025-03-05,,,,,,,,,976.5,,,,1025.1,1.0,6.9,3.6,24.8,6.5,23.4,,,,,,,,,,,,,,270.0,,,,,,
SCM,2025-03-06,,,,,,,,,973.5,,,,1021.9,1.2,6.9,4.3,24.8,6.5,23.4,,,,,,,,,,,,,,270.0,,,,,,
SCM,2025-03-07,,,,,,,,,970.2,,,,1018.5,1.4,5.1,5.0,18.4,4.8,17.3,,,,,,,,,,,,,,270.0,,,,,,
SCM,2025-03-08,,,,,,,,,964.2,,,,1012.3,2.7,12.4,9.7,44.6,11.3,40.7,,,,,,,,,,,,,,117.0,,,,,,
SCM,2025-03-09,,,,,,,,,956.0,,,,1003.8,5.5,17.1,19.8,61.6,16.6,59.8,,,,,,,,,,,,,,125.0,,,,,,
SCM,2025-03-10,,,,,,,,,955.2,,,,1002.9,2.1,15.1,7.6,54.4,14.6,52.6,,,,,,,,,,,,,,225.0,,,,,,
SCM,2025-03-11,,,,,,,,,954.6,,,,1002.3,1.3,5.8,4.7,20.9,5.8,20.9,,,,,,,,,,,,,,262.0,,,,,,
SCM,2025-03-12,,,,,,,,,950.1,,,,997.6,1.6,6.0,5.8,21.6,5.9,21.2,,,,,,,,,,,,,,252.0,,,,,,
SCM,2025-03-13,,,,,,,,,949.6,,,,997.1,2.1,6.6,7.6,23.8,6.4,23.0,,,,,,,,,,,,,,243.0,,,,,,
SCM,2025-03-14,,,,,,,,,956.0,,,,1003.8,1.7,9.9,6.1,35.6,9.4,33.8,,,,,,,,,,,,,,81.0,,,,,,
SCM,2025-03-15,,,,,,,,,959.5,,,,1007.4,2.4,8.4,8.6,30.2,8.1,29.2,,,,,,,,,,,,,,55.0,,,,,,
SCM,2025-03-16,,,,,,,,,967.1,,,,1015.3,1.8,4.5,6.5,16.2,4.5,16.2,,,,,,,,,,,,,,266.0,,,,,,
SCM,2025-03-17,,,,,,,,,973.1,,,,1021.6,2.8,11.3,10.1,40.7,11.1,40.0,,,,,,,,,,,,,,66.0,,,,,,
SCM,2025-03-18,,,,,,,,,975.5,,,,1024.0,2.2,8.3,7.9,29.9,8.0,28.8,,,,,,,,,,,,,,278.0,,,,,,
SCM,2025-03-19,,,,,,,,,977.4,,,,1026.0,1.7,9.9,6.1,35.6,9.7,34.9,,,,,,,,,,,,,,63.0,,,,,,
SCM,2025-03-20,,,,,,,,,975.4,,,,1024.0,2.9,16.9,10.4,60.8,15.5,55.8,,,,,,,,,,,,,,102.0,,,,,,
SCM,2025-03-21,,,,,,,,,966.1,,,,1014.2,6.3,16.9,22.7,60.8,16.1,58.0,,,,,,,,,,,,,,114.0,,,,,,
SCM,2025-03-22,,,,,,,,,957.0,,,,1004.8,4.0,16.5,14.4,59.4,15.3,55.1,,,,,,,,,,,,,,126.0,,,,,,
SCM,2025-03-23,,,,,,,,,958.3,,,,1006.2,2.5,16.3,9.0,58.7,16.1,58.0,,,,,,,,,,,,,,235.0,,,,,,
SCM,2025-03-24,,,,,,,,,965.3,,,,1013.5,1.5,8.3,5.4,29.9,8.2,29.5,,,,,,,,,,,,,,225.0,,,,,,
SCM,2025-03-25,,,,,,,,,970.8,,,,1019.2,1.2,7.8,4.3,28.1,7.7,27.7,,,,,,,,,,,,,,0.0,,,,,,
SCM,2025-03-26,,,,,,,,,971.3,,,,1019.7,1.2,3.6,4.3,13.0,3.5,12.6,,,,,,,,,,,,,,262.0,,,,,,
SCM,2025-03-27,,,,,,,,,969.0,,,,1017.2,2.0,10.6,7.2,38.2,10.1,36.4,,,,,,,,,,,,,,54.0,,,,,,
SCM,2025-03-28,,,,,,,,,963.9,,,,1011.9,1.0,3.8,3.6,13.7,3.7,13.3,,,,,,,,,,,,,,236.0,,,,,,
SCM,2025-03-29,,,,,,,,,966.9,,,,1015.1,1.0,5.0,3.6,18.0,4.8,17.3,,,,,,,,,,,,,,243.0,,,,,,
