station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SCU,2025-01-01,-2.7,2.6,-5.9,-4.1,3.9,-7.3,54.6,2.7,878.3,,1564.1,,1027.2,1.5,6.3,5.4,22.7,6.2,22.3,,0.0,0.0,20.0,70.0,,,,12.0,307.0,97.0,0.4,0.0,252.0,22.7,14.7,-0.5,,,
SCU,2025-01-02,-1.9,3.6,-6.6,-2.7,3.4,-8.3,68.0,3.7,868.6,,1476.7,,1016.2,1.0,6.9,3.6,24.8,6.7,24.1,,0.7,0.6,19.0,40.0,,,,39.0,0.0,0.0,0.4,0.0,252.0,21.9,13.9,0.5,,,
SCU,2025-01-03,-5.6,-0.5,-11.0,-6.7,-0.1,-13.3,74.9,3.1,868.5,,1473.4,,1016.1,1.1,4.8,4.0,17.3,4.6,16.6,,0.0,0.1,22.0,71.0,,,,12.0,320.0,99.0,0.2,0.0,261.0,25.6,17.6,-0.2,,,
SCU,2025-01-04,-8.2,-3.7,-13.2,-8.8,-1.7,-14.5,57.1,1.9,869.3,,1479.3,,1017.1,1.9,7.3,6.8,26.3,6.9,24.8,,0.0,0.0,21.0,69.0,,,,19.0,321.0,99.0,0.4,0.0,248.0,28.2,20.2,-0.5,,,
SCU,2025-01-05,-2.6,-0.1,-5.2,-3.2,0.9,-5.8,75.5,3.8,864.8,,1441.8,,1011.9,0.5,2.5,1.8,9.0,2.4,8.6,,0.0,0.0,21.0,23.0,,,,22.0,0.0,0.0,0.3,0.0,360.0,22.6,14.6,-0.1,,,
SCU,2025-01-06,0.8,6.3,-5.0,0.2,7.1,-5.8,76.6,4.9,859.4,,1393.0,,1005.7,1.3,5.9,4.7,21.2,5.7,20.5,,2.5,0.0,21.0,43.0,,,,36.0,27.0,8.0,0.4,0.0,297.0,19.2,11.2,-0.1,,,
SCU,2025-01-07,-0.8,2.5,-6.5,-1.2,4.9,-8.0,91.5,5.3,859.6,,1394.7,,1006.0,0.7,3.8,2.5,13.7,3.7,13.3,,1.9,4.4,23.0,49.0,,,,31.0,119.0,37.0,0.1,0.0,270.0,20.8,12.8,4.3,,,
SCU,2025-01-08,-1.9,3.0,-6.9,-2.3,5.1,-8.5,84.6,4.6,862.8,,1423.8,,1009.6,0.7,2.9,2.5,10.4,2.9,10.4,,0.0,0.0,23.0,51.0,,,,41.0,48.0,15.0,0.2,0.0,270.0,21.9,13.9,-0.1,,,
SCU,2025-01-09,0.9,5.8,-1.6,0.5,7.1,-2.3,86.7,5.6,859.8,,1397.4,,1006.3,1.1,7.4,4.0,26.6,7.2,25.9,,0.0,0.0,21.0,54.0,,,,37.0,94.0,29.0,0.3,0.0,270.0,19.1,11.1,-0.1,,,
SCU,2025-01-10,-2.1,0.5,-5.3,-2.6,3.5,-5.4,52.0,2.7,866.6,,1458.6,,1014.0,1.6,9.7,5.8,34.9,9.1,32.8,,0.5,0.4,20.0,51.0,,,,33.0,117.0,35.0,0.6,0.0,229.0,22.1,14.1,0.2,,,
SCU,2025-01-11,-6.7,-1.6,-12.5,-7.3,0.8,-14.8,80.1,3.0,870.1,,1487.0,,1017.9,0.8,3.7,2.9,13.3,3.7,13.3,,0.0,0.1,22.0,78.0,,,,17.0,298.0,90.0,0.1,0.0,225.0,26.7,18.7,-0.1,,,
SCU,2025-01-12,-9.7,-3.4,-14.2,-10.9,-1.6,-16.4,70.1,2.0,879.2,,1565.4,,1028.3,0.7,3.4,2.5,12.2,3.4,12.2,,0.0,0.0,22.0,52.0,,,,38.0,103.0,31.0,0.2,0.0,259.0,29.7,21.7,-0.1,,,
SCU,2025-01-13,-10.7,-5.0,-14.7,-11.7,-3.4,-16.8,70.8,1.9,883.3,,1600.3,,1033.0,1.2,5.9,4.3,21.2,5.7,20.5,,0.0,0.0,22.0,82.0,,,,13.0,339.0,100.0,0.2,0.0,252.0,30.7,22.7,-0.3,,,
SCU,2025-01-14,-7.1,-1.0,-12.8,-7.8,1.8,-14.6,57.3,2.1,881.1,,1584.8,,1030.5,1.9,6.2,6.8,22.3,6.2,22.3,,0.0,0.0,22.0,81.0,,,,16.0,305.0,90.0,0.5,0.0,253.0,27.1,19.1,-0.4,,,
SCU,2025-01-15,-4.0,3.0,-8.5,-4.5,5.6,-9.4,62.8,2.9,877.6,,1556.9,,1026.5,1.6,7.8,5.8,28.1,7.6,27.4,,0.0,0.0,22.0,71.0,,,,38.0,171.0,50.0,0.5,0.0,255.0,24.0,16.0,-0.2,,,
SCU,2025-01-16,-4.3,0.8,-6.8,-4.7,2.9,-8.8,69.7,3.1,881.5,,1591.4,,1030.9,1.9,6.7,6.8,24.1,6.6,23.8,,0.0,0.0,22.0,81.0,,,,13.0,351.0,100.0,0.5,0.0,252.0,24.3,16.3,-0.3,,,
SCU,2025-01-17,-4.4,1.3,-8.1,-5.2,4.1,-10.1,63.3,2.8,882.2,,1596.9,,1031.7,2.2,7.7,7.9,27.7,7.6,27.4,,0.0,0.0,22.0,84.0,,,,12.0,354.0,100.0,0.6,0.0,250.0,24.4,16.4,-0.3,,,
SCU,2025-01-18,-3.3,2.9,-8.6,-4.0,4.4,-10.3,53.9,2.6,879.6,,1575.5,,1028.8,2.2,8.7,7.9,31.3,8.6,31.0,,0.0,0.0,22.0,85.0,,,,13.0,355.0,100.0,0.7,0.0,249.0,23.3,15.3,-0.4,,,
SCU,2025-01-19,-0.9,4.0,-4.9,-1.4,4.3,-6.7,63.9,3.7,873.5,,1522.8,,1021.9,1.6,6.8,5.8,24.5,6.6,23.8,,0.0,0.0,22.0,49.0,,,,40.0,37.0,10.0,0.6,0.0,260.0,20.9,12.9,-0.1,,,
SCU,2025-01-20,-1.0,3.6,-4.7,-1.8,6.4,-6.9,73.7,4.2,871.7,,1505.8,,1019.7,0.9,5.0,3.2,18.0,5.0,18.0,,0.0,0.0,22.0,63.0,,,,46.0,82.0,23.0,0.4,0.0,261.0,21.0,13.0,-0.1,,,
