station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SHA,2025-01-01,-0.6,2.4,-2.7,-0.6,8.9,-4.1,90.3,5.3,973.4,1028.1,,,1025.6,5.1,9.3,18.4,33.5,8.8,31.7,,0.0,0.0,,78.0,254.0,,,,340.0,85.0,0.3,0.0,263.0,20.6,12.6,-0.1,,,
SHA,2025-01-02,2.9,9.8,-1.9,1.8,12.0,-4.2,83.5,6.2,964.0,1017.5,,,1015.8,6.1,19.1,22.0,68.8,17.8,64.1,,21.2,21.2,,31.0,305.0,,,,57.0,14.0,1.2,0.0,258.0,17.1,9.1,21.1,,,
SHA,2025-01-03,-0.9,2.1,-4.8,-2.1,8.0,-8.1,86.4,5.0,969.8,1024.4,,,1021.9,3.7,9.4,13.3,33.8,8.9,32.0,,0.0,0.0,,56.0,237.0,,,,191.0,48.0,0.2,0.0,262.0,20.9,12.9,-0.1,,,
SHA,2025-01-04,-4.2,-1.8,-6.9,-4.7,-0.4,-9.9,90.2,4.1,967.4,1022.6,,,1019.4,1.5,4.8,5.4,17.3,4.6,16.6,,15.3,8.7,,38.0,260.0,,,,116.0,29.0,0.2,0.0,63.0,24.2,16.2,8.7,,,
SHA,2025-01-05,1.7,5.1,-1.9,0.8,5.3,-1.8,96.8,6.7,954.7,1007.9,,,1006.1,3.3,8.4,11.9,30.2,8.1,29.2,,3.8,10.4,,27.0,310.0,,,,6.0,1.0,0.3,0.0,247.0,18.3,10.3,10.4,,,
SHA,2025-01-06,3.4,8.3,-0.8,2.1,6.6,-2.8,91.4,7.2,949.4,1002.0,,,1000.6,5.6,18.9,20.2,68.0,18.3,65.9,,9.9,9.9,,17.0,315.0,,,,5.0,1.0,0.6,0.0,251.0,16.6,8.6,9.9,,,
SHA,2025-01-07,3.5,6.4,0.0,2.0,9.2,-2.3,81.6,6.4,956.0,1008.9,,,1007.5,5.8,23.7,20.9,85.3,22.6,81.4,,3.9,1.3,,43.0,280.0,,,,139.0,34.0,0.7,0.0,246.0,16.5,8.5,1.2,,,
SHA,2025-01-08,5.7,11.0,0.4,4.7,9.4,-0.4,91.3,8.5,953.9,1006.3,,,1005.3,3.8,17.3,13.7,62.3,16.7,60.1,,16.7,19.0,,14.0,332.0,,,,0.0,0.0,0.6,0.0,231.0,14.3,6.3,19.0,,,
SHA,2025-01-09,7.2,11.5,0.9,5.7,13.8,-1.0,78.8,8.1,954.8,1006.9,,,1006.2,7.7,25.7,27.7,92.5,24.5,88.2,,6.9,7.2,,26.0,314.0,,,,31.0,7.0,1.0,0.0,244.0,12.8,4.8,7.1,,,
SHA,2025-01-10,0.2,2.9,-3.2,-0.8,9.2,-6.3,80.5,5.0,967.4,1021.7,,,1019.4,2.5,8.4,9.0,30.2,8.2,29.5,,0.0,0.0,,55.0,247.0,,,,198.0,48.0,0.3,0.0,270.0,19.8,11.8,-0.1,,,
SHA,2025-01-11,-2.0,2.0,-5.4,-3.4,8.2,-8.4,79.0,4.1,972.3,1027.3,,,1024.5,2.3,7.8,8.3,28.1,7.5,27.0,,0.0,0.0,,70.0,228.0,,,,319.0,77.0,0.3,0.0,54.0,22.0,14.0,-0.2,,,
SHA,2025-01-12,-2.4,1.8,-5.4,-3.7,10.6,-8.8,75.8,3.9,982.4,1038.1,,,1035.1,2.5,8.7,9.0,31.3,8.4,30.2,,0.0,0.0,,54.0,247.0,,,,68.0,16.0,0.5,0.0,41.0,22.4,14.4,-0.1,,,
SHA,2025-01-13,-3.4,-0.8,-5.5,-4.7,5.3,-8.9,74.6,3.5,984.6,1040.5,,,1037.3,5.5,13.1,19.8,47.2,12.7,45.7,,0.0,0.0,,77.0,214.0,,,,372.0,89.0,0.6,0.0,49.0,23.4,15.4,-0.2,,,
