station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SIA,2025-01-01,-6.6,1.5,-12.1,-8.9,1.7,-15.1,65.0,2.4,826.0,,1580.3,,1027.1,1.6,5.4,5.8,19.4,5.2,18.7,,0.0,0.0,,74.0,215.0,,,12.0,346.0,98.0,0.4,0.0,135.0,26.6,18.6,-0.4,,,
SIA,2025-01-02,-3.1,-1.4,-4.9,-3.4,-1.1,-5.2,82.4,4.0,817.3,,1492.4,,1016.7,4.8,12.3,17.3,44.3,11.7,42.1,,0.2,0.1,,29.0,278.0,,,30.0,0.0,0.0,0.5,0.0,215.0,23.1,15.1,0.1,,,
SIA,2025-01-03,-8.3,-2.8,-14.6,-10.1,-3.0,-17.9,61.1,2.1,815.0,,1476.7,,1014.0,2.8,11.6,10.1,41.8,10.8,38.9,,0.0,0.1,,77.0,197.0,,,12.0,349.0,98.0,0.4,0.0,83.0,28.3,20.3,-0.3,,,
SIA,2025-01-04,-9.6,-2.8,-16.2,-11.3,-1.9,-19.6,49.1,1.4,816.2,,1490.2,,1015.4,2.8,10.5,10.1,37.8,10.0,36.0,,0.0,0.0,,67.0,196.0,,,22.0,303.0,85.0,0.7,0.0,189.0,29.6,21.6,-0.5,,,
SIA,2025-01-05,-2.9,0.0,-5.4,-3.1,-0.8,-5.8,76.2,3.8,813.6,,1456.0,,1012.3,4.7,13.4,16.9,48.2,12.5,45.0,,0.4,0.1,,37.0,281.0,,,36.0,0.0,0.0,0.6,0.0,229.0,22.9,14.9,0.0,,,
SIA,2025-01-06,-0.7,0.8,-2.0,-1.0,0.6,-2.4,88.0,5.1,809.3,,1410.3,,1007.1,7.2,17.8,25.9,64.1,16.7,60.1,,13.8,7.6,,22.0,298.0,,,23.0,0.0,0.0,0.5,0.0,230.0,20.7,12.7,7.6,,,
SIA,2025-01-07,-5.1,-0.1,-17.8,-6.4,0.0,-17.5,90.4,4.0,808.0,,1403.9,,1005.6,2.7,11.3,9.7,40.7,11.0,39.6,,0.1,6.6,,63.0,248.0,,,22.0,247.0,67.0,0.0,0.0,217.0,25.1,17.1,6.5,,,
SIA,2025-01-08,-2.9,0.5,-16.6,-4.4,1.6,-18.5,80.5,4.1,811.9,,1439.1,,1010.2,5.6,13.6,20.2,49.0,13.3,47.9,,4.7,0.7,,59.0,278.0,,,47.0,53.0,14.0,0.0,0.0,223.0,22.9,14.9,0.6,,,
SIA,2025-01-09,-0.1,1.6,-3.4,-0.4,3.1,-4.4,91.3,5.5,809.3,,1409.4,,1007.1,4.5,12.2,16.2,43.9,11.0,39.6,,1.8,5.8,,58.0,297.0,,,50.0,38.0,10.0,0.2,0.0,227.0,20.1,12.1,5.8,,,
SIA,2025-01-10,-6.3,-2.6,-9.7,-6.8,-3.8,-11.6,66.9,2.6,813.4,,1458.4,,1012.0,3.5,14.1,12.6,50.8,13.8,49.7,,0.2,0.2,,45.0,257.0,,,39.0,22.0,6.0,0.6,0.0,90.0,26.3,18.3,0.1,,,
