station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SIM,2025-01-01,-0.9,2.3,-3.1,,,,55.9,3.2,860.8,,1573.7,,1027.6,1.6,4.9,5.8,17.6,4.7,16.9,,0.0,0.0,3.0,41.0,,,,10.0,148.0,100.0,0.6,0.0,287.0,20.9,12.9,,,,
SIM,2025-01-02,-0.9,2.1,-2.2,,,,76.1,4.4,852.3,,1494.4,,1017.8,1.8,20.8,6.5,74.9,19.6,70.6,,5.5,3.0,3.0,44.0,,,,35.0,54.0,38.0,0.5,0.0,311.0,20.9,12.9,,,,
SIM,2025-01-03,-1.1,1.5,-4.2,,,,45.0,2.6,848.9,,1462.6,,1013.9,8.3,24.0,29.9,86.4,23.5,84.6,,0.0,2.5,3.0,44.0,,,,11.0,151.0,100.0,1.7,0.0,319.0,21.1,13.1,,,,
SIM,2025-01-04,-4.2,-1.3,-5.9,,,,47.5,2.1,851.0,,1482.2,,1016.3,1.2,8.0,4.3,28.8,7.6,27.4,,3.1,2.0,0.0,48.0,,,,25.0,151.0,100.0,0.5,0.0,288.0,24.2,16.2,,,,
SIM,2025-01-05,-2.5,-0.6,-4.8,,,,78.0,3.9,848.4,,1458.2,,1013.3,0.9,6.4,3.2,23.0,6.1,22.0,,0.1,1.1,2.0,34.0,,,,32.0,4.0,3.0,0.3,0.0,0.0,22.5,14.5,,,,
SIM,2025-01-06,-1.2,-0.2,-2.3,,,,95.1,5.3,843.6,,1413.0,,1007.8,4.0,14.5,14.4,52.2,12.9,46.4,,4.8,4.1,2.0,16.0,,,,15.0,0.0,0.0,0.3,0.0,143.0,21.2,13.2,,,,
SIM,2025-01-07,0.4,1.9,-1.7,,,,57.7,3.6,842.6,,1402.9,,1006.6,6.3,21.6,22.7,77.8,20.4,73.4,,2.7,0.8,3.0,42.0,,,,16.0,131.0,87.0,1.3,0.0,315.0,19.6,11.6,,,,
SIM,2025-01-08,-1.2,0.1,-2.7,,,,83.5,4.7,846.6,,1441.3,,1011.3,1.0,6.0,3.6,21.6,5.9,21.2,,4.4,6.9,3.0,30.0,,,,28.0,0.0,0.0,0.3,0.0,304.0,21.2,13.2,,,,
SIM,2025-01-09,0.5,3.7,-1.7,,,,86.6,5.4,843.8,,1414.2,,1008.0,2.5,22.5,9.0,81.0,20.4,73.4,,3.2,3.4,7.0,32.0,,,,30.0,2.0,1.0,0.5,0.0,315.0,19.5,11.5,,,,
SIM,2025-01-10,-1.7,1.3,-3.4,,,,76.3,4.0,847.4,,1448.2,,1012.1,6.5,24.9,23.4,89.6,24.0,86.4,,13.0,11.2,5.0,17.0,,,,15.0,0.0,0.0,1.0,0.0,317.0,21.7,13.7,,,,
SIM,2025-01-11,-1.1,2.6,-4.2,,,,67.3,3.8,848.9,,1463.1,,1013.9,6.5,22.5,23.4,81.0,20.9,75.2,,0.8,2.5,13.0,35.0,,,,32.0,8.0,5.0,1.1,0.0,323.0,21.1,13.1,,,,
SIM,2025-01-12,-3.2,-0.8,-5.7,,,,44.7,2.1,856.2,,1530.2,,1022.3,7.7,21.6,27.7,77.8,20.2,72.7,,0.0,0.1,0.0,50.0,,,,11.0,175.0,100.0,1.5,0.0,318.0,23.2,15.2,,,,
SIM,2025-01-13,-2.0,3.4,-8.3,,,,28.0,1.4,860.5,,1570.8,,1027.3,2.9,10.1,10.4,36.4,9.3,33.5,,0.0,0.0,0.0,54.0,,,,13.0,184.0,100.0,1.3,0.0,283.0,22.0,14.0,,,,
SIM,2025-01-14,-3.1,1.0,-9.4,,,,43.0,2.0,860.8,,1573.0,,1027.6,1.4,6.0,5.0,21.6,5.7,20.5,,0.0,0.0,0.0,53.0,,,,12.0,189.0,100.0,0.6,0.0,287.0,23.1,15.1,,,,
SIM,2025-01-15,2.9,7.4,-3.2,,,,31.8,2.3,856.7,,1536.6,,1022.9,3.9,15.3,14.0,55.1,13.8,49.7,,0.0,0.0,0.0,55.0,,,,13.0,201.0,100.0,1.8,0.0,310.0,17.1,9.1,,,,
SIM,2025-01-16,-3.4,-0.3,-6.1,,,,49.2,2.3,862.2,,1586.1,,1029.3,1.7,5.8,6.1,20.9,5.4,19.4,,0.0,0.0,0.0,54.0,,,,12.0,215.0,100.0,0.7,0.0,291.0,23.4,15.4,,,,
SIM,2025-01-17,-3.7,-1.4,-6.2,,,,59.6,2.8,864.0,,1601.7,,1031.3,1.5,5.1,5.4,18.4,4.6,16.6,,0.0,0.0,0.0,56.0,,,,11.0,220.0,100.0,0.5,0.0,294.0,23.7,15.7,,,,
SIM,2025-01-18,1.1,5.9,-3.4,,,,41.1,2.7,860.9,,1575.2,,1027.7,1.7,6.2,6.1,22.3,5.8,20.9,,0.0,0.0,0.0,46.0,,,,34.0,38.0,18.0,1.0,0.0,297.0,18.9,10.9,,,,
SIM,2025-01-19,-0.6,1.4,-1.7,,,,83.6,4.9,856.2,,1531.2,,1022.3,1.3,7.2,4.7,25.9,6.9,24.8,,7.9,7.0,0.0,19.0,,,,18.0,0.0,0.0,0.5,0.0,117.0,20.6,12.6,,,,
SIM,2025-01-20,-0.9,-0.5,-1.3,,,,98.9,5.7,854.0,,1510.8,,1019.8,1.2,6.2,4.3,22.3,5.8,20.9,,9.0,9.4,12.0,24.0,,,,22.0,0.0,0.0,0.3,0.0,107.0,20.9,12.9,,,,
SIM,2025-01-21,-1.0,1.5,-3.3,,,,85.1,4.8,850.9,,1481.9,,1016.2,1.3,5.6,4.7,20.2,5.4,19.4,,0.0,0.5,26.0,80.0,,,,31.0,238.0,100.0,0.3,0.0,290.0,21.0,13.0,,,,
SIM,2025-01-22,-1.0,-0.4,-1.7,,,,93.3,5.3,848.7,,1461.2,,1013.7,1.5,6.7,5.4,24.1,6.3,22.7,,1.3,0.9,20.0,32.0,,,,29.0,0.0,0.0,0.3,0.0,126.0,21.0,13.0,,,,
SIM,2025-01-23,0.9,4.1,-1.3,,,,79.2,5.0,846.5,,1440.1,,1011.1,4.1,19.5,14.8,70.2,18.5,66.6,,1.7,2.1,19.0,35.0,,,,32.0,0.0,0.0,0.9,0.0,312.0,19.1,11.1,,,,
SIM,2025-01-24,2.6,6.2,-1.0,,,,40.6,2.9,851.7,,1489.1,,1017.1,3.0,17.8,10.8,64.1,16.6,59.8,,0.0,0.0,17.0,72.0,,,,29.0,197.0,81.0,1.4,0.0,306.0,17.4,9.4,,,,
SIM,2025-01-25,-0.3,2.4,-2.1,,,,80.1,4.8,852.1,,1492.7,,1017.6,2.2,10.0,7.9,36.0,9.4,33.8,,7.2,1.3,15.0,60.0,,,,33.0,158.0,64.0,0.5,0.0,141.0,20.3,12.3,,,,
