station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SIO,2025-01-01,-1.0,5.9,-5.3,-2.7,11.0,-7.8,74.4,4.2,971.6,1031.8,,,1029.0,1.3,4.8,4.7,17.3,4.8,17.3,0.0,0.0,0.0,0.0,58.0,,,,,242.0,100.0,0.4,0.0,95.0,21.0,13.0,-0.2,0.2,0.8,1.8
SIO,2025-01-02,2.0,10.7,-4.3,1.9,9.4,-6.1,72.9,5.2,961.7,1020.7,,,1018.7,1.6,18.4,5.8,66.2,17.8,64.1,0.0,6.4,4.8,0.0,46.0,,,,,73.0,30.0,0.7,0.0,180.0,18.0,10.0,4.7,0.2,0.8,1.6
SIO,2025-01-03,1.3,5.4,-3.4,-0.1,11.9,-7.1,78.8,5.3,963.4,1022.6,,,1020.4,1.1,9.0,4.0,32.4,8.8,31.7,0.0,0.0,1.6,0.0,59.0,,,,,245.0,100.0,0.3,0.0,270.0,18.7,10.7,1.4,0.3,0.8,1.6
SIO,2025-01-04,-1.3,1.5,-5.5,-1.6,5.7,-9.1,76.0,4.2,962.8,1022.5,,,1019.8,1.5,4.8,5.4,17.3,4.5,16.2,0.0,2.8,1.1,0.0,54.0,,,,,163.0,66.0,0.3,0.0,86.0,21.3,13.3,1.0,0.3,0.8,1.6
SIO,2025-01-05,3.1,7.1,0.6,3.4,11.9,0.8,89.9,6.9,953.5,1011.7,,,1010.1,1.1,3.8,4.0,13.7,3.7,13.3,0.0,0.0,1.7,0.0,42.0,,,,,99.0,40.0,0.3,0.0,83.0,16.9,8.9,1.7,0.4,0.9,1.6
SIO,2025-01-06,7.3,11.8,3.9,6.6,17.3,2.4,68.5,7.0,947.4,1004.3,,,1003.7,1.3,6.1,4.7,22.0,5.9,21.2,0.0,3.3,3.1,0.0,41.0,,,,,79.0,31.0,0.7,0.0,248.0,12.7,4.7,3.0,0.9,1.1,1.7
SIO,2025-01-07,4.6,10.6,1.2,3.9,14.8,-1.3,72.4,6.0,953.2,1011.0,,,1009.7,1.6,9.3,5.8,33.5,9.2,33.1,0.0,0.2,0.2,0.0,69.0,,,,,240.0,95.0,0.6,0.0,239.0,15.4,7.4,0.0,1.9,1.9,2.2
SIO,2025-01-08,3.7,6.2,2.1,3.7,11.1,1.4,84.5,6.8,954.1,1012.2,,,1010.7,1.4,5.4,5.0,19.4,5.2,18.7,0.0,7.7,6.2,0.0,33.0,,,,,88.0,35.0,0.4,0.0,84.0,16.3,8.3,6.1,2.3,2.4,2.6
SIO,2025-01-09,5.7,8.1,2.5,5.7,10.1,0.5,87.3,8.0,952.8,1010.4,,,1009.3,2.3,16.2,8.3,58.3,15.9,57.2,0.0,3.8,5.5,0.0,31.0,,,,,0.0,0.0,0.5,0.0,252.0,14.3,6.3,5.5,3.3,3.1,3.1
SIO,2025-01-10,2.0,4.1,0.3,2.4,5.7,1.0,80.6,5.7,960.7,1019.6,,,1017.6,2.7,16.8,9.7,60.5,16.4,59.0,0.0,4.3,4.3,0.0,14.0,,,,,0.0,0.0,0.7,0.0,255.0,18.0,10.0,4.3,3.0,3.2,3.5
SIO,2025-01-11,2.0,3.3,0.2,2.0,4.9,-1.9,83.0,5.9,963.3,1022.4,,,1020.3,1.7,10.4,6.1,37.4,10.3,37.1,0.0,0.0,0.0,0.0,14.0,,,,,0.0,0.0,0.5,0.0,256.0,18.0,10.0,0.0,2.7,2.9,3.3
SIO,2025-01-12,0.4,3.4,-1.6,0.7,9.9,-4.4,68.0,4.3,973.1,1033.1,,,1030.6,0.9,4.0,3.2,14.4,3.9,14.0,0.0,0.0,0.0,0.0,73.0,,,,,266.0,100.0,0.3,0.0,135.0,19.6,11.6,-0.2,2.2,2.6,3.2
SIO,2025-01-13,-2.0,1.8,-4.7,-2.2,8.4,-7.0,70.9,3.7,975.8,1036.6,,,1033.5,1.8,4.9,6.5,17.6,4.8,17.3,0.0,0.0,0.0,0.0,69.0,,,,,271.0,100.0,0.5,0.0,85.0,22.0,14.0,-0.2,1.4,2.0,2.8
SIO,2025-01-14,-3.0,2.2,-7.3,-3.8,9.4,-9.9,79.8,3.9,974.6,1035.5,,,1032.2,1.1,4.8,4.0,17.3,4.6,16.6,0.0,0.0,0.0,0.0,68.0,,,,,273.0,100.0,0.3,0.0,180.0,23.0,15.0,-0.1,0.8,1.4,2.3
SIO,2025-01-15,-2.7,2.9,-6.4,-3.8,9.3,-8.9,79.5,3.9,971.1,1031.7,,,1028.5,0.9,3.8,3.2,13.7,3.7,13.3,0.0,0.0,0.0,0.0,68.0,,,,,274.0,100.0,0.3,0.0,108.0,22.7,14.7,-0.1,0.5,1.1,2.0
SIO,2025-01-16,-2.2,4.1,-7.3,-3.3,9.9,-9.1,80.0,4.1,973.7,1034.3,,,1031.2,1.0,3.8,3.6,13.7,3.7,13.3,0.0,0.0,0.0,0.0,69.0,,,,,278.0,100.0,0.3,0.0,124.0,22.2,14.2,-0.1,0.3,0.9,1.8
SIO,2025-01-17,-2.1,4.1,-6.1,-3.5,10.0,-9.6,79.6,4.1,975.4,1036.1,,,1032.9,1.0,4.8,3.6,17.3,4.8,17.3,0.0,0.0,0.0,0.0,71.0,,,,,281.0,100.0,0.3,0.0,108.0,22.1,14.1,-0.1,0.2,0.8,1.6
SIO,2025-01-18,-2.2,4.3,-6.4,-2.9,10.7,-8.6,79.3,4.1,970.2,1030.6,,,1027.5,1.5,7.0,5.4,25.2,6.8,24.5,0.0,0.0,0.0,0.0,73.0,,,,,283.0,100.0,0.4,0.0,233.0,22.2,14.2,-0.1,0.1,0.6,1.5
