station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SMA,2025-01-01,1.1,8.3,-3.5,0.1,8.7,-4.6,82.2,5.3,959.6,1028.0,,,1025.5,1.4,16.6,5.0,59.8,15.7,56.5,0.0,0.0,0.0,0.0,80.0,254.0,,,,434.0,95.0,0.2,0.0,214.0,18.9,10.9,-0.3,,,
SMA,2025-01-02,5.6,9.1,-0.2,5.0,8.9,0.1,63.0,5.5,950.7,1017.2,,,1016.0,6.6,25.1,23.8,90.4,24.5,88.2,0.0,20.5,20.5,0.0,29.0,304.0,,,,47.0,10.0,1.6,0.0,243.0,14.4,6.4,20.4,,,
SMA,2025-01-03,-0.9,0.5,-3.3,-1.5,2.3,-6.4,87.1,5.0,955.8,1024.4,,,1021.4,1.2,6.6,4.3,23.8,6.5,23.4,0.0,0.0,0.0,4.0,34.0,278.0,,,,28.0,6.0,0.2,0.0,283.0,20.9,12.9,-0.1,,,
SMA,2025-01-04,-3.2,-0.4,-6.1,-3.5,0.1,-8.1,91.0,4.4,952.9,1021.9,,,1018.4,1.1,4.2,4.0,15.1,4.1,14.8,0.0,21.8,12.1,3.0,38.0,267.0,,,,14.0,3.0,0.2,0.0,108.0,23.2,15.2,12.1,,,
SMA,2025-01-05,4.8,9.9,-0.4,3.1,5.5,0.1,90.8,7.8,941.4,1007.5,,,1006.2,1.9,12.1,6.8,43.6,11.6,41.8,0.0,2.4,12.1,3.0,28.0,317.0,,,,0.0,0.0,0.4,0.0,207.0,15.2,7.2,12.1,,,
SMA,2025-01-06,8.0,11.7,4.4,6.6,13.1,2.6,69.0,7.3,936.3,1001.2,,,1000.8,3.0,15.4,10.8,55.4,14.6,52.6,0.0,13.4,13.4,0.0,42.0,316.0,,,,71.0,15.0,1.0,0.0,244.0,12.0,4.0,13.3,,,
SMA,2025-01-07,4.8,6.9,2.0,3.7,8.3,-0.5,72.2,6.2,942.8,1009.0,,,1007.7,6.1,22.4,22.0,80.6,21.7,78.1,0.0,3.6,1.3,0.0,47.0,277.0,,,,186.0,40.0,1.0,0.0,237.0,15.2,7.2,1.1,,,
SMA,2025-01-08,6.2,11.0,1.9,5.3,8.6,0.5,85.5,8.1,941.1,1006.8,,,1005.9,3.7,18.8,13.3,67.7,17.7,63.7,0.0,5.5,6.9,0.0,20.0,326.0,,,,7.0,2.0,0.8,0.0,224.0,13.8,5.8,6.9,,,
SMA,2025-01-09,6.6,11.4,0.4,5.6,11.1,-0.5,79.7,7.8,941.9,1007.6,,,1006.7,5.0,22.2,18.0,79.9,21.1,76.0,0.0,3.6,4.5,0.0,45.0,303.0,,,,92.0,20.0,0.9,0.0,243.0,13.4,5.4,4.4,,,
SMA,2025-01-10,1.0,2.1,-0.1,0.6,3.5,-1.1,73.5,4.8,953.4,1021.4,,,1018.9,1.5,6.3,5.4,22.7,6.2,22.3,0.0,0.0,0.0,0.0,29.0,287.0,,,,4.0,1.0,0.5,0.0,270.0,19.0,11.0,-0.1,,,
