station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SMM,2025-01-01,-2.1,1.5,-4.9,-7.2,-1.1,-9.9,48.9,2.5,869.1,,1563.2,,1026.7,1.1,5.6,4.0,20.2,5.3,19.1,,0.0,0.0,,22.0,,,,8.0,67.0,85.0,0.6,0.0,197.0,22.1,14.1,-0.2,,,
SMM,2025-01-02,-3.2,-1.2,-6.0,-5.3,-0.4,-10.3,69.7,3.4,860.4,,1483.1,,1016.8,0.8,4.1,2.9,14.8,4.1,14.8,,0.0,0.0,,42.0,,,,40.0,0.0,0.0,0.3,0.0,191.0,23.2,15.2,-0.1,,,
SMM,2025-01-03,-3.0,0.4,-5.3,-6.3,-1.7,-8.6,39.0,2.0,858.7,,1468.0,,1014.8,3.7,9.0,13.3,32.4,8.8,31.7,,0.0,0.0,,24.0,,,,8.0,69.0,82.0,1.3,0.0,211.0,23.0,15.0,-0.3,,,
SMM,2025-01-04,-6.1,-3.6,-8.0,-9.8,-5.1,-13.3,37.3,1.4,860.0,,1478.7,,1016.3,1.9,7.8,6.8,28.1,7.5,27.0,,0.0,0.0,,31.0,,,,15.0,71.0,84.0,0.7,0.0,223.0,26.1,18.1,-0.3,,,
SMM,2025-01-05,-4.0,-1.9,-6.3,-5.0,-0.6,-8.0,61.1,2.8,857.1,,1452.9,,1013.0,0.8,5.7,2.9,20.5,5.5,19.8,,0.0,0.0,,32.0,,,,31.0,0.0,0.0,0.4,0.0,202.0,24.0,16.0,-0.1,,,
SMM,2025-01-06,-1.8,0.1,-4.5,-2.1,-0.2,-7.0,90.7,4.9,852.9,,1413.7,,1008.1,0.9,5.1,3.2,18.4,4.8,17.3,,7.7,1.6,,28.0,,,,27.0,0.0,0.0,0.3,0.0,180.0,21.8,13.8,1.6,,,
SMM,2025-01-07,-1.6,0.2,-5.7,-1.2,0.1,-4.0,96.0,5.3,850.9,,1395.6,,1005.9,0.9,6.6,3.2,23.8,6.5,23.4,,1.7,7.8,,27.0,,,,25.0,0.0,0.0,0.2,0.0,203.0,21.6,13.6,7.8,,,
SMM,2025-01-08,-2.6,-0.1,-6.5,-2.4,0.0,-4.9,91.0,4.6,855.1,,1434.1,,1010.6,0.9,3.5,3.2,12.6,3.4,12.2,,2.3,0.4,,46.0,,,,38.0,20.0,23.0,0.2,0.0,198.0,22.6,14.6,0.4,,,
SMM,2025-01-09,0.0,2.0,-1.9,-0.4,0.1,-1.3,95.0,5.8,852.2,,1408.1,,1007.4,1.0,10.8,3.6,38.9,10.4,37.4,,0.8,2.7,,38.0,,,,36.0,0.0,0.0,0.2,0.0,198.0,20.0,12.0,2.7,,,
SMM,2025-01-10,-3.8,-0.1,-6.4,-2.8,0.0,-4.3,64.4,3.0,857.4,,1455.2,,1013.3,2.0,9.8,7.2,35.3,9.3,33.5,,0.3,0.2,,33.0,,,,29.0,20.0,22.0,0.6,0.0,208.0,23.8,15.8,0.1,,,
