station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SPF,2025-01-01,0.2,5.4,-4.0,,,,71.6,4.4,938.2,,1529.6,,1025.5,2.5,6.2,9.0,22.3,6.0,21.6,,0.0,0.0,5.0,73.0,,,,,,,0.5,0.0,208.0,19.8,11.8,,,,
SPF,2025-01-02,3.4,8.6,-2.3,,,,69.2,5.2,929.5,,1464.4,,1016.1,3.4,16.1,12.2,58.0,14.8,53.3,,19.5,18.4,4.0,41.0,,,,,,,1.0,0.0,222.0,16.6,8.6,,,,
SPF,2025-01-03,-2.5,0.4,-9.4,,,,98.0,5.1,933.6,,1483.0,,1020.5,1.3,7.7,4.7,27.7,7.5,27.0,,0.0,1.1,7.0,67.0,,,,,,,-0.1,0.0,146.0,22.5,14.5,,,,
SPF,2025-01-04,-5.8,0.6,-12.3,,,,95.1,3.9,930.7,,1449.8,,1017.4,1.1,4.8,4.0,17.3,4.7,16.9,,9.0,3.9,5.0,66.0,,,,,,,0.1,0.0,196.0,25.8,17.8,,,,
SPF,2025-01-05,3.1,6.2,0.3,,,,99.3,7.6,920.5,,1386.2,,1006.4,2.1,6.4,7.6,23.0,6.3,22.7,,0.4,5.5,3.0,50.0,,,,,,,0.2,0.0,201.0,16.9,8.9,,,,
SPF,2025-01-06,3.8,8.4,0.6,,,,92.7,7.4,915.8,,1346.8,,1001.3,2.6,14.5,9.4,52.2,14.3,51.5,,14.1,14.1,0.0,25.0,,,,,,,0.5,0.0,211.0,16.2,8.2,,,,
SPF,2025-01-07,2.9,6.0,0.2,,,,76.4,5.7,921.8,,1397.1,,1007.8,3.2,17.1,11.5,61.6,16.5,59.4,,3.0,0.0,0.0,47.0,,,,,,,0.7,0.0,222.0,17.1,9.1,,,,
SPF,2025-01-08,6.1,12.0,0.2,,,,85.3,8.0,920.2,,1390.9,,1006.1,3.4,11.8,12.2,42.5,11.2,40.3,,4.5,7.0,0.0,21.0,,,,,,,0.8,0.0,225.0,13.9,5.9,,,,
SPF,2025-01-09,6.1,11.6,0.0,,,,78.0,7.2,921.1,,1398.2,,1007.1,3.8,17.8,13.7,64.1,17.0,61.2,,4.9,5.4,0.0,28.0,,,,,,,1.0,0.0,218.0,13.9,5.9,,,,
SPF,2025-01-10,-0.4,0.9,-1.4,,,,87.0,5.2,931.3,,1470.0,,1018.0,1.4,5.6,5.0,20.2,5.4,19.4,,2.8,2.3,0.0,24.0,,,,,,,0.4,0.0,360.0,20.4,12.4,,,,
SPF,2025-01-11,-2.4,-0.6,-7.9,,,,91.8,4.8,935.0,,1495.1,,1022.0,2.0,6.7,7.2,24.1,6.5,23.4,,0.0,0.5,2.0,36.0,,,,,,,0.1,0.0,34.0,22.4,14.4,,,,
SPF,2025-01-12,-3.7,-2.0,-6.9,,,,84.5,3.9,944.3,,1568.4,,1032.0,3.8,10.0,13.7,36.0,9.8,35.3,,0.0,0.0,1.0,63.0,,,,,,,0.3,0.0,30.0,23.7,15.7,,,,
