station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SRS,2025-01-01,-6.6,-3.3,-8.9,,,,96.3,3.6,,,,,,0.9,4.2,3.2,15.1,4.0,14.4,,0.0,0.0,,,,,,,,,,0.0,90.0,26.6,18.6,,,,
SRS,2025-01-02,-2.4,2.0,-7.9,,,,97.1,5.1,,,,,,1.4,8.0,5.0,28.8,7.7,27.7,,5.3,5.0,,,,,,,,,,0.0,45.0,22.4,14.4,,,,
SRS,2025-01-03,-0.8,1.1,-5.9,,,,90.2,5.2,,,,,,1.2,4.5,4.3,16.2,4.2,15.1,,0.0,0.3,,,,,,,,,,0.0,34.0,20.8,12.8,,,,
SRS,2025-01-04,-6.5,-1.7,-11.0,,,,92.5,3.6,,,,,,0.9,3.6,3.2,13.0,3.4,12.2,,3.9,0.0,,,,,,,,,,0.0,90.0,26.5,18.5,,,,
SRS,2025-01-05,0.2,1.4,-1.9,,,,98.5,6.1,,,,,,0.9,4.2,3.2,15.1,4.2,15.1,,1.9,5.8,,,,,,,,,,0.0,90.0,19.8,11.8,,,,
SRS,2025-01-06,2.4,6.4,-0.4,,,,91.0,6.6,,,,,,1.7,5.8,6.1,20.9,5.7,20.5,,6.2,0.0,,,,,,,,,,0.0,90.0,17.6,9.6,,,,
SRS,2025-01-07,0.5,5.5,-2.7,,,,97.6,6.2,,,,,,1.0,6.7,3.6,24.1,6.1,22.0,,1.1,7.3,,,,,,,,,,0.0,56.0,19.5,11.5,,,,
SRS,2025-01-08,1.0,4.8,-2.5,,,,97.9,6.5,,,,,,1.0,3.7,3.6,13.3,3.6,13.0,,0.6,0.6,,,,,,,,,,0.0,360.0,19.0,11.0,,,,
SRS,2025-01-09,2.6,6.3,-0.2,,,,90.9,6.7,,,,,,2.1,13.5,7.6,48.6,12.8,46.1,,3.2,3.2,,,,,,,,,,0.0,300.0,17.4,9.4,,,,
SRS,2025-01-10,0.3,2.2,-1.4,,,,81.5,5.1,,,,,,1.0,8.9,3.6,32.0,8.6,31.0,,2.2,1.2,,,,,,,,,,0.0,307.0,19.7,11.7,,,,
SRS,2025-01-11,-2.1,-0.5,-6.0,,,,91.4,4.8,,,,,,1.1,5.8,4.0,20.9,5.5,19.8,,0.0,1.0,,,,,,,,,,0.0,309.0,22.1,14.1,,,,
SRS,2025-01-12,-3.6,-0.8,-7.1,,,,77.1,3.6,,,,,,1.3,4.9,4.7,17.6,4.8,17.3,,0.0,0.0,,,,,,,,,,0.0,79.0,23.6,15.6,,,,
SRS,2025-01-13,-6.4,-3.1,-9.8,,,,77.3,2.9,,,,,,1.2,6.8,4.3,24.5,6.7,24.1,,0.0,0.0,,,,,,,,,,0.0,96.0,26.4,18.4,,,,
SRS,2025-01-14,-6.8,-1.9,-9.9,,,,91.4,3.4,,,,,,0.9,4.7,3.2,16.9,4.3,15.5,,0.0,0.0,,,,,,,,,,0.0,90.0,26.8,18.8,,,,
SRS,2025-01-15,-3.9,0.7,-9.1,,,,88.1,4.0,,,,,,1.0,5.9,3.6,21.2,5.1,18.4,,0.0,0.0,,,,,,,,,,0.0,90.0,23.9,15.9,,,,
SRS,2025-01-16,-6.1,-1.3,-8.8,,,,94.1,3.7,,,,,,0.9,3.8,3.2,13.7,3.6,13.0,,0.0,0.0,,,,,,,,,,0.0,90.0,26.1,18.1,,,,
SRS,2025-01-17,-6.6,-3.3,-8.9,,,,95.8,3.6,,,,,,0.7,3.1,2.5,11.2,2.8,10.1,,0.0,0.0,,,,,,,,,,0.0,90.0,26.6,18.6,,,,
SRS,2025-01-18,-6.1,-1.9,-9.9,,,,94.7,3.7,,,,,,0.8,3.6,2.9,13.0,3.5,12.6,,0.0,0.0,,,,,,,,,,0.0,90.0,26.1,18.1,,,,
SRS,2025-01-19,-4.0,0.7,-7.1,,,,94.8,4.3,,,,,,0.9,3.7,3.2,13.3,3.6,13.0,,0.0,0.0,,,,,,,,,,0.0,90.0,24.0,16.0,,,,
SRS,2025-01-20,-1.7,4.0,-5.9,,,,93.1,5.1,,,,,,0.8,4.2,2.9,15.1,4.0,14.4,,0.0,0.0,,,,,,,,,,0.0,90.0,21.7,13.7,,,,
