station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
STC,2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,35.0,386.0,82.0,,,,,,,,,
STC,2025-01-02,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,13.0,10.0,2.0,,,,,,,,,
STC,2025-01-03,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,43.0,102.0,21.0,,,,,,,,,
STC,2025-01-04,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,34.0,352.0,74.0,,,,,,,,,
STC,2025-01-05,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,21.0,0.0,0.0,,,,,,,,,
STC,2025-01-06,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,16.0,50.0,10.0,,,,,,,,,
STC,2025-01-07,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,29.0,45.0,9.0,,,,,,,,,
STC,2025-01-08,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,12.0,0.0,0.0,,,,,,,,,
STC,2025-01-09,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,26.0,21.0,4.0,,,,,,,,,
STC,2025-01-10,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,31.0,6.0,1.0,,,,,,,,,
STC,2025-01-11,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,28.0,267.0,55.0,,,,,,,,,
STC,2025-01-12,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,39.0,27.0,6.0,,,,,,,,,
STC,2025-01-13,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,22.0,470.0,96.0,,,,,,,,,
STC,2025-01-14,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,22.0,473.0,96.0,,,,,,,,,
STC,2025-01-15,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,40.0,91.0,18.0,,,,,,,,,
STC,2025-01-16,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,28.0,118.0,24.0,,,,,,,,,
STC,2025-01-17,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,30.0,36.0,7.0,,,,,,,,,
STC,2025-01-18,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,32.0,268.0,54.0,,,,,,,,,
STC,2025-01-19,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,36.0,380.0,76.0,,,,,,,,,
STC,2025-01-20,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,26.0,422.0,83.0,,,,,,,,,
STC,2025-01-21,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,22.0,495.0,98.0,,,,,,,,,
STC,2025-01-22,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,13.0,0.0,0.0,,,,,,,,,
STC,2025-01-23,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,19.0,8.0,2.0,,,,,,,,,
STC,2025-01-24,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,51.0,244.0,48.0,,,,,,,,,
STC,2025-01-25,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,46.0,115.0,22.0,,,,,,,,,
STC,2025-01-26,,,,,,,,,,,,,,,,,,,,,,,,103.0,,,,27.0,376.0,73.0,,,,,,,,,
STC,2025-01-27,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,11.0,0.0,0.0,,,,,,,,,
STC,2025-01-28,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,42.0,55.0,11.0,,,,,,,,,
STC,2025-01-29,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,37.0,350.0,68.0,,,,,,,,,
STC,2025-01-30,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,26.0,0.0,0.0,,,,,,,,,
STC,2025-01-31,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,23.0,0.0,0.0,,,,,,,,,
STC,2025-02-01,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,18.0,0.0,0.0,,,,,,,,,
STC,2025-02-02,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,23.0,0.0,0.0,,,,,,,,,
STC,2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,39.0,0.0,0.0,,,,,,,,,
STC,2025-02-04,,,,,,,,,,,,,,,,,,,,,,,,118.0,,,,37.0,373.0,70.0,,,,,,,,,
STC,2025-02-05,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,,28.0,542.0,100.0,,,,,,,,,
STC,2025-02-06,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,19.0,0.0,0.0,,,,,,,,,
STC,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,56.0,136.0,25.0,,,,,,,,,
STC,2025-02-08,,,,,,,,,,,,,,,,,,,,,,,,122.0,,,,40.0,408.0,74.0,,,,,,,,,
STC,2025-02-09,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,59.0,243.0,44.0,,,,,,,,,
STC,2025-02-10,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,29.0,0.0,0.0,,,,,,,,,
STC,2025-02-11,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,30.0,0.0,0.0,,,,,,,,,
STC,2025-02-12,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,45.0,13.0,2.0,,,,,,,,,
STC,2025-02-13,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,26.0,0.0,0.0,,,,,,,,,
STC,2025-02-14,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,34.0,92.0,16.0,,,,,,,,,
STC,2025-02-15,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,42.0,384.0,66.0,,,,,,,,,
STC,2025-02-16,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,70.0,30.0,5.0,,,,,,,,,
STC,2025-02-17,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,60.0,51.0,9.0,,,,,,,,,
STC,2025-02-18,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,59.0,159.0,27.0,,,,,,,,,
STC,2025-02-19,,,,,,,,,,,,,,,,,,,,,,,,127.0,,,,60.0,318.0,54.0,,,,,,,,,
STC,2025-02-20,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,48.0,206.0,35.0,,,,,,,,,
STC,2025-02-21,,,,,,,,,,,,,,,,,,,,,,,,124.0,,,,64.0,271.0,46.0,,,,,,,,,
STC,2025-02-22,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,71.0,2.0,0.0,,,,,,,,,
STC,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,39.0,49.0,8.0,,,,,,,,,
STC,2025-02-24,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,52.0,0.0,0.0,,,,,,,,,
STC,2025-02-25,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,25.0,140.0,23.0,,,,,,,,,
STC,2025-02-26,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,40.0,29.0,5.0,,,,,,,,,
STC,2025-02-27,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,53.0,90.0,15.0,,,,,,,,,
STC,2025-02-28,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,53.0,96.0,15.0,,,,,,,,,
STC,2025-03-01,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,,66.0,266.0,43.0,,,,,,,,,
