station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
STG,2025-01-01,7.3,10.7,2.7,0.6,6.0,-4.6,32.7,3.3,933.8,,1544.1,,1024.5,1.9,10.2,6.8,36.7,10.0,36.0,0.0,0.0,0.0,3.0,69.0,,,,,360.0,99.0,0.9,0.0,198.0,12.7,4.7,-0.7,2.6,2.8,3.3
STG,2025-01-02,4.8,8.0,-0.6,2.7,6.1,-2.4,56.1,4.5,925.1,,1462.5,,1015.2,2.9,13.3,10.4,47.9,12.4,44.6,230.0,20.8,19.7,3.0,32.0,,,,,20.0,5.0,1.1,0.0,223.0,15.2,7.2,19.6,2.8,2.9,3.3
STG,2025-01-03,-2.3,-0.5,-6.0,-1.4,-0.1,-6.1,88.9,4.6,929.6,,1482.4,,1020.1,1.0,4.2,3.6,15.1,4.1,14.8,0.0,0.0,1.1,17.0,30.0,,,,,4.0,1.0,0.2,0.0,247.0,22.3,14.3,1.1,2.8,2.9,3.3
STG,2025-01-04,-4.5,-0.2,-6.8,-4.5,-0.7,-8.1,91.0,4.0,927.0,,1454.1,,1017.2,0.7,3.5,2.5,12.6,3.5,12.6,0.0,10.3,5.5,15.0,59.0,,,,,143.0,39.0,0.1,0.0,180.0,24.5,16.5,5.4,2.9,3.0,3.4
STG,2025-01-05,6.3,8.8,-0.5,1.7,5.1,-0.6,85.6,8.2,916.3,,1389.2,,1005.7,1.5,11.2,5.4,40.3,10.4,37.4,0.0,0.5,5.3,12.0,29.0,,,,,0.0,0.0,0.3,0.0,193.0,13.7,5.7,5.3,2.9,2.9,3.4
STG,2025-01-06,7.6,13.0,2.9,4.4,8.8,1.6,61.1,6.2,911.5,,1349.1,,1000.5,2.5,14.3,9.0,51.5,13.5,48.6,120.0,3.9,3.7,2.0,44.0,,,,,107.0,29.0,1.1,0.0,214.0,12.4,4.4,3.5,2.8,2.9,3.3
STG,2025-01-07,3.6,6.4,1.2,1.8,6.5,-0.6,67.8,5.3,917.7,,1395.0,,1007.2,3.4,13.1,12.2,47.2,12.6,45.4,20.0,3.9,2.8,0.0,42.0,,,,,145.0,39.0,0.9,0.0,224.0,16.4,8.4,2.6,2.8,2.9,3.3
STG,2025-01-08,7.2,12.1,1.6,5.4,11.2,1.1,68.5,6.8,916.2,,1389.6,,1005.5,2.4,11.6,8.6,41.8,11.3,40.7,280.0,5.5,4.3,0.0,25.0,,,,,21.0,6.0,1.0,0.0,187.0,12.8,4.8,4.2,3.0,3.0,3.4
STG,2025-01-09,6.3,12.0,-1.3,4.9,13.7,-2.2,71.6,6.7,916.7,,1391.6,,1006.1,3.5,28.3,12.6,101.9,26.8,96.5,40.0,9.1,11.6,0.0,39.0,,,,,88.0,23.0,1.0,0.0,234.0,13.7,5.7,11.5,3.9,3.8,3.9
STG,2025-01-10,-1.2,0.4,-3.3,-3.0,0.4,-7.5,77.8,4.3,927.6,,1468.4,,1017.9,1.5,7.8,5.4,28.1,7.4,26.6,0.0,0.0,0.0,1.0,46.0,,,,,81.0,21.0,0.3,0.0,186.0,21.2,13.2,-0.1,3.6,3.7,4.0
STG,2025-01-11,-3.1,-1.2,-5.0,-4.7,-0.1,-9.5,82.9,4.0,931.9,,1498.7,,1022.5,1.4,5.1,5.0,18.4,4.9,17.6,0.0,0.0,0.0,0.0,62.0,,,,,242.0,63.0,0.2,0.0,53.0,23.1,15.1,-0.1,3.0,3.1,3.6
STG,2025-01-12,-3.6,-1.6,-5.2,-4.4,3.8,-9.6,81.4,3.8,941.4,,1576.6,,1032.8,1.5,5.5,5.4,19.8,5.4,19.4,0.0,0.0,0.0,1.0,58.0,,,,,126.0,32.0,0.2,0.0,66.0,23.6,15.6,-0.1,2.5,2.7,3.3
STG,2025-01-13,-5.2,-2.7,-7.6,-6.8,0.4,-12.4,83.5,3.5,943.1,,1585.8,,1034.6,1.7,6.9,6.1,24.8,6.8,24.5,0.0,0.0,0.0,1.0,77.0,,,,,271.0,69.0,0.2,0.0,61.0,25.2,17.2,-0.1,2.1,2.3,2.9
STG,2025-01-14,-5.1,-2.3,-7.0,-6.3,-0.6,-10.0,88.2,3.7,940.1,,1561.3,,1031.4,0.9,4.5,3.2,16.2,4.3,15.5,0.0,0.0,0.0,1.0,53.0,,,,,124.0,31.0,0.2,0.0,63.0,25.1,17.1,-0.1,1.7,1.9,2.6
STG,2025-01-15,-1.7,0.6,-5.1,-1.6,4.6,-9.0,89.1,4.8,938.4,,1557.0,,1029.5,1.4,6.7,5.0,24.1,6.6,23.8,0.0,0.0,0.0,2.0,56.0,,,,,114.0,29.0,0.2,0.0,69.0,21.7,13.7,-0.1,1.5,1.7,2.3
STG,2025-01-16,-0.8,1.0,-2.4,-0.7,3.8,-4.4,90.4,5.2,940.1,,1574.3,,1031.4,1.5,5.2,5.4,18.7,5.1,18.4,0.0,0.0,0.0,1.0,76.0,,,,,316.0,79.0,0.1,0.0,45.0,20.8,12.8,-0.1,1.6,1.8,2.3
STG,2025-01-17,-2.5,-1.6,-3.4,-2.1,-0.8,-3.1,93.3,4.7,940.9,,1575.6,,1032.2,1.1,4.1,4.0,14.8,4.0,14.4,0.0,0.0,0.0,1.0,19.0,,,,,0.0,0.0,0.3,0.0,68.0,22.5,14.5,0.0,1.8,1.9,2.3
STG,2025-01-18,-3.6,-2.3,-4.4,-2.9,0.7,-3.9,95.3,4.4,935.9,,1530.9,,1026.8,0.9,3.3,3.2,11.9,3.2,11.5,0.0,0.0,0.0,0.0,41.0,,,,,3.0,1.0,0.2,0.0,45.0,23.6,15.6,0.0,1.8,1.9,2.4
STG,2025-01-19,-1.9,5.0,-4.2,-2.3,1.0,-3.8,92.0,4.8,929.2,,1480.2,,1019.6,0.7,3.4,2.5,12.2,3.4,12.2,0.0,0.0,0.0,0.0,41.0,,,,,4.0,1.0,0.4,0.0,135.0,21.9,13.9,0.0,1.9,2.0,2.4
STG,2025-01-20,2.0,5.8,-2.0,-1.1,3.1,-4.1,69.6,4.9,927.4,,1475.0,,1017.7,0.6,5.1,2.2,18.4,5.0,18.0,0.0,0.0,0.0,0.0,45.0,,,,,47.0,11.0,0.4,0.0,180.0,18.0,10.0,-0.1,1.9,2.0,2.4
STG,2025-01-21,-0.7,3.1,-4.6,-2.4,4.7,-6.2,87.1,5.0,925.6,,1452.7,,1015.7,0.4,2.6,1.4,9.4,2.6,9.4,0.0,0.0,0.0,0.0,82.0,,,,,374.0,89.0,0.1,0.0,180.0,20.7,12.7,-0.1,1.8,1.9,2.3
STG,2025-01-22,-0.2,10.6,-4.7,-1.5,6.3,-6.4,84.1,5.0,919.6,,1401.9,,1009.2,1.1,9.4,4.0,33.8,9.0,32.4,30.0,0.0,0.0,0.0,36.0,,,,,2.0,0.0,0.7,0.0,180.0,20.2,12.2,0.0,1.6,1.7,2.2
STG,2025-01-23,3.4,9.3,0.9,1.8,3.9,-1.6,81.4,6.3,920.9,,1421.9,,1010.6,2.2,13.0,7.9,46.8,12.3,44.3,0.0,3.7,3.7,0.0,20.0,,,,,28.0,6.0,0.9,0.0,223.0,16.6,8.6,3.7,1.8,1.9,2.3
STG,2025-01-24,6.9,13.2,1.8,4.4,12.4,-0.8,55.7,5.2,924.0,,1457.6,,1014.0,1.7,7.4,6.1,26.6,7.3,26.3,40.0,0.0,0.0,0.0,71.0,,,,,195.0,45.0,1.0,0.0,162.0,13.1,5.1,-0.3,2.3,2.3,2.5
STG,2025-01-25,11.2,16.2,6.8,8.4,19.4,2.2,35.5,4.6,920.7,,1439.4,,1010.4,3.0,11.1,10.8,40.0,11.0,39.6,590.0,1.6,0.0,0.0,78.0,,,,,269.0,62.0,2.1,0.0,153.0,8.8,0.8,-0.4,3.1,3.0,3.1
STG,2025-01-26,5.6,10.3,3.2,3.9,11.0,-0.1,60.9,5.5,920.7,,1425.5,,1010.4,2.6,15.1,9.4,54.4,14.5,52.2,40.0,0.0,1.6,0.0,79.0,,,,,309.0,71.0,1.1,0.0,216.0,14.4,6.4,1.3,3.4,3.3,3.4
STG,2025-01-27,6.8,13.3,3.0,5.9,14.2,-0.1,69.3,6.7,914.2,,1371.8,,1003.5,3.4,16.4,12.2,59.0,15.8,56.9,300.0,30.9,13.6,0.0,51.0,,,,,137.0,31.0,1.5,0.0,177.0,13.2,5.2,13.5,3.6,3.5,3.6
STG,2025-01-28,3.3,6.1,0.9,2.0,4.3,-0.1,81.9,6.3,912.4,,1347.8,,1001.5,2.9,12.1,10.4,43.6,11.5,41.4,0.0,9.0,26.3,0.0,18.0,,,,,0.0,0.0,0.7,0.0,193.0,16.7,8.7,26.3,3.5,3.5,3.7
STG,2025-01-29,4.5,7.5,1.9,2.8,11.0,-3.1,70.4,5.9,920.3,,1419.9,,1010.0,2.5,12.9,9.0,46.4,12.3,44.3,0.0,0.0,0.0,0.0,87.0,,,,,307.0,69.0,0.8,0.0,227.0,15.5,7.5,-0.2,3.4,3.4,3.6
STG,2025-01-30,4.2,6.7,1.4,2.3,11.6,-2.5,63.2,5.2,925.9,,1467.5,,1016.0,1.3,6.0,4.7,21.6,5.8,20.9,0.0,0.4,0.0,0.0,79.0,,,,,276.0,62.0,0.6,0.0,198.0,15.8,7.8,-0.3,3.1,3.1,3.5
STG,2025-01-31,1.5,3.8,0.1,1.3,2.8,0.0,94.9,6.4,934.6,,1534.3,,1025.4,2.0,6.2,7.2,22.3,6.1,22.0,0.0,2.5,2.9,0.0,12.0,,,,,0.0,0.0,0.4,0.0,27.0,18.5,10.5,2.9,3.2,3.2,3.5
STG,2025-02-01,-0.3,0.4,-1.1,0.0,0.6,-0.7,98.0,5.8,933.9,,1523.7,,1024.7,1.6,4.7,5.8,16.9,4.6,16.6,0.0,0.0,0.0,0.0,10.0,,,,,0.0,0.0,0.3,0.0,13.0,20.3,12.3,0.0,3.1,3.1,3.4
STG,2025-02-02,-0.6,0.3,-1.1,-0.1,1.8,-0.8,96.6,5.7,931.3,,1500.8,,1021.8,1.0,4.2,3.6,15.1,4.1,14.8,0.0,0.0,0.0,0.0,21.0,,,,,0.0,0.0,0.3,0.0,34.0,20.6,12.6,0.0,3.0,3.0,3.4
STG,2025-02-03,-0.6,0.6,-1.4,0.0,2.7,-1.1,95.8,5.6,934.3,,1525.9,,1025.1,1.1,4.6,4.0,16.6,4.6,16.6,0.0,0.0,0.0,0.0,29.0,,,,,0.0,0.0,0.3,0.0,59.0,20.6,12.6,0.0,3.1,3.1,3.4
STG,2025-02-04,-0.8,1.6,-2.6,-1.4,5.6,-6.6,93.2,5.4,936.9,,1547.3,,1027.9,0.8,3.0,2.9,10.8,2.9,10.4,0.0,0.0,0.0,0.0,67.0,,,,,146.0,31.0,0.3,0.0,153.0,20.8,12.8,0.0,3.1,3.1,3.4
STG,2025-02-05,-1.3,2.6,-4.7,-3.0,5.7,-7.9,91.2,5.0,943.0,,1596.5,,1034.5,0.8,3.1,2.9,11.2,3.0,10.8,0.0,0.0,0.0,0.0,74.0,,,,,180.0,37.0,0.4,0.0,76.0,21.3,13.3,-0.1,2.3,2.5,3.1
STG,2025-02-06,-1.8,-0.9,-2.7,-1.5,-0.7,-2.4,95.5,5.1,940.1,,1571.3,,1031.4,1.3,5.7,4.7,20.5,5.6,20.2,0.0,0.0,0.0,0.0,13.0,,,,,0.0,0.0,0.3,0.0,49.0,21.8,13.8,0.0,2.1,2.3,2.7
STG,2025-02-07,-0.7,2.8,-2.5,-0.9,6.7,-5.3,85.8,5.0,931.1,,1498.7,,1021.6,1.2,5.7,4.3,20.5,5.5,19.8,0.0,0.0,0.0,0.0,82.0,,,,,190.0,39.0,0.5,0.0,45.0,20.7,12.7,-0.1,2.3,2.3,2.7
STG,2025-02-08,2.6,13.0,-3.3,0.4,12.6,-6.1,72.1,5.1,929.6,,1495.0,,1020.0,1.4,11.5,5.0,41.4,11.4,41.0,240.0,0.0,0.0,0.0,80.0,,,,,285.0,57.0,1.0,0.0,146.0,17.4,9.4,-0.2,2.1,2.2,2.6
STG,2025-02-09,2.1,4.2,0.5,1.1,8.1,-3.8,85.9,6.1,933.9,,1530.8,,1024.7,1.0,5.6,3.6,20.2,5.5,19.8,0.0,0.0,0.0,0.0,45.0,,,,,11.0,2.0,0.5,0.0,225.0,17.9,9.9,0.0,2.4,2.4,2.7
STG,2025-02-10,2.3,5.1,-0.3,1.4,10.2,-3.9,88.9,6.4,931.2,,1507.7,,1021.7,1.0,5.9,3.6,21.2,5.7,20.5,0.0,0.7,0.0,0.0,84.0,,,,,167.0,33.0,0.5,0.0,180.0,17.7,9.7,-0.1,2.5,2.5,2.8
STG,2025-02-11,5.5,8.0,2.2,4.9,9.9,0.7,87.8,7.9,929.4,,1501.7,,1019.9,0.9,5.8,3.2,20.9,5.7,20.5,0.0,2.0,1.6,0.0,46.0,,,,,0.0,0.0,0.5,0.0,162.0,14.5,6.5,1.6,3.3,3.1,3.2
STG,2025-02-12,7.3,9.4,5.6,6.7,13.2,4.4,78.2,8.0,927.0,,1485.0,,1017.2,2.2,8.1,7.9,29.2,7.8,28.1,0.0,3.6,4.5,0.0,66.0,,,,,59.0,12.0,0.9,0.0,164.0,12.7,4.7,4.4,4.1,3.9,3.8
STG,2025-02-13,3.2,7.5,-1.2,2.5,6.9,-1.3,86.6,6.6,925.5,,1461.5,,1015.6,1.8,7.8,6.5,28.1,7.6,27.4,0.0,24.1,16.8,0.0,16.0,,,,,0.0,0.0,0.6,0.0,221.0,16.8,8.8,16.8,4.4,4.3,4.3
STG,2025-02-14,-3.6,-0.6,-6.1,-1.3,-1.0,-2.1,92.6,4.4,929.6,,1478.9,,1020.1,1.8,7.9,6.5,28.4,7.7,27.7,0.0,3.9,11.4,15.0,21.0,,,,,0.0,0.0,0.4,0.0,20.0,23.6,15.6,11.4,3.7,3.8,4.0
STG,2025-02-15,-5.3,-3.1,-8.2,-2.7,-0.1,-4.7,87.9,3.6,928.0,,1460.3,,1018.2,0.9,3.5,3.2,12.6,3.4,12.2,0.0,0.0,0.0,15.0,74.0,,,,,68.0,13.0,0.4,0.0,180.0,25.3,17.3,-0.1,3.4,3.4,3.8
STG,2025-02-16,-3.1,-1.5,-5.3,-1.4,0.0,-4.1,94.2,4.6,924.8,,1439.2,,1014.8,1.0,3.6,3.6,13.0,3.5,12.6,0.0,0.0,0.0,11.0,69.0,,,,,17.0,3.0,0.4,0.0,34.0,23.1,15.1,0.0,3.2,3.2,3.6
STG,2025-02-17,-2.8,-1.7,-3.5,-1.3,0.0,-2.2,94.0,4.7,927.6,,1464.2,,1017.9,1.1,3.6,4.0,13.0,3.5,12.6,0.0,0.0,0.0,7.0,36.0,,,,,0.0,0.0,0.4,0.0,30.0,22.8,14.8,0.0,3.0,3.1,3.4
STG,2025-02-18,-2.5,-1.6,-3.5,-1.2,0.2,-2.3,90.3,4.6,929.7,,1482.7,,1020.2,1.2,4.4,4.3,15.8,4.3,15.5,0.0,0.0,0.0,7.0,47.0,,,,,0.0,0.0,0.4,0.0,63.0,22.5,14.5,0.0,2.9,3.0,3.3
STG,2025-02-19,-2.1,2.6,-4.9,-1.2,3.9,-3.7,94.3,5.0,931.5,,1498.8,,1022.1,0.8,3.8,2.9,13.7,3.7,13.3,0.0,0.0,0.0,5.0,96.0,,,,,229.0,42.0,0.5,0.0,45.0,22.1,14.1,-0.1,2.8,2.9,3.3
STG,2025-02-20,6.5,8.8,-1.6,2.0,8.4,-4.0,71.1,6.9,935.1,,1553.7,,1026.0,1.2,5.1,4.3,18.4,5.0,18.0,0.0,0.0,0.0,4.0,63.0,,,,,46.0,8.0,0.7,0.0,180.0,13.5,5.5,-0.1,2.8,2.8,3.2
STG,2025-02-21,7.7,11.1,2.9,4.8,13.6,-0.4,68.1,7.2,932.7,,1536.0,,1023.4,0.8,4.1,2.9,14.8,4.1,14.8,0.0,0.0,0.0,0.0,137.0,,,,,518.0,94.0,0.9,0.0,225.0,12.3,4.3,-0.3,2.7,2.7,3.1
STG,2025-02-22,8.7,12.6,5.4,6.6,16.9,1.0,64.1,7.1,931.1,,1525.0,,1021.7,1.5,6.9,5.4,24.8,6.7,24.1,0.0,0.0,0.0,0.0,100.0,,,,,154.0,28.0,1.2,0.0,216.0,11.3,3.3,-0.2,3.1,3.1,3.2
STG,2025-02-23,6.7,8.1,4.7,6.1,11.6,0.5,87.4,8.6,938.2,,1580.4,,1029.3,1.0,6.0,3.6,21.6,5.7,20.5,0.0,1.8,1.8,0.0,42.0,,,,,0.0,0.0,0.6,0.0,198.0,13.3,5.3,1.8,4.1,3.9,3.8
STG,2025-02-24,6.9,9.7,2.3,5.6,11.1,-0.1,82.1,8.1,934.0,,1544.4,,1024.7,1.2,6.7,4.3,24.1,6.2,22.3,0.0,0.0,0.0,0.0,90.0,,,,,124.0,22.0,0.8,0.0,180.0,13.1,5.1,-0.1,4.5,4.3,4.3
STG,2025-02-25,7.4,9.3,4.6,6.5,11.7,2.9,70.4,7.2,925.2,,1469.5,,1015.2,1.7,10.4,6.1,37.4,10.3,37.1,0.0,2.9,2.9,0.0,53.0,,,,,5.0,1.0,1.0,0.0,202.0,12.6,4.6,2.8,5.0,4.8,4.7
STG,2025-02-26,2.8,4.5,0.3,1.6,3.7,-2.0,78.9,5.9,928.2,,1483.8,,1018.5,3.7,15.5,13.3,55.8,14.1,50.8,0.0,1.0,1.0,0.0,26.0,,,,,0.0,0.0,0.8,0.0,223.0,17.2,9.2,1.0,4.6,4.6,4.7
STG,2025-02-27,2.4,3.3,0.3,1.0,4.1,-3.0,73.1,5.3,928.6,,1486.5,,1019.0,2.1,6.8,7.6,24.5,6.7,24.1,0.0,1.7,1.7,0.0,40.0,,,,,0.0,0.0,0.8,0.0,191.0,17.6,9.6,1.7,3.9,4.0,4.3
STG,2025-02-28,2.3,4.2,0.6,2.2,9.7,-1.0,73.7,5.3,931.1,,1507.0,,1021.6,2.0,6.6,7.2,23.8,6.5,23.4,0.0,0.0,0.0,0.0,81.0,,,,,63.0,11.0,0.9,0.0,276.0,17.7,9.7,-0.1,3.9,3.9,4.1
STG,2025-03-01,0.7,3.0,-0.9,1.1,5.6,-1.2,88.5,5.7,933.9,,1526.6,,1024.7,2.6,8.0,9.4,28.8,7.5,27.0,0.0,0.0,0.0,0.0,41.0,,,,,0.0,0.0,0.6,0.0,30.0,19.3,11.3,0.0,3.8,3.8,4.1
STG,2025-03-02,1.0,6.7,-1.8,0.9,12.1,-4.7,82.5,5.3,936.6,,1550.4,,1027.6,1.4,6.9,5.0,24.8,6.7,24.1,0.0,0.0,0.0,0.0,117.0,,,,,291.0,49.0,1.0,0.0,32.0,19.0,11.0,-0.1,3.7,3.7,4.0
STG,2025-03-03,2.9,7.7,-1.6,1.3,13.8,-6.1,70.9,5.2,935.5,,1546.4,,1026.4,1.1,3.8,4.0,13.7,3.7,13.3,0.0,0.0,0.0,0.0,179.0,,,,,597.0,100.0,1.2,0.0,53.0,17.1,9.1,-0.4,3.3,3.4,3.8
STG,2025-03-04,4.8,9.4,0.5,2.9,15.8,-5.3,61.0,5.2,934.1,,1540.1,,1024.9,0.8,3.4,2.9,12.2,3.3,11.9,0.0,0.0,0.0,0.0,181.0,,,,,600.0,100.0,1.3,0.0,135.0,15.2,7.2,-0.5,3.2,3.3,3.6
STG,2025-03-05,7.2,11.7,2.8,5.0,18.1,-3.9,50.7,5.1,933.9,,1544.8,,1024.6,1.0,3.9,3.6,14.0,3.9,14.0,0.0,0.0,0.0,0.0,184.0,,,,,605.0,100.0,1.5,0.0,108.0,12.8,4.8,-0.6,3.4,3.4,3.7
STG,2025-03-06,9.1,12.4,5.7,6.6,18.7,-1.7,37.3,4.3,931.2,,1527.2,,1021.8,1.6,9.2,5.8,33.1,8.6,31.0,180.0,0.0,0.0,0.0,182.0,,,,,550.0,88.0,2.0,0.0,130.0,10.9,2.9,-0.7,3.7,3.7,3.9
STG,2025-03-07,8.7,11.8,5.7,6.6,18.4,-1.1,37.9,4.3,928.0,,1498.1,,1018.3,1.9,8.0,6.8,28.8,7.9,28.4,240.0,0.0,0.0,0.0,187.0,,,,,620.0,99.0,2.1,0.0,117.0,11.3,3.3,-0.7,4.0,4.0,4.1
STG,2025-03-08,9.7,13.0,4.2,8.1,19.6,-1.7,35.7,4.3,922.6,,1452.5,,1012.5,2.5,12.0,9.0,43.2,11.9,42.8,460.0,0.0,0.0,0.0,190.0,,,,,625.0,99.0,2.4,0.0,126.0,10.3,2.3,-0.8,4.2,4.2,4.3
STG,2025-03-09,12.6,17.5,6.7,11.8,22.4,1.5,32.4,4.7,915.1,,1392.2,,1004.4,4.7,14.1,16.9,50.8,13.5,48.6,1030.0,0.0,0.0,0.0,187.0,,,,,546.0,86.0,3.8,0.0,146.0,0.0,0.0,-0.7,4.8,4.6,4.6
STG,2025-03-10,9.3,14.3,6.2,7.6,16.9,-0.2,58.7,6.7,913.5,,1370.6,,1002.7,2.9,12.6,10.4,45.4,12.5,45.0,230.0,0.0,0.0,0.0,73.0,,,,,133.0,21.0,2.0,0.0,207.0,10.7,2.7,-0.2,5.4,5.2,5.1
STG,2025-03-11,7.8,11.0,4.7,6.2,18.7,-1.1,63.1,6.7,913.1,,1363.5,,1002.2,1.1,4.6,4.0,16.6,4.3,15.5,0.0,0.0,0.0,0.0,139.0,,,,,287.0,45.0,1.5,0.0,90.0,12.2,4.2,-0.2,5.3,5.2,5.2
STG,2025-03-12,5.4,7.3,3.0,4.8,10.4,0.8,86.1,7.7,908.3,,1316.0,,997.0,1.4,7.8,5.0,28.1,7.5,27.0,0.0,1.9,1.2,0.0,46.0,,,,,7.0,1.0,0.8,0.0,286.0,14.6,6.6,1.2,5.4,5.3,5.3
STG,2025-03-13,2.9,5.8,0.6,2.8,7.1,-0.1,90.1,6.7,907.7,,1305.3,,996.4,1.9,10.4,6.8,37.4,10.0,36.0,0.0,7.3,7.9,0.0,42.0,,,,,6.0,1.0,0.7,0.0,214.0,17.1,9.1,7.9,5.3,5.3,5.3
STG,2025-03-14,1.1,2.7,0.1,1.1,4.5,-0.6,89.1,5.9,913.9,,1356.4,,1003.1,1.9,6.5,6.8,23.4,6.3,22.7,0.0,0.7,0.8,0.0,38.0,,,,,0.0,0.0,0.6,0.0,37.0,18.9,10.9,0.8,4.9,4.9,5.2
STG,2025-03-15,2.2,4.5,0.9,2.5,6.4,0.9,92.7,6.6,917.3,,1388.5,,1006.8,2.9,9.0,10.4,32.4,8.7,31.3,0.0,0.4,0.0,0.0,51.0,,,,,0.0,0.0,0.7,0.0,33.0,17.8,9.8,0.0,4.8,4.8,5.0
STG,2025-03-16,1.1,1.9,0.1,1.4,4.0,-0.1,97.9,6.5,924.1,,1443.8,,1014.1,1.1,3.6,4.0,13.0,3.5,12.6,0.0,4.9,5.2,0.0,31.0,,,,,0.0,0.0,0.5,0.0,347.0,18.9,10.9,5.2,4.7,4.7,4.9
STG,2025-03-17,1.5,5.0,-1.2,1.6,11.6,-5.2,83.4,5.6,930.7,,1501.7,,1021.2,2.5,9.8,9.0,35.3,9.6,34.6,0.0,0.0,0.1,0.0,115.0,,,,,108.0,16.0,1.1,0.0,45.0,18.5,10.5,0.0,4.7,4.6,4.8
