station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
STK,2025-01-01,,,,,,,,,978.4,,,,1025.8,1.5,5.4,5.4,19.4,5.3,19.1,,,,,,,,,,,,,,207.0,,,,,,
STK,2025-01-02,,,,,,,,,968.7,,,,1015.7,6.4,30.2,23.0,108.7,29.0,104.4,,,,,,,,,,,,,,237.0,,,,,,
STK,2025-01-03,,,,,,,,,974.7,,,,1022.0,3.0,8.6,10.8,31.0,8.3,29.9,,,,,,,,,,,,,,229.0,,,,,,
STK,2025-01-04,,,,,,,,,972.5,,,,1019.6,1.3,4.9,4.7,17.6,4.8,17.3,,,,,,,,,,,,,,0.0,,,,,,
STK,2025-01-05,,,,,,,,,959.5,,,,1006.2,1.9,9.0,6.8,32.4,8.8,31.7,,,,,,,,,,,,,,222.0,,,,,,
STK,2025-01-06,,,,,,,,,954.2,,,,1000.6,3.7,22.7,13.3,81.7,22.2,79.9,,,,,,,,,,,,,,235.0,,,,,,
STK,2025-01-07,,,,,,,,,960.8,,,,1007.6,5.0,19.1,18.0,68.8,18.5,66.6,,,,,,,,,,,,,,233.0,,,,,,
STK,2025-01-08,,,,,,,,,958.8,,,,1005.4,4.0,17.8,14.4,64.1,16.9,60.8,,,,,,,,,,,,,,229.0,,,,,,
STK,2025-01-09,,,,,,,,,959.6,,,,1006.3,5.0,26.9,18.0,96.8,26.2,94.3,,,,,,,,,,,,,,240.0,,,,,,
STK,2025-01-10,,,,,,,,,972.4,,,,1019.6,2.8,9.9,10.1,35.6,9.7,34.9,,,,,,,,,,,,,,239.0,,,,,,
STK,2025-01-11,,,,,,,,,977.4,,,,1024.8,1.4,5.5,5.0,19.8,5.2,18.7,,,,,,,,,,,,,,51.0,,,,,,
STK,2025-01-12,,,,,,,,,987.5,,,,1035.3,1.7,6.0,6.1,21.6,5.9,21.2,,,,,,,,,,,,,,54.0,,,,,,
STK,2025-01-13,,,,,,,,,989.6,,,,1037.5,4.7,12.2,16.9,43.9,12.1,43.6,,,,,,,,,,,,,,48.0,,,,,,
STK,2025-01-14,,,,,,,,,986.4,,,,1034.1,1.4,3.8,5.0,13.7,3.7,13.3,,,,,,,,,,,,,,360.0,,,,,,
STK,2025-01-15,,,,,,,,,984.1,,,,1031.7,2.3,7.1,8.3,25.6,7.0,25.2,,,,,,,,,,,,,,55.0,,,,,,
STK,2025-01-16,,,,,,,,,985.7,,,,1033.4,5.4,12.6,19.4,45.4,12.4,44.6,,,,,,,,,,,,,,59.0,,,,,,
STK,2025-01-17,,,,,,,,,986.8,,,,1034.5,2.2,8.0,7.9,28.8,7.8,28.1,,,,,,,,,,,,,,65.0,,,,,,
STK,2025-01-18,,,,,,,,,981.7,,,,1029.2,1.9,7.4,6.8,26.6,7.2,25.9,,,,,,,,,,,,,,68.0,,,,,,
STK,2025-01-19,,,,,,,,,974.7,,,,1021.9,1.2,5.1,4.3,18.4,5.0,18.0,,,,,,,,,,,,,,34.0,,,,,,
STK,2025-01-20,,,,,,,,,972.6,,,,1019.7,0.9,3.7,3.2,13.3,3.6,13.0,,,,,,,,,,,,,,180.0,,,,,,
STK,2025-01-21,,,,,,,,,970.8,,,,1017.9,1.3,3.7,4.7,13.3,3.6,13.0,,,,,,,,,,,,,,270.0,,,,,,
STK,2025-01-22,,,,,,,,,964.3,,,,1011.1,1.4,6.6,5.0,23.8,6.5,23.4,,,,,,,,,,,,,,304.0,,,,,,
STK,2025-01-23,,,,,,,,,964.6,,,,1011.5,3.7,14.8,13.3,53.3,14.6,52.6,,,,,,,,,,,,,,239.0,,,,,,
STK,2025-01-24,,,,,,,,,967.4,,,,1014.4,1.3,7.4,4.7,26.6,7.0,25.2,,,,,,,,,,,,,,90.0,,,,,,
STK,2025-01-25,,,,,,,,,963.7,,,,1010.6,1.3,7.0,4.7,25.2,6.6,23.8,,,,,,,,,,,,,,180.0,,,,,,
STK,2025-01-26,,,,,,,,,964.0,,,,1010.8,3.9,17.8,14.0,64.1,17.5,63.0,,,,,,,,,,,,,,231.0,,,,,,
STK,2025-01-27,,,,,,,,,957.2,,,,1003.7,2.8,17.3,10.1,62.3,15.4,55.4,,,,,,,,,,,,,,223.0,,,,,,
STK,2025-01-28,,,,,,,,,955.3,,,,1001.8,3.9,17.4,14.0,62.6,16.5,59.4,,,,,,,,,,,,,,226.0,,,,,,
STK,2025-01-29,,,,,,,,,963.6,,,,1010.5,5.3,18.5,19.1,66.6,17.9,64.4,,,,,,,,,,,,,,228.0,,,,,,
STK,2025-01-30,,,,,,,,,970.0,,,,1017.1,1.4,6.1,5.0,22.0,6.0,21.6,,,,,,,,,,,,,,225.0,,,,,,
STK,2025-01-31,,,,,,,,,979.5,,,,1026.9,3.7,9.0,13.3,32.4,8.8,31.7,,,,,,,,,,,,,,43.0,,,,,,
