station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
UEB,2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,100,,,,35,445.0,91.0,,,,,,,,,
UEB,2025-01-02,,,,,,,,,,,,,,,,,,,,,,,,28,,,,21,21.0,4.0,,,,,,,,,
UEB,2025-01-03,,,,,,,,,,,,,,,,,,,,,,,,48,,,,35,83.0,17.0,,,,,,,,,
UEB,2025-01-04,,,,,,,,,,,,,,,,,,,,,,,,72,,,,47,194.0,39.0,,,,,,,,,
UEB,2025-01-05,,,,,,,,,,,,,,,,,,,,,,,,29,,,,26,1.0,0.0,,,,,,,,,
UEB,2025-01-06,,,,,,,,,,,,,,,,,,,,,,,,43,,,,33,62.0,13.0,,,,,,,,,
UEB,2025-01-07,,,,,,,,,,,,,,,,,,,,,,,,46,,,,30,143.0,29.0,,,,,,,,,
UEB,2025-01-08,,,,,,,,,,,,,,,,,,,,,,,,18,,,,14,1.0,0.0,,,,,,,,,
UEB,2025-01-09,,,,,,,,,,,,,,,,,,,,,,,,45,,,,32,100.0,20.0,,,,,,,,,
UEB,2025-01-10,,,,,,,,,,,,,,,,,,,,,,,,31,,,,26,0.0,0.0,,,,,,,,,
UEB,2025-01-11,,,,,,,,,,,,,,,,,,,,,,,,97,,,,30,432.0,87.0,,,,,,,,,
UEB,2025-01-12,,,,,,,,,,,,,,,,,,,,,,,,80,,,,40,219.0,44.0,,,,,,,,,
UEB,2025-01-13,,,,,,,,,,,,,,,,,,,,,,,,54,,,,40,116.0,23.0,,,,,,,,,
UEB,2025-01-14,,,,,,,,,,,,,,,,,,,,,,,,87,,,,36,306.0,61.0,,,,,,,,,
UEB,2025-01-15,,,,,,,,,,,,,,,,,,,,,,,,65,,,,39,149.0,30.0,,,,,,,,,
UEB,2025-01-16,,,,,,,,,,,,,,,,,,,,,,,,40,,,,34,15.0,3.0,,,,,,,,,
UEB,2025-01-17,,,,,,,,,,,,,,,,,,,,,,,,28,,,,26,0.0,0.0,,,,,,,,,
UEB,2025-01-18,,,,,,,,,,,,,,,,,,,,,,,,74,,,,43,208.0,41.0,,,,,,,,,
UEB,2025-01-19,,,,,,,,,,,,,,,,,,,,,,,,89,,,,42,333.0,65.0,,,,,,,,,
UEB,2025-01-20,,,,,,,,,,,,,,,,,,,,,,,,95,,,,43,346.0,67.0,,,,,,,,,
UEB,2025-01-21,,,,,,,,,,,,,,,,,,,,,,,,106,,,,29,500.0,96.0,,,,,,,,,
UEB,2025-01-22,,,,,,,,,,,,,,,,,,,,,,,,23,,,,20,0.0,0.0,,,,,,,,,
UEB,2025-01-23,,,,,,,,,,,,,,,,,,,,,,,,29,,,,27,0.0,0.0,,,,,,,,,
UEB,2025-01-24,,,,,,,,,,,,,,,,,,,,,,,,83,,,,50,155.0,30.0,,,,,,,,,
UEB,2025-01-25,,,,,,,,,,,,,,,,,,,,,,,,78,,,,46,187.0,36.0,,,,,,,,,
UEB,2025-01-26,,,,,,,,,,,,,,,,,,,,,,,,108,,,,29,381.0,72.0,,,,,,,,,
UEB,2025-01-27,,,,,,,,,,,,,,,,,,,,,,,,24,,,,21,5.0,1.0,,,,,,,,,
UEB,2025-01-28,,,,,,,,,,,,,,,,,,,,,,,,38,,,,31,36.0,7.0,,,,,,,,,
UEB,2025-01-29,,,,,,,,,,,,,,,,,,,,,,,,93,,,,40,278.0,52.0,,,,,,,,,
UEB,2025-01-30,,,,,,,,,,,,,,,,,,,,,,,,51,,,,44,25.0,5.0,,,,,,,,,
UEB,2025-01-31,,,,,,,,,,,,,,,,,,,,,,,,34,,,,30,0.0,0.0,,,,,,,,,
UEB,2025-02-01,,,,,,,,,,,,,,,,,,,,,,,,27,,,,23,0.0,0.0,,,,,,,,,
UEB,2025-02-02,,,,,,,,,,,,,,,,,,,,,,,,50,,,,47,0.0,0.0,,,,,,,,,
UEB,2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,84,,,,77,8.0,1.0,,,,,,,,,
UEB,2025-02-04,,,,,,,,,,,,,,,,,,,,,,,,132,,,,47,437.0,80.0,,,,,,,,,
UEB,2025-02-05,,,,,,,,,,,,,,,,,,,,,,,,141,,,,33,562.0,100.0,,,,,,,,,
UEB,2025-02-06,,,,,,,,,,,,,,,,,,,,,,,,29,,,,27,0.0,0.0,,,,,,,,,
UEB,2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,102,,,,66,196.0,35.0,,,,,,,,,
UEB,2025-02-08,,,,,,,,,,,,,,,,,,,,,,,,118,,,,44,394.0,69.0,,,,,,,,,
UEB,2025-02-09,,,,,,,,,,,,,,,,,,,,,,,,92,,,,50,249.0,44.0,,,,,,,,,
UEB,2025-02-10,,,,,,,,,,,,,,,,,,,,,,,,63,,,,50,67.0,12.0,,,,,,,,,
UEB,2025-02-11,,,,,,,,,,,,,,,,,,,,,,,,29,,,,26,0.0,0.0,,,,,,,,,
UEB,2025-02-12,,,,,,,,,,,,,,,,,,,,,,,,75,,,,60,35.0,6.0,,,,,,,,,
UEB,2025-02-13,,,,,,,,,,,,,,,,,,,,,,,,18,,,,15,0.0,0.0,,,,,,,,,
UEB,2025-02-14,,,,,,,,,,,,,,,,,,,,,,,,21,,,,17,0.0,0.0,,,,,,,,,
UEB,2025-02-15,,,,,,,,,,,,,,,,,,,,,,,,90,,,,65,114.0,19.0,,,,,,,,,
UEB,2025-02-16,,,,,,,,,,,,,,,,,,,,,,,,83,,,,73,26.0,4.0,,,,,,,,,
UEB,2025-02-17,,,,,,,,,,,,,,,,,,,,,,,,42,,,,40,0.0,0.0,,,,,,,,,
UEB,2025-02-18,,,,,,,,,,,,,,,,,,,,,,,,61,,,,57,0.0,0.0,,,,,,,,,
UEB,2025-02-19,,,,,,,,,,,,,,,,,,,,,,,,124,,,,65,241.0,40.0,,,,,,,,,
UEB,2025-02-20,,,,,,,,,,,,,,,,,,,,,,,,66,,,,35,166.0,28.0,,,,,,,,,
UEB,2025-02-21,,,,,,,,,,,,,,,,,,,,,,,,149,,,,59,427.0,71.0,,,,,,,,,
UEB,2025-02-22,,,,,,,,,,,,,,,,,,,,,,,,108,,,,74,161.0,27.0,,,,,,,,,
UEB,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,35,,,,33,0.0,0.0,,,,,,,,,
UEB,2025-02-24,,,,,,,,,,,,,,,,,,,,,,,,77,,,,67,9.0,1.0,,,,,,,,,
UEB,2025-02-25,,,,,,,,,,,,,,,,,,,,,,,,50,,,,44,36.0,6.0,,,,,,,,,
UEB,2025-02-26,,,,,,,,,,,,,,,,,,,,,,,,26,,,,23,5.0,1.0,,,,,,,,,
UEB,2025-02-27,,,,,,,,,,,,,,,,,,,,,,,,54,,,,48,30.0,5.0,,,,,,,,,
UEB,2025-02-28,,,,,,,,,,,,,,,,,,,,,,,,96,,,,72,69.0,11.0,,,,,,,,,
UEB,2025-03-01,,,,,,,,,,,,,,,,,,,,,,,,44,,,,40,1.0,0.0,,,,,,,,,
UEB,2025-03-02,,,,,,,,,,,,,,,,,,,,,,,,116,,,,53,291.0,46.0,,,,,,,,,
UEB,2025-03-03,,,,,,,,,,,,,,,,,,,,,,,,196,,,,35,647.0,100.0,,,,,,,,,
UEB,2025-03-04,,,,,,,,,,,,,,,,,,,,,,,,196,,,,36,639.0,100.0,,,,,,,,,
UEB,2025-03-05,,,,,,,,,,,,,,,,,,,,,,,,198,,,,36,643.0,100.0,,,,,,,,,
UEB,2025-03-06,,,,,,,,,,,,,,,,,,,,,,,,195,,,,41,573.0,88.0,,,,,,,,,
UEB,2025-03-07,,,,,,,,,,,,,,,,,,,,,,,,199,,,,41,641.0,99.0,,,,,,,,,
UEB,2025-03-08,,,,,,,,,,,,,,,,,,,,,,,,202,,,,39,655.0,100.0,,,,,,,,,
UEB,2025-03-09,,,,,,,,,,,,,,,,,,,,,,,,186,,,,62,485.0,73.0,,,,,,,,,
UEB,2025-03-10,,,,,,,,,,,,,,,,,,,,,,,,84,,,,56,191.0,29.0,,,,,,,,,
UEB,2025-03-11,,,,,,,,,,,,,,,,,,,,,,,,153,,,,65,278.0,42.0,,,,,,,,,
UEB,2025-03-12,,,,,,,,,,,,,,,,,,,,,,,,53,,,,49,0.0,0.0,,,,,,,,,
UEB,2025-03-13,,,,,,,,,,,,,,,,,,,,,,,,77,,,,61,31.0,5.0,,,,,,,,,
UEB,2025-03-14,,,,,,,,,,,,,,,,,,,,,,,,72,,,,65,0.0,0.0,,,,,,,,,
UEB,2025-03-15,,,,,,,,,,,,,,,,,,,,,,,,23,,,,17,0.0,0.0,,,,,,,,,
UEB,2025-03-16,,,,,,,,,,,,,,,,,,,,,,,,56,,,,52,0.0,0.0,,,,,,,,,
UEB,2025-03-17,,,,,,,,,,,,,,,,,,,,,,,,148,,,,72,244.0,36.0,,,,,,,,,
UEB,2025-03-18,,,,,,,,,,,,,,,,,,,,,,,,213,,,,53,514.0,75.0,,,,,,,,,
UEB,2025-03-19,,,,,,,,,,,,,,,,,,,,,,,,236,,,,36,698.0,100.0,,,,,,,,,
UEB,2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,200,,,,49,443.0,64.0,,,,,,,,,
UEB,2025-03-21,,,,,,,,,,,,,,,,,,,,,,,,137,,,,112,21.0,3.0,,,,,,,,,
UEB,2025-03-22,,,,,,,,,,,,,,,,,,,,,,,,211,,,,67,546.0,78.0,,,,,,,,,
UEB,2025-03-23,,,,,,,,,,,,,,,,,,,,,,,,133,,,,84,149.0,21.0,,,,,,,,,
UEB,2025-03-24,,,,,,,,,,,,,,,,,,,,,,,,156,,,,99,177.0,25.0,,,,,,,,,
UEB,2025-03-25,,,,,,,,,,,,,,,,,,,,,,,,100,,,,75,53.0,7.0,,,,,,,,,
UEB,2025-03-26,,,,,,,,,,,,,,,,,,,,,,,,83,,,,74,0.0,0.0,,,,,,,,,
UEB,2025-03-27,,,,,,,,,,,,,,,,,,,,,,,,50,,,,46,0.0,0.0,,,,,,,,,
UEB,2025-03-28,,,,,,,,,,,,,,,,,,,,,,,,90,,,,80,13.0,2.0,,,,,,,,,
UEB,2025-03-29,,,,,,,,,,,,,,,,,,,,,,,,61,,,,57,0.0,0.0,,,,,,,,,
UEB,2025-03-30,,,,,,,,,,,,,,,,,,,,,,,,189,,,,98,349.0,48.0,,,,,,,,,
UEB,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,151,,,,95,151.0,21.0,,,,,,,,,
UEB,2025-04-01,,,,,,,,,,,,,,,,,,,,,,,,178,,,,82,333.0,45.0,,,,,,,,,
UEB,2025-04-02,,,,,,,,,,,,,,,,,,,,,,,,260,,,,49,687.0,93.0,,,,,,,,,
UEB,2025-04-03,,,,,,,,,,,,,,,,,,,,,,,,268,,,,47,726.0,98.0,,,,,,,,,
UEB,2025-04-04,,,,,,,,,,,,,,,,,,,,,,,,273,,,,39,743.0,100.0,,,,,,,,,
UEB,2025-04-05,,,,,,,,,,,,,,,,,,,,,,,,274,,,,43,715.0,96.0,,,,,,,,,
UEB,2025-04-06,,,,,,,,,,,,,,,,,,,,,,,,284,,,,41,745.0,100.0,,,,,,,,,
UEB,2025-04-07,,,,,,,,,,,,,,,,,,,,,,,,285,,,,42,746.0,99.0,,,,,,,,,
UEB,2025-04-08,,,,,,,,,,,,,,,,,,,,,,,,284,,,,58,744.0,99.0,,,,,,,,,
UEB,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,275,,,,61,723.0,96.0,,,,,,,,,
UEB,2025-04-10,,,,,,,,,,,,,,,,,,,,,,,,280,,,,54,695.0,92.0,,,,,,,,,
UEB,2025-04-11,,,,,,,,,,,,,,,,,,,,,,,,290,,,,43,756.0,99.0,,,,,,,,,
UEB,2025-04-12,,,,,,,,,,,,,,,,,,,,,,,,241,,,,77,548.0,72.0,,,,,,,,,
UEB,2025-04-13,,,,,,,,,,,,,,,,,,,,,,,,117,,,,104,16.0,2.0,,,,,,,,,
UEB,2025-04-14,,,,,,,,,,,,,,,,,,,,,,,,247,,,,101,484.0,62.0,,,,,,,,,
UEB,2025-04-15,,,,,,,,,,,,,,,,,,,,,,,,194,,,,108,275.0,35.0,,,,,,,,,
UEB,2025-04-16,,,,,,,,,,,,,,,,,,,,,,,,93,,,,74,126.0,16.0,,,,,,,,,
UEB,2025-04-17,,,,,,,,,,,,,,,,,,,,,,,,66,,,,63,0.0,0.0,,,,,,,,,
