station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
ULR,2025-01-01,-12.8,-4.7,-17.3,-14.0,-0.4,-19.4,89.5,2.1,874.1,,1559.8,,1027.6,0.4,2.7,1.4,9.7,2.6,9.4,,0.0,0.0,73.0,53,199.0,,,13.0,227,100,0.1,0.0,72.0,32.8,24.8,-0.1,,,
ULR,2025-01-02,-3.9,4.4,-15.4,-5.0,3.3,-16.4,77.3,3.6,864.4,,1478.8,,1016.5,1.8,12.3,6.5,44.3,12.1,43.6,,7.0,6.8,72.0,54,265.0,,,44.0,53,23,0.4,0.0,166.0,23.9,15.9,6.7,,,
ULR,2025-01-03,-8.0,-0.9,-16.2,-7.8,-2.0,-13.9,83.8,2.9,864.4,,1477.7,,1016.6,1.8,13.6,6.5,49.0,12.1,43.6,,0.0,0.2,77.0,33,221.0,,,27.0,58,25,0.3,0.0,73.0,28.0,20.0,0.1,,,
ULR,2025-01-04,-13.2,-3.3,-23.0,-14.0,-7.4,-19.5,89.2,2.2,864.2,,1472.7,,1016.3,0.4,2.3,1.4,8.3,2.3,8.3,,9.6,5.9,76.0,51,213.0,,,25.0,218,95,0.1,0.0,63.0,33.2,25.2,5.8,,,
ULR,2025-01-05,1.1,5.3,-3.4,-3.3,-0.4,-7.3,88.1,5.8,858.7,,1429.2,,1010.0,1.7,19.4,6.1,69.8,17.6,63.4,,0.4,4.1,84.0,33,294.0,,,32.0,3,1,0.4,0.0,86.0,18.9,10.9,4.1,,,
ULR,2025-01-06,0.5,4.8,-3.0,-0.1,2.9,-2.9,85.4,5.4,855.1,,1395.0,,1005.9,1.1,6.0,4.0,21.6,5.7,20.5,,2.5,0.0,79.0,17,292.0,,,17.0,0,0,0.5,0.0,231.0,19.5,11.5,0.0,,,
ULR,2025-01-07,-2.3,1.6,-8.4,-3.6,2.6,-10.6,83.5,4.4,856.2,,1405.2,,1007.2,1.2,7.8,4.3,28.1,7.6,27.4,,3.2,2.5,82.0,65,250.0,,,21.0,237,100,0.2,0.0,270.0,22.3,14.3,2.4,,,
ULR,2025-01-08,-1.1,4.1,-6.1,-1.7,1.3,-6.8,91.5,5.2,858.4,,1426.1,,1009.7,1.0,15.2,3.6,54.7,15.0,54.0,,6.1,8.6,86.0,30,291.0,,,29.0,0,0,0.3,0.0,90.0,21.1,13.1,8.6,,,
ULR,2025-01-09,0.9,2.8,-1.2,0.4,2.5,-1.6,89.3,5.8,856.6,,1409.5,,1007.6,1.8,14.7,6.5,52.9,13.7,49.3,,4.3,5.0,86.0,33,305.0,,,32.0,0,0,0.3,0.0,99.0,19.1,11.1,5.0,,,
ULR,2025-01-10,-3.3,-1.0,-4.2,-3.4,-1.5,-4.3,81.7,3.9,861.7,,1455.8,,1013.5,2.0,14.3,7.2,51.5,13.6,49.0,,3.7,6.5,81.0,20,281.0,,,,0,0,0.5,0.0,80.0,23.3,15.3,6.5,,,
ULR,2025-01-11,-4.4,-0.3,-13.1,-5.3,0.7,-14.4,79.2,3.5,864.3,,1478.9,,1016.5,2.3,14.1,8.3,50.8,13.1,47.2,,0.0,0.1,89.0,62,231.0,,,30.0,209,84,0.2,0.0,100.0,24.4,16.4,0.0,,,
ULR,2025-01-12,-14.1,-6.9,-19.6,-16.6,-5.3,-22.6,85.5,1.8,872.9,,1548.4,,1026.2,0.6,5.8,2.2,20.9,5.6,20.2,,0.0,0.0,85.0,63,177.0,,,14.0,251,99,0.1,0.0,45.0,34.1,26.1,-0.1,,,
ULR,2025-01-13,-15.6,-4.9,-21.2,-18.1,-5.1,-23.7,88.2,1.7,875.0,,1565.5,,1028.6,0.6,4.1,2.2,14.8,4.1,14.8,,0.0,0.0,83.0,68,174.0,,,15.0,256,100,0.2,0.0,63.0,35.6,27.6,-0.1,,,
ULR,2025-01-14,-13.1,-4.1,-18.9,-15.1,-3.1,-21.9,84.3,1.9,874.5,,1563.5,,1028.1,0.6,3.9,2.2,14.0,3.9,14.0,,0.0,0.0,82.0,65,194.0,,,14.0,257,100,0.2,0.0,72.0,33.1,25.1,-0.1,,,
ULR,2025-01-15,-5.4,5.2,-15.6,-7.6,5.3,-18.2,67.5,2.8,871.5,,1542.8,,1024.6,2.5,15.8,9.0,56.9,15.2,54.7,,0.0,0.0,82.0,70,216.0,,,19.0,258,99,0.8,0.0,90.0,25.4,17.4,-0.2,,,
ULR,2025-01-16,-8.1,1.1,-14.6,-10.4,0.7,-16.3,75.9,2.5,874.9,,1571.3,,1028.5,0.8,4.4,2.9,15.8,4.3,15.5,,0.0,0.0,80.0,67,205.0,,,14.0,268,100,0.3,0.0,59.0,28.1,20.1,-0.2,,,
ULR,2025-01-17,-10.8,0.9,-17.0,-13.0,0.9,-18.6,84.2,2.3,876.2,,1579.6,,1029.9,0.5,3.4,1.8,12.2,3.3,11.9,,0.0,0.0,80.0,70,199.0,,,14.0,269,100,0.2,0.0,63.0,30.8,22.8,-0.1,,,
ULR,2025-01-18,-8.8,1.1,-15.5,-10.6,1.9,-17.6,78.7,2.5,874.1,,1563.2,,1027.6,0.7,2.5,2.5,9.0,2.5,9.0,,0.0,0.0,80.0,74,212.0,,,18.0,272,100,0.3,0.0,56.0,28.8,20.8,-0.2,,,
ULR,2025-01-19,-1.6,4.2,-10.6,-2.4,3.6,-12.4,82.6,4.7,868.5,,1518.8,,1021.3,1.1,4.2,4.0,15.1,4.1,14.8,,1.4,1.4,79.0,36,286.0,,,35.0,0,0,0.3,0.0,56.0,21.6,13.6,1.4,,,
ULR,2025-01-20,0.2,3.7,-2.2,-0.5,2.4,-2.7,86.3,5.3,866.5,,1501.3,,1018.9,0.9,6.1,3.2,22.0,5.8,20.9,,0.0,0.0,79.0,42,289.0,,,40.0,0,0,0.4,0.0,59.0,19.8,11.8,0.0,,,
