station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
VIO,2025-01-01,-1.0,0.6,-2.2,,,,61.3,3.5,902.5,,1565.9,,1028.3,0.6,3.6,2.2,13.0,3.4,12.2,0.0,0.0,0.0,,16.0,,,,6.0,0.0,,0.5,0.0,63.0,21.0,13.0,-0.1,,,
VIO,2025-01-02,1.0,3.4,-0.6,,,,77.6,5.1,893.9,,1493.3,,1018.7,0.5,2.4,1.8,8.6,2.3,8.3,0.0,0.1,0.0,,34.0,,,,26.0,0.0,,0.3,0.0,90.0,19.0,11.0,-0.1,,,
VIO,2025-01-03,0.5,3.3,-1.0,,,,36.4,2.4,890.9,,1465.6,,1015.4,4.9,16.5,17.6,59.4,16.2,58.3,800.0,0.0,0.1,,15.0,,,,6.0,0.0,,1.9,0.0,76.0,19.5,11.5,-0.1,,,
VIO,2025-01-04,-2.7,-0.4,-5.5,,,,37.2,1.8,892.8,,1478.1,,1017.5,3.0,17.7,10.8,63.7,17.2,61.9,0.0,0.0,0.0,,25.0,,,,16.0,0.0,,1.2,0.0,75.0,22.7,14.7,-0.2,,,
VIO,2025-01-05,-0.1,3.1,-3.5,,,,60.9,3.7,890.1,,1457.7,,1014.5,0.4,1.9,1.4,6.8,1.8,6.5,0.0,1.2,0.1,,39.0,,,,30.0,0.0,,0.3,0.0,63.0,20.1,12.1,0.0,,,
VIO,2025-01-06,0.2,0.6,-0.3,,,,98.8,6.1,885.5,,1417.1,,1009.4,0.4,6.1,1.4,22.0,6.1,22.0,0.0,35.9,25.9,,12.0,,,,6.0,0.0,,0.3,0.0,0.0,19.8,11.8,25.9,,,
VIO,2025-01-07,-0.3,1.2,-3.0,,,,98.8,5.9,883.5,,1397.8,,1007.1,0.5,5.4,1.8,19.4,5.2,18.7,0.0,0.7,11.8,,34.0,,,,25.0,0.0,,0.2,0.0,56.0,20.3,12.3,11.8,,,
VIO,2025-01-08,-0.6,1.6,-4.0,,,,99.3,5.8,888.0,,1438.2,,1012.2,0.7,4.4,2.5,15.8,4.2,15.1,0.0,11.2,1.9,,41.0,,,,31.0,0.0,,0.2,0.0,63.0,20.6,12.6,1.9,,,
VIO,2025-01-09,1.1,2.3,0.2,,,,98.8,6.5,884.7,,1410.5,,1008.5,0.9,13.2,3.2,47.5,12.6,45.4,0.0,1.3,10.6,,29.0,,,,21.0,0.0,,0.3,0.0,79.0,18.9,10.9,10.6,,,
VIO,2025-01-10,-0.5,2.1,-3.3,,,,59.9,3.5,889.8,,1454.0,,1014.1,3.5,18.1,12.6,65.2,17.1,61.6,280.0,0.0,0.0,,37.0,,,,27.0,0.0,,0.9,0.0,80.0,20.5,12.5,-0.1,,,
VIO,2025-01-11,-1.4,2.5,-5.1,,,,54.2,2.9,891.9,,1471.7,,1016.5,3.0,16.9,10.8,60.8,14.3,51.5,760.0,0.0,0.0,,23.0,,,,13.0,0.0,,1.1,0.0,62.0,21.4,13.4,-0.1,,,
VIO,2025-01-12,-2.3,-0.1,-4.2,,,,39.6,2.0,899.3,,1535.8,,1024.8,8.4,22.5,30.2,81.0,21.9,78.8,1210.0,0.1,0.0,,16.0,,,,8.0,0.0,,1.9,0.0,84.0,22.3,14.3,-0.1,,,
VIO,2025-01-13,-2.2,2.7,-6.7,,,,37.3,1.9,902.8,,1565.9,,1028.6,8.8,27.4,31.7,98.6,25.9,93.2,60.0,0.0,0.1,,16.0,,,,7.0,0.0,,2.2,0.0,87.0,22.2,14.2,0.0,,,
VIO,2025-01-14,-4.1,4.8,-8.5,,,,67.2,2.8,903.0,,1563.8,,1028.8,1.7,15.4,6.1,55.4,14.9,53.6,0.0,0.0,0.0,,19.0,,,,8.0,0.0,,0.9,0.0,73.0,24.1,16.1,-0.1,,,
VIO,2025-01-15,3.9,6.4,1.1,,,,39.4,3.2,899.0,,1543.3,,1024.4,5.7,16.7,20.5,60.1,16.0,57.6,290.0,0.0,0.0,,30.0,,,,20.0,0.0,,2.2,0.0,83.0,16.1,8.1,-0.1,,,
VIO,2025-01-16,-2.1,1.6,-5.4,,,,63.3,3.3,904.4,,1580.2,,1030.4,3.4,17.0,12.2,61.2,16.4,59.0,0.0,0.0,0.0,,18.0,,,,7.0,0.0,,0.9,0.0,81.0,22.1,14.1,-0.1,,,
VIO,2025-01-17,-4.9,-1.8,-6.8,,,,77.9,3.3,906.3,,1591.6,,1032.5,0.7,7.7,2.5,27.7,7.4,26.6,0.0,0.0,0.0,,19.0,,,,7.0,0.0,,0.4,0.0,53.0,24.9,16.9,-0.1,,,
VIO,2025-01-18,1.7,5.8,-4.0,,,,47.2,3.2,902.0,,1565.9,,1027.7,2.4,13.0,8.6,46.8,12.5,45.0,0.0,0.0,0.0,,18.0,,,,8.0,0.0,,1.2,0.0,60.0,18.3,10.3,-0.1,,,
VIO,2025-01-19,0.2,3.8,-1.6,,,,80.9,5.0,897.8,,1526.6,,1023.1,0.6,5.1,2.2,18.4,5.0,18.0,0.0,2.0,1.9,,30.0,,,,20.0,0.0,,0.4,0.0,72.0,19.8,11.8,1.9,,,
VIO,2025-01-20,0.6,2.7,-0.6,,,,99.1,6.3,895.5,,1506.9,,1020.5,0.3,1.8,1.1,6.5,1.8,6.5,0.0,2.2,2.3,,35.0,,,,25.0,0.0,,0.3,0.0,63.0,19.4,11.4,2.3,,,
VIO,2025-01-21,-0.5,1.0,-2.4,,,,85.5,5.0,892.1,,1475.0,,1016.7,1.1,7.9,4.0,28.4,7.7,27.7,0.0,0.0,0.0,,20.0,,,,8.0,0.0,,0.4,0.0,54.0,20.5,12.5,0.0,,,
VIO,2025-01-22,0.2,3.0,-2.0,,,,79.5,4.9,890.4,,1460.1,,1014.8,0.9,6.5,3.2,23.4,6.3,22.7,0.0,2.6,0.6,,45.0,,,,36.0,0.0,,0.4,0.0,59.0,19.8,11.8,0.6,,,
VIO,2025-01-23,1.4,4.6,-0.5,,,,91.7,6.1,887.5,,1436.5,,1011.6,1.5,14.2,5.4,51.1,13.2,47.5,0.0,1.0,3.0,,37.0,,,,28.0,0.0,,0.5,0.0,70.0,18.6,10.6,3.0,,,
VIO,2025-01-24,1.2,4.3,-2.0,,,,65.4,4.3,892.8,,1483.7,,1017.5,1.1,9.4,4.0,33.8,9.2,33.1,0.0,0.0,0.0,,38.0,,,,27.0,12.0,100.0,0.6,0.0,54.0,18.8,10.8,-0.1,,,
VIO,2025-01-25,1.1,5.0,-1.9,,,,86.9,5.8,893.8,,1491.9,,1018.6,0.6,3.4,2.2,12.2,3.3,11.9,0.0,21.7,6.2,,43.0,,,,34.0,0.0,0.0,0.4,0.0,63.0,18.9,10.9,6.2,,,
VIO,2025-01-26,1.1,3.4,-0.4,,,,98.8,6.5,888.8,,1447.9,,1013.1,1.1,10.7,4.0,38.5,10.4,37.4,0.0,12.1,26.4,,37.0,,,,27.0,8.0,32.0,0.3,0.0,79.0,18.9,10.9,26.4,,,
VIO,2025-01-27,0.6,1.8,0.2,,,,99.3,6.4,886.0,,1421.6,,1009.9,0.6,3.8,2.2,13.7,3.7,13.3,0.0,34.2,25.2,,20.0,,,,13.0,0.0,0.0,0.4,0.0,63.0,19.4,11.4,25.2,,,
VIO,2025-01-28,0.9,2.8,-1.3,,,,98.6,6.5,877.5,,1345.3,,1000.5,1.7,10.8,6.1,38.9,10.3,37.1,0.0,22.3,32.5,,10.0,,,,3.0,0.0,0.0,0.3,0.0,79.0,19.1,11.1,32.5,,,
VIO,2025-01-29,-1.5,0.8,-2.4,,,,89.7,4.9,888.2,,1439.2,,1012.4,1.4,8.4,5.0,30.2,8.2,29.5,0.0,0.0,0.0,,36.0,,,,17.0,64.0,84.0,0.4,0.0,59.0,21.5,13.5,0.0,,,
VIO,2025-01-30,0.2,3.6,-2.1,,,,78.8,4.9,894.0,,1492.5,,1018.8,1.7,9.4,6.1,33.8,9.1,32.8,0.0,0.0,0.0,,59.0,,,,43.0,60.0,66.0,0.6,0.0,62.0,19.8,11.8,-0.1,,,
VIO,2025-01-31,1.1,4.9,-1.1,,,,73.8,4.8,897.6,,1525.7,,1022.8,1.8,11.6,6.5,41.8,11.5,41.4,0.0,0.1,0.1,,64.0,,,,51.0,25.0,23.0,0.7,0.0,59.0,18.9,10.9,0.0,,,
VIO,2025-02-01,1.1,3.9,-0.8,,,,90.6,5.9,899.1,,1539.3,,1024.5,0.9,9.6,3.2,34.6,9.1,32.8,0.0,1.2,1.2,,43.0,,,,33.0,0.0,0.0,0.4,0.0,63.0,18.9,10.9,1.2,,,
VIO,2025-02-02,1.9,5.0,-1.1,,,,68.7,4.7,895.1,,1505.2,,1020.1,3.0,15.7,10.8,56.5,14.8,53.3,0.0,0.0,0.0,,51.0,,,,13.0,153.0,100.0,1.0,0.0,81.0,18.1,10.1,-0.2,,,
VIO,2025-02-03,2.9,6.3,1.2,,,,40.4,3.0,896.7,,1521.4,,1021.9,3.8,17.5,13.7,63.0,16.6,59.8,0.0,0.0,0.0,,56.0,,,,14.0,167.0,100.0,1.9,0.0,73.0,17.1,9.1,-0.3,,,
VIO,2025-02-04,0.1,3.0,-2.7,,,,56.7,3.4,900.5,,1549.6,,1026.0,1.3,12.6,4.7,45.4,12.4,44.6,0.0,0.0,0.0,,58.0,,,,13.0,178.0,100.0,0.7,0.0,45.0,19.9,11.9,-0.3,,,
VIO,2025-02-05,5.9,12.4,-2.8,,,,30.7,2.6,904.5,,1596.4,,1030.5,5.8,17.5,20.9,63.0,16.6,59.8,30.0,0.0,0.0,,60.0,,,,15.0,185.0,100.0,3.1,0.0,82.0,14.1,6.1,-0.4,,,
VIO,2025-02-06,0.7,5.0,-2.5,,,,52.5,3.3,903.7,,1579.3,,1029.6,1.7,13.6,6.1,49.0,13.5,48.6,0.0,0.0,0.0,,64.0,,,,14.0,203.0,100.0,1.0,0.0,65.0,19.3,11.3,-0.3,,,
VIO,2025-02-07,-1.7,0.3,-3.7,,,,79.6,4.3,901.5,,1555.3,,1027.1,0.5,2.5,1.8,9.0,2.5,9.0,0.0,0.0,0.0,,41.0,,,,32.0,0.0,0.0,0.4,0.0,360.0,21.7,13.7,-0.1,,,
VIO,2025-02-08,-1.1,0.0,-2.7,,,,95.5,5.4,900.5,,1547.6,,1026.0,0.4,3.1,1.4,11.2,3.0,10.8,0.0,6.7,4.6,,37.0,,,,26.0,0.0,0.0,0.4,0.0,0.0,21.1,13.1,4.6,,,
VIO,2025-02-09,0.5,1.9,-0.8,,,,99.3,6.3,900.1,,1547.0,,1025.6,0.3,1.5,1.1,5.4,1.5,5.4,0.0,5.6,6.9,,43.0,,,,33.0,0.0,0.0,0.4,0.0,0.0,19.5,11.5,6.9,,,
VIO,2025-02-10,2.1,5.6,0.6,,,,98.1,7.0,898.5,,1535.5,,1023.8,0.4,2.9,1.4,10.4,2.8,10.1,0.0,0.5,1.3,,80.0,,,,51.0,106.0,39.0,0.5,0.0,90.0,17.9,9.9,1.3,,,
VIO,2025-02-11,2.1,3.7,0.7,,,,99.3,7.1,897.2,,1524.0,,1022.4,0.3,2.2,1.1,7.9,2.1,7.6,0.0,4.9,4.7,,39.0,,,,29.0,0.0,0.0,0.4,0.0,90.0,17.9,9.9,4.7,,,
VIO,2025-02-12,1.9,4.3,0.4,,,,98.2,6.9,894.7,,1501.9,,1019.6,0.3,1.2,1.1,4.3,1.2,4.3,0.0,1.1,1.2,,56.0,,,,44.0,6.0,2.0,0.5,0.0,90.0,18.1,10.1,1.2,,,
VIO,2025-02-13,1.9,4.7,-0.2,,,,96.3,6.7,890.9,,1467.4,,1015.4,0.5,3.2,1.8,11.5,3.1,11.2,0.0,0.0,0.1,,64.0,,,,53.0,0.0,0.0,0.5,0.0,0.0,18.1,10.1,0.1,,,
VIO,2025-02-14,-0.6,1.9,-2.8,,,,53.3,3.1,888.8,,1445.6,,1013.1,4.5,24.0,16.2,86.4,23.2,83.5,550.0,0.0,0.0,,71.0,,,,47.0,136.0,44.0,1.4,0.0,72.0,20.6,12.6,-0.2,,,
VIO,2025-02-15,-1.9,4.4,-4.1,,,,53.6,2.8,890.6,,1459.4,,1015.0,3.5,24.6,12.6,88.6,22.7,81.7,0.0,0.0,0.0,,96.0,,,,16.0,307.0,98.0,1.5,0.0,83.0,21.9,13.9,-0.4,,,
VIO,2025-02-16,-2.5,2.3,-5.0,,,,81.3,4.1,887.7,,1432.6,,1011.8,0.5,2.5,1.8,9.0,2.4,8.6,0.0,0.0,0.0,,58.0,,,,19.0,177.0,56.0,0.5,0.0,90.0,22.5,14.5,-0.1,,,
VIO,2025-02-17,-2.4,1.5,-5.5,,,,95.2,4.9,890.9,,1461.5,,1015.4,0.7,4.8,2.5,17.3,4.7,16.9,0.0,0.0,0.0,,90.0,,,,41.0,186.0,58.0,0.5,0.0,252.0,22.4,14.4,0.0,,,
VIO,2025-02-18,-2.8,2.3,-6.8,,,,91.1,4.5,893.5,,1484.3,,1018.3,0.8,4.0,2.9,14.4,3.9,14.0,0.0,0.0,0.0,,96.0,,,,22.0,292.0,91.0,0.6,0.0,225.0,22.8,14.8,-0.1,,,
VIO,2025-02-19,-2.5,-2.0,-2.8,,,,99.3,5.0,898.8,,1530.8,,1024.2,0.7,2.8,2.5,10.1,2.8,10.1,0.0,0.0,0.0,,36.0,,,,26.0,0.0,0.0,0.4,0.0,254.0,22.5,14.5,0.0,,,
VIO,2025-02-20,-1.5,4.7,-5.0,,,,94.3,5.2,901.1,,1552.8,,1026.7,0.6,3.2,2.2,11.5,3.1,11.2,0.0,0.0,0.0,,102.0,,,,24.0,317.0,95.0,0.6,0.0,63.0,21.5,13.5,-0.1,,,
VIO,2025-02-21,1.6,7.9,-1.9,,,,79.8,5.3,902.0,,1566.2,,1027.8,0.7,5.4,2.5,19.4,5.3,19.1,0.0,0.0,0.0,,114.0,,,,28.0,322.0,94.0,0.8,0.0,45.0,18.4,10.4,-0.2,,,
VIO,2025-02-22,2.9,6.2,0.4,,,,84.6,6.3,900.4,,1554.1,,1025.9,0.6,4.9,2.2,17.6,4.9,17.6,0.0,0.0,0.0,,77.0,,,,62.0,14.0,4.0,0.7,0.0,45.0,17.1,9.1,0.0,,,
VIO,2025-02-23,3.6,9.7,0.0,,,,80.0,6.2,902.7,,1575.4,,1028.4,0.7,4.4,2.5,15.8,4.2,15.1,0.0,0.0,0.0,,119.0,,,,52.0,308.0,85.0,0.9,0.0,90.0,16.4,8.4,-0.2,,,
VIO,2025-02-24,3.6,8.8,0.1,,,,75.7,5.9,900.4,,1554.8,,1025.9,0.8,5.1,2.9,18.4,4.8,17.3,0.0,0.0,0.0,,98.0,,,,64.0,101.0,28.0,0.9,0.0,0.0,16.4,8.4,-0.1,,,
VIO,2025-02-25,2.7,5.7,1.2,,,,96.2,7.2,893.0,,1488.0,,1017.8,0.6,4.5,2.2,16.2,4.3,15.5,0.0,3.5,3.5,,37.0,,,,27.0,0.0,0.0,0.6,0.0,90.0,17.3,9.3,3.5,,,
VIO,2025-02-26,3.9,7.0,0.1,,,,63.1,5.0,890.5,,1466.7,,1014.9,3.0,13.1,10.8,47.2,12.7,45.7,80.0,0.0,0.0,,81.0,,,,70.0,0.0,0.0,1.3,0.0,73.0,16.1,8.1,-0.1,,,
VIO,2025-02-27,3.6,7.9,0.0,,,,41.5,3.2,891.4,,1474.4,,1015.9,4.5,16.7,16.2,60.1,16.0,57.6,280.0,0.0,0.0,,130.0,,,,20.0,370.0,97.0,2.3,0.0,92.0,16.4,8.4,-0.5,,,
VIO,2025-02-28,2.6,6.9,0.0,,,,40.9,3.0,893.1,,1488.4,,1017.8,4.3,15.2,15.5,54.7,14.2,51.1,440.0,0.0,0.0,,130.0,,,,22.0,348.0,91.0,2.2,0.0,90.0,17.4,9.4,-0.5,,,
VIO,2025-03-01,1.4,5.5,-1.7,,,,54.8,3.7,896.7,,1518.7,,1021.8,3.3,13.8,11.9,49.7,13.2,47.5,240.0,0.0,0.0,,103.0,,,,42.0,318.0,82.0,1.5,0.0,92.0,18.6,10.6,-0.3,,,
VIO,2025-03-02,2.2,7.3,-0.9,,,,45.9,3.2,901.3,,1560.4,,1026.9,3.3,16.7,11.9,60.1,15.5,55.8,0.0,0.0,0.0,,138.0,,,,19.0,379.0,97.0,2.0,0.0,87.0,17.8,9.8,-0.5,,,
VIO,2025-03-03,3.0,9.4,-0.5,,,,40.4,3.0,900.8,,1557.8,,1026.4,1.6,9.8,5.8,35.3,9.7,34.9,0.0,0.0,0.0,,140.0,,,,19.0,383.0,97.0,1.6,0.0,56.0,17.0,9.0,-0.5,,,
VIO,2025-03-04,4.6,10.7,1.4,,,,40.5,3.4,899.7,,1551.0,,1025.2,1.9,8.2,6.8,29.5,7.9,28.4,0.0,0.0,0.0,,141.0,,,,19.0,385.0,97.0,1.9,0.0,45.0,15.4,7.4,-0.5,,,
