station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
VIS,2025-01-01,-7.1,-3.7,-11.6,-5.0,-4.6,-5.4,92.4,3.3,953.2,,1524.7,,1028.8,1.2,,4.3,,,,,0.0,0.0,,11.0,,,,9.0,0,,0.2,0.0,,27.1,19.1,0.0,,,
VIS,2025-01-02,-0.4,7.9,-10.0,-2.3,-0.1,-4.6,80.1,4.8,943.1,,1463.6,,1018.1,1.8,15.3,6.5,55.1,14.7,52.9,0.0,8.0,7.2,,42.0,,,,38.0,0,,0.5,0.0,277.0,20.4,12.4,7.1,,,
VIS,2025-01-03,1.4,4.0,-3.5,-0.5,-0.1,-3.2,77.6,5.3,943.8,,1475.7,,1018.8,5.2,14.9,18.7,53.6,14.7,52.9,0.0,0.0,0.8,,13.0,,,,11.0,0,,0.7,0.0,278.0,18.6,10.6,0.7,,,
VIS,2025-01-04,-3.0,1.4,-9.1,-4.0,-0.5,-7.1,79.0,3.9,944.2,,1464.9,,1019.2,1.1,5.9,4.0,21.2,5.8,20.9,0.0,9.8,3.6,,33.0,,,,30.0,0,,0.3,0.0,98.0,23.0,15.0,3.5,,,
VIS,2025-01-05,4.0,9.4,0.6,-0.1,0.7,-0.5,83.7,6.7,935.5,,1413.1,,1010.0,2.9,22.3,10.4,80.3,21.9,78.8,0.0,0.1,6.3,,35.0,,,,32.0,0,,0.8,0.0,117.0,16.0,8.0,6.3,,,
VIS,2025-01-06,8.5,10.3,5.3,5.3,8.1,0.3,50.6,5.6,929.6,,1374.9,,1003.7,10.5,22.5,37.8,81.0,22.1,79.6,20.0,2.0,0.2,,39.0,,,,36.0,0,,2.7,0.0,110.0,11.5,3.5,0.1,,,
VIS,2025-01-07,4.4,7.7,1.3,2.3,5.6,-0.4,69.1,5.7,934.5,,1406.2,,1008.9,3.0,14.3,10.8,51.5,14.0,50.4,0.0,1.8,1.8,,19.0,,,,17.0,0,,1.0,0.0,257.0,15.6,7.6,1.7,,,
VIS,2025-01-08,3.6,8.2,0.8,2.0,4.3,0.0,81.5,6.4,936.1,,1416.9,,1010.6,1.6,7.6,5.8,27.4,7.3,26.3,0.0,7.1,8.6,,27.0,,,,24.0,0,,0.6,0.0,90.0,16.4,8.4,8.6,,,
VIS,2025-01-09,5.4,7.9,1.4,4.0,7.8,-0.3,85.5,7.6,934.2,,1406.1,,1008.6,2.3,16.6,8.3,59.8,16.1,58.0,0.0,1.6,1.9,,41.0,,,,39.0,0,,0.4,0.0,266.0,14.6,6.6,1.9,,,
VIS,2025-01-10,1.4,5.4,0.0,0.8,4.3,-0.5,82.9,5.6,941.3,,1454.6,,1016.1,4.9,18.1,17.6,65.2,17.0,61.2,0.0,16.4,12.6,,12.0,,,,10.0,0,,1.0,0.0,294.0,18.6,10.6,12.6,,,
