station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
VLS,2025-01-01,-3.8,2.6,-7.4,,,,80.2,3.6,,,,,,0.7,2.4,2.5,8.6,2.3,8.3,,0.0,0.0,,57.0,,,,13.0,253.0,100.0,,0.0,189.0,23.8,15.8,-0.2,,,
VLS,2025-01-02,1.9,5.8,-6.3,,,,63.5,4.3,,,,,,2.9,14.0,10.4,50.4,13.4,48.2,,3.1,2.5,,37.0,,,,32.0,25.0,10.0,,0.0,187.0,18.1,10.1,2.4,,,
VLS,2025-01-03,-4.4,-1.0,-11.1,,,,90.0,4.1,,,,,,1.1,7.1,4.0,25.6,6.8,24.5,,0.0,0.6,,76.0,,,,34.0,238.0,93.0,,0.0,9.0,24.4,16.4,0.5,,,
VLS,2025-01-04,-7.3,-2.1,-12.9,,,,83.6,3.0,,,,,,0.7,2.8,2.5,10.1,2.7,9.7,,0.0,0.0,,55.0,,,,21.0,244.0,95.0,,0.0,194.0,27.3,19.3,-0.2,,,
VLS,2025-01-05,1.9,8.5,-3.4,,,,76.7,5.3,,,,,,2.6,20.0,9.4,72.0,17.6,63.4,,0.0,0.0,,25.0,,,,23.0,1.0,0.0,,0.0,180.0,18.1,10.1,-0.1,,,
VLS,2025-01-06,5.6,7.2,2.0,,,,61.7,5.6,,,,,,6.4,18.0,23.0,64.8,17.1,61.6,,8.0,4.8,,35.0,,,,33.0,6.0,2.0,,0.0,173.0,14.4,6.4,4.7,,,
VLS,2025-01-07,-1.2,1.8,-5.7,,,,93.1,5.3,,,,,,0.9,4.3,3.2,15.5,4.2,15.1,,0.2,3.4,,63.0,,,,24.0,247.0,95.0,,0.0,0.0,21.2,13.2,3.3,,,
VLS,2025-01-08,2.3,7.4,-4.9,,,,77.1,5.5,,,,,,3.1,17.4,11.2,62.6,16.9,60.8,,0.0,0.0,,60.0,,,,35.0,168.0,64.0,,0.0,186.0,17.7,9.7,-0.2,,,
VLS,2025-01-09,5.1,8.2,-1.9,,,,67.6,5.8,,,,,,4.0,16.8,14.4,60.5,16.3,58.7,,3.4,3.4,,40.0,,,,30.0,60.0,23.0,,0.0,180.0,14.9,6.9,3.3,,,
VLS,2025-01-10,-3.6,-1.8,-4.4,,,,91.4,4.3,,,,,,1.3,7.4,4.7,26.6,6.9,24.8,,2.7,2.2,,31.0,,,,30.0,0.0,0.0,,0.0,14.0,23.6,15.6,2.2,,,
VLS,2025-01-11,-5.3,-3.5,-9.5,,,,95.5,4.0,,,,,,1.0,5.8,3.6,20.9,5.5,19.8,,0.2,0.7,,35.0,,,,32.0,0.0,0.0,,0.0,11.0,25.3,17.3,0.7,,,
VLS,2025-01-12,-8.2,-5.2,-11.5,,,,76.6,2.5,,,,,,0.8,4.5,2.9,16.2,4.3,15.5,,0.0,0.0,,70.0,,,,49.0,111.0,42.0,,0.0,180.0,28.2,20.2,-0.1,,,
VLS,2025-01-13,-9.6,-4.2,-13.6,,,,83.7,2.5,,,,,,0.7,3.7,2.5,13.3,3.3,11.9,,0.0,0.0,,70.0,,,,15.0,265.0,99.0,,0.0,194.0,29.6,21.6,-0.1,,,
VLS,2025-01-14,-5.7,0.6,-10.2,,,,83.4,3.3,,,,,,0.7,4.2,2.5,15.1,3.8,13.7,,0.0,0.0,,67.0,,,,14.0,268.0,99.0,,0.0,191.0,25.7,17.7,-0.1,,,
