station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
WAE,2025-01-01,-1.0,3.1,-4.6,-2.2,6.0,-6.8,86.9,4.9,968.3,1028.8,,,1026.0,0.8,4.6,2.9,16.6,4.5,16.2,0.0,0.0,0.0,0.0,64.0,,,,42.0,197.0,46.0,0.1,0.0,143.0,21.0,13.0,-0.1,2.4,3.5,4.3
WAE,2025-01-02,3.7,8.2,-0.2,2.0,11.8,-4.2,70.1,5.5,959.3,1018.2,,,1016.6,2.1,13.5,7.6,48.6,13.2,47.5,0.0,28.1,27.7,0.0,33.0,,,,29.0,33.0,8.0,0.8,0.0,240.0,16.3,8.3,27.6,2.5,3.4,4.1
WAE,2025-01-03,0.0,1.0,-2.0,-0.6,3.0,-4.9,85.5,5.2,964.3,1024.3,,,1021.8,1.7,4.3,6.1,15.5,4.2,15.1,0.0,0.0,0.4,0.0,31.0,,,,28.0,35.0,8.0,0.3,0.0,256.0,20.0,12.0,0.4,2.6,3.5,4.1
WAE,2025-01-04,-2.3,-0.2,-5.0,-2.3,3.1,-8.2,81.8,4.2,961.5,1021.9,,,1018.9,1.3,4.5,4.7,16.2,4.3,15.5,0.0,14.8,5.1,0.0,55.0,,,,37.0,195.0,46.0,0.2,0.0,174.0,22.3,14.3,5.0,2.1,3.2,4.0
WAE,2025-01-05,3.2,6.5,-0.2,1.8,6.6,0.0,93.0,7.2,950.0,1008.4,,,1006.8,1.2,5.4,4.3,19.4,5.2,18.7,0.0,2.0,11.7,0.0,30.0,,,,30.0,0.0,0.0,0.3,0.0,153.0,16.8,8.8,11.7,2.0,2.9,3.6
WAE,2025-01-06,7.0,10.7,4.4,5.1,13.7,0.7,73.6,7.3,944.4,1001.6,,,1000.9,2.3,12.2,8.3,43.9,12.1,43.6,0.0,11.4,11.3,0.0,52.0,,,,35.0,174.0,40.0,0.7,0.0,238.0,13.0,5.0,11.2,3.4,3.9,4.1
WAE,2025-01-07,4.4,7.7,1.0,2.3,11.9,-2.3,74.3,6.2,951.3,1009.5,,,1008.2,1.8,15.6,6.5,56.2,15.1,54.4,0.0,2.6,0.3,0.0,56.0,,,,31.0,218.0,50.0,0.5,0.0,248.0,15.6,7.6,0.1,3.7,4.3,4.5
WAE,2025-01-08,5.3,10.1,1.9,4.0,8.3,-0.8,85.3,7.7,949.6,1007.5,,,1006.4,1.6,8.9,5.8,32.0,8.8,31.7,0.0,11.3,7.3,0.0,21.0,,,,21.0,13.0,3.0,0.6,0.0,170.0,14.7,6.7,7.3,3.7,4.3,4.5
WAE,2025-01-09,6.9,11.1,1.6,5.6,13.1,0.5,78.2,7.9,950.2,1007.8,,,1007.0,3.2,23.6,11.5,85.0,23.0,82.8,0.0,3.6,10.0,0.0,46.0,,,,30.0,127.0,29.0,0.7,0.0,270.0,13.1,5.1,9.9,4.8,5.1,5.0
WAE,2025-01-10,1.5,2.6,0.2,0.4,3.5,-2.6,75.3,5.1,961.9,1021.4,,,1019.3,1.3,7.1,4.7,25.6,6.9,24.8,0.0,0.0,0.0,0.0,24.0,,,,25.0,0.0,0.0,0.5,0.0,180.0,18.5,10.5,-0.1,3.8,4.6,5.0
