date,canton_abbr,temperature_avg,temperature_max,temperature_min,station_count,station_abbrs
2025-01-01,AG,0.08,5.2,-2.7,5,BEZ|BUS|LEI|MOE|PSI
2025-01-01,BE,-1.38,9.1,-14.4,15,ABO|BER|BOL|CHA|COY|FRU|GRH|INT|KOP|LAG|MER|MUB|NAP|THU|WYN
2025-01-01,GE,0.9,8.5,-5.4,1,GVE
2025-01-01,NE,1.08,8.7,-21.0,5,BRL|CDF|CHM|CRM|NEU
2025-01-01,SG,0.68,10.7,-7.4,5,ARH|EBK|OBR|RAG|STG
2025-01-01,TI,0.842,9.2,-8.5,12,BIA|CEV|CIM|COM|GEN|LUG|MAG|MTR|OTL|PIO|ROE|SBO
2025-01-01,VD,1.633,8.6,-8.8,15,AIG|BIE|CDM|CGI|CHB|CHD|DIA|DOL|FRE|MAH|ORO|PAY|PUY|VEV|VIT
2025-01-01,VS,-2.415,8.0,-17.3,20,ATT|BIN|BLA|BOU|EGH|EVI|EVO|GOR|GRC|GSB|JUN|MAR|MOB|MTE|MVE|SIM|SIO|ULR|VIS|ZER
2025-01-01,ZH,0.686,8.3,-8.6,7,HOE|KLO|LAE|PFA|REH|SMA|WAE
2025-01-02,AG,2.84,11.3,-3.0,5,BEZ|BUS|LEI|MOE|PSI
2025-01-02,BE,1.887,11.3,-8.9,15,ABO|BER|BOL|CHA|COY|FRU|GRH|INT|KOP|LAG|MER|MUB|NAP|THU|WYN
2025-01-02,GE,6.5,10.8,2.6,1,GVE
2025-01-02,NE,3.48,8.9,-2.8,5,BRL|CDF|CHM|CRM|NEU
2025-01-02,SG,4.06,11.4,-6.0,5,ARH|EBK|OBR|RAG|STG
2025-01-02,TI,1.425,7.5,-6.4,12,BIA|CEV|CIM|COM|GEN|LUG|MAG|MTR|OTL|PIO|ROE|SBO
2025-01-02,VD,3.06,12.0,-10.7,15,AIG|BIE|CDM|CGI|CHB|CHD|DIA|DOL|FRE|MAH|ORO|PAY|PUY|VEV|VIT
2025-01-02,VS,-1.11,11.7,-17.3,20,ATT|BIN|BLA|BOU|EGH|EVI|EVO|GOR|GRC|GSB|JUN|MAR|MOB|MTE|MVE|SIM|SIO|ULR|VIS|ZER
2025-01-02,ZH,3.914,9.8,-2.6,7,HOE|KLO|LAE|PFA|REH|SMA|WAE
2025-01-03,AG,-0.38,2.4,-5.3,5,BEZ|BUS|LEI|MOE|PSI
2025-01-03,BE,-2.907,3.1,-12.2,15,ABO|BER|BOL|CHA|COY|FRU|GRH|INT|KOP|LAG|MER|MUB|NAP|THU|WYN
2025-01-03,GE,2.3,5.9,-3.0,1,GVE
2025-01-03,NE,-5.06,3.0,-25.0,5,BRL|CDF|CHM|CRM|NEU
2025-01-03,SG,-0.52,2.3,-8.5,5,ARH|EBK|OBR|RAG|STG
2025-01-03,TI,1.892,12.6,-8.6,12,BIA|CEV|CIM|COM|GEN|LUG|MAG|MTR|OTL|PIO|ROE|SBO
2025-01-03,VD,-2.093,6.0,-17.0,15,AIG|BIE|CDM|CGI|CHB|CHD|DIA|DOL|FRE|MAH|ORO|PAY|PUY|VEV|VIT
2025-01-03,VS,-5.32,5.5,-20.6,20,ATT|BIN|BLA|BOU|EGH|EVI|EVO|GOR|GRC|GSB|JUN|MAR|MOB|MTE|MVE|SIM|SIO|ULR|VIS|ZER
2025-01-03,ZH,-1.643,2.0,-8.1,7,HOE|KLO|LAE|PFA|REH|SMA|WAE
2025-01-04,AG,-3.14,0.8,-6.4,5,BEZ|BUS|LEI|MOE|PSI
2025-01-04,BE,-3.98,6.6,-14.3,15,ABO|BER|BOL|CHA|COY|FRU|GRH|INT|KOP|LAG|MER|MUB|NAP|THU|WYN
2025-01-04,GE,0.1,5.0,-4.5,1,GVE
2025-01-04,NE,-5.76,4.8,-31.1,5,BRL|CDF|CHM|CRM|NEU
2025-01-04,SG,-3.28,5.3,-12.1,5,ARH|EBK|OBR|RAG|STG
2025-01-04,TI,-2.05,5.8,-10.5,12,BIA|CEV|CIM|COM|GEN|LUG|MAG|MTR|OTL|PIO|ROE|SBO
2025-01-04,VD,-2.28,6.0,-12.4,15,AIG|BIE|CDM|CGI|CHB|CHD|DIA|DOL|FRE|MAH|ORO|PAY|PUY|VEV|VIT
2025-01-04,VS,-4.57,3.5,-23.0,20,ATT|BIN|BLA|BOU|EGH|EVI|EVO|GOR|GRC|GSB|JUN|MAR|MOB|MTE|MVE|SIM|SIO|ULR|VIS|ZER
2025-01-04,ZH,-3.8,1.5,-10.6,7,HOE|KLO|LAE|PFA|REH|SMA|WAE
2025-01-05,AG,1.94,10.5,-0.5,5,BEZ|BUS|LEI|MOE|PSI
2025-01-05,BE,3.7,14.0,-1.1,15,ABO|BER|BOL|CHA|COY|FRU|GRH|INT|KOP|LAG|MER|MUB|NAP|THU|WYN
2025-01-05,GE,8.6,12.6,5.0,1,GVE
